sector,founded,area_served,notes,name,headquarters,industry
biotechnology,2004,,,3h biomedical,uppsala,health care
food products,2005,,,aarhuskarlshamn,malmö,consumer goods
food products,1883,,,abba seafood,gothenburg,consumer goods
recreational products,1921,,,abu garcia,svängsta,consumer goods
software,2001,,,acando,stockholm,technology
software,2014,,,acast,stockholm,technology
clothing & accessories,1997,,,acne studios,stockholm,consumer goods
business support services,1895,,,åf,stockholm,industrials
exploration & production,1904,,,aga,luleå,oil & gas
broadline retailers,1899,,,åhléns,stockholm,consumer services
industrial machinery,1883,,,alfa laval,lund,industrials
industrial machinery,2002,,,alfdex,landskrona,industrials
industrial machinery,1989,,,ap&t,ulricehamn,industrials
pharmaceuticals,1970,,,apoteket,stockholm,health care
mobile telecommunications,2001,,,aptilo networks,stockholm,telecommunications
industrial suppliers,1997,,,arcam,mölndal,industrials
diversified industrials,1883,,,asea,västerås,industrials
industrial machinery,1988,,,abb,västerås,industrials
industrial suppliers,1994,,,assa abloy,stockholm,industrials
pharmaceuticals,1913,,,astra ab,södertälje,health care
diversified industrials,1873,,,atlas copco,nacka,industrials
commercial vehicles & trucks,1958,,,atlet,mölnlycke,industrials
business support services,1997,,,autoliv,stockholm,industrials
software,2003,,,avalanche studios,stockholm,technology
investment services,1999,,,avanza,stockholm,financials
-,1873,,,axel johnson,stockholm,conglomerates
-,1873,,,axel johnson group,stockholm,conglomerates
food retailers & wholesalers,1964,,,axfood,stockholm,consumer services
computer hardware,1984,,,axis communications,lund,technology
defense,2006,,,bae systems,örnsköldsvik,industrials
diversified industrials,1886,,,bahco,enköping,industrials
fixed line telecommunications,1994,,,bahnhof,stockholm,telecommunications
nondurable household products,1945,,,ballograf,gothenburg,consumer goods
industrial machinery,1912,,,berg propulsion,gothenburg,industrials
gambling,1963,,,betsson,stockholm,consumer services
biotechnology,1984,,,biacore,uppsala,health care
paper,2012,,,billerudkorsnäs,solna,basic materials
industrial suppliers,1974,,,bindomatic,stockholm,industrials
pharmaceuticals,1990,,,biogaia,stockholm,health care
clothing & accessories,2004,,,björn borg,stockholm,consumer goods
defense,1873,,,bofors,karlskoga,industrials
commercial vehicles & trucks,1906,,,boghammar marin ab,lidingö,industrials
general mining,1931,,,boliden,stockholm,basic materials
commercial vehicles & trucks,1932,,,bolinder-munktell,eskilstuna,industrials
building materials & fixtures,1919,,,bona ab,malmö,industrials
broadcasting & entertainment,1804,,,bonnier group,stockholm,consumer services
airlines,1981,,,braathens regional aviation,malmö,consumer services
fixed line telecommunications,1998,,,bredbandsbolaget,stockholm,telecommunications
toys,1884,,,brio,malmö,consumer goods
investment services,1992,,,bure equity,stockholm,financials
industrial machinery,1963,,,camfil,stockholm,industrials
investment services,1803,,,carnegie investment bank,stockholm,financials
gambling,1999,,,casino cosmopol,stockholm,consumer services
health care providers,1895,,,cederroth,upplands väsby,health care
clothing & accessories,2000,,,cheap monday,stockholm,consumer goods
home improvement retailers,1918,,,clas ohlson,insjön,consumer services
recreational products,1983,,,clavia,stockholm,consumer goods
food products,1862,,,cloetta,stockholm,consumer goods
software,2000,,,columbitech,stockholm,technology
fixed line telecommunications,1983,,,com hem,stockholm,telecommunications
fixed line telecommunications,1981,,,comviq,stockholm,telecommunications
food retailers & wholesalers,2001,,,coop norden,stockholm,consumer services
investment services,1986,,,danir ab,malmö,financials
mobile telecommunications,2001,,,dataphone,stockholm,telecommunications
business support services,1954,,,datasaab,linköping,industrials
commercial vehicles & trucks,1883,,,delaval,tumba,industrials
travel & tourism,1998,,,destination gotland,visby,consumer services
biotechnology,1994,,,diamyd medical,stockholm,health care
commercial vehicles & trucks,1905,,,dockstavarvet,docksta,industrials
iron & steel,1872,,,domnarvet,borlänge,basic materials
telecommunications equipment,1974,,,doro,malmö,technology
software,2003,,,draim,nacka,technology
software,1992,,,ea dice,stockholm,technology
business support services,1908,,,elanders,mölnlycke,industrials
durable household products,1919,,,electrolux,stockholm,consumer goods
health care providers,1972,,,elekta,stockholm,health care
recreational products,1998,,,elektron,gothenburg,consumer goods
furnishings,1948,,,elfa international,malmö,consumer goods
broadline retailers,1947,,,ellos,borås,consumer services
software,1968,,,enea ab,kista,technology
internet,2000,,,eniro,stockholm,technology
internet,2009,,,epidemic sound,stockholm,technology
telecommunications equipment,1876,,,ericsson,stockholm,technology
business support services,1904,,,esab,gothenburg,industrials
conventional electricity,1993,,,eskilstuna energy and environment,eskilstuna,utilities
industrial suppliers,1913,,,esselte,stockholm,industrials
business support services,2013,,,european spallation source,lund,industrials
building materials & fixtures,1945,,,fagerhult group,habo,industrials
software,2008,,,fatshark,stockholm,technology
clothing & accessories,1960,,,fjällräven,örnsköldsvik,consumer goods
business support services,1961,,,fkab,uddevalla,industrials
banks,1992,,,föreningsbanken,stockholm,financials
investment services,1927,,,forex bank,stockholm,financials
software,2007,,,frictional games,helsingborg,technology
clothing & accessories,1990,,,galvin green,växjö,consumer goods
food products,1942,,,gb glace,stockholm,consumer goods
broadline retailers,1963,,,gekås,falkenberg,consumer services
medical equipment,1904,,,getinge group,gothenburg,health care
heavy construction,1946,,,göinge mekaniska,hässleholm,industrials
delivery services,2001,,,green cargo,solna,industrials
-,1970,,,grimaldi industri,stockholm,conglomerates
business support services,1889,,,gunnebo group,gothenburg,industrials
apparel retailers,1947,,,h&m,stockholm,consumer services
recreational products,1914,,,haglöfs,torsång,consumer goods
recreational products,1925,,,hagström,älvdalen,consumer goods
auto parts,1887,,,haldex,landskrona,consumer goods
recreational products,1943,,,hallberg-rassy,ellös,consumer goods
banks,1871,,,handelsbanken,stockholm,financials
recreational products,1841,,,hasselblad,gothenburg,consumer goods
specialty retailers,1852,,,hästens,köping,consumer services
clothing & accessories,1936,,,hestra,hestra,consumer goods
business support services,1992,,,hexagon ab,stockholm,industrials
fixed line telecommunications,1988,,,hms industrial networks,halmstad,telecommunications
iron & steel,1797,,,höganäs ab,höganäs,basic materials
paper,1875,,,holmen,stockholm,basic materials
automobiles,1988,,,husaberg,mattighofen,consumer goods
industrial suppliers,1689,,,husqvarna group,stockholm,industrials
commercial vehicles & trucks,1944,,,hydrauliska industri ab,hudiksvall,industrials
software,1983,,,iar systems,uppsala,technology
broadline retailers,1938,,,ica gruppen,stockholm,consumer services
software,1983,,,ifs ab,linköping,technology
banks,1995,,,ikano bank,malmö,financials
software,2007,,,imint image intelligence ab,uppsala,technology
railroads,2010,,,infranord,solna,industrials
software,2001,,,ingate systems,stockholm,technology
computer hardware,2001,,,intertex,stockholm,technology
investment services,1984,,,investment ab latour,gothenburg,financials
investment services,1961,,,investment ab öresund,stockholm,financials
investment services,1916,,,investor ab,stockholm,financials
personal products,1983,,,isadora,malmö,consumer goods
software,2011,,,izettle,stockholm,technology
clothing & accessories,1997,,,j.lindeberg,stockholm,consumer goods
software,1992,,,jeeves,stockholm,technology
railroads,2001,,,jernhusen,stockholm,industrials
recreational products,1926,,,jofa,malung,consumer goods
industrial machinery,1832,,,jonsereds fabrikers ab,jonsered,industrials
investment services,1936,,,kinnevik ab,stockholm,financials
