ambitiobox-headquarter,ariregister-headquarter,disfold-official_name,disfold-ceo,forbes-ceo,valuetoday-ceo
"delhi/ncr, new delhi, india",,,,,
"nasik/nashik, maharashtra, india",,,,,
"muscat, oman",,,,,
"ahmedabad, gujarat, india",,,,,
"pennsylvania, united states of america",,,,,
"kochi/cochin, kerala, india",,,,,
"new delhi, india",,,,,
"kolkata, india",,,,,
"abu dhabi, united arab emirates",,,,,
,,,,,
"dubai, united arab emirates",,,,,
"gurgaon, india",,,,,
"ahmedabad, gujrat, india",,,,,
"mumbai, maharashtra, india",,,,,
"hyderabad, india",,,,,
"paris, france",,,,,
"kolkata, india",,,,,
"delhi/ncr, delhi, india",,,,,
"hyderabad, india",,,,,
"gurgaon/gurugram, haryana, india",,,,,
"gurgaon, india",,,,,
"hyderabad, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"pune, india",,,,,
"mumbai, maharashtra, india",,,,,
"delhi,nct, india",,,,,
"pune, maharashtra, india",,,,,
"minnesota, hennepin, united states (usa)",,,,,
"new york, united states",,,,,
"kolkata, india",,,,,
"mumbai, maharashtra, india",,,,,
"mumbai, maharashtra, india",,,,,
"alwar, india",,,,,
"noida, india",,,,,
"tirupur/tiruppur, tamil nadu, india",,,,,
"pune, india",,,,,
"mumbai, maharashtra, india",,,,,
"delhi/ncr, delhi, india",,,,,
"new delhi, india",,,,,
"mohali, punjab, india",,,,,
,,,,,
"palo alto, united states",,,,,
"beirut, lebanon",,,,,
,,,,,
"montpellier,herault, france",,,,,
,,,,,
,,,,,
,,,,,
"new york, us",,,,,
"ambler,pennsylvania, united states",,,,,
"new york, united states",,,,,
,,,,,
"gurgaon/gurugram, haryana, india",,,,,
"mumbai, maharashtra, india",,,,,
"gurugram, india",,,,,
"pune, india",,,,,
"singapore, singapore",,,,,
"noida, uttar pradesh, india",,,,,
"stuttgart, germany",,,,,
"panchkula, haryana, india",,,,,
"dunstable, unitedkingdom",,,,,
"noida, india",,,,,
"mumbai,maharashtra, india",,,,,
"gurgaon, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"hestehaven, denmark",,,,,
"mumbai, india",,,,,
"hyderabad, india",,,,,
"moradabad, india",,,,,
"jalandhar, india",,,,,
"texas, texas, united states of america",,,,,
"doha, qatar",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"mississauga, canada",,,,,
"pune,maharashtra, india",,,,,
"kolkata, india",,,,,
"delhi/ncr, delhi, india",,,,,
"broomfield, colorado, united states",,,,,
"nagpur, india",,,,,
"mumbai, maharashtra, india",,,,,
"tampa, florida, united states (usa)",,,,,
"mumbai, maharashtra, india",,,,,
"muscat, oman",,,,,
"amritsar, india",,,,,
"bengaluru, india",,,,,
"chennai,tamil nadu, india",,,,,
"pune, india",,,,,
"mumbai, maharashtra, india",,,,,
"denver, co, united states (usa)",,,,,
"pune, maharashtra, india",,,,,
"atlanta, georgia, united states (usa)",,,,,
"new delhi, india",,,,,
"bengaluru, india",,,,,
"mumbai, maharashtra, india",,,,,
"atlanta, georgia, united states (usa)",,,,,
"kolkata, west bengal, india",,,,,
"delhi, india",,,,,
"hyderabad, india",,,,,
"texas, texas, united states of america",,,,,
"gurgaon/gurugram, haryana, india",,,,,
"hyderabad, india",,,,,
"mumbai, maharashtra, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"broomfield, colorado, united states",,,,,
"nagpur, india",,,,,
"mississauga, canada",,,,,
"muscat, oman",,,,,
"doha, qatar",,,,,
"tampa, florida, united states (usa)",,,,,
"chennai,tamil nadu, india",,,,,
"pune,maharashtra, india",,,,,
"denver, co, united states (usa)",,,,,
"irvine, united states",,,,,
"kurnool, andhra pradesh, india",,,,,
"new delhi, india",,,,,
"kolkata, india",,,,,
"bengaluru, india",,,,,
"delhi/ncr, delhi, india",,,,,
"amritsar, india",,,,,
"pune, maharashtra, india",,,,,
"aurangabad, india",,,,,
"zurich, switzerland",,,,,
"san juan, puerto rico, united states",,,,,
"aurangabad, india",,,,,
"kasauli, india",,,,,
"kurnool, andhra pradesh, india",,,,,
"irvine, united states",,,,,
"noida, uttar pradesh, india",,,,,
"mumbai, maharashtra, india",,,,,
"gurgaon,haryana, india",,,,,
,,,,,
"new delhi, delhi, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"new delhi, india",,,,,
"port harcourt, nigeria",,,,,
"mumbai, maharashtra, india",,,,,
"secunderabad, india",,,,,
"blaine,washington, united states",,,,,
"gwalior, india",,,,,
"london, england",,,,,
"tokyo,tokyo-to, japan",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"pune, india",,,,,
"pune, india",,,,,
"thane, india",,,,,
"mumbai, maharashtra, india",,,,,
"mumbai, india",,,,,
"ludhiana, india",,,,,
"singapore, singapore",,,,,
"seattle, washington, united states of america",,,,,
"cambridge, massachusetts, united states (usa)",,,,,
"kolkata, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"singapore, singapore",,,,,
"pune, india",,,,,
"pune, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"gwalior, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"noida, uttar pradesh, india",,,,,
"new delhi, india",,,,,
"new jersey, unitedstates",,,,,
"delhi/ncr, delhi, india",,,,,
"new delhi, india",,,,,
"bangalore, india",,,,,
"thane, india",,,,,
"new delhi, india",,,,,
"des plaines, illinois, united states (usa)",,,,,
"new delhi, india",,,,,
"pune, india",,,,,
"new delhi, india",,,,,bangxin zhang
"kolkata, west bengal, india",,,,,
"king of prussia, pennsylvania, united states (usa)",,,,,
"delhi/ncr, delhi, india",,,,,
"new delhi, india",,,,,
"chennai, tamil nadu, india",,,,,
"delhi/ncr, new delhi, india",,,,,
"london, england",,,,,
"blaine,washington, united states",,,,,
"seattle, washington, united states of america",,,,,
"cambridge, massachusetts, united states (usa)",,,,,
"mumbai, india",,,,,
"ludhiana, india",,,,,stephan shakespeare
"florence, italy",,,,,
"chennai, tamil nadu, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"kolkata,west bengal, india",,,,,
"mumbai, maharashtra, india",,,,,
"mumbai, india",,,,,
"patiala, india",,,,,
"bengaluru, india",,,,,
"mumbai, india",,,,,
"hyderabad, india",,,,,
"pour, germany",,,,,
"mumbai, maharashtra, india",,,,,
"gurugram, india",,,,,
"melbourne, australia",,,,,
"lagos, nigeria",,,,,
"nagpur, india",,,,,
"gurgaon, india",,,,,
"fremont, california, us",,,,,
"gurgaon, india",,,,,
"noida, up, india",,,,,
"gurgaon,haryana, india",,,,,
"london, england,",,,,,
"jaipur, rajasthan, india",,,,,
"manchester, united kingdom (uk)",,,,,
"mumbai, maharashtra, india",,,,,
,,,,,
"jaipur,rajasthan, india",,,,,
"gurgaon,haryana, india",,,,,
"vijayawada, india",,,,,
"gurgaon, india",,,,,
"mumbai, maharashtra, india",,,,,
"dallas,texas, united states",,,,,
"mumbai, maharashtra, india",,,,,
"chennai, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"new delhi, india",,,,,
"houston, united states",,,,,
"kolkata, west bengal, india",,,,,
"mumbai,maharashtra, india",,,,,
"mumbai, maharashtra, india",,,,,
"mumbai, india",,,,,
"delhi/ncr, new delhi, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"hyderabad, india",,,,,
"delhi/ncr, new delhi, india",,,,,
"mumbai, maharashtra, india",,,,,
"manhattan beach, california, united states (usa)",,,,,
"mumbai, maharashtra, india",,,,,
"gurgaon, india",,,,,
"vadodara/baroda, gujarat, india",,,,,
"vapi, india",,,,,
"hyderabad, india",,,,,
"noida, india",,,,,
"mumbai, india",,,,,
"new delhi, india",,,,,
"mumbai, maharashtra, india",,,,,
"delhi/ncr, delhi, india",,,,,
"hq - pill, austria",,,,,
,,,,,
"gurgaon, india",,,,,
"mumbai, maharashtra, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"mumbai, india",,,,,
"mumbai, india",,,,,
"mumbai, maharashtra, india",,,,,
"faridabad, haryana, india",,,,,
"new delhi, india",,,,,
"delhi/ncr, new delhi, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"noida, india",,,,,
"hyderabad, india",,,,,
"hyderabad, india",,,,,
"vapi, india",,,,,
"vadodara/baroda, gujarat, india",,,,,
"new delhi, india",,,,,
"pune, india",,,,,
"delhi/ncr, delhi, india",,,,,
"navsari, gujarat, india",,,,,
"toronto,ontario, canada",,,,,
,,,,,
"mumbai, maharashtra, india",,,,,
"hq - pill, austria",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"hyderabad,telangana, india",,,,,
"mumbai, maharashtra, india",,,,,
"chennai, tamil nadu, india",,,,,
"chennai, tamil nadu, india",,,,,
"chandigarh, chandigarh, india",,,,,
"fremont, california, united states of america",,,,,
"bengaluru/bangalore, karnataka, india",,,,,
"san jose, united states",,,,,
,,,,,
"mumbai , india",,,,,
"leawood,kansas, united states",,,,,
"jaipur, rajasthan, india",,,,,
"vadodara/baroda, gujarat, india",,,,,
"mumbai, india",,,,,
"milpitas, california, united states of america",,,,,
"delhi/ncr, new delhi, india",,,,,
"new delhi, india",,,,,
"kanpur, india",,,,,
"mumbai, maharashtra, india",,,,,
"pune,maharashtra, india",,,,,
"coimbatore, india",,,,,
"hyderabad, india",,,,,
"ahmedabad, india",,,,,
"hyderabad, india",,,,,
"new delhi, india",,,,,
"greater noida, india",,,,,
"pune, india",,,,,
"bangalore,karnataka, india",,,,,
"gainesville, florida, united states (usa)",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"delhi,nct, india",,,,,
"gurgaon, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"dubai, dubai, united arab emirates (uae)",,,,,
"gurgaon/gurugram, haryana, india",,,,,
"canton, massachusetts, united states (usa)",,,,,
"yokohama, japan",,,,,
"raubling, germany",,,,,
"gurgaon/gurugram, haryana, india",,,,,
"chennai, tamil nadu, india",,,,,
"mumbai, maharashtra, india",,,,,
"lagos, nigeria",,,,,
,,,,,
"greater noida, india",,,,,
"abu dhabi, united arab emirates",,,,,
"rudrapur, india",,,,,
"delhi/ncr, new delhi, india",,,,,
"ahmedabad, gujarat, india",,,,,
"kolkata, west bengal, india",,,,,
"gurgaon, india",,,,,
"mumbai,maharashtra, india",,,,,
"brisbane, united states",,,,,
"new delhi, india",,,,,
"florida, unitedstates",,,,,
"nalagarh, india",,,,,
"tokyo,tokyo-to, japan",,,,,
"sirmour, himachal pradesh, india",,,,,
"surat, india",,,,,
"delhi/ncr, new delhi, india",,,,,
"mumbai, india",,,,,
"new delhi, india",,,,,
"bhopal, india",,,,,
"new delhi, india",,,,,
"new delhi, india",,,,,
,,,,,
"mumbai, maharashtra, india",,,,,
"hyderabad, india",,,,,
"chennai, tamil nadu, india",,,,,
"mumbai, india",,,,,
"mumbai,maharashtra, india",,,,,
,,,,,
"dammam, saudi arabia",,,,,
"noida, uttar pradesh, india",,,,,
"ansan-si, south korea",,,,,
"amersfoort, netherlands",,,,,
"hyderabad,telangana, india",,,,,
,,,,,
"mumbai, maharashtra, india",,,,,
,,,,,
,,,,,
"mumbai,maharashtra, india",,,,,
"san jose, united states",,,,,
"mumbai, maharashtra, india",,,,,
,,,,,
"mumbai, india",,,,,
"chennai, tamil nadu, india",,,,,
"new delhi, india",,,,,
"irving, united states of america",,,,,
"harsewinkel, north rhine-westphalia, germany",,,,,
"høvik, oslo, norway",,,,,
"ras al khaimah, ras al khaimah, united arab emirates (uae)",,,,,
"doha, qatar",,,,,
"chuo,tokyo, japan",,,,,
"delhi/ncr, new delhi, india",,,,,
"brook green, london, england",,,,,
"new delhi, india",,,,,
"cary, north carolina, united states (usa)",,,,,
"mumbai, india",,,,,
"pilani, india",,,,,
"mumbai, maharashtra, india",,,,,
"chennai, india",,,,,
"mumbai, india",,,,,
"noida, india",,,,,
"noida, india",,,,,
"chennai, india",,,,,
"singapore, singapore",,,,,
"ahmedabad, gujarat, india",,,,,
"pune, india",,,,,
"hubli, karnataka, india",,,,,
"hyderabad, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"chennai, india",,,,,
"gurgaon,haryana, india",,,,,
"noida, uttar pradesh, india",,,,,
"new delhi, india",,,,,
"heidenheim, germany",,,,,
"new delhi, india",,,,,
"troy,michigan, united states",,,,,
"norwalk, united states",,,,,
"new york, new york state, united states (usa)",,,,,
"hyderabad, india",,,,,
"vaasa, ostrobothnia, finland",,,,,
"chennai, tamil nadu, india",,,,,
"noida, india",,,,,
"faridabad, haryana, india",,,,,
"navi mumbai, maharashtra, india",,,,,
"bengaluru, india",,,,,
"chennai, tamil nadu, india",,,,,
"new delhi, india",,,,,
"noida,uttar pradesh, india",,,,,
"mumbai,maharashtra, india",,,,,
"vijayawada, india",,,,,
"mumbai, maharashtra, india",,,,,
"mexico city, united states",,,,,
"new delhi, india",,,,,
"nordborg, denmark",,,,,
india,,,,,
"mumbai, maharashtra, india",,,,,
"porto, maia, portugal",,,,,
"hyderabad, india",,,,,
"mumbai,maharashtra, india",,,,,
"charlotte, north carolina, united states (usa)",,,,,
"hyderabad, india",,,,,
"ahmedabad, india",,,,,
"panipat, india",,,,,
"mumbai, maharashtra, india",,,,,
"bengaluru, india",,,,,
"dallas, united states",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"aurangabad, maharashtra, india",,,,,
"ranchi, india",,,,,
"stuttgart, germany",,,,,
"vienna, austria",,,,,
"chandigarh, chandigarh, india",,,,,
"noida, india",,,,,
"norwalk, united states",,,,,
"noida,uttar pradesh, india",,,,,
"stuttgart, germany",,,,,
"bengaluru, india",,,,,
"new york, new york, united states (usa)",,,,,
"gurgaon,haryana, india",,,,,
,,,,,
"bangalore, karnataka, india",,,,,
"mumbai, maharashtra, india",,,,,
"stamford,connecticut, united states",,,,,
"jaipur, rajasthan, india",,,,,
"singapore, telangana, india",,,,,
"bangalore,karnataka, india",,,,,
"bangalore, india",,,,,
"new delhi, delhi, india",,,,,
,,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"delhi/ncr, new delhi, india",,,,,
"ghaziabad, uttar pradesh, india",,,,,
"melbourne, australia",,,,,
"chennai, india",,,,,
"woburn, united states",,,,,
"hyderabad,telangana, india",,,,,
"massachusetts, united states (usa)",,,,,
"bhopal, india",,,,,
"kochi, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"chandigarh, chandigarh, india",,,,,
"pune, india",,,,,
"pune, india",,,,,
"mohali, india",,,,,
"parwanoo, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"mumbai, maharashtra, india",,,,,
"srirangapatna, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"mumbai, india",,,,,
"windsor, united states",,,,,
"chicago, united states",,,,,
"noida, india",,,,,
"ahmedabad, india",,,,,
"princeton, new jersey, united states (usa)",,,,,
"hyderabad,telangana, india",,,,,
"mumbai, maharashtra, india",,,,,
"bangalore,karnataka, india",,,,,
"trivandrum/thiruvananthapuram, kerala, india",,,,,
"delhi/ncr, delhi, india",,,,,
"bangalore, india",,,,,
"mumbai, maharashtra, india",,,,,
"hyderabad, india",,,,,
"hyderabad, india",,,,,
"new delhi, india",,,,,
"chennai, india",,,,,
"mumbai, india",,,,,
"mumbai, maharashtra, india",,,,,
"new delhi, india",,,,,
"new delhi,",,,,,
"pune, maharashtra, india",,,,,
"chennai, india",,,,,
"delhi/ncr, delhi, india",,,,,
"windsor, united states",,,,,
"pune, maharashtra, india",,,,,
"mohali, india",,,,,
"pune, india",,,,,
"mumbai, maharashtra, india",,,,,
"chicago, united states",,,,,
"noida, india",,,,,
,,,,,
"delhi,",,,,,
"chennai, india",,,,,
"noida, india",,,,,
"varanasi, india",,,,,
,,,,,
"bengaluru, india",,,,,
,,,,,
"stuttgart, germany",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"bethesda, united states",,,,,
"atlanta, georgia, united states (usa)",,,,,
"chennai, india",,,,,
"berlin, berlin, germany",,,,,
"new delhi,",,,,,
"new delhi, india",,,,,
"pune, india",,,,,
,,,,,
"kolkata,west bengal, india",,,,,
"san francisco, california, united states (usa)",,,,,
"mumbai, india",,,,,
"noida,uttar pradesh, india",,,,,
"rajkot, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"irving, texas, united states (usa)",,,,,
"gurugram, india",,,,,
"mumbai, maharashtra, india",,,,,
"madrid, spain",,,,,
"bengaluru, india",,,,,
"mumbai, india",,,,,
"chicago, united states",,,,,
"mumbai, india",,,,,
"noida, uttar pradesh, india",,,,,
"delhi/ncr, delhi, india",,,,,
"mumbai, maharashtra, india",,,,,
"new york, united states",,,,,
"mumbai, maharashtra, india",,,,,
"chicago, illinois, united states (usa)",,,,,
"newfoundland and labrador, canada, north america",,,,,
"noida, uttar pradesh, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"mumbai, india",,,,,
"chennai, tamil nadu, india",,,,,
"new delhi, india",,,,,
"mumbai, maharashtra, india",,,,,
"palo alto, california, united states (usa)",,,,,
"rajkot, gujarat,",,,,,
"kolkata, india",,,,,
"bangalore,karnataka, india",,,,,
"faridabad, india",,,,,
"gurgaon/gurugram, haryana, india",,,,,
"mumbai, india",,,,,
"chennai, tamil nadu, india",,,,,
"new delhi, india",,,,,
"kolkata, west bengal, india",,,,,
"hyderabad, india",,,,,
"san diego, california, united states of america",,,,,
"doral, niedersachsen, united states (usa)",,,,,
"new delhi, india",,,,,
"hyderabad, india",,,,,
"noida, uttar pradesh, india",,,,,
"delhi/ncr, delhi, india",,,,,
"mumbai, maharashtra, india",,,,,
"muscat, oman",,,,,
"ahmedabad, india",,,,,
"mumbai, maharashtra, india",,,,,
"treviglio, italy",,,,,
"los angeles, california, usa",,,,,
"mumbai, maharashtra, india",,,,,
"new york, new york, united states of america",,,,,
"guntur, andhra pradesh, india",,,,,
"hyderabad, india",,,,,
"mumbai, india",,,,,
"hyderabad, india",,,,,
"chandigarh, chandigarh, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"noida, uttar pradesh, india",,,,,
"kolkata, india",,,,,
"aurangabad, maharashtra, india",,,,,
"thane, maharashtra, india",,,,,
"faridabad, india",,,,,
"noida, india",,,,,
"new delhi, india",,,,,
"noida, uttar pradesh, india",,,,,
"new york, united states (usa)",,,,,
"ranchi, india",,,,,
"mumbai, maharashtra, india",,,,,
"chicago, unitedstates",,,,,
"tampa, unitedstates",,,,,
"hyderabad, india",,,,,
"delhi/ncr, delhi, india",,,,,
,,,,,
"thane, maharashtra, india",,,,,
"muscat, oman",,,,,
"ahmedabad, india",,,,,
"mumbai, maharashtra, india",,,,,
"mumbai, maharashtra, india",,,,,
"indore, india",,,,,
"pune, india",,,,,
"mumbai, maharashtra, india",,,,,
"noida, india",,,,,
"pune, india",,,,,
"pune, india",,,,,
"gurgaon/gurugram, haryana, india",,,,,
,,,,,
"delhi/ncr, new delhi, india",,,,,
"vancouver, canada",,,,,
"chennai, india",,,,,
"kolkata, west bengal, india",,,,,
"milwaukee, wisconsin, united states (usa)",,,,,
"gurgaon, india",,,,,
,,,,,
,,,,,
"pune,maharashtra, india",,,,,
"mumbai, india",,,,,
"paris, france",,,,,
"bhimavaram, india",,,,,
"ecully, france",,,,,
"noida, uttar pradesh, india",,,,,
"navi mumbai, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"ahmedabad, india",,,,,
"gurugram, india",,,,,
"thrissur/trichur, kerala, india",,,,,
"northampton, united kingdom",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"lucknow, uttar pradesh, india",,,,,
,,,,,
"delhi/ncr, delhi, india",,,,,
,,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"san diego,",,,,,
"mumbai, india",,,,,
,,,,,
"mumbai, maharashtra, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"new delhi, india",,,,,
"ahmedabad, gujarat, india",,,,,
"faridabad, haryana, india",,,,,
"mumbai, india",,,,,
"new delhi, delhi, india",,,,,
"chennai, tamil nadu, india",,,,,
"thane, india",,,,,
"pune, maharashtra, india",,,,,
"nagpur, maharashtra, india",,,,,hilton h. howell jr.
"gandhinagar, india",,,,,
"aurangabad, india",,,,,
"noida, india",,,,,
"auburn hills, united states",,,,,
"kempten, germany",,,,,
"hyderabad, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"hyderabad, india",,,,,
"mumbai, maharashtra, india",,,,,
"chennai, tamil nadu, india",,,,,
"new delhi, india",,,,,
"mumbai, india",,,,,
"sirmour, himachal pradesh, india",,,,,
"new delhi, delhi, india",,,,,
,,,,,
"noida,uttar pradesh, india",,,,,
"bangalore,karnataka, india",,,,,
"pittsburgh, pennsylvania, united states (usa)",,,,,
"kochi, india",,,,,
"kolkata, west bengal, india",,,,,
"rehovot, rehovot, israel",,,,,
"new delhi, india",,,,,
"noida, india",,,,,
"gurgaon,haryana, india",,,,,
"new delhi, delhi, india",,,,,
"chennai,tamil nadu, india",,,,,
"nashik, maharashtra, india",,,,,
,,,,,
"new delhi, delhi, india",,,,,
"bangalore,karnataka, india",,,,,
,,,,,
"pune, maharashtra, india",,,,,
"chatham, new jersey, united states of america",,,,,
,,,,,
"chalfont st peter, united kingdom (uk)",,,,,
,,,,,
"chennai, india",,,,,
"exton,pennsylvania, united states",,,,,
"gurgaon/gurugram, haryana, india",,,,,
"ahmedabad, gujarat, india",,,,,
"gurgaon/gurugram, haryana, india",,,,,
"hyderabad, india",,,,,
"gurgaon, india",,,,,
"new delhi, india",,,,,
"chesterfield, united states",,,,,
"ahmedabad, gujarat, india",,,,,
"brea, california, united states (usa)",,,,,
"chennai, india",,,,,
"kolkata, india",,,,,
"metuchen, new jersey, united states (usa)",,,,,
"hyderabad, india",,,,,
"bangalore, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"gurugram, india",,,,,
"mumbai, india",,,,,
"chennai,tamil nadu, india",,,,,
"pune, maharashtra, india",,,,,
"mumbai, india",,,,,
"delhi/ncr, delhi, india",,,,,
"mumbai, india",,,,,
"ahmedabad, gujrat, india",,,,,
"dubai, united arab emirates",,,,,
"bhopal, india",,,,,
"pune, maharashtra, india",,,,,
"new delhi, india",,,,,
"hyderabad, india",,,,,
"cleveland, united states",,,,,
"chennai, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"kolkata, india",,,,,
"kochi/cochin, kerala, india",,,,,
"mumbai, india",,,,,
"san bruno, ca, united states (usa)",,,,,
"sharq, kuwait",,,,,
"mumbai, india",,,,,
"kolkata, india",,,,,
"bengaluru, india",,,,,
"san clemente, united states",,,,,
"riyadh, saudi arabia",,,,,
"new delhi, india",,,,,
"pune, india",,,,,
"tampa, united states",,,,,
"amsterdam, north holland, netherlands",,,,,
"bengaluru, india",,,,,
"jaipur, india",,,,,
"raipur, chhattisgarh, india",,,,,
"muzaffarnagar, india",,,,,
"vasai, india",,,,,
"pune, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"bengaluru, india",,,,,
"new delhi, india",,,,,
"singapore, singapore",,,,,
"doha, qatar",,,,,
,,,,,
"chennai,tamil nadu, india",,,,,
"mumbai, maharashtra, india",,,,,
"aurangabad, india",,,,,
"mumbai, maharashtra, india",,,,,
"delhi,nct, india",,,,,
"new delhi, india",,,,,
"doha, qatar",,,,,
"harwood heights, united states",,,,,
"navi mumbai, maharashtra, india",,,,,
"gurugram, india",,,,,
"bangalore, india",,,,,
"kista, sweden",,,,,
"gurgaon,haryana, india",,,,,
"madurai, india",,,,,
"hyderabad, india",,,,,
"pune, maharashtra, india",,,,,
"karlsruhe, germany",,,,,
"al khobar, saudiarabia",,,,,
"new delhi, india",,,,,
,,,,,
,,,,,
"chennai, tamil nadu, india",,,,,
"singapore,singapore, singapore",,,,,
"thoothukudi, india",,,,,
"pohang-si, south korea",,,,,
"greater noida, india",,,,,
"noida, uttar pradesh, india",,,,,
"chennai, india",,,,,
"mumbai, india",,,,,
"gothenburg, sweden",,,,,
"bangalore,karnataka, india",,,,,
"london, united kingdom",,,,,
"milford, unitedstates",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"faridabad, haryana, india",,,,,
"mumbai, india",,,,,
"bangalore, india",,,,,
"mumbai, maharashtra, india",,,,,
"chennai, india",,,,,
"dubai, dubai, united arab emirates (uae)",,,,,
"london, united kingdom",,,,,
"united states, india",,,,,
"new delhi, india",,,,,
"new delhi, india",,,,,
"gurgaon,haryana, india",,,,,
"noida, india",,,,,
"chennai, tamil nadu, india",,,,,
"mumbai, maharashtra, india",,,,,
"secunderabad, india",,,,,
"morbi, gujarat, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"noida, india",,,,,
"champa, chhattisgarh, india",,,,,
"sevilla, andalusia, spain",,,,,
"ahmedabad, india",,,,,
"mumbai, india",,,,,
"mumbai, maharashtra, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"west bengal, india",,,,,
"kolkata, india",,,,,
"delhi/ncr, new delhi, india",,,,,
"delhi, india",,,,,
"ahmedabad, india",,,,,
"chennai, tamil nadu, india",,,,,
"gurgaon, india",,,,,
"luton, unitedkingdom",,,,,
"hyderabad, india",,,,,
"jalna,maharashtra, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"delhi/ncr, delhi, india",,,,,
"vadodara/baroda, gujarat, india",,,,,
"san jose, united states",,,,,
"kharagpur, india",,,,,
"chennai, tamil nadu, india",,,,,
"mumbai, maharashtra, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"chennai, india",,,,,
"bengaluru, india",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"mohali, india",,,,,
"indore, india",,,,,
"vadodara, india",,,,,
"chennai, india",,,,,
"chennai, tamil nadu, india",,,,,
"coimbatore, tamil nadu, india",,,,,
"chennai, tamil nadu, india",,,,,
"morbi, gujarat, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"noida, india",,,,,
"sevilla, andalusia, spain",,,,,
"champa, chhattisgarh, india",,,,,
"mumbai, india",,,,,
"kolkata, india",,,,,
"nashik, india",,,,,
"dallas, texas, united states",,,,,
"new delhi, india",,,,,
"chennai, india",,,,,
"delhi/ncr, new delhi, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"ahmedabad, india",,,,,
"vadodara, india",,,,,
"chennai,tamil nadu, india",,,,,
"secunderabad, india",,,,,
"milpitas, california, united states",,,,,
"bangalore/bengaluru, karnataka, india",,,,,
"tysons,, virginia, united states",,,,,
"gurgaon,haryana, india",,,,,
"gurgaon, india",,,,,
"bukit merah,, singapore",,,,,
"hyderabad,telangana, india",,,,,
"new delhi, india",,,,,
"delhi/ncr, delhi, india",,,,,
"davidson, north carolina, united states (usa)",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"singapore, singapore",,,,,
,,,,,
,,,,,
,,,,,
"singapore, singapore",,,,,
"gurugram, india",,,,,
"chennai, tamil nadu, india",,,,,
"ahmedabad, gujarat, india",,,,,
"atlanta,georgia, united states",,,,,
"delhi/ncr, delhi, india",,,,,
"hyderabad/secunderabad, telangana, india",,,,,
"bhubaneswar, odisha, india",,,,,
"new delhi, india",,,,,
"ahmedabad, gujarat, india",,,,,
"noida, uttar pradesh, india",,,,,
"mumbai, india",,,,,
"chandigarh, india",,,,,
"tirupur, india",,,,,
"mumbai, maharashtra, india",,,,,
"chennai, india",,,,,
"columbia, maryland, us",,,,,
"ahmedabad, gujarat, india",,,,,
"mumbai, maharashtra, india",,,,,
"delhi,nct, india",,,,,
"pune, maharashtra, india",,,,,
"ludhiana, india",,,,,
"pune, india",,,,,
"gurgaon, india",,,,,
