,name,annual_revenue_usd,annual_net_income_usd,market_capitalization_2022,employees_number,ceo,headquarters_country,wikipedia_page_url,twitter_page_url,facebook_page_url
3141,howard hughes corporation,1427000000.0,56000000.0,5589000000.0,600.0,,usa,https://en.wikipedia.org/wiki/howard_hughes_corporation,,
3142,medicover ab (publ),130000000.0,10000000.0,5588000000.0,,,sweden,,,
3143,ternium argentina,2850000000.0,1174000000.0,5586000000.0,20173.0,,argentina,https://en.wikipedia.org/wiki/ternium,,
3144,integra lifesciences holdings corporation,1542000000.0,169000000.0,5578000000.0,3800.0,,usa,,https://twitter.com/integra_life,
3145,obayashi corporation,14031000000.0,286000000.0,5578000000.0,8829.0,,japan,,,
3146,aurobindo pharma,2925000000.0,331000000.0,5575000000.0,23000.0,,india,https://en.wikipedia.org/wiki/aurobindo_pharma,,
3147,hebei yangyuan zhihui beverage,1005000000.0,307000000.0,5582000000.0,,,china,,,
3148,icade,1831000000.0,441000000.0,5569000000.0,,,france,https://en.wikipedia.org/wiki/icade,,
3149,ardagh metal packaging s.a.,4055000000.0,-210000000.0,5566000000.0,16400.0,,luxembourg,,,
3150,tmx group,820000000.0,268000000.0,5570000000.0,1383.0,,canada,https://en.wikipedia.org/wiki/tmx_group,,
3151,psp swiss property ag,862000000.0,637000000.0,5568000000.0,,,switzerland,,,
3152,rayonier,1109000000.0,152000000.0,5566000000.0,406.0,,usa,,,
3153,lupin,2027000000.0,-191000000.0,5563000000.0,18302.0,,india,https://en.wikipedia.org/wiki/lupin_limited,https://twitter.com/lupinglobal,
3154,kuala lumpur kepong berhad,4702000000.0,533000000.0,5556000000.0,,,malaysia,https://en.wikipedia.org/wiki/kuala_lumpur_kepong_berhad,,
3155,jindal steel & power,6394000000.0,720000000.0,5556000000.0,6153.0,,india,https://en.wikipedia.org/wiki/jindal_steel_and_power,,
3156,navinfo,445000000.0,18000000.0,5559000000.0,,,china,,,
3157,"theralink technologies, inc.",1000000.0,-7000000.0,5555000000.0,,,usa,,,
3158,kansai paint,3059000000.0,194000000.0,5552000000.0,16459.0,,japan,,,
3159,fuchs petrolub se,2870000000.0,253000000.0,5545000000.0,5600.0,,germany,https://en.wikipedia.org/wiki/fuchs_petrolub,,
3160,"luminar technologies, inc.",31000000.0,-237000000.0,5545000000.0,400.0,,usa,,,
3161,avic capital,2995000000.0,702000000.0,5549000000.0,4885.0,,china,,,
3162,"advanced energy solution holding co., ltd.",1455000000.0,134000000.0,5535000000.0,10000.0,,taiwan,,,
3163,hochtief,23579000000.0,228000000.0,5534000000.0,46644.0,,germany,https://en.wikipedia.org/wiki/hochtief,https://twitter.com/hochtief_ag,
3164,asia cement corporation,3074000000.0,517000000.0,5526000000.0,,,taiwan,https://en.wikipedia.org/wiki/asia_cement_corporation,,
3165,qingdao port international,2527000000.0,622000000.0,5525000000.0,8981.0,,china,,,
3166,bawag group ag,1338000000.0,463000000.0,5528000000.0,4353.0,,austria,https://en.wikipedia.org/wiki/bawag,,
3167,shin kong financial holding,14402000000.0,777000000.0,5532000000.0,17255.0,,taiwan,,,
3168,quebecor,3611000000.0,458000000.0,5515000000.0,10454.0,,canada,https://en.wikipedia.org/wiki/quebecor,https://twitter.com/quebecor,
3169,amn healthcare services,3984000000.0,327000000.0,5516000000.0,3800.0,,usa,,,
3170,visera technologies company ltd.,298000000.0,72000000.0,5521000000.0,,,taiwan,,,
3171,pt barito pacific tbk,3155000000.0,109000000.0,5512000000.0,3400.0,,indonesia,,,
3172,benefit one,280000000.0,65000000.0,5509000000.0,,,japan,,,
3173,home product center public company,1835000000.0,162000000.0,5507000000.0,,,thailand,,,
3174,parade technologies,686000000.0,180000000.0,5505000000.0,,,cayman islands,,,
3175,zotye automobile co. ltd,120000000.0,-103000000.0,5513000000.0,,,china,,,
3176,joinn laboratories (china),238000000.0,87000000.0,5498000000.0,,,china,,,
3177,kumho petrochemical,6887000000.0,1600000000.0,5497000000.0,1350.0,,south korea,,,
3178,spectris,1714000000.0,459000000.0,5499000000.0,8450.0,,uk,https://en.wikipedia.org/wiki/spectris,,
3179,red star macalline group corporation,2435000000.0,321000000.0,5502000000.0,27113.0,,china,,,
3180,synlab ag,4152000000.0,688000000.0,5504000000.0,,,germany,https://en.wikipedia.org/wiki/synlab_group,,
3181,mitsui chemicals,11768000000.0,803000000.0,5494000000.0,17979.0,,japan,,,
3182,aak ab (publ.),3758000000.0,152000000.0,5494000000.0,3978.0,,sweden,,,
3183,haohua chemical science & technology,1165000000.0,140000000.0,5490000000.0,,,china,,,
3184,ncr corporation,7156000000.0,97000000.0,5482000000.0,34000.0,,usa,,,
3185,jiangsu yuyue medical equipment & supply,1003000000.0,216000000.0,5476000000.0,5525.0,,china,,,
3186,gelsenwasser ag,6298000000.0,114000000.0,5467000000.0,1595.0,,germany,https://en.wikipedia.org/wiki/gelsenwasser,,
3187,tianfeng securities,769000000.0,92000000.0,5472000000.0,3208.0,,china,,,
3188,hollyfrontier corporation,18389000000.0,558000000.0,5468000000.0,3522.0,,usa,https://en.wikipedia.org/wiki/hollyfrontier,,
3189,china minmetals rare earth,433000000.0,28000000.0,5460000000.0,,,china,,,
3190,zhuzhou hongda electronics,291000000.0,119000000.0,5457000000.0,1579.0,,china,,,
3191,china evergrande new energy vehicle group,2253000000.0,-1076000000.0,5450000000.0,123276.0,,china,,,
3192,perrigo company,4138000000.0,-68000000.0,5447000000.0,11500.0,,ireland,https://en.wikipedia.org/wiki/perrigo,https://twitter.com/perrigocompany,https://www.facebook.com/perrigocompanyplc/
3193,win semiconductors,898000000.0,187000000.0,5448000000.0,,,taiwan,,,
3194,curtiss-wright corporation,2505000000.0,267000000.0,5448000000.0,7800.0,,usa,https://en.wikipedia.org/wiki/curtiss-wright,,
3195,universal forest products,8636000000.0,535000000.0,5449000000.0,14000.0,,usa,,,
3196,manpowergroup,20724000000.0,382000000.0,5439000000.0,28000.0,,usa,https://en.wikipedia.org/wiki/manpowergroup,,
3197,iberiabank corporation,,,,3441.0,,usa,,,
3198,china meidong auto holdings,3700000000.0,183000000.0,5427000000.0,,,china,,,
3199,diploma plc,1044000000.0,92000000.0,5433000000.0,,,uk,,,
3200,nokian renkaat oyj,1891000000.0,227000000.0,5432000000.0,,,finland,https://en.wikipedia.org/wiki/nokian_tyres,,
3201,johnson matthey,18875000000.0,-119000000.0,5417000000.0,15352.0,,uk,https://en.wikipedia.org/wiki/johnson_matthey,,
3202,hoshizaki corporation,2172000000.0,172000000.0,5422000000.0,12982.0,,japan,,,
3203,microstrategy,510000000.0,-535000000.0,5417000000.0,2121.0,,usa,,,
3204,huaneng renewables corporation,,,,,,china,https://en.wikipedia.org/wiki/huaneng_renewables,,
3205,shanxi lu'an environmental energy development,6570000000.0,976000000.0,5424000000.0,,,china,,,
3206,fielmann,1678000000.0,136000000.0,5416000000.0,22245.0,,germany,https://en.wikipedia.org/wiki/fielmann_ag,,
3207,bellway,3677000000.0,459000000.0,5418000000.0,2889.0,,uk,https://en.wikipedia.org/wiki/bellway,,
3208,bank of baroda,6049000000.0,981000000.0,5424000000.0,84283.0,,india,https://en.wikipedia.org/wiki/bank_of_baroda,https://twitter.com/bankofbaroda,
3209,asahi intecc,449000000.0,73000000.0,5414000000.0,8761.0,,japan,,,
3210,yunnan yuntianhua,9928000000.0,571000000.0,5410000000.0,,,china,,,
3211,stericycle,2646000000.0,-27000000.0,5413000000.0,15000.0,,usa,https://en.wikipedia.org/wiki/stericycle,https://twitter.com/stericycle_inc,https://www.facebook.com/stericycle/
3212,engie brasil energia,2670000000.0,333000000.0,5406000000.0,1600.0,,brazil,,,
3213,national instruments corporation,1469000000.0,89000000.0,5411000000.0,7100.0,,usa,https://en.wikipedia.org/wiki/national_instruments,,
3214,lotus bakeries nv,827000000.0,99000000.0,5406000000.0,2155.0,,belgium,https://en.wikipedia.org/wiki/lotus_bakeries,,
3215,exponent,466000000.0,101000000.0,5397000000.0,1201.0,,usa,,,
3216,iridium communications,614000000.0,-9000000.0,5396000000.0,543.0,,usa,,,
3217,beijing united information technology,5843000000.0,91000000.0,5398000000.0,,,china,,,
3218,lightspeed pos,421000000.0,-221000000.0,5392000000.0,1165.0,,canada,,,
3219,natura & co,8550000000.0,223000000.0,5393000000.0,18000.0,,brazil,https://en.wikipedia.org/wiki/natura__perc26_co,,
3220,"dongguan yiheda automation co., ltd.",262000000.0,58000000.0,5391000000.0,,,china,,,
3221,"jiangsu goodwe power supply technology co., ltd",390000000.0,41000000.0,5393000000.0,,,china,,,
3222,sfs group ag,2030000000.0,260000000.0,5387000000.0,10692.0,,switzerland,,,
3223,sieyuan electric,1365000000.0,188000000.0,5393000000.0,,,china,,,
3224,pt adaro energy tbk,3992000000.0,933000000.0,5387000000.0,23000.0,,indonesia,,,
3225,shanxi xishan coal and electricity power,5298000000.0,307000000.0,5379000000.0,,,china,,,
3226,pb fintech limited,178000000.0,-104000000.0,5386000000.0,,,india,,,
3227,cyfrowy polsat,2613000000.0,926000000.0,5384000000.0,,,poland,,,
3228,blueprint medicines corporation,180000000.0,-644000000.0,5381000000.0,383.0,,usa,,https://twitter.com/blueprintmeds,
3229,impulsora del desarrollo y el empleo en america latina,13963000000.0,-576000000.0,5380000000.0,,,mexico,,,
3230,cabot microelectronics corporation,1199000000.0,-68000000.0,5383000000.0,4500.0,,usa,,,
3231,zhongan online p & c insurance,3444000000.0,183000000.0,5370000000.0,3033.0,,china,,,
3232,colgate-palmolive (india),638000000.0,135000000.0,5371000000.0,2324.0,,india,,,
3233,"mister car wash, inc.",758000000.0,-22000000.0,5367000000.0,3500.0,,usa,,,
3234,wuhan zhongshang commercial group,61000000.0,7000000.0,5371000000.0,,,china,,,
3235,frasers group,4270000000.0,-98000000.0,5365000000.0,19962.0,,uk,https://en.wikipedia.org/wiki/frasers_group,,
3236,beijing enlight media,170000000.0,-45000000.0,5374000000.0,,,china,,,
3237,southwest securities,16000000.0,-8000000.0,5363000000.0,2357.0,,china,,,
3238,"luoyang xinqianglian slewing bearing co., ltd.",364000000.0,76000000.0,5356000000.0,,,china,,,
3239,ito en,2924000000.0,94000000.0,5347000000.0,5398.0,,japan,,,
3240,sichuan new energy power company limited,705000000.0,50000000.0,5345000000.0,,,china,,,
3241,evercore,3302000000.0,740000000.0,5347000000.0,1950.0,,usa,https://en.wikipedia.org/wiki/evercore,,
3242,juneyao airlines co. ltd,1712000000.0,-72000000.0,5348000000.0,,,china,,,
3243,avichina industry & technology company,9464000000.0,372000000.0,5338000000.0,,,china,,,
3244,pepkor holdings,5289000000.0,333000000.0,5341000000.0,,,south africa,,,
3245,sinotrans,19517000000.0,583000000.0,5335000000.0,36441.0,,china,,,
3246,dashenlin pharmaceutical group,2439000000.0,115000000.0,5339000000.0,,,china,,,
3247,mazda motor corporation,22769000000.0,595000000.0,5342000000.0,50479.0,,japan,https://en.wikipedia.org/wiki/mazda,https://twitter.com/mazda_ph,https://www.facebook.com/mazdaphilippines
3248,alk-abello a/s,580000000.0,32000000.0,5340000000.0,,,denmark,,,
3249,sl green realty,843000000.0,457000000.0,5335000000.0,1058.0,,usa,https://en.wikipedia.org/wiki/sl_green_realty,https://twitter.com/slgreen,https://www.facebook.com/slgreenrealtycorp/
3250,"china bohai bank co., ltd.",4015000000.0,1129000000.0,5328000000.0,,,china,https://en.wikipedia.org/wiki/china_bohai_bank,,
3251,"farasis energy (gan zhou) co., ltd.",509000000.0,-139000000.0,5330000000.0,3670.0,,china,,,
3252,sinolink securities,1039000000.0,337000000.0,5327000000.0,,,china,,,
3253,argo investments,229000000.0,216000000.0,5325000000.0,,,australia,,,
3254,keio corporation,2188000000.0,41000000.0,5316000000.0,2547.0,,japan,,,
3255,altair engineering,532000000.0,-8000000.0,5324000000.0,2800.0,,usa,,,
3256,chinalin securities,261000000.0,76000000.0,5322000000.0,1290.0,,china,,,
3257,wanda film holding,1818000000.0,15000000.0,5317000000.0,,,china,,,
3258,tenable holdings,541000000.0,-46000000.0,5315000000.0,1617.0,,usa,,,
3259,zai lab,144000000.0,-704000000.0,5310000000.0,1194.0,,china,,,
3260,kintetsu groupholdings,5046000000.0,312000000.0,5306000000.0,30491.0,,japan,https://en.wikipedia.org/wiki/kintetsu_group_holdings,,
3261,cit group,2306000000.0,-646000000.0,5306000000.0,4500.0,,usa,,,
3262,italgas,1427000000.0,399000000.0,5308000000.0,,,italy,https://en.wikipedia.org/wiki/italgas,,
3263,wendy's company,1896000000.0,200000000.0,5311000000.0,14000.0,,usa,https://en.wikipedia.org/wiki/the_wendy's_company,,
3264,livzon pharmaceutical group,1893000000.0,279000000.0,5311000000.0,8367.0,,china,,,
3265,zhongji innolight,1120000000.0,127000000.0,5307000000.0,,,china,,,
3266,ngk insulators,3725000000.0,517000000.0,5297000000.0,20115.0,,japan,,,
3267,mgic investment corporation,1185000000.0,634000000.0,5300000000.0,724.0,,usa,,,
3268,cloudera,869000000.0,-163000000.0,5300000000.0,2728.0,,usa,https://en.wikipedia.org/wiki/cloudera,,
3269,united bankshares,1006000000.0,366000000.0,5302000000.0,2966.0,,usa,,,
3270,umb financial corporation,1195000000.0,353000000.0,5297000000.0,3529.0,,usa,,,
3271,autobio diagnostics,548000000.0,142000000.0,5297000000.0,,,china,,,
3272,universal scientific industrial (shanghai),8680000000.0,291000000.0,5292000000.0,,,china,,,
3273,evn ag,2641000000.0,358000000.0,5294000000.0,7428.0,,austria,,,
3274,winning health technology group,400000000.0,55000000.0,5287000000.0,,,china,,,
3275,meritz financial group,11163000000.0,642000000.0,5293000000.0,20.0,,south korea,,,
3276,de'longhi,3219000000.0,311000000.0,5283000000.0,8607.0,,italy,,,
3277,terminix global holdings,2045000000.0,125000000.0,5279000000.0,11700.0,,usa,https://en.wikipedia.org/wiki/servicemaster,,
3278,dksh holding,11883000000.0,239000000.0,5280000000.0,,,switzerland,https://en.wikipedia.org/wiki/dksh,,
3279,driven brands holdings inc.,1467000000.0,9000000.0,5279000000.0,4900.0,,usa,,,
3280,seaworld entertainment,1503000000.0,256000000.0,5280000000.0,14200.0,,usa,,,
3281,man wah holdings,2740000000.0,286000000.0,5270000000.0,20503.0,,hong kong,,,
3282,china merchants energy shipping,3832000000.0,566000000.0,5273000000.0,3562.0,,china,,,
3283,essent group,1028000000.0,681000000.0,5270000000.0,381.0,,bermuda,,,
3284,lite-on technology corporation,5652000000.0,476000000.0,5266000000.0,,,taiwan,,,
3285,anhui jianghuai automobile group,6327000000.0,31000000.0,5267000000.0,,,china,,,
3286,mimecast,501000000.0,29000000.0,5271000000.0,1800.0,,uk,,,
3287,air lease corporation,2088000000.0,436000000.0,5265000000.0,129.0,,usa,https://en.wikipedia.org/wiki/air_lease_corporation,,
3288,avanza bank holding ab (publ),408000000.0,217000000.0,5258000000.0,450.0,,sweden,,,
3289,kingfa sci. & tech,5850000000.0,242000000.0,5263000000.0,10258.0,,china,,,
3290,direct line insurance group,4285000000.0,455000000.0,5255000000.0,10762.0,,uk,https://en.wikipedia.org/wiki/direct_line_group,,
3291,hangzhou great star industrial,1714000000.0,199000000.0,5264000000.0,6435.0,,china,,,
3292,cathay pacific airways,5811000000.0,-705000000.0,5257000000.0,33000.0,,hong kong,,,
3293,bluestar adisseo company,2020000000.0,231000000.0,5257000000.0,,,china,,,
3294,shanghai oriental pearl group,1320000000.0,271000000.0,5260000000.0,7232.0,,china,,,
3295,angelalign technology inc.,199000000.0,45000000.0,5253000000.0,,,china,,,
3296,wpx energy,,,,590.0,,usa,https://en.wikipedia.org/wiki/wpx_energy,,
3297,wendel,8276000000.0,1154000000.0,5249000000.0,,,france,https://en.wikipedia.org/wiki/wendel_(group),,
3298,halozyme therapeutics,443000000.0,402000000.0,5250000000.0,145.0,,usa,,,
3299,pt sinar mas multiartha tbk,2456000000.0,64000000.0,5249000000.0,7354.0,,indonesia,,,
3300,vonage holdings,1409000000.0,-24000000.0,5246000000.0,2082.0,,usa,,,
3301,independence realty trust,249000000.0,44000000.0,5247000000.0,485.0,,usa,,,
3302,abbott india,615000000.0,100000000.0,5238000000.0,3551.0,,india,https://en.wikipedia.org/wiki/abbott_laboratories,,
3303,blackstone mortgage trust,854000000.0,419000000.0,5241000000.0,3165.0,,usa,,,
3304,shenergy company,3973000000.0,258000000.0,5242000000.0,,,china,,,
3305,convatec group,2038000000.0,117000000.0,5225000000.0,9400.0,,uk,https://en.wikipedia.org/wiki/convatec,,
3306,accton technology corporation,2044000000.0,161000000.0,5228000000.0,5223.0,,taiwan,,,
3307,granite real estate investment trust,312000000.0,1038000000.0,5227000000.0,50.0,,canada,https://en.wikipedia.org/wiki/granite_real_estate,,
3308,ememory technology,81000000.0,38000000.0,5233000000.0,,,taiwan,,,
3309,china biologic products holdings,,,,,,china,,,
3310,aecc aero-engine control,652000000.0,76000000.0,5228000000.0,7369.0,,china,,,
3311,greek organization of football prognostics,1245000000.0,226000000.0,5217000000.0,1503.0,,greece,,,
3312,guoyuan securities company,1088000000.0,300000000.0,5224000000.0,3529.0,,china,,,
3313,armstrong world industries,1106000000.0,183000000.0,5222000000.0,2800.0,,usa,,,
3314,zhejiang huahai pharmaceutical,967000000.0,71000000.0,5215000000.0,6655.0,,china,,,
3315,rumo,1584000000.0,32000000.0,5214000000.0,,,brazil,https://en.wikipedia.org/wiki/rumo_s.a.,,
3316,endeavour mining corporation,2778000000.0,215000000.0,5206000000.0,400.0,,canada,https://en.wikipedia.org/wiki/endeavour_mining,https://twitter.com/endeavourmining,
3317,blue moon group holdings limited,968000000.0,129000000.0,5205000000.0,,,china,,,
3318,clean harbors,3805000000.0,203000000.0,5213000000.0,18300.0,,usa,,,
3319,china taiping insurance holdings company,39444000000.0,958000000.0,5206000000.0,65957.0,,hong kong,https://en.wikipedia.org/wiki/china_taiping,,
3320,ashok leyland,3268000000.0,-45000000.0,5206000000.0,11463.0,,india,https://en.wikipedia.org/wiki/ashok_leyland,https://twitter.com/alindiaofficial,
3321,"cricut, inc.",1306000000.0,140000000.0,5198000000.0,830.0,,usa,,,
3322,container corporation of india,958000000.0,132000000.0,5201000000.0,1426.0,,india,https://en.wikipedia.org/wiki/container_corporation_of_india,,
3323,mapletree industrial trust,397000000.0,309000000.0,5201000000.0,,,singapore,,,
3324,shandong intco medical products,255000000.0,33000000.0,5203000000.0,6503.0,,china,,,
3325,fomento de construcciones y contratas,6657000000.0,580000000.0,5196000000.0,,,spain,,,
3326,canva,,,,,,australia,https://en.wikipedia.org/wiki/canva,,
3327,zoox,,,,1274.0,,usa,https://en.wikipedia.org/wiki/zoox_(company),,
3328,kingboard holdings,7235000000.0,1374000000.0,5189000000.0,41900.0,,hong kong,,,
3329,crispr therapeutics ag,914000000.0,377000000.0,5178000000.0,410.0,,switzerland,,https://twitter.com/crisprtx,
3330,zhejiang juhua,2617000000.0,161000000.0,5182000000.0,6778.0,,china,,,
3331,cpfl energia,8347000000.0,1011000000.0,5180000000.0,13008.0,,brazil,https://en.wikipedia.org/wiki/cpfl_energia,https://twitter.com/cpflenergia,https://www.facebook.com/cpflenergia/
3332,fabege ab (publ),313000000.0,572000000.0,5181000000.0,,,sweden,,,
3333,bitmain,,,,,,china,https://en.wikipedia.org/wiki/bitmain,,
3334,dada group,1009000000.0,-363000000.0,,,,china,,,
3335,ginkgo bioworks,313000000.0,-1888000000.0,,641.0,,usa,https://en.wikipedia.org/wiki/ginkgo_bioworks,,
3336,gusto,,,,1431.0,,usa,https://en.wikipedia.org/wiki/gusto_(company),,
3337,houzz,,,,1763.0,,usa,https://en.wikipedia.org/wiki/houzz,,
3338,impossible foods,,,,561.0,,usa,https://en.wikipedia.org/wiki/impossible_foods,,
3339,katerra,,,,1770.0,,usa,https://en.wikipedia.org/wiki/katerra,,
3340,kraken,,,,275.0,,usa,https://en.wikipedia.org/wiki/kraken_(company),,
3341,niantic,,,,1089.0,,usa,https://en.wikipedia.org/wiki/niantic_(company),,
3342,opendoor labs,8021000000.0,-662000000.0,,835.0,,usa,https://en.wikipedia.org/wiki/opendoor,,
3343,royole,,,,,,china,https://en.wikipedia.org/wiki/royole,,
3344,sofi,984000000.0,-524000000.0,,2800.0,,usa,https://en.wikipedia.org/wiki/sofi,,
3345,tripactions,,,,700.0,,usa,https://en.wikipedia.org/wiki/tripactions,,
3346,ubtech,,,,1000.0,,china,https://en.wikipedia.org/wiki/ubtech_robotics,,
3347,united imaging,,,,,,china,,,
3348,vipkid,,,,,,china,https://en.wikipedia.org/wiki/vipkid,,
