02-GioPonSpiz-country,07-silvestri-country,08-slytherin-country,00-avengers-headquarters_country,03-gren-headquarters_country,04-iGMM-headquarters_country
canada,,japan,canada,canada,japan
china,,india,indonesia,china,indonesia
uk,,japan,japan,uk,india
china,,usa,germany,china,china
usa,,brazil,china,usa,china
usa,,china,usa,usa,china
china,,indonesia,usa,china,usa
germany,,china,china,germany,usa
japan,,china,uk,japan,japan
indonesia,,usa,china,indonesia,brazil
india,,india,india,india,india
china,,uk,china,china,china
china,,china,india,china,india
china,,czech republic,brazil,china,czech republic
usa,,china,japan,usa,china
usa,,china,usa,usa,usa
japan,,usa,usa,japan,china
brazil,,faroe islands,china,brazil,uk
india,,japan,china,india,faroe islands
china,,india,china,china,japan
india,,canada,india,india,germany
czech republic,,india,canada,czech republic,canada
china,,japan,germany,china,australia
usa,,australia,japan,usa,usa
china,,germany,faroe islands,china,india
uk,,usa,uk,uk,china
faroe islands,,usa,china,faroe islands,japan
japan,,india,usa,japan,india
germany,,usa,china,germany,usa
canada,,china,czech republic,canada,usa
australia,,china,australia,australia,china
usa,,china,australia,usa,australia
india,,usa,china,india,china
china,,usa,usa,china,japan
japan,,india,usa,japan,india
india,,israel,india,india,usa
usa,,japan,japan,usa,usa
usa,,usa,china,usa,israel
china,,china,india,china,usa
australia,,australia,usa,australia,china
china,,usa,china,china,usa
japan,,india,hong kong,japan,hong kong
india,,usa,usa,india,china
usa,,usa,china,usa,usa
usa,,chile,usa,usa,chile
israel,,taiwan,israel,israel,japan
usa,,china,usa,usa,taiwan
china,,hong kong,usa,china,india
usa,,japan,india,usa,usa
hong kong,,usa,japan,hong kong,usa
china,,japan,china,china,hong kong
usa,,japan,usa,usa,usa
chile,,usa,hong kong,chile,taiwan
japan,,usa,usa,japan,canada
taiwan,,usa,usa,taiwan,spain
india,,spain,india,india,usa
usa,,hong kong,taiwan,usa,china
usa,,china,japan,usa,japan
hong kong,,canada,chile,hong kong,japan
usa,,taiwan,usa,usa,usa
taiwan,,usa,taiwan,taiwan,canada
canada,,canada,usa,canada,usa
spain,,uk,canada,spain,usa
usa,,usa,usa,usa,usa
china,,south africa,japan,china,usa
japan,,hong kong,japan,japan,hong kong
japan,,usa,china,japan,south africa
usa,,usa,usa,usa,thailand
canada,,canada,spain,canada,uk
usa,,thailand,canada,usa,canada
usa,,austria,usa,usa,switzerland
usa,,japan,austria,usa,austria
usa,,china,switzerland,usa,finland
hong kong,,switzerland,canada,hong kong,sweden
south africa,,usa,uk,south africa,china
thailand,,finland,thailand,thailand,china
uk,,usa,south africa,uk,japan
canada,,china,hong kong,canada,usa
switzerland,,sweden,usa,switzerland,usa
austria,,japan,usa,austria,japan
finland,,china,finland,finland,usa
sweden,,uk,usa,sweden,usa
china,,usa,usa,china,usa
china,,taiwan,japan,china,usa
japan,,usa,usa,japan,south korea
usa,,usa,japan,usa,taiwan
usa,,india,usa,usa,china
japan,,usa,china,japan,usa
usa,,usa,china,usa,uk
usa,,south korea,sweden,usa,india
usa,,usa,usa,usa,usa
usa,,usa,uk,usa,uk
south korea,,japan,usa,south korea,japan
taiwan,,japan,india,taiwan,finland
china,,china,uk,china,singapore
usa,,singapore,usa,usa,usa
uk,,finland,china,uk,usa
india,,japan,taiwan,india,china
usa,,uk,south korea,usa,japan
uk,,usa,usa,uk,japan
japan,,germany,japan,japan,usa
finland,,thailand,china,finland,china
singapore,,usa,usa,singapore,china
usa,,uk,japan,usa,india
usa,,india,japan,usa,uk
china,,japan,china,china,thailand
japan,,thailand,usa,japan,japan
japan,,china,usa,japan,china
usa,,china,singapore,usa,germany
china,,china,finland,china,thailand
china,,sweden,china,china,usa
india,,cambodia,usa,india,usa
uk,,usa,usa,uk,cambodia
thailand,,usa,thailand,thailand,sweden
japan,,china,germany,japan,china
china,,usa,china,china,china
germany,,saudi arabia,japan,germany,saudi arabia
thailand,,belgium,thailand,thailand,belgium
usa,,china,uk,usa,china
usa,,china,india,usa,usa
cambodia,,china,cambodia,cambodia,usa
sweden,,usa,usa,sweden,usa
china,,finland,usa,china,usa
china,,india,usa,china,japan
saudi arabia,,usa,china,saudi arabia,china
belgium,,usa,belgium,belgium,india
china,,china,saudi arabia,china,finland
usa,,japan,china,usa,japan
usa,,japan,china,usa,china
usa,,uk,sweden,usa,uk
usa,,usa,usa,usa,usa
japan,,china,china,japan,china
china,,china,usa,china,usa
india,,usa,uk,india,israel
finland,,usa,china,finland,china
japan,,usa,japan,japan,china
china,,china,finland,china,usa
uk,,china,india,uk,china
usa,,china,china,usa,china
china,,israel,japan,china,usa
usa,,usa,usa,usa,malta
israel,,china,usa,israel,usa
china,,hong kong,malta,china,china
china,,usa,usa,china,china
usa,,uk,china,usa,australia
china,,usa,china,china,usa
china,,france,usa,china,france
usa,,malta,china,usa,usa
malta,,china,china,malta,hong kong
usa,,australia,israel,usa,uk
china,,south korea,china,china,usa
china,,usa,china,china,china
australia,,china,usa,australia,china
usa,,saudi arabia,uk,usa,china
france,,usa,hong kong,france,usa
usa,,china,usa,usa,saudi arabia
hong kong,,usa,france,hong kong,south korea
uk,,bermuda,usa,uk,usa
usa,,usa,australia,usa,bermuda
china,,china,china,china,usa
china,,usa,china,china,usa
china,,usa,china,china,china
usa,,china,usa,usa,usa
saudi arabia,,usa,usa,saudi arabia,china
south korea,,france,bermuda,south korea,japan
usa,,japan,usa,usa,france
bermuda,,china,south korea,bermuda,china
usa,,japan,saudi arabia,usa,japan
usa,,china,usa,usa,usa
china,,china,china,china,china
usa,,japan,usa,usa,usa
china,,usa,indonesia,china,indonesia
japan,,usa,usa,japan,usa
france,,indonesia,china,france,usa
china,,russia,usa,china,turkey
japan,,turkey,china,japan,russia
usa,,usa,japan,usa,japan
china,,china,france,china,switzerland
usa,,switzerland,japan,usa,china
indonesia,,usa,china,indonesia,usa
usa,,usa,usa,usa,china
usa,,china,canada,usa,canada
turkey,,panama,china,turkey,usa
russia,,luxembourg,usa,russia,denmark
japan,,denmark,china,japan,japan
switzerland,,china,switzerland,switzerland,luxembourg
china,,japan,japan,china,china
usa,,usa,russia,usa,china
china,,canada,turkey,china,panama
canada,,china,usa,canada,usa
usa,,china,usa,usa,china
denmark,,china,china,denmark,china
japan,,china,china,japan,china
luxembourg,,taiwan,usa,luxembourg south africa,china
china,,china,panama,china,china
china,,china,china,china,china
panama,,japan,china,panama,japan
usa,,china,"['luxembourg', 'south africa']",usa,china
china,,china,japan,china,taiwan
china,,china,denmark,china,china
china,,china,china,china,israel
china,,japan,switzerland,china,switzerland
china,,china,israel,china,germany
china,,hong kong,china,china,canada
japan,,switzerland,taiwan,japan,hong kong
china,,germany,china,china,japan
taiwan,,usa,japan,taiwan,china
china,,canada,china,china,usa
israel,,israel,china,israel,china
switzerland,,hong kong,china,switzerland,hong kong
germany,,usa,germany,germany,germany
canada,,china,chile,canada,chile
hong kong,,usa,germany,hong kong,india
japan,,india,hong kong,japan,usa
china,,china,china,china,china
usa,,usa,usa,usa,usa
china,,chile,china,china,china
hong kong,,germany,japan,hong kong,usa
germany,,usa,hong kong,germany,china
chile,,china,canada,chile,usa
india,,spain,india,india,usa
usa,,mexico,sweden,usa,sweden
china,,china,usa,china,india
usa,,china,usa,usa,china
china,,china,china,china,japan
usa,,india,usa,usa,china
china,,sweden,china,china,china
usa,,japan,usa,usa,taiwan
usa,,taiwan,china,usa,mexico
sweden,,usa,usa,sweden,spain
india,,china,india,india,china
china,,japan,israel,china,israel
japan,,japan,china,japan,poland
china,,poland,spain,china,south korea
china,,south korea,mexico,china,usa
taiwan,,usa,taiwan,taiwan,canada
mexico,,israel,china,mexico,japan
spain,,usa,china,spain,japan
china,,canada,japan,china,china
israel,,china,china,israel,usa
poland,,usa,poland,poland,usa
south korea,,taiwan,switzerland,south korea,switzerland
usa,,usa,usa,usa,china
canada,,china,usa,canada,canada
japan,,taiwan,china,japan,usa
japan,,switzerland,japan,japan,china
china,,china,japan,china,usa
usa,,canada,canada,usa,taiwan
usa,,usa,usa,usa,taiwan
switzerland,,china,south korea,switzerland,china
china,,china,china,china,usa
canada,,usa,hong kong,canada,hong kong
usa,,canada,usa,usa,finland
china,,usa,china,china,china
usa,,china,taiwan,usa,canada
taiwan,,usa,"['taiwan', 'cayman islands']",taiwan cayman islands,usa
taiwan,,usa,usa,taiwan,china
china,,hong kong,china,china,usa
usa,,finland,usa,usa,china
hong kong,,china,canada,hong kong,usa
finland,,china,finland,finland,china
china,,germany,usa,china,usa
canada,,hong kong,china,canada,south africa
usa,,china,usa,usa,usa
china,,usa,china,china,australia
usa,,usa,usa,usa,usa
china,,usa,china,china,germany
usa,,australia,usa,usa,usa
china,,usa,canada,china,hong kong
usa,,south africa,china,usa,china
south africa,,china,south africa,south africa,canada
usa,,china,south korea,usa,south korea
australia,,canada,canada,australia,china
usa,,china,china,usa,china
germany,,japan,hong kong,germany,japan
usa,,usa,usa,usa,usa
hong kong,,south korea,germany,hong kong,china
china,,japan,usa,china,usa
canada,,china,australia,canada,japan
south korea,,usa,usa,south korea,china
china,,usa,china,china,usa
china,,thailand,france,china,france
japan,,china,usa,japan,china
usa,,qatar,china,usa,austria
china,,germany,japan,china,china
usa,,uk,usa,usa,germany
japan,,china,china,japan,china
china,,france,usa,china,uk
usa,,china,japan,usa,qatar
france,,austria,china,france,thailand
china,,japan,china,china,brazil
austria,,brazil,china,austria,china
china,,usa,brazil,china,china
germany,,china,thailand,germany,japan
china,,usa,qatar,china,usa
uk,,usa,"['uk', 'south africa']",uk south africa,usa
qatar,,indonesia,china,qatar,indonesia
thailand,,china,germany,thailand,usa
brazil,,china,china,brazil,china
china,,usa,austria,china,usa
china,,israel,china,china,china
japan,,germany,china,japan,china
usa,,china,china,usa,uk
usa,,china,usa,usa,china
indonesia,,china,china,indonesia,china
usa,,china,usa,usa,germany
china,,china,indonesia,china,china
usa,,uk,usa,usa,china
china,,usa,usa,china,israel
china,,china,japan,china,usa
uk,,france,uk,uk,france
china,,hong kong,sweden,china,sweden
china,,china,france,china,india
germany,,uk,usa,germany,japan
china,,japan,israel,china,belgium
china,,indonesia,china,china,switzerland
israel,,india,china,israel,indonesia
usa,,belgium,germany,usa,hong kong
france,,switzerland,china,france,china
sweden,,sweden,china,sweden,uk
india,,india,india,india,china
japan,,china,china,japan,china
belgium,,usa,china,belgium,mexico
switzerland,,usa,uk,switzerland,usa
indonesia,,china,china,indonesia,china
hong kong,,usa,hong kong,hong kong,china
china,,china,indonesia,china,usa
uk,,mexico,switzerland,uk,usa
china,,china,belgium,china,south korea
china,,south korea,japan,china,india
mexico,,china,mexico,mexico,usa
usa,,usa,usa,usa,usa
china,,usa,usa,china,china
china,,saudi arabia,india,china,usa
usa,,india,south korea,usa,usa
usa,,usa,usa,usa,india
south korea,,japan,usa,south korea,china
india,,usa,china,india,saudi arabia
usa,,usa,china,usa,japan
usa,,china,usa,usa,usa
china,,finland,china,china,malaysia
usa,,israel,turkey,usa,turkey
usa,,china,malaysia,usa,usa
india,,malaysia,usa,india,usa
china,,taiwan,japan,china,hong kong
saudi arabia,,hong kong,saudi arabia,saudi arabia,china
japan,,india,china,japan,israel
usa,,usa,india,usa,india
malaysia,,turkey,usa,malaysia,taiwan
turkey,,usa,usa,turkey,finland
usa,,brazil,usa,usa,usa
usa,,switzerland,usa,usa,usa
hong kong,,china,usa,hong kong,switzerland
china,,not found,finland,china,china
israel,,usa,taiwan,israel,
india,,usa,india,india,china
taiwan,,china,israel,taiwan,usa
finland,,china,china,finland,china
usa,,usa,hong kong,usa,brazil
usa,,indonesia,usa,usa,indonesia
switzerland,,germany,switzerland,switzerland,germany
china,,usa,china,china,china
consumer cyclical,,usa,germany,,canada
china,,usa,indonesia,china,usa
usa,,usa,brazil,usa,usa
china,,usa,china,china,usa
brazil,,china,usa,brazil,germany
indonesia,,canada,china,indonesia,usa
germany,,germany,,germany,usa
china,,usa,china,china,usa
canada,,usa,canada,canada,usa
usa,,canada,china,usa,china
usa,,usa,usa,usa,usa
usa,,china,usa,usa,usa
germany,,france,usa,germany,china
usa,,usa,usa,usa,usa
usa,,usa,germany,usa,uk
usa,,china,usa,usa,france
usa,,china,usa,usa,china
china,,uk,usa,china,canada
usa,,usa,usa,usa,usa
usa,,israel,usa,usa,usa
china,,china,usa,china,uk
usa,,china,canada,usa,canada
uk,,china,china,uk,usa
france,,canada,france,france,usa
china,,usa,uk,china,china
canada,,usa,usa,canada,china
usa,,uk,china,usa,china
usa,,usa,usa,usa,israel
uk,,canada,uk,uk,canada
canada,,india,china,canada,china
usa,,saudi arabia,canada,usa,india
usa,,usa,israel,usa,canada
china,,china,china,china,south africa
china,,china,china,china,usa
china,,france,china,china,usa
israel,,canada,usa,israel,saudi arabia
canada,,usa,usa,canada,china
china,,south africa,canada,china,france
india,,turkey,india,india,canada
canada,,india,south africa,canada,south africa
south africa,,japan,canada,south africa,japan
usa,,south africa,france,usa,netherlands
usa,,usa,china,usa,usa
saudi arabia,,canada,saudi arabia,saudi arabia,canada
china,,canada,usa,china,india
france,,sweden,usa,france,india
canada,,netherlands,south africa,canada,turkey
south africa,,india,canada,south africa,sweden
japan,,israel,japan,japan,usa
netherlands,,usa,usa,netherlands,usa
usa,,usa,usa,usa,usa
canada,,usa,sweden,canada,usa
india,,usa,turkey,india,germany
india,,china,india,india,usa
turkey,,usa,india,turkey,china
sweden,,usa,canada,sweden,israel
usa,,germany,usa,usa,china
usa,,china,netherlands,usa,usa
usa,,sweden,usa,usa,sweden
usa,,taiwan,usa,usa,usa
germany,,india,sweden,germany,india
usa,,taiwan,usa,usa,taiwan
china,,singapore,china,china,singapore
israel,,uk,israel,israel,taiwan
china,,japan,china,china,china
usa,,china,usa,usa,china
sweden,,china,germany,sweden,japan
usa,,usa,usa,usa,uk
india,,usa,india,india,india
taiwan,,china,south africa,taiwan,south africa
singapore,,china,india,singapore,turkey
taiwan,,usa,uk,taiwan,usa
china,,usa,japan,china,usa
china,,usa,china,china,usa
japan,,usa,china,japan,china
uk,,south africa,taiwan,uk,china
india,,india,singapore,india,usa
south africa,,turkey,taiwan,south africa,usa
turkey,,china,turkey,turkey,hong kong
usa,,china,south korea,usa,south korea
usa,,usa,hong kong,usa,south korea
usa,,finland,usa,usa,china
china,,china,usa,china,south africa
china,,canada,china,china,finland
usa,,hong kong,china,usa,usa
usa,,south africa,usa,usa,canada
hong kong,,south korea,usa,hong kong,china
south korea,,south korea,usa,south korea,china
south korea,,china,south korea,south korea,china
china,,new zealand,china,china,china
south africa,,china,china,south africa,china
finland,,china,china,finland,china
usa,,switzerland,china,usa,taiwan
canada,,china,canada,canada,china
china,,usa,usa,china,usa
china,,taiwan,finland,china,switzerland
china,,china,south africa,china,china
china,,china,china,china,new zealand
china,,germany,china,china,germany
china,,usa,mexico,china,mexico
taiwan,,france,germany,taiwan,indonesia
china,,japan,new zealand,china,brazil
usa,,japan,china,usa,japan
switzerland,,mexico,switzerland,switzerland,usa
china,,usa,usa,china,usa
new zealand,,usa,china,new zealand,japan
germany,,indonesia,taiwan,germany,france
mexico,,brazil,china,mexico,usa
indonesia,,indonesia,indonesia,indonesia,sweden
brazil,,sweden,france,brazil,france
japan,,india,sweden,japan,india
usa,,uk,usa,usa,taiwan
usa,,china,france,usa,india
japan,,india,japan,japan,indonesia
france,,taiwan,usa,france,china
usa,,france,usa,usa,switzerland
sweden,,china,japan,sweden,china
france,,switzerland,brazil,france,uk
india,,china,india,india,switzerland
taiwan,,taiwan,usa,taiwan,usa
india,,switzerland,switzerland,india,usa
indonesia,,china,"['uk', 'south africa']",indonesia,
china,,usa,china,china,indonesia
switzerland,,usa,switzerland,switzerland,taiwan
china,,china,china,china,china
uk,,uk,indonesia,uk south africa,china
switzerland,,not found,india,switzerland,uk
