,country,market_value_apr_2022,name,revenue_2022
0,united states,$741.48 B,berkshire hathaway,$276.09 B
1,china,$214.43 B,icbc,$208.13 B
2,saudi arabia,"$2,292.08 B",saudi arabian oil company (saudi aramco),$400.38 B
3,united states,$374.45 B,jpmorgan chase,$124.54 B
4,china,$181.32 B,china construction bank,$202.07 B
5,united states,"$1,468.4 B",amazon,$469.82 B
6,united states,"$2,640.32 B",apple,$378.7 B
7,china,$133.38 B,agricultural bank of china,$181.42 B
8,united states,$303.1 B,bank of america,$96.83 B
9,japan,$237.73 B,toyota motor,$281.75 B
10,united states,"$1,581.72 B",alphabet,$257.49 B
11,united states,"$2,054.37 B",microsoft,$184.9 B
12,china,$117.83 B,bank of china,$152.43 B
13,south korea,$367.26 B,samsung group,$244.16 B
14,united states,$359.73 B,exxonmobil,$280.51 B
15,united kingdom,$211.1 B,shell,$261.76 B
16,china,$121.69 B,ping an insurance group,$181.37 B
17,united states,$176.77 B,wells fargo,$84.12 B
18,united states,$218.02 B,verizon communications,$134.35 B
19,united states,$141.79 B,at&t,$163.03 B
20,china,$142.3 B,petrochina,$380.31 B
21,united states,$490.15 B,unitedhealth group,$297.55 B
22,united states,$431.64 B,walmart,$572.75 B
23,china,$167.32 B,china merchants bank,$71.07 B
24,germany,$82.4 B,volkswagen group,$295.73 B
25,united states,$316.23 B,chevron,$156.29 B
26,united states,$101.48 B,citigroup,$79.94 B
27,china,$414.28 B,tencent holdings,$86.86 B
28,france,$127.32 B,total,$185.12 B
29,china,$125.53 B,postal savings bank of china (psbc),$77.61 B
30,hong kong,$147.05 B,china mobile,$131.49 B
31,united states,$205.72 B,comcast,$116.39 B
32,china,$237.78 B,alibaba group,$129.76 B
33,united states,$499.86 B,meta platforms,$117.93 B
34,germany,$96.42 B,allianz,$138.62 B
35,united states,$150.95 B,morgan stanley,$60.22 B
36,united states,$109.32 B,goldman sachs group,$62.81 B
37,united kingdom,$135.3 B,hsbc holdings,$59.33 B
38,france,$68.76 B,bnp paribas,$127.42 B
39,united states,$477.38 B,johnson & johnson,$94.88 B
40,germany,$74.62 B,mercedes-benz group,$178.94 B
41,united states,$133.53 B,cvs health,$291.98 B
42,united states,$271.83 B,pfizer,$81.49 B
43,japan,$71.69 B,softbank,$96.86 B
44,china,$80.81 B,sinopec,$384.82 B
45,canada,$147.92 B,rbc,$45.24 B
46,switzerland,$360.01 B,nestlÃ©,$95.25 B
47,france,$65.75 B,axa group,$145.19 B
48,russia,$63.56 B,gazprom,$117.3 B
49,united kingdom,$98.38 B,bp,$158.01 B
50,united states,$190.29 B,intel,$79.02 B
51,canada,$132.99 B,td bank group,$38.51 B
52,japan,$103.98 B,nippon telegraph & tel,$110.39 B
53,india,$228.63 B,reliance industries,$86.85 B
54,china,$68.59 B,industrial bank,$60.53 B
55,japan,$108.84 B,sony,$89.9 B
56,spain,$58.21 B,santander,$78.22 B
57,japan,$75.75 B,mitsubishi ufj financial,$48.28 B
58,taiwan,$494.6 B,taiwan semiconductor,$61.47 B
59,canada,$60.8 B,ford motor,$136.34 B
60,france,$346.8 B,lvmh moÃ«t hennessy louis vuitton,$75.9 B
61,china,$52.82 B,bank of communications,$76 B
62,united states,$386.53 B,procter & gamble,$79.62 B
63,germany,$55.98 B,bmw group,$131.48 B
64,brazil,$83.98 B,petrobras,$83.89 B
65,germany,$91.72 B,deutsche telekom,$128.59 B
66,united states,$273.76 B,abbvie,$56.2 B
67,switzerland,$200.73 B,novartis,$51.63 B
68,united states,$57.89 B,general motors,$127 B
69,norway,$117.87 B,equinor,$88.37 B
70,china,$43.02 B,china life insurance,$130.5 B
71,switzerland,$308.14 B,roche holding,$68.69 B
72,hong kong,$120.19 B,aia group,$45.16 B
73,united states,$57.39 B,metlife,$71.08 B
74,australia,$178.07 B,bhp group,$65.55 B
75,canada,$310.13 B,the home depot,$151.16 B
76,united states,$136.72 B,american express,$46.29 B
77,germany,$102.23 B,siemens,$76.46 B
78,netherlands,$44.26 B,stellantis,$176.61 B
79,switzerland,$69.22 B,zurich insurance group,$69.58 B
80,russia,$48.79 B,rosneft,$111.4 B
81,united kingdom,$117.78 B,rio tinto,$63.46 B
82,canada,$80.94 B,brookfield asset management,$78.82 B
83,united states,$81.2 B,cigna,$174.27 B
84,united states,$43.6 B,prudential financial,$70.93 B
85,united states,$238.13 B,pepsico,$79.47 B
86,united states,$213.83 B,merck & co.,$50.37 B
87,united states,$121.25 B,elevance health,$144.35 B
88,canada,$80.58 B,bank of nova scotia,$30.35 B
89,united states,$48.73 B,american international group,$52.06 B
90,switzerland,$79.9 B,glencore international,$203.41 B
91,united states,$213.36 B,cisco systems,$51.55 B
92,belgium,$118.52 B,anheuser-busch inbev,$54.33 B
93,united states,$215.33 B,walt disney,$72.98 B
94,switzerland,$87.31 B,chubb,$40.95 B
95,hong kong,$31.96 B,citic,$91.21 B
96,united kingdom,$41.34 B,lloyds banking group,$58.48 B
97,united states,$124.33 B,ibm,$67.25 B
98,france,$136.86 B,sanofi,$44.63 B
99,united states,$163.03 B,united parcel service,$97.2 B
100,united kingdom,$97.49 B,british american tobacco,$35.32 B
101,switzerland,$56.17 B,ubs,$35.22 B
102,japan,$44.99 B,honda motor,$130.16 B
103,japan,$50.87 B,mitsubishi,$146.94 B
104,china,$36.91 B,china state construction engineering,$205.79 B
105,india,$58.39 B,state bank of india,$54.42 B
106,australia,$130.34 B,commonwealth bank,$21.85 B
107,china,$36.6 B,shanghai pudong development,$54.77 B
108,united states,$149.76 B,raytheon technologies,$64.36 B
109,italy,$65.84 B,enel,$99.41 B
110,italy,$52.28 B,eni,$90.5 B
111,united states,$54.88 B,capital one,$32.12 B
112,united states,$160.98 B,bristol myers squibb,$46.38 B
113,united states,$282.86 B,coca-cola,$38.73 B
114,united states,$203.34 B,oracle,$41.83 B
115,russia,$33.98 B,sberbank,$57.37 B
116,canada,$72.74 B,bank of montreal,$26.53 B
117,brazil,$82.03 B,vale,$54.4 B
118,france,$35.09 B,edf,$99.83 B
119,united states,$219.71 B,thermo fisher scientific,$39.21 B
120,france,$31.42 B,credit agricole,$73.61 B
121,netherlands,$88.6 B,airbus,$61.64 B
122,united states,$253.39 B,costco wholesale,$210.22 B
123,taiwan,$49.04 B,hon hai precision,$214.6 B
124,united kingdom,$116.16 B,unilever,$62 B
125,united states,$97.92 B,charter communications,$51.68 B
126,japan,$42.33 B,sumitomo mitsui financial,$35.5 B
127,united states,$124.43 B,conocophillips,$46.06 B
128,united kingdom,$112.09 B,glaxosmithkline,$46.92 B
129,italy,$41.42 B,intesa sanpaolo,$47.84 B
130,canada,$39.76 B,manulife,$47.17 B
131,united states,$75.48 B,us bancorp,$23.12 B
132,germany,$51.78 B,basf,$92.9 B
133,hong kong,$62.6 B,cnooc,$37.77 B
134,united states,$210.98 B,abbott laboratories,$44.51 B
135,spain,$70.26 B,iberdrola,$46.23 B
136,china,$62.81 B,china shenhua energy,$52.02 B
137,brazil,$52.89 B,itaÃº unibanco holding,$35.96 B
138,united states,$115.91 B,caterpillar,$50.98 B
139,japan,$40.83 B,mitsui,$108.31 B
140,japan,$45.95 B,itochu,$107.99 B
141,united states,$127.6 B,charles schwab,$18.98 B
142,united states,$67.64 B,truist financial,$23.19 B
143,canada,$90.92 B,enbridge,$37.55 B
144,japan,$45.78 B,hitachi,$91.9 B
145,japan,$74.12 B,kddi,$49.17 B
146,south korea,$37.61 B,hyundai motor,$102.7 B
147,china,$25.26 B,china citic bank,$56.99 B
148,united states,$436.49 B,visa,$25.48 B
149,united states,$111.76 B,target,$106 B
150,spain,$35.28 B,bbva-banco bilbao vizcaya,$41.98 B
151,united states,"$1,038.73 B",tesla,$53.82 B
152,united states,$123.81 B,deere & company,$44.45 B
153,india,$98.28 B,hdfc bank,$22.51 B
154,united kingdom,$31.55 B,barclays,$30.17 B
155,germany,$35.48 B,munich re,$84.88 B
156,japan,$26.56 B,japan post holdings,$103.58 B
157,united states,$39.34 B,walgreens,$135.95 B
158,united states,$189.4 B,danaher,$30.28 B
159,italy,$31.36 B,generali group,$102.13 B
160,denmark,$51.41 B,mÃ¸ller-maersk,$61.95 B
161,united states,$130.37 B,lowe's,$96.25 B
162,united states,$53.19 B,fedex,$91.55 B
163,germany,$55.04 B,deutsche post,$96.62 B
164,united states,$71.9 B,pnc financial services,$19.93 B
165,united states,$239.64 B,broadcom,$28.5 B
166,russia,$32.17 B,lukoil,$125.11 B
167,ireland,$144.62 B,medtronic,$31.79 B
168,germany,$124.02 B,sap,$33.18 B
169,south korea,$61.31 B,sk hynix,$37.55 B
170,france,$31.5 B,engie,$68.4 B
171,united states,$118.82 B,lockheed martin,$65.75 B
172,united states,$100.8 B,blackrock,$20.3 B
173,australia,$61.42 B,westpac banking group,$20.46 B
174,united states,$87.98 B,duke energy,$25.1 B
175,united states,$35.64 B,dell technologies,$106.84 B
176,france,$56.87 B,vinci,$59.08 B
177,japan,$35.19 B,tokio marine holdings,$50.57 B
178,mexico,$67.84 B,amÃ©rica mÃ³vil,$48.37 B
179,germany,$28.52 B,e.on,$91.44 B
180,united kingdom,$59.44 B,anglo american,$41.52 B
181,brazil,$43.16 B,banco bradesco,$28.33 B
182,netherlands,$39.03 B,ing group,$21.49 B
183,ireland,$196.86 B,accenture,$56.7 B
184,united states,$130.67 B,honeywell international,$34.39 B
185,japan,$31.38 B,mizuho financial,$26.76 B
186,united kingdom,$157.26 B,linde,$30.79 B
187,luxembourg,$28.98 B,arcelormittal,$76.65 B
188,canada,$51.21 B,canadian imperial bank,$18.66 B
189,china,$32.81 B,poly developments & holdings group,$42.94 B
190,united states,$77.51 B,micron technology,$31.17 B
191,australia,$56.23 B,anz,$18.38 B
192,taiwan,$30.63 B,fubon financial,$33.23 B
193,china,$35.23 B,china telecom,$68.15 B
194,united states,$63.62 B,hca healthcare,$59.72 B
195,united states,$50.35 B,dow,$58.35 B
196,spain,$29.44 B,telefÃ³nica,$46.42 B
197,china,$27.92 B,china vanke,$71.42 B
198,australia,$77.24 B,nab - national australia bank,$15.76 B
199,taiwan,$28.9 B,cathay financial,$34.46 B
200,united states,$149.68 B,qualcomm,$36.04 B
201,france,$195.52 B,l'orÃ©al,$38.16 B
202,canada,$36.45 B,allstate,$50.59 B
203,china,$28.87 B,saic motor,$121.42 B
204,india,$67.9 B,icici bank,$21.89 B
205,china,$20.11 B,china everbright bank,$42.38 B
206,united states,$78.17 B,gilead sciences,$27.37 B
207,china,$22.69 B,china pacific insurance,$68.07 B
208,united states,$489.83 B,nvidia,$26.91 B
209,united states,$133.63 B,amgen,$25.99 B
210,united states,$147.23 B,union pacific,$22.66 B
211,japan,$19.9 B,dai-ichi life insurance,$66.73 B
212,canada,$203.13 B,nike,$46.89 B
213,japan,$45.32 B,takeda pharmaceutical,$31.55 B
214,united states,$159.18 B,philip morris international,$31.51 B
215,united states,$100.22 B,paypal,$25.56 B
216,hong kong,$32.45 B,china resources land,$33.61 B
217,singapore,$39.71 B,oversea-chinese banking,$22.89 B
218,china,$60.55 B,midea group,$50.6 B
219,united states,$41.54 B,travelers,$35.31 B
220,united states,$265.45 B,eli lilly,$28.32 B
221,united states,$89.98 B,mondelez international,$28.72 B
222,united states,$185.03 B,mcdonald's,$23.22 B
223,canada,$98.13 B,general electric,$74.08 B
224,france,$19.37 B,sociÃ©tÃ© gÃ©nÃ©rale,$35.57 B
225,france,$85.36 B,schneider electric,$34.16 B
226,united states,$84.9 B,3m,$35.35 B
227,united states,$41.15 B,aflac,$22.11 B
228,india,$28.62 B,oil & natural gas,$66.28 B
229,united states,$80.48 B,southern company,$23.23 B
230,germany,$24.54 B,deutsche bank,$36.7 B
231,thailand,$31.34 B,ptt,$70.55 B
232,hong kong,$27.91 B,ck hutchison,$36.13 B
233,canada,$74.27 B,canadian natural resources,$23.97 B
234,canada,$30.71 B,sun life financial,$29.82 B
235,united states,$69.84 B,northrop grumman,$35.67 B
236,united states,$51.85 B,archer daniels midland,$85.26 B
237,united states,$48.64 B,marathon petroleum,$119.78 B
238,china,$16.74 B,china minsheng bank,$50.08 B
239,united kingdom,$19.63 B,legal & general group,$62.51 B
240,united states,$95.68 B,netflix,$30.4 B
241,united states,$63.37 B,progressive,$48.07 B
242,china,$30.05 B,longfor group holdings,$34.8 B
243,singapore,$63.03 B,dbs,$12.4 B
244,china,$25.8 B,cosco shipping,$51.77 B
245,china,$19.1 B,china communications construction,$108.41 B
246,united kingdom,$30.22 B,natwest group,$17.86 B
247,united states,$47.68 B,exelon,$39.27 B
248,united states,$56.34 B,humana,$84.09 B
249,united states,$66.42 B,general dynamics,$38.47 B
250,canada,$20.47 B,power corp of canada,$57.93 B
251,qatar,$59.09 B,qatar national bank,$14.2 B
252,germany,$70.06 B,bayer,$52.1 B
253,united states,$30.6 B,kkr,$19.02 B
