10-DeBiGa-company_number,09-wissel-company_id
01609968,11790215
04437088,05438136
sc144127,oe000110
04348149,oe004228
05387424,oe004120
05210967,oe001906
11907728,oe003397
03242617,oe004940
10428742,oe005618
07862220,07676340
07492904,11114039
11837515,05257043
sc270886,12685329
07922231,08312819
07372732,04540360
01310740,07045770
08424580,14179092
09764500,14193240
12544290,sc584203
06363481,02456235
11989646,13783208
11135493,11402890
09539681,sc474087
10144425,12632501
10919130,07723236
11754223,13777439
12846100,13724188
13911613,09531956
11462721,12030668
13620261,oc366904
08609617,00696466
03778640,05124262
09665853,14187764
03924458,14146105
13122420,06551377
07065511,09991742
11452119,05773663
03114606,03443600
06290328,13299838
09842408,06369073
11153805,03494763
01841332,08837749
04870048,13064577
14376606,13843009
07223640,07040828
09085587,12100732
10726222,09761812
13631347,sc359256
14403168,ni063073
05624662,08002070
01755325,11028617
12567696,00470731
14436473,10062383
12670890,09157044
11330792,12549468
11670309,13592143
04261611,00617641
13564263,ni621860
05111270,04372064
02810248,09167450
13348859,13196273
08490681,10190631
12522884,04897511
05736968,07670811
13719940,12086711
13294986,02249960
02847733,08049037
12315026,08457823
09236762,04345204
13327763,sc383354
07402424,09344742
13512402,12747117
06623730,09711872
09157482,07851483
02551360,10950185
14274443,03345744
14358118,10293835
09166243,12061012
14275886,13991539
02061655,09821679
05145109,13746050
08910933,13746055
sc415362,10725338
11103411,06220664
ni621760,sc300541
07061722,11713243
06868648,11561068
04132226,07129894
08026470,12161820
07049168,11684764
11821881,09927700
11123352,14434807
11595806,11736855
10914095,03228187
09576233,12593377
07958864,09790043
13893064,12768165
13996197,12670016
09227462,10690126
09406639,14077933
03047976,13642338
12132239,10767568
06767837,11097818
14185763,sc555684
13702158,11899003
12356176,11865659
03575933,05883293
05292286,08460112
08479569,13453056
14004497,13402125
14332670,14444234
10104078,sc458684
06947281,11202684
14435140,08763504
11628244,12300589
06488063,sc701755
02583090,06207202
09394471,sc505576
12871533,12407840
08419105,14166603
02394612,12871749
09464444,sc430119
02422225,11061374
14128120,05914987
03388282,07462418
02004170,10438693
12322460,13234634
13702572,13910252
13703339,11521895
12311439,14192846
12296950,09036919
02494039,12754200
12564479,06554143
02673462,09901812
08281602,14504821
04811392,08843123
10608161,13623790
06842353,07277285
03072941,11041144
13636272,sc572676
02225977,12345036
13867367,10647395
09791188,10574394
sc672937,14371144
11934012,07777641
12692556,04578213
10740641,04459766
13672853,10635798
10888131,11977576
13024163,13855044
12505841,06711900
14443881,12326433
08507600,12657354
06071218,13512423
14466811,11357391
11106073,05723465
03047821,10558274
03120073,12963059
12991902,05564612
11762343,03172323
07469680,03941647
08320613,11148294
10229730,07244584
09822700,12094715
07824307,08949615
06212299,14345890
01535066,10547644
05059028,14211290
sc567595,14010098
09889406,14196547
12984311,06050779
02888440,06663179
12030273,12206061
05215059,13656285
13165781,11533577
07787637,07731301
sc507181,06362090
08062456,01584520
sc119270,03005934
09204146,10221439
13862693,12640633
02812004,08131128
07389566,10852761
02198424,13375439
12273882,13837785
03069009,11213166
14447493,11281538
13475805,09026820
03111581,13306906
11951685,09462621
11643054,09895664
09217145,13474825
07284413,12787943
08100034,00564804
07066366,10920312
12169999,03822296
11103279,13730207
10754409,12896434
12330021,14375560
12346596,06174105
01755090,07858485
04714088,sc599177
04444115,13308844
09997034,12155432
07530073,14445936
02393814,07302170
05356568,12894300
14442091,12893799
13518262,13085418
06004420,10085890
05342202,04100232
sc652800,02928711
13845319,09085362
11683777,08856731
13154518,10347646
04532484,10147351
13264193,09422138
02320625,10191173
14157565,12629347
01905282,09083747
02922185,09992613
03893040,09996775
09352685,09178660
11316612,09996743
05001806,12333746
14289951,11794371
09827768,09569109
11587358,11321376
10105111,09535748
09403982,09680425
04552256,09379034
07846530,11321463
05555623,09353796
08058588,12634932
08190577,10191072
sc103726,07176407
07676593,07831084
13526849,07756373
12713418,05858465
14132976,10120941
13538651,so300293
03408960,ni062160
14469411,09512094
11396603,08117540
10264370,03342226
13480668,01159311
09499011,03674551
10352158,06368960
03723767,00600574
02940919,09264223
06590221,sc744394
13524420,05507299
12090583,sc705759
07300248,sc525341
04883728,13373455
08731729,03342484
04678881,06273135
13601800,10048080
07132872,sc605686
12520695,04668638
10560147,12452703
09069858,09227968
03845068,05582575
09428594,11795186
05697907,12714038
08266072,10039668
05752068,13023085
sc653381,08130605
07819179,sc237856
07438845,04816914
11015150,13346396
07885528,09247638
10892283,14270068
09046371,10516323
06530447,14354436
13838219,08809073
03272301,14296789
12866617,06955745
06695311,09949177
11503822,07458944
sc290530,13313116
05977498,12086657
12785825,10716359
05870741,sc037551
08373701,10660160
09390590,sc401190
07082563,05720222
sc480384,08662957
12949078,08448666
03015968,12053577
11781027,11925417
09969339,10465186
08229301,13178357
sc698688,13910562
10642614,12716637
10467443,09772053
08702155,12750494
10462446,10563504
sc142706,sc729625
12429358,07120823
04044797,04771342
02597088,10047964
12699746,07578301
13564267,08405734
14466189,01570480
10253751,14105556
05261730,13008797
13702460,10154642
08015706,14043153
07374282,14518111
08802238,09493811
02860401,09177323
04622639,13906050
11908151,10224094
08577964,11286448
10426228,sc444592
12659791,08068923
08057210,10561450
08173707,11325886
03624508,07749432
10191269,07984754
13976564,12229368
sc284530,sc212427
13077644,sc360611
02878847,sc430744
10058729,10075063
09169901,13022954
14435134,10500250
03508323,09525384
05387562,13800055
09271487,04572107
09133476,04417628
04433808,05833800
11097678,06636917
08711525,09207837
01966380,08696192
13210719,11791575
04070856,12891636
14143668,09797407
03441248,11024985
13206971,13998912
12747401,06862493
09700989,11797579
11592616,12356510
09493569,00755252
11513417,ni057125
06578972,09489044
06177051,13493568
13643148,05505917
11835576,11255095
08111516,05894808
13568987,04636930
14466340,sc670409
02022491,04167708
13452870,12531017
11943256,14144355
13580392,11223564
sc347800,13005870
11744527,10334719
10095400,09301398
03200734,12190383
05058879,12308560
12891128,14291298
01532832,14195340
07582135,11590003
14447510,10229316
13059392,12756497
14305370,09380888
ni679800,sc199199
04333313,06789885
01797494,11383276
08677050,07886095
12668227,06585928
12294979,12118831
11795012,14311832
13981992,12514601
08783048,09678671
14187863,11689351
14419423,04491375
05554823,03670674
07223396,13347579
09853194,12231707
11035708,07095455
