04-iGMM-code,02-GioPonSpiz-stock,03-gren-stock,05-MalPatSaj-stock,07-silvestri-stock,10-DeBiGa-stock
000002,pnc,pnc,pnc,pnc,nxpi
ad,bdx,bdx,bdx,bdx,9983
ptt,gild,gild,gild,gild,lbsi
cpng,regn,regn,regn,regn,oxy
hen,tfc,tfc,tfc,tfc,sre
et,cnq,cnq,cnq,cnq,bas
l,ice,ice,ice,ice,tri
veev,tjx,tjx,tjx,tjx,lseg
twtr,team,team,team,team,lonn
nokia.sek,zurn,zurn,zurn,zurn,race
600104,ew,ew,ew,ew,snap
stt,6501,aon,aon,aon,ftnt
engi,scg,noc,noc,noc,dg
fnv,2454,9433,9433,9433,aig
600585,lulu,nsc,nsc,nsc,mpc
zs,dow,fcx,fcx,fcx,cp
601601,rosn,walmex,walmex,walmex,abev3
eoaa,mck,bbca,bbca,bbca,heia
ame,su,eog,eog,eog,9984
expe,vmw,shl,shl,shl,ergn
601319,jci,aal,aal,aal,kdp
0001,orly,mrna,mrna,mrna,4519
aot,gmexicob,gd,gd,gd,6367
siri,crwd,cs,cs,cs,ng.
tsco,npn,d,d,d,601899
paha,adsk,enel,enel,enel,wipro
688981,pru,bnp,bnp,bnp,207940
efx,omzzp,amxa,amxa,amxa,8316
aht,ctsh,psa,psa,psa,cmg
cern,nue,ubsg,ubsg,ubsg,cdns
hrl,dxcm,sber,sber,sber,ctas
apa,bbdc3,fisv,fisv,fisv,iqv
ntgy,6594,ibe,ibe,ibe,azo
0669,ads1,6098,6098,6098,tel
csx,sika,bayn,bayn,bayn,isp
twlo,9888,shw,shw,shw,lkoh
601818,4502,vrtx,vrtx,vrtx,1211
o,hsy,itw,itw,itw,8031
soon,aph,pgr,pgr,pgr,ddog
,vnja,wbc,wbc,wbc,stz
slmnp,vod,abbn,abbn,abbn,ifxa
7751,idxx,wm,wm,wm,trv
dbk,trv,601166,601166,601166,idxx
ifc,ifxa,d05,d05,d05,vod
dte,stz,ibn,ibn,ibn,vnja
luv,ddog,eqix,eqix,eqix,aph
ho,8031,nem,nem,nem,hsy
u,1211,f,f,f,4502
ksu,lkoh,cl,cl,cl,9888
pcg,isp,exc,exc,exc,sika
cqp,tel,snow,snow,snow,ads1
2308,azo,4661,4661,4661,6594
3ad2,iqv,000660,000660,660,bbdc3
vmc,ctas,maersk.b,maersk.b,maersk.b,dxcm
bt.a,cdns,4063,4063,4063,nue
4901,cmg,fdx,fdx,fdx,ctsh
fre,8316,bsx,bsx,bsx,omzzp
maa,207940,ppwlm,ppwlm,ppwlm,pru
work,wipro,dsy,dsy,dsy,adsk
ntrs,601899,met,met,met,npn
xpev,hpq,gm,gm,gm,crwd
aena,shel,se,se,se,gmexicob
2603,novn,uber,uber,uber,orly
wpl,azn,mco,mco,mco,jci
lyv,intc,7974,7974,7974,vmw
600016,wfc,pxd,pxd,pxd,su
aee,adbe,etn,etn,etn,mck
9020,crm,adi,adi,adi,rosn
heio,ups,fis,fis,fis,dow
2020,601939,san,san,san,lulu
gmab,mcd,hlag,hlag,hlag,2454
600346,600036,adyen,adyen,adyen,scg
ppl,300750,atco.a,atco.a,atco.a,6501
dov,unp,0883,0883,883,600309
vfc,t,ntr,ntr,ntr,u11
7733,qcom,sq,sq,sq,xel
rprx,txn,dpwa,dpwa,dpwa,well
invh,bmy,9999,9999,9999,msci
601995,prx,0388,0388,388,2388
4543,lin,cof,cof,cof,bax
gle,nee,emr,emr,emr,600030
300498,601288,panw,panw,panw,gpn
foxa,tmus,anz,anz,anz,a
pow,ms,rkt,rkt,rkt,wba
7309,nflx,9633,9633,9633,dlr
ctra,ry,7010,7010,7010,o39
b3sa3,schw,scco,scco,scco,carr
tdy,pm,300760,300760,300760,bk
key,mdt,dg,dg,dg,300059
mtb,rtx,wday,wday,wday,msi
8750,axp,rel,rel,rel,gmkn
ulta,rms,mrvl,mrvl,mrvl,inga
zbra,td,apd,apd,apd,vlo
mpwr,601857,ri,ri,ri,0011
qsp.un,cba,slb,slb,slb,all
dre,low,9mw,9mw,9mw,wmb
hban,amgn,itub,itub,itub,dvn
cnhi,601988,epd,epd,epd,stm
njb,hsba,603288,603288,603288,22ua
viv,0941,8058,8058,8058,mfc
2886,tte,cm,cm,cm,kr
mgm,hon,mar,mar,mar,syy
4307,cop,pdd,pdd,pdd,603259
bro,cvs,info,info,info,hlt
mkl,601318,1180,1180,1180,dsv
cvna,sap,trp,trp,trp,3382
4612,pypl,hum,hum,hum,gis
601211,san,klac,klac,klac,ctva
8802,de,601328,601328,601328,601012
lato.b,amd,bmwb,bmwb,bmwb,mnst
1150,intu,mqg,mqg,mqg,300999
syf,aon,ng.,ng.,ng.,7741
bxp,noc,6367,6367,6367,rsg
2768,9433,4519,4519,4519,wes
fltr,nsc,kdp,kdp,kdp,1810
crda,fcx,ergn,ergn,ergn,kmb
003816,walmex,9984,9984,9984,kmi
srg,bbca,heia,heia,heia,6981
mg,eog,abev3,abev3,abev3,abx
105560,shl,cp,cp,cp,afl
shb.a,aal,mpc,mpc,mpc,spg
fme,mrna,aig,aig,aig,lloy
edp,gd,dg,dg,dg,wow
fer,cs,ftnt,ftnt,ftnt,isrg
moh,d,snap,snap,snap,expn
avtr,enel,race,race,race,rmd
2313,bnp,lonn,lonn,lonn,neste
jbss3,amxa,lseg,lseg,lseg,600809
tru,psa,tri,tri,tri,coin
acgl,ubsg,bas,bas,bas,nio
mro,sber,sre,sre,sre,net
car,fisv,oxy,oxy,oxy,bn
vie,ibe,lbsi,lbsi,lbsi,lyb
cez,6098,9983,9983,9983,wcn
yumc,bayn,nxpi,nxpi,nxpi,tdg
qsr,shw,xlnx,xlnx,xlnx,peg
cpi,vrtx,8001,8001,8001,t
2502,itw,eni,eni,eni,600887
600837,pgr,stla,stla,stla,csu
ctlt,wbc,bce,bce,bce,600000
pwr,abbn,6902,6902,6902,dash
ui,wm,7203,7203,7203,muv2
4507,601166,lhx,lhx,lhx,601816
0823,d05,agrip,agrip,agrip,600276
8267,ibn,gaca,gaca,gaca,8766
alny,eqix,adm,adm,adm,ph
600999,nem,aep,aep,aep,6273
ttwo,f,fmg,fmg,fmg,tt
vod,cl,2317,2317,2317,psx
gpc,exc,601888,601888,601888,ea
000776,snow,ecl,ecl,ecl,byra
hei,4661,nvtk,nvtk,nvtk,dim
1928,000660,snps,snps,snps,cpg
600011,maersk.b,saf,saf,saf,4568
s32,4063,ilmn,ilmn,ilmn,cap
8zn,fdx,meli,meli,meli,sbac
601669,bsx,rop,rop,rop,dltr
601111,ppwlm,khc,khc,khc,aca
csgn,dsy,cnc,cnc,cnc,vol4
lsxmb,met,payx,payx,payx,1024
8725,gm,7267,7267,7267,dell
peak,ng.,6501,6501,6501,bbva
ntap,6367,scg,scg,scg,bkr
wn,4519,2454,2454,2454,ec
smt,kdp,lulu,lulu,lulu,alc
inpap,ergn,dow,dow,dow,pru
600893,9984,rosn,rosn,rosn,nzym.b
omc,heia,mck,mck,mck,givn
asja,abev3,su,su,su,ebay
066570,cp,vmw,vmw,vmw,atd.b
6502,mpc,jci,jci,jci,6eq
chkp,aig,orly,orly,orly,hes
cfg,dg,gmexicob,gmexicob,gmexicob,ora
ten,ftnt,crwd,crwd,crwd,db1
4578,snap,npn,npn,npn,cve
wat,race,adsk,adsk,adsk,aptv
nice,lonn,pru,pru,pru,rok
carl.a,lseg,omzzp,omzzp,omzzp,slf
ssnc,tri,ctsh,ctsh,ctsh,otis
603799,bas,nue,nue,nue,zm
wmg,sre,dxcm,dxcm,dxcm,1109
601688,oxy,bbdc3,bbdc3,bbdc3,eric.a
0788,lbsi,6594,6594,6594,iff
akam,9983,ads1,ads1,ads1,000002
600196,nxpi,sika,sika,sika,ad
bill,xlnx,9888,9888,9888,ptt
0012,8001,4502,4502,4502,8411
gib.a,eni,hsy,hsy,hsy,kkr
4911,stla,aph,aph,aph,600048
bip.un,bce,vnja,vnja,vnja,0066
6723,6902,vod,vod,vod,6954
krz,7203,idxx,idxx,idxx,knin
holx,lhx,trv,trv,trv,dfs
ry4c,agrip,ifxa,ifxa,ifxa,tsn
sbk,gaca,stz,stz,stz,hal
av.,adm,ddog,ddog,ddog,trow
601800,aep,8031,8031,8031,2412
0291,fmg,1211,1211,1211,eqr
ter,2317,lkoh,lkoh,lkoh,300122
4452,601888,isp,isp,isp,ajg
klbn11,ecl,tel,tel,tel,4689
payc,nvtk,azo,azo,azo,vrsk
vedl,snps,iqv,iqv,iqv,syd
688599,saf,ctas,ctas,ctas,oew
tw,ilmn,cdns,cdns,cdns,algn
sui,meli,cmg,cmg,cmg,fast
hnrb,rop,8316,8316,8316,amp
pki,khc,207940,207940,207940,mt
nhy,cnc,wipro,wipro,wipro,1876
pfg,payx,601899,601899,601899,601998
imb,7267,hpq,hpq,hpq,ed
2891,lloy,lloy,lloy,lloy,lng
0390,spg,spg,spg,spg,odfl
tel,afl,afl,afl,afl,0016
slhn,abx,abx,abx,abx,yum
ppl,6981,6981,6981,6981,imo
6971,kmi,kmi,kmi,kmi,avb
advanc,kmb,kmb,kmb,kmb,g
s1te34,1810,1810,1810,1810,hxg
cms,wes,wes,wes,wes,tls
2331,rsg,rsg,rsg,rsg,hen
stan,7741,7741,7741,7741,twtr
8002,300999,300999,300999,300999,et
rep,mnst,mnst,mnst,mnst,l
rcl,601012,601012,601012,601012,veev
app,ctva,ctva,ctva,ctva,nokia.sek
ftv,gis,gis,gis,gis,600104
flt,3382,3382,3382,3382,stt
hubs,dsv,dsv,dsv,dsv,engi
mchp,hlt,hlt,hlt,hlt,600585
yndx,603259,603259,603259,603259,fnv
sgro,syy,syy,syy,syy,601601
ir,kr,kr,kr,kr,zs
2319,mfc,mfc,mfc,mfc,eoaa
stx,22ua,22ua,22ua,22ua,ame
600111,stm,stm,stm,stm,600436
viaca,dvn,dvn,dvn,dvn,6505
zi,wmb,wmb,wmb,wmb,dsm
wpm,all,all,all,all,scmn
rf,0011,0011,0011,11,biib
lgen,vlo,vlo,vlo,vlo,6178
coo,inga,inga,inga,inga,crh
3659,gmkn,gmkn,gmkn,gmkn,0728
rdor3,msi,msi,msi,msi,es
teck.b,300059,300059,300059,300059,601138
sgsn,bk,bk,bk,bk,2914
1060,carr,carr,carr,carr,glw
8801,o39,o39,o39,o39,gmg
jbht,dlr,dlr,dlr,dlr,oke
cf,wba,wba,wba,wba,mtd
cinf,a,a,a,a,tlk
6201,gpn,gpn,gpn,gpn,ppg
gebn,600030,600030,600030,600030,7182
zto,bax,bax,bax,bax,0960
8113,2388,2388,2388,2388,601633
xpbr31,msci,msci,msci,msci,pcar
swks,well,well,well,well,wege3
601766,xel,xel,xel,xel,bf.b
clr,u11,u11,u11,u11,barc
hu3,600309,600309,600309,600309,2020
femsaub,dd,dd,dd,dd,z74
tep,6eq,6eq,6eq,6eq,600690
bio,atd.b,atd.b,atd.b,atd.b,clnx
hm.b,ebay,ebay,ebay,ebay,0267
bbas3,givn,givn,givn,givn,2269
ttm,nzym.b,nzym.b,nzym.b,nzym.b,0688
8053,pru,pru,pru,pru,abc
601985,alc,alc,alc,alc,wec
okta,ec,ec,ec,ec,rost
emsn,bkr,bkr,bkr,bkr,003816
ess,bbva,bbva,bbva,bbva,srg
ccep,dell,dell,dell,dell,mg
0003,1024,1024,1024,1024,105560
6301,vol4,vol4,vol4,vol4,shb.a
gfnorteo,aca,aca,aca,aca,fme
2328,dltr,dltr,dltr,dltr,edp
k,sbac,sbac,sbac,sbac,fer
hpe,cap,cap,cap,cap,moh
600018,4568,4568,4568,4568,avtr
ucb,cpg,cpg,cpg,cpg,2313
6752,dim,dim,dim,dim,jbss3
erf,byra,byra,byra,byra,tru
sqm,psx,psx,psx,psx,acgl
600031,ea,ea,ea,ea,mro
ccl,tt,tt,tt,tt,601688
htht,6273,6273,6273,6273,0788
grmn,ph,ph,ph,ph,akam
2303,8766,8766,8766,8766,600196
lbrdk,600276,600276,600276,600276,bill
1301,601816,601816,601816,601816,0012
fts,muv2,muv2,muv2,muv2,gib.a
rkt,dash,dash,dash,dash,4911
mxim,600000,600000,600000,600000,bip.un
mtn,csu,csu,csu,csu,6723
6326,600887,600887,600887,600887,krz
fm,t,t,t,t,holx
pq9,peg,peg,peg,peg,ry4c
bei,tdg,tdg,tdg,tdg,sbk
300274,wcn,wcn,wcn,wcn,av.
swk,lyb,lyb,lyb,lyb,601800
600019,bn,bn,bn,bn,0291
hznp,net,net,net,net,ter
ml,nio,nio,nio,nio,4452
sse,coin,coin,coin,coin,klbn11
ele,600809,600809,600809,600809,payc
vtr,neste,neste,neste,neste,vedl
300014,rmd,rmd,rmd,rmd,688599
splk,expn,expn,expn,expn,tw
2413,isrg,isrg,isrg,isrg,sui
etr,wow,wow,wow,wow,hnrb
ste,mplx,mplx,mplx,mplx,pki
bby,tls,tls,tls,tls,nhy
601066,hxg,hxg,hxg,hxg,pfg
mlm,g,g,g,g,imb
8591,avb,avb,avb,avb,2891
schn,imo,imo,imo,imo,0390
plzl,yum,yum,yum,yum,tel
chd,0016,0016,0016,16,slhn
vrsn,odfl,odfl,odfl,odfl,601319
fang,lng,lng,lng,lng,0001
sgen,ed,ed,ed,ed,aot
pltr,601998,601998,601998,601998,siri
dal,1876,1876,1876,1876,paha
edpr,mt,mt,mt,mt,688981
it,amp,amp,amp,amp,tsco
cdw,fast,fast,fast,fast,efx
mos,algn,algn,algn,algn,aht
seb.a,oew,oew,oew,oew,cern
0027,syd,syd,syd,syd,hrl
lr,vrsk,vrsk,vrsk,vrsk,apa
enph,4689,4689,4689,4689,ntgy
1113,ajg,ajg,ajg,ajg,0669
