02-GioPonSpiz-sector,03-gren-sector,04-iGMM-sector,05-MalPatSaj-sector,06-MarScoToc-sector,07-silvestri-sector,10-DeBiGa-sector
technology,technology,technology,technology,energy,technology,industrials
technology,technology,energy,technology,healthcare,technology,communication services
energy,energy,healthcare,energy,basic materials,energy,industrials
communication services,communication services,consumer discretionary,communication services,financials,communication services,communication services
consumer discretionary,consumer discretionary,healthcare,consumer discretionary,basic materials,consumer discretionary,technology
consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,consumer staples,consumer discretionary,financials
financials,financials,financials,financials,consumer staples,financials,consumer discretionary
technology,technology,energy,technology,healthcare,technology,basic materials
communication services,communication services,financials,communication services,consumer staples,communication services,consumer discretionary
technology,technology,consumer discretionary,technology,energy,technology,energy
healthcare,healthcare,technology,healthcare,financials,healthcare,financials
financials,financials,consumer staples,financials,basic materials,financials,basic materials
healthcare,healthcare,financials,healthcare,consumer staples,healthcare,technology
communication services,communication services,consumer staples,communication services,communication services,communication services,consumer discretionary
consumer staples,consumer staples,communication services,consumer staples,industrials,consumer staples,financials
financials,financials,healthcare,financials,utilities,financials,consumer discretionary
consumer staples,consumer staples,healthcare,consumer staples,financials,consumer staples,healthcare
technology,technology,healthcare,technology,financials,technology,financials
consumer discretionary,consumer discretionary,basic materials,consumer discretionary,communication services,consumer discretionary,technology
financials,financials,consumer discretionary,financials,financials,financials,consumer discretionary
financials,financials,healthcare,financials,financials,financials,financials
healthcare,healthcare,communication services,healthcare,consumer discretionary,healthcare,energy
energy,energy,communication services,energy,financials,energy,financials
consumer staples,consumer staples,technology,consumer staples,financials,consumer staples,healthcare
consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,industrials,consumer discretionary,healthcare
energy,energy,technology,energy,industrials,energy,healthcare
healthcare,healthcare,healthcare,healthcare,financials,healthcare,financials
healthcare,healthcare,technology,healthcare,industrials,healthcare,technology
consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,consumer staples,consumer discretionary,utilities
technology,technology,communication services,technology,communication services,technology,energy
consumer staples,consumer staples,financials,consumer staples,utilities,consumer staples,utilities
healthcare,healthcare,healthcare,healthcare,consumer staples,healthcare,consumer discretionary
technology,technology,technology,technology,industrials,technology,financials
consumer staples,consumer staples,technology,consumer staples,financials,consumer staples,technology
healthcare,healthcare,industrials,healthcare,real estate,healthcare,financials
financials,financials,healthcare,financials,financials,financials,healthcare
communication services,communication services,financials,communication services,consumer staples,communication services,real estate
consumer staples,consumer staples,technology,consumer staples,financials,consumer staples,financials
technology,technology,financials,technology,basic materials,technology,healthcare
healthcare,healthcare,healthcare,healthcare,financials,healthcare,basic materials
technology,technology,energy,technology,basic materials,technology,technology
consumer staples,consumer staples,industrials,consumer staples,financials,consumer staples,healthcare
technology,technology,energy,technology,consumer staples,technology,financials
communication services,communication services,communication services,communication services,communication services,communication services,technology
communication services,communication services,financials,communication services,healthcare,communication services,financials
healthcare,healthcare,financials,healthcare,communication services,healthcare,financials
consumer discretionary,consumer discretionary,healthcare,consumer discretionary,consumer staples,consumer discretionary,basic materials
basic materials,basic materials,consumer discretionary,basic materials,industrials,basic materials,financials
healthcare,healthcare,financials,healthcare,consumer discretionary,healthcare,financials
healthcare,healthcare,industrials,healthcare,basic materials,healthcare,financials
communication services,energy,energy,energy,industrials,energy,utilities
technology,healthcare,financials,healthcare,communication services,healthcare,industrials
financials,healthcare,financials,healthcare,consumer staples,healthcare,healthcare
communication services,technology,consumer discretionary,technology,industrials,technology,healthcare
energy,financials,industrials,financials,industrials,financials,basic materials
industrials,technology,consumer staples,technology,financials,technology,consumer discretionary
technology,technology,financials,technology,consumer discretionary,technology,consumer staples
technology,industrials,healthcare,industrials,utilities,industrials,healthcare
financials,financials,consumer staples,financials,financials,financials,communication services
industrials,consumer discretionary,consumer staples,consumer discretionary,utilities,consumer discretionary,industrials
technology,financials,communication services,financials,consumer discretionary,financials,energy
industrials,industrials,basic materials,industrials,financials,industrials,industrials
energy,industrials,consumer discretionary,industrials,technology,industrials,consumer discretionary
basic materials,communication services,communication services,communication services,consumer staples,communication services,energy
technology,technology,healthcare,technology,technology,technology,energy
industrials,technology,financials,technology,basic materials,technology,industrials
communication services,healthcare,technology,healthcare,financials,healthcare,financials
financials,communication services,consumer discretionary,communication services,industrials,communication services,technology
financials,basic materials,financials,basic materials,consumer discretionary,basic materials,utilities
industrials,utilities,energy,utilities,consumer discretionary,utilities,healthcare
technology,financials,financials,financials,healthcare,financials,industrials
financials,communication services,healthcare,communication services,technology,communication services,basic materials
consumer staples,financials,healthcare,financials,financials,financials,industrials
consumer staples,communication services,healthcare,communication services,communication services,communication services,technology
communication services,financials,financials,financials,real estate,financials,consumer discretionary
basic materials,financials,technology,financials,industrials,financials,technology
healthcare,consumer staples,utilities,consumer staples,financials,consumer staples,utilities
industrials,healthcare,energy,healthcare,consumer discretionary,healthcare,consumer staples
technology,industrials,utilities,industrials,industrials,industrials,consumer discretionary
communication services,financials,consumer discretionary,financials,real estate,financials,basic materials
,consumer discretionary,consumer discretionary,consumer discretionary,financials,consumer discretionary,real estate
basic materials,financials,financials,financials,industrials,financials,financials
consumer staples,energy,technology,energy,consumer discretionary,energy,financials
energy,financials,utilities,financials,communication services,financials,financials
technology,consumer discretionary,healthcare,consumer discretionary,consumer staples,consumer discretionary,industrials
financials,healthcare,industrials,healthcare,financials,healthcare,industrials
energy,financials,basic materials,financials,consumer discretionary,financials,financials
consumer staples,financials,industrials,financials,communication services,financials,financials
industrials,communication services,technology,communication services,communication services,communication services,industrials
financials,energy,consumer discretionary,energy,consumer discretionary,energy,healthcare
consumer discretionary,industrials,technology,industrials,financials,industrials,basic materials
consumer discretionary,energy,utilities,energy,industrials,energy,healthcare
industrials,healthcare,consumer staples,healthcare,real estate,healthcare,industrials
financials,financials,consumer discretionary,financials,basic materials,financials,utilities
energy,technology,basic materials,technology,consumer discretionary,technology,technology
healthcare,financials,real estate,financials,financials,financials,financials
technology,healthcare,financials,healthcare,real estate,healthcare,financials
financials,industrials,consumer discretionary,industrials,financials,industrials,real estate
consumer discretionary,technology,financials,technology,consumer discretionary,technology,communication services
financials,technology,technology,technology,financials,technology,financials
technology,technology,healthcare,technology,consumer staples,technology,utilities
basic materials,basic materials,energy,basic materials,consumer discretionary,basic materials,utilities
financials,financials,financials,financials,industrials,financials,financials
industrials,industrials,industrials,industrials,financials,industrials,industrials
industrials,industrials,consumer discretionary,industrials,utilities,industrials,healthcare
consumer staples,consumer staples,consumer discretionary,consumer staples,consumer discretionary,consumer staples,basic materials
,energy,financials,energy,industrials,,healthcare
consumer discretionary,consumer discretionary,industrials,consumer discretionary,healthcare,consumer discretionary,energy
real estate,real estate,consumer staples,real estate,healthcare,real estate,financials
technology,technology,energy,technology,healthcare,technology,consumer staples
healthcare,healthcare,financials,healthcare,real estate,healthcare,basic materials
technology,technology,technology,technology,consumer discretionary,technology,industrials
consumer staples,consumer staples,consumer discretionary,consumer staples,financials,consumer staples,communication services
financials,financials,industrials,financials,technology,financials,industrials
financials,financials,healthcare,financials,consumer discretionary,financials,financials
consumer staples,consumer staples,consumer staples,consumer staples,financials,consumer staples,consumer discretionary
real estate,real estate,industrials,real estate,real estate,real estate,financials
industrials,industrials,consumer discretionary,industrials,industrials,industrials,technology
consumer discretionary,consumer discretionary,healthcare,consumer discretionary,basic materials,consumer discretionary,healthcare
technology,technology,industrials,technology,financials,technology,energy
financials,financials,technology,financials,industrials,financials,financials
industrials,industrials,energy,industrials,technology,industrials,industrials
consumer discretionary,consumer discretionary,basic materials,consumer discretionary,technology,consumer discretionary,consumer discretionary
industrials,industrials,consumer discretionary,industrials,consumer discretionary,industrials,consumer discretionary
healthcare,healthcare,technology,healthcare,financials,healthcare,financials
financials,financials,basic materials,financials,industrials,financials,industrials
consumer discretionary,consumer discretionary,utilities,consumer discretionary,technology,consumer discretionary,consumer staples
consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,communication services,consumer discretionary,energy
basic materials,basic materials,technology,basic materials,industrials,basic materials,financials
technology,technology,basic materials,technology,industrials,technology,technology
consumer staples,consumer staples,technology,consumer staples,healthcare,consumer staples,energy
technology,technology,healthcare,technology,communication services,technology,consumer staples
financials,financials,financials,financials,technology,financials,basic materials
communication services,communication services,consumer discretionary,communication services,financials,communication services,                                        technology                                    
communication services,communication services,technology,communication services,utilities,communication services,communication services
consumer discretionary,consumer discretionary,industrials,consumer discretionary,financials,consumer discretionary,technology
basic materials,basic materials,healthcare,basic materials,financials,basic materials,industrials
communication services,communication services,consumer discretionary,communication services,consumer staples,communication services,healthcare
consumer staples,consumer staples,technology,consumer staples,consumer staples,consumer staples,basic materials
consumer staples,consumer staples,financials,consumer staples,healthcare,consumer staples,communication services
healthcare,healthcare,energy,healthcare,consumer discretionary,healthcare,consumer staples
financials,financials,basic materials,financials,consumer discretionary,financials,consumer staples
consumer staples,consumer staples,energy,consumer staples,financials,consumer staples,financials
industrials,industrials,technology,industrials,financials,industrials,technology
consumer discretionary,consumer discretionary,basic materials,consumer discretionary,utilities,consumer discretionary,industrials
financials,financials,basic materials,financials,real estate,financials,financials
financials,financials,financials,financials,industrials,financials,financials
energy,energy,utilities,energy,financials,energy,communication services
industrials,industrials,real estate,industrials,financials,industrials,industrials
financials,financials,financials,financials,technology,financials,technology
industrials,industrials,financials,industrials,industrials,industrials,basic materials
energy,energy,healthcare,energy,energy,energy,energy
energy,energy,financials,energy,consumer discretionary,energy,industrials
consumer discretionary,consumer discretionary,industrials,consumer discretionary,real estate,consumer discretionary,technology
industrials,industrials,healthcare,industrials,financials,industrials,industrials
energy,energy,healthcare,energy,financials,energy,financials
industrials,industrials,real estate,industrials,financials,industrials,technology
communication services,communication services,financials,communication services,consumer discretionary,communication services,technology
healthcare,healthcare,industrials,healthcare,consumer discretionary,healthcare,industrials
consumer staples,consumer staples,financials,consumer staples,financials,consumer staples,energy
consumer discretionary,consumer discretionary,energy,consumer discretionary,consumer staples,consumer discretionary,communication services
basic materials,basic materials,consumer staples,basic materials,industrials,basic materials,financials
healthcare,healthcare,healthcare,healthcare,financials,healthcare,technology
healthcare,healthcare,industrials,healthcare,real estate,healthcare,communication services
industrials,industrials,healthcare,industrials,consumer discretionary,industrials,industrials
utilities,utilities,energy,utilities,financials,utilities,healthcare
financials,financials,consumer staples,financials,consumer discretionary,financials,consumer staples
financials,financials,technology,financials,real estate,financials,industrials
financials,financials,consumer discretionary,financials,industrials,financials,consumer discretionary
basic materials,basic materials,technology,basic materials,consumer staples,basic materials,healthcare
financials,financials,consumer staples,financials,consumer discretionary,financials,industrials
financials,financials,basic materials,financials,energy,financials,technology
technology,technology,industrials,technology,financials,technology,energy
financials,financials,industrials,financials,consumer staples,financials,basic materials
healthcare,healthcare,utilities,healthcare,consumer discretionary,healthcare,consumer discretionary
technology,technology,communication services,technology,industrials,technology,technology
basic materials,basic materials,financials,basic materials,real estate,basic materials,basic materials
healthcare,healthcare,energy,healthcare,technology,healthcare,utilities
financials,financials,communication services,financials,real estate,financials,consumer staples
real estate,real estate,financials,real estate,financials,real estate,financials
healthcare,healthcare,energy,healthcare,financials,healthcare,financials
financials,financials,consumer discretionary,financials,financials,financials,industrials
technology,technology,industrials,technology,consumer discretionary,technology,consumer discretionary
financials,financials,financials,financials,consumer staples,financials,consumer discretionary
consumer discretionary,consumer discretionary,industrials,consumer discretionary,real estate,consumer discretionary,communication services
utilities,utilities,communication services,utilities,financials,utilities,consumer discretionary
energy,energy,real estate,energy,basic materials,energy,energy
utilities,utilities,technology,utilities,consumer discretionary,utilities,industrials
technology,technology,basic materials,technology,financials,technology,technology
financials,financials,real estate,financials,consumer discretionary,financials,technology
healthcare,healthcare,consumer staples,healthcare,consumer discretionary,healthcare,consumer discretionary
healthcare,healthcare,energy,healthcare,financials,healthcare,financials
healthcare,healthcare,consumer discretionary,healthcare,consumer discretionary,healthcare,energy
financials,financials,consumer staples,financials,consumer discretionary,financials,utilities
energy,energy,energy,energy,real estate,energy,basic materials
financials,financials,consumer staples,financials,consumer discretionary,financials,industrials
consumer discretionary,consumer discretionary,healthcare,consumer discretionary,financials,consumer discretionary,financials
technology,technology,communication services,technology,industrials,technology,healthcare
financials,financials,technology,financials,consumer discretionary,financials,consumer discretionary
healthcare,healthcare,consumer discretionary,healthcare,consumer discretionary,healthcare,communication services
industrials,financials,financials,financials,energy,financials,technology
real estate,industrials,utilities,industrials,industrials,industrials,consumer staples
technology,communication services,basic materials,communication services,financials,communication services,financials
consumer discretionary,industrials,basic materials,industrials,financials,industrials,energy
basic materials,basic materials,technology,basic materials,industrials,basic materials,industrials
energy,consumer staples,financials,consumer staples,technology,consumer staples,consumer staples
healthcare,financials,utilities,financials,industrials,financials,consumer staples
energy,energy,industrials,energy,financials,energy,communication services
technology,healthcare,consumer discretionary,healthcare,industrials,healthcare,industrials
industrials,basic materials,financials,basic materials,financials,basic materials,consumer staples
consumer discretionary,healthcare,industrials,healthcare,financials,healthcare,healthcare
basic materials,industrials,industrials,industrials,industrials,industrials,industrials
technology,financials,communication services,financials,financials,financials,utilities
communication services,utilities,consumer staples,utilities,consumer discretionary,utilities,basic materials
technology,utilities,consumer discretionary,utilities,industrials,utilities,technology
financials,financials,technology,financials,consumer discretionary,financials,healthcare
industrials,communication services,industrials,communication services,basic materials,communication services,financials
technology,real estate,industrials,real estate,communication services,real estate,consumer discretionary
basic materials,financials,healthcare,financials,real estate,financials,technology
healthcare,financials,consumer staples,financials,consumer discretionary,financials,industrials
financials,technology,utilities,technology,financials,technology,healthcare
industrials,utilities,utilities,utilities,industrials,utilities,consumer discretionary
consumer discretionary,industrials,industrials,industrials,financials,industrials,technology
basic materials,healthcare,industrials,healthcare,financials,healthcare,financials
communication services,basic materials,communication services,basic materials,communication services,basic materials,energy
healthcare,healthcare,financials,healthcare,real estate,healthcare,basic materials
consumer staples,industrials,real estate,industrials,financials,industrials,energy
technology,financials,healthcare,financials,real estate,financials,technology
consumer discretionary,financials,financials,financials,industrials,financials,consumer staples
communication services,industrials,basic materials,industrials,industrials,industrials,technology
healthcare,industrials,technology,industrials,industrials,industrials,financials
financials,financials,financials,financials,financials,financials,healthcare
technology,financials,financials,financials,consumer discretionary,financials,communication services
consumer staples,financials,utilities,financials,technology,financials,consumer discretionary
technology,real estate,industrials,real estate,industrials,real estate,technology
energy,basic materials,industrials,basic materials,financials,basic materials,consumer staples
basic materials,consumer discretionary,technology,consumer discretionary,consumer discretionary,consumer discretionary,healthcare
energy,consumer staples,industrials,consumer staples,financials,consumer staples,communication services
financials,utilities,utilities,utilities,communication services,utilities,basic materials
technology,technology,energy,technology,technology,technology,consumer discretionary
consumer discretionary,consumer discretionary,technology,consumer discretionary,real estate,consumer discretionary,industrials
healthcare,technology,industrials,technology,real estate,technology,financials
industrials,industrials,basic materials,industrials,basic materials,industrials,healthcare
technology,basic materials,communication services,basic materials,financials,basic materials,basic materials
consumer discretionary,industrials,industrials,industrials,industrials,industrials,technology
financials,healthcare,healthcare,healthcare,financials,healthcare,industrials
healthcare,utilities,real estate,utilities,financials,utilities,financials
technology,technology,technology,technology,industrials,technology,technology
basic materials,financials,financials,financials,financials,financials,communication services
technology,consumer discretionary,consumer discretionary,consumer discretionary,technology,consumer discretionary,technology
energy,communication services,industrials,communication services,financials,communication services,basic materials
healthcare,technology,industrials,technology,financials,technology,consumer discretionary
healthcare,financials,energy,financials,utilities,financials,industrials
technology,communication services,communication services,communication services,basic materials,communication services,technology
financials,energy,financials,energy,technology,energy,energy
technology,industrials,utilities,industrials,financials,industrials,healthcare
technology,technology,industrials,technology,communication services,technology,energy
industrials,technology,consumer staples,technology,consumer discretionary,technology,basic materials
financials,financials,basic materials,financials,real estate,financials,consumer discretionary
consumer discretionary,industrials,healthcare,industrials,financials,industrials,technology
financials,technology,consumer discretionary,technology,technology,technology,real estate
industrials,industrials,utilities,industrials,communication services,industrials,industrials
industrials,energy,industrials,energy,technology,energy,basic materials
communication services,basic materials,consumer discretionary,basic materials,financials,basic materials,financials
technology,technology,healthcare,technology,communication services,technology,utilities
technology,industrials,healthcare,industrials,communication services,industrials,real estate
healthcare,communication services,real estate,communication services,healthcare,communication services,financials
communication services,financials,financials,financials,consumer discretionary,financials,financials
basic materials,financials,healthcare,financials,financials,financials,healthcare
utilities,industrials,financials,industrials,technology,industrials,financials
financials,technology,consumer staples,technology,financials,technology,industrials
communication services,financials,communication services,financials,consumer staples,financials,healthcare
financials,consumer staples,financials,consumer staples,industrials,consumer staples,healthcare
communication services,consumer staples,consumer discretionary,consumer staples,real estate,consumer staples,real estate
financials,communication services,energy,communication services,utilities,communication services,financials
financials,basic materials,financials,basic materials,financials,basic materials,industrials
consumer staples,healthcare,technology,healthcare,financials,healthcare,financials
healthcare,industrials,financials,industrials,industrials,industrials,communication services
industrials,technology,financials,technology,technology,technology,technology
financials,communication services,financials,communication services,communication services,communication services,basic materials
consumer discretionary,technology,consumer discretionary,technology,real estate,,financials
financials,basic materials,technology,basic materials,financials,basic materials,energy
energy,consumer staples,technology,consumer staples,financials,consumer staples,financials
financials,energy,consumer discretionary,energy,financials,energy,financials
consumer discretionary,technology,real estate,technology,financials,technology,energy
healthcare,financials,financials,financials,financials,financials,energy
financials,energy,industrials,energy,financials,energy,technology
financials,consumer staples,industrials,consumer staples,consumer discretionary,consumer staples,healthcare
communication services,industrials,communication services,industrials,consumer discretionary,industrials,financials
energy,financials,financials,financials,energy,financials,consumer staples
industrials,consumer discretionary,consumer discretionary,consumer discretionary,energy,consumer discretionary,consumer staples
energy,consumer discretionary,technology,consumer discretionary,industrials,consumer discretionary,healthcare
healthcare,industrials,financials,industrials,financials,industrials,consumer discretionary
financials,financials,financials,financials,energy,financials,industrials
technology,energy,consumer discretionary,energy,industrials,energy,consumer staples
financials,healthcare,basic materials,healthcare,financials,healthcare,consumer staples
healthcare,technology,financials,technology,financials,technology,basic materials
industrials,financials,real estate,financials,financials,financials,technology
technology,consumer discretionary,financials,consumer discretionary,industrials,consumer discretionary,consumer staples
technology,financials,financials,financials,basic materials,financials,consumer staples
financials,utilities,financials,utilities,consumer discretionary,utilities,healthcare
industrials,industrials,real estate,industrials,financials,industrials,industrials
communication services,healthcare,industrials,healthcare,communication services,healthcare,consumer discretionary
