id,name,rank,market_cap,country,share_price,change_1_day,change_1_year,categories
1aeb78c70807445290795f145210a39e,Apple,1,$2.351 T,USA,$147.81,-0.34%,-9.74%,"['Tech', 'Software', 'Dow jones', 'Tech Hardware', 'Electronics']"
8443bd488b2543718e4dab19e7d1b371,Bristol-myers Squibb,57,$172.49 B,USA,$81.13,0.31%,46.42%,"['Pharmaceuticals', 'Biotech']"
d35ff63680a645f986048ab48d2fe322,Wells Fargo,56,$175.05 B,USA,$45.94,-1.98%,-6.07%,"['Banks', 'Financial services']"
0664af11c7b9417bab58542ffa880c0e,Nike,55,$175.54 B,USA,$112.20,1.29%,-34.00%,"['Sports goods', 'Footwear', 'Dow jones', 'Clothing']"
4a67737ea89e450b8e8677a91e90327f,Walt Disney,54,$177.08 B,USA,$99.43,0.85%,-32.45%,"['Entertainment', 'Dow jones']"
078fc42523be4528a0eb804f7ceb4ddf,Abbott Laboratories,53,$188.46 B,USA,$108.09,0.15%,-15.80%,['Medical devices']
d38f5769cb644305bf77af14794bd780,Accenture,52,$189.25 B,Ireland,$300.13,-0.89%,-17.84%,['Professional services']
97f59071fdc74c589f7ad77a8903f429,T-mobile Us,51,$189.62 B,USA,$152.41,0.40%,38.10%,['Telecommunication']
9fe6e0ddabc04a8ebc3d091c9e3071f2,Novartis,50,$194.41 B,Switzerland,$89.99,0.19%,12.56%,"['Pharmaceuticals', 'Biotech']"
03ad6161d67b479588cd2cdcf7e0b3d5,Toyota,48,$199.92 B,Japan,$146.53,-0.77%,-20.00%,"['Automakers', 'Manufacturing']"
e44046a2f67e4062823fb2f75e3edd7f,Danaher,49,$199.62 B,USA,$274.23,-0.11%,-13.23%,['Conglomerate']
af046f3fff4f48a598f3a5b14577a590,Mcdonald,47,$200.24 B,USA,$273.40,0.00%,9.89%,"['Restaurant chains', 'Dow jones', 'Food']"
a2720ae15d4745578a8ab1b5d3fb3db2,Icbc,46,$201.96 B,China,$0.49,-2.30%,-10.91%,"['Banks', 'Financial services']"
b568ec4c2bc340ac84c13758f1aa1d62,L'oréal,44,$204.92 B,France,$379.90,0.66%,-15.71%,"['Consumer goods', 'CAC 40', 'Cosmetics and Beauty']"
53570c24ff194326bc028c09f4d7ea22,Cisco,45,$204.17 B,USA,$49.70,-0.54%,-11.49%,"['Tech', 'Electronics', 'Networking hardware', 'Dow jones', 'Telecommunications equipment', 'Tech Hardware']"
6872065415084028ac623ff75960e708,Shell,43,$206.97 B,UK,$57.72,-0.57%,31.57%,"['Oil&Gas', 'Energy']"
c55fcaae5766410086136058e5b43c6d,Costco,41,$218.88 B,USA,$494.53,-1.85%,-5.90%,"['Retail', 'Supermarket Chains']"
144b8ddc219c44ad956c4781a1f629fd,Astrazeneca,42,$213.83 B,UK,$68.47,0.19%,24.97%,"['Pharmaceuticals', 'Biotech']"
e3386793215d497fb47a51cd80ce7f22,Thermo Fisher Scientific,39,$220.80 B,USA,$563.00,-0.28%,-10.29%,"['Scientific & Technical Instruments', 'Diagnostics and Testing', 'Biotech']"
0b7e1b00e5014e4b8792d845e132d156,Broadcom,40,$219.02 B,USA,$540.80,-1.81%,-2.11%,"['Semiconductors', 'Tech']"
6ba9e5b462a04029bcccfdc2ab95c3dc,Reliance Industries,37,$226.23 B,India,$33.44,-0.04%,1.03%,['Conglomerate']
4535db9cb7d141bc9b893ba49d26d5bb,Oracle,38,$224.72 B,USA,$83.35,-0.90%,-7.38%,"['Tech', 'Software']"
a61cf8da5db749b6881706f13e458a43,Asml,35,$247.88 B,Netherlands,$605.71,-0.91%,-23.27%,"['Semiconductors', 'Tech', 'Tech Hardware']"
9d3f40983f3f4e23baea0c4f76747d6d,Alibaba,36,$240.69 B,China,$90.06,4.79%,-26.18%,"['E-Commerce', 'Tech', 'Internet', 'Retail']"
5c23590bf0ed4f638e694bac3ec432c4,Merck,31,$278.99 B,USA,$110.04,0.22%,48.92%,"['Pharmaceuticals', 'Dow jones', 'Biotech']"
a3800a0eb5234939b4d9952715a2fd4e,Coca-cola,32,$278.28 B,USA,$64.35,0.88%,21.25%,"['Beverages', 'Dow jones']"
9c59e22de2e94722ac0cf47bf78c3526,Roche,33,$270.73 B,Switzerland,$329.15,-0.56%,-16.63%,"['Pharmaceuticals', 'Biotech']"
ba491303dd7f41ec995a6ae4012dadb4,Novo Nordisk,30,$285.74 B,Denmark,$126.90,0.61%,19.00%,"['Pharmaceuticals', 'Biotech']"
bb6653c1a8a34e5986c334d9e08053ad,Abbvie,28,$289.42 B,USA,$163.66,1.26%,40.04%,"['Biotech', 'Pharmaceuticals']"
57e8c2311cac4ae8a8dcf704263fadda,Pfizer,29,$285.77 B,USA,$50.91,-0.33%,-4.02%,"['Pharmaceuticals', 'Biotech']"
1ab0ccf2fae54fe386ff71baa18ae409,Kweichow Moutai,26,$292.41 B,China,$232.78,0.19%,-23.36%,"['Alcoholic beverages', 'Beverages']"
bd288e9353194055bf8dabe7f6924056,Bank Of America,27,$289.44 B,USA,$36.08,-1.29%,-19.63%,"['Banks', 'Financial services']"
1544f5604f3d49cba7489b7704ce1017,Nestlé,23,$331.82 B,Switzerland,$120.66,-0.63%,-5.70%,['Food']
7a90f062c1ce4cd78156c0433b431e81,Meta Platforms (facebook),24,$327.43 B,USA,$123.49,2.53%,-60.21%,"['Tech', 'Internet']"
5d46c92b7e2f4f8886d0814f6c10f4df,Samsung,25,$312.57 B,South Korea,$46.54,-3.51%,-27.73%,"['Tech', 'Electronics', 'Tech Hardware', 'Manufacturing', 'Semiconductors']"
4bd4d2e0621e4f1a9832e04d75491ee7,Home Depot,22,$334.28 B,USA,$327.99,0.28%,-19.56%,"['Retail', 'Dow jones']"
b13f2a823d1b43f3a10de1ea4c864839,Chevron,20,$350.04 B,USA,$181.03,-0.80%,57.23%,"['Oil&Gas', 'Dow jones', 'Energy']"
