,country,market_value_apr_2022,name,revenue_2022
0,united states,doll_741.48 b,berkshire hathaway,doll_276.09 b
1,china,doll_214.43 b,icbc,doll_208.13 b
2,saudi arabia,"doll_2,292.08 b",saudi arabian oil company (saudi aramco),doll_400.38 b
3,united states,doll_374.45 b,jpmorgan chase,doll_124.54 b
4,china,doll_181.32 b,china construction bank,doll_202.07 b
5,united states,"doll_1,468.4 b",amazon,doll_469.82 b
6,united states,"doll_2,640.32 b",apple,doll_378.7 b
7,china,doll_133.38 b,agricultural bank of china,doll_181.42 b
8,united states,doll_303.1 b,bank of america,doll_96.83 b
9,japan,doll_237.73 b,toyota motor,doll_281.75 b
10,united states,"doll_1,581.72 b",alphabet,doll_257.49 b
11,united states,"doll_2,054.37 b",microsoft,doll_184.9 b
12,china,doll_117.83 b,bank of china,doll_152.43 b
13,south korea,doll_367.26 b,samsung group,doll_244.16 b
14,united states,doll_359.73 b,exxonmobil,doll_280.51 b
15,united kingdom,doll_211.1 b,shell,doll_261.76 b
16,china,doll_121.69 b,ping an insurance group,doll_181.37 b
17,united states,doll_176.77 b,wells fargo,doll_84.12 b
18,united states,doll_218.02 b,verizon communications,doll_134.35 b
19,united states,doll_141.79 b,at&t,doll_163.03 b
20,china,doll_142.3 b,petrochina,doll_380.31 b
21,united states,doll_490.15 b,unitedhealth group,doll_297.55 b
22,united states,doll_431.64 b,walmart,doll_572.75 b
23,china,doll_167.32 b,china merchants bank,doll_71.07 b
24,germany,doll_82.4 b,volkswagen group,doll_295.73 b
25,united states,doll_316.23 b,chevron,doll_156.29 b
26,united states,doll_101.48 b,citigroup,doll_79.94 b
27,china,doll_414.28 b,tencent holdings,doll_86.86 b
28,france,doll_127.32 b,total,doll_185.12 b
29,china,doll_125.53 b,postal savings bank of china (psbc),doll_77.61 b
30,hong kong,doll_147.05 b,china mobile,doll_131.49 b
31,united states,doll_205.72 b,comcast,doll_116.39 b
32,china,doll_237.78 b,alibaba group,doll_129.76 b
33,united states,doll_499.86 b,meta platforms,doll_117.93 b
34,germany,doll_96.42 b,allianz,doll_138.62 b
35,united states,doll_150.95 b,morgan stanley,doll_60.22 b
36,united states,doll_109.32 b,goldman sachs group,doll_62.81 b
37,united kingdom,doll_135.3 b,hsbc holdings,doll_59.33 b
38,france,doll_68.76 b,bnp paribas,doll_127.42 b
39,united states,doll_477.38 b,johnson & johnson,doll_94.88 b
40,germany,doll_74.62 b,mercedes-benz group,doll_178.94 b
41,united states,doll_133.53 b,cvs health,doll_291.98 b
42,united states,doll_271.83 b,pfizer,doll_81.49 b
43,japan,doll_71.69 b,softbank,doll_96.86 b
44,china,doll_80.81 b,sinopec,doll_384.82 b
45,canada,doll_147.92 b,rbc,doll_45.24 b
46,switzerland,doll_360.01 b,nestlã©,doll_95.25 b
47,france,doll_65.75 b,axa group,doll_145.19 b
48,russia,doll_63.56 b,gazprom,doll_117.3 b
49,united kingdom,doll_98.38 b,bp,doll_158.01 b
50,united states,doll_190.29 b,intel,doll_79.02 b
51,canada,doll_132.99 b,td bank group,doll_38.51 b
52,japan,doll_103.98 b,nippon telegraph & tel,doll_110.39 b
53,india,doll_228.63 b,reliance industries,doll_86.85 b
54,china,doll_68.59 b,industrial bank,doll_60.53 b
55,japan,doll_108.84 b,sony,doll_89.9 b
56,spain,doll_58.21 b,santander,doll_78.22 b
57,japan,doll_75.75 b,mitsubishi ufj financial,doll_48.28 b
58,taiwan,doll_494.6 b,taiwan semiconductor,doll_61.47 b
59,canada,doll_60.8 b,ford motor,doll_136.34 b
60,france,doll_346.8 b,lvmh moã«t hennessy louis vuitton,doll_75.9 b
61,china,doll_52.82 b,bank of communications,doll_76 b
62,united states,doll_386.53 b,procter & gamble,doll_79.62 b
63,germany,doll_55.98 b,bmw group,doll_131.48 b
64,brazil,doll_83.98 b,petrobras,doll_83.89 b
65,germany,doll_91.72 b,deutsche telekom,doll_128.59 b
66,united states,doll_273.76 b,abbvie,doll_56.2 b
67,switzerland,doll_200.73 b,novartis,doll_51.63 b
68,united states,doll_57.89 b,general motors,doll_127 b
69,norway,doll_117.87 b,equinor,doll_88.37 b
70,china,doll_43.02 b,china life insurance,doll_130.5 b
71,switzerland,doll_308.14 b,roche holding,doll_68.69 b
72,hong kong,doll_120.19 b,aia group,doll_45.16 b
73,united states,doll_57.39 b,metlife,doll_71.08 b
74,australia,doll_178.07 b,bhp group,doll_65.55 b
75,canada,doll_310.13 b,the home depot,doll_151.16 b
76,united states,doll_136.72 b,american express,doll_46.29 b
77,germany,doll_102.23 b,siemens,doll_76.46 b
78,netherlands,doll_44.26 b,stellantis,doll_176.61 b
79,switzerland,doll_69.22 b,zurich insurance group,doll_69.58 b
80,russia,doll_48.79 b,rosneft,doll_111.4 b
81,united kingdom,doll_117.78 b,rio tinto,doll_63.46 b
82,canada,doll_80.94 b,brookfield asset management,doll_78.82 b
83,united states,doll_81.2 b,cigna,doll_174.27 b
84,united states,doll_43.6 b,prudential financial,doll_70.93 b
85,united states,doll_238.13 b,pepsico,doll_79.47 b
86,united states,doll_213.83 b,merck & co.,doll_50.37 b
87,united states,doll_121.25 b,elevance health,doll_144.35 b
88,canada,doll_80.58 b,bank of nova scotia,doll_30.35 b
89,united states,doll_48.73 b,american international group,doll_52.06 b
90,switzerland,doll_79.9 b,glencore international,doll_203.41 b
91,united states,doll_213.36 b,cisco systems,doll_51.55 b
92,belgium,doll_118.52 b,anheuser-busch inbev,doll_54.33 b
93,united states,doll_215.33 b,walt disney,doll_72.98 b
94,switzerland,doll_87.31 b,chubb,doll_40.95 b
95,hong kong,doll_31.96 b,citic,doll_91.21 b
96,united kingdom,doll_41.34 b,lloyds banking group,doll_58.48 b
97,united states,doll_124.33 b,ibm,doll_67.25 b
98,france,doll_136.86 b,sanofi,doll_44.63 b
99,united states,doll_163.03 b,united parcel service,doll_97.2 b
100,united kingdom,doll_97.49 b,british american tobacco,doll_35.32 b
101,switzerland,doll_56.17 b,ubs,doll_35.22 b
102,japan,doll_44.99 b,honda motor,doll_130.16 b
103,japan,doll_50.87 b,mitsubishi,doll_146.94 b
104,china,doll_36.91 b,china state construction engineering,doll_205.79 b
105,india,doll_58.39 b,state bank of india,doll_54.42 b
106,australia,doll_130.34 b,commonwealth bank,doll_21.85 b
107,china,doll_36.6 b,shanghai pudong development,doll_54.77 b
108,united states,doll_149.76 b,raytheon technologies,doll_64.36 b
109,italy,doll_65.84 b,enel,doll_99.41 b
110,italy,doll_52.28 b,eni,doll_90.5 b
111,united states,doll_54.88 b,capital one,doll_32.12 b
112,united states,doll_160.98 b,bristol myers squibb,doll_46.38 b
113,united states,doll_282.86 b,coca-cola,doll_38.73 b
114,united states,doll_203.34 b,oracle,doll_41.83 b
115,russia,doll_33.98 b,sberbank,doll_57.37 b
116,canada,doll_72.74 b,bank of montreal,doll_26.53 b
117,brazil,doll_82.03 b,vale,doll_54.4 b
118,france,doll_35.09 b,edf,doll_99.83 b
119,united states,doll_219.71 b,thermo fisher scientific,doll_39.21 b
120,france,doll_31.42 b,credit agricole,doll_73.61 b
121,netherlands,doll_88.6 b,airbus,doll_61.64 b
122,united states,doll_253.39 b,costco wholesale,doll_210.22 b
123,taiwan,doll_49.04 b,hon hai precision,doll_214.6 b
124,united kingdom,doll_116.16 b,unilever,doll_62 b
125,united states,doll_97.92 b,charter communications,doll_51.68 b
126,japan,doll_42.33 b,sumitomo mitsui financial,doll_35.5 b
127,united states,doll_124.43 b,conocophillips,doll_46.06 b
128,united kingdom,doll_112.09 b,glaxosmithkline,doll_46.92 b
129,italy,doll_41.42 b,intesa sanpaolo,doll_47.84 b
130,canada,doll_39.76 b,manulife,doll_47.17 b
131,united states,doll_75.48 b,us bancorp,doll_23.12 b
132,germany,doll_51.78 b,basf,doll_92.9 b
133,hong kong,doll_62.6 b,cnooc,doll_37.77 b
134,united states,doll_210.98 b,abbott laboratories,doll_44.51 b
135,spain,doll_70.26 b,iberdrola,doll_46.23 b
136,china,doll_62.81 b,china shenhua energy,doll_52.02 b
137,brazil,doll_52.89 b,itaãº unibanco holding,doll_35.96 b
138,united states,doll_115.91 b,caterpillar,doll_50.98 b
139,japan,doll_40.83 b,mitsui,doll_108.31 b
140,japan,doll_45.95 b,itochu,doll_107.99 b
141,united states,doll_127.6 b,charles schwab,doll_18.98 b
142,united states,doll_67.64 b,truist financial,doll_23.19 b
143,canada,doll_90.92 b,enbridge,doll_37.55 b
144,japan,doll_45.78 b,hitachi,doll_91.9 b
145,japan,doll_74.12 b,kddi,doll_49.17 b
146,south korea,doll_37.61 b,hyundai motor,doll_102.7 b
147,china,doll_25.26 b,china citic bank,doll_56.99 b
148,united states,doll_436.49 b,visa,doll_25.48 b
149,united states,doll_111.76 b,target,doll_106 b
150,spain,doll_35.28 b,bbva-banco bilbao vizcaya,doll_41.98 b
151,united states,"doll_1,038.73 b",tesla,doll_53.82 b
152,united states,doll_123.81 b,deere & company,doll_44.45 b
153,india,doll_98.28 b,hdfc bank,doll_22.51 b
154,united kingdom,doll_31.55 b,barclays,doll_30.17 b
155,germany,doll_35.48 b,munich re,doll_84.88 b
156,japan,doll_26.56 b,japan post holdings,doll_103.58 b
157,united states,doll_39.34 b,walgreens,doll_135.95 b
158,united states,doll_189.4 b,danaher,doll_30.28 b
159,italy,doll_31.36 b,generali group,doll_102.13 b
160,denmark,doll_51.41 b,mã¸ller-maersk,doll_61.95 b
161,united states,doll_130.37 b,lowe's,doll_96.25 b
162,united states,doll_53.19 b,fedex,doll_91.55 b
163,germany,doll_55.04 b,deutsche post,doll_96.62 b
164,united states,doll_71.9 b,pnc financial services,doll_19.93 b
165,united states,doll_239.64 b,broadcom,doll_28.5 b
166,russia,doll_32.17 b,lukoil,doll_125.11 b
167,ireland,doll_144.62 b,medtronic,doll_31.79 b
168,germany,doll_124.02 b,sap,doll_33.18 b
169,south korea,doll_61.31 b,sk hynix,doll_37.55 b
170,france,doll_31.5 b,engie,doll_68.4 b
171,united states,doll_118.82 b,lockheed martin,doll_65.75 b
172,united states,doll_100.8 b,blackrock,doll_20.3 b
173,australia,doll_61.42 b,westpac banking group,doll_20.46 b
174,united states,doll_87.98 b,duke energy,doll_25.1 b
175,united states,doll_35.64 b,dell technologies,doll_106.84 b
176,france,doll_56.87 b,vinci,doll_59.08 b
177,japan,doll_35.19 b,tokio marine holdings,doll_50.57 b
178,mexico,doll_67.84 b,amã©rica mã³vil,doll_48.37 b
179,germany,doll_28.52 b,e.on,doll_91.44 b
180,united kingdom,doll_59.44 b,anglo american,doll_41.52 b
181,brazil,doll_43.16 b,banco bradesco,doll_28.33 b
182,netherlands,doll_39.03 b,ing group,doll_21.49 b
183,ireland,doll_196.86 b,accenture,doll_56.7 b
184,united states,doll_130.67 b,honeywell international,doll_34.39 b
185,japan,doll_31.38 b,mizuho financial,doll_26.76 b
186,united kingdom,doll_157.26 b,linde,doll_30.79 b
187,luxembourg,doll_28.98 b,arcelormittal,doll_76.65 b
188,canada,doll_51.21 b,canadian imperial bank,doll_18.66 b
189,china,doll_32.81 b,poly developments & holdings group,doll_42.94 b
190,united states,doll_77.51 b,micron technology,doll_31.17 b
191,australia,doll_56.23 b,anz,doll_18.38 b
192,taiwan,doll_30.63 b,fubon financial,doll_33.23 b
193,china,doll_35.23 b,china telecom,doll_68.15 b
194,united states,doll_63.62 b,hca healthcare,doll_59.72 b
195,united states,doll_50.35 b,dow,doll_58.35 b
196,spain,doll_29.44 b,telefã³nica,doll_46.42 b
197,china,doll_27.92 b,china vanke,doll_71.42 b
198,australia,doll_77.24 b,nab - national australia bank,doll_15.76 b
199,taiwan,doll_28.9 b,cathay financial,doll_34.46 b
200,united states,doll_149.68 b,qualcomm,doll_36.04 b
201,france,doll_195.52 b,l'orã©al,doll_38.16 b
202,canada,doll_36.45 b,allstate,doll_50.59 b
203,china,doll_28.87 b,saic motor,doll_121.42 b
204,india,doll_67.9 b,icici bank,doll_21.89 b
205,china,doll_20.11 b,china everbright bank,doll_42.38 b
206,united states,doll_78.17 b,gilead sciences,doll_27.37 b
207,china,doll_22.69 b,china pacific insurance,doll_68.07 b
208,united states,doll_489.83 b,nvidia,doll_26.91 b
209,united states,doll_133.63 b,amgen,doll_25.99 b
210,united states,doll_147.23 b,union pacific,doll_22.66 b
211,japan,doll_19.9 b,dai-ichi life insurance,doll_66.73 b
212,canada,doll_203.13 b,nike,doll_46.89 b
213,japan,doll_45.32 b,takeda pharmaceutical,doll_31.55 b
214,united states,doll_159.18 b,philip morris international,doll_31.51 b
215,united states,doll_100.22 b,paypal,doll_25.56 b
216,hong kong,doll_32.45 b,china resources land,doll_33.61 b
217,singapore,doll_39.71 b,oversea-chinese banking,doll_22.89 b
218,china,doll_60.55 b,midea group,doll_50.6 b
219,united states,doll_41.54 b,travelers,doll_35.31 b
220,united states,doll_265.45 b,eli lilly,doll_28.32 b
221,united states,doll_89.98 b,mondelez international,doll_28.72 b
222,united states,doll_185.03 b,mcdonald's,doll_23.22 b
223,canada,doll_98.13 b,general electric,doll_74.08 b
224,france,doll_19.37 b,sociã©tã© gã©nã©rale,doll_35.57 b
225,france,doll_85.36 b,schneider electric,doll_34.16 b
226,united states,doll_84.9 b,3m,doll_35.35 b
227,united states,doll_41.15 b,aflac,doll_22.11 b
228,india,doll_28.62 b,oil & natural gas,doll_66.28 b
229,united states,doll_80.48 b,southern company,doll_23.23 b
230,germany,doll_24.54 b,deutsche bank,doll_36.7 b
231,thailand,doll_31.34 b,ptt,doll_70.55 b
232,hong kong,doll_27.91 b,ck hutchison,doll_36.13 b
233,canada,doll_74.27 b,canadian natural resources,doll_23.97 b
234,canada,doll_30.71 b,sun life financial,doll_29.82 b
235,united states,doll_69.84 b,northrop grumman,doll_35.67 b
236,united states,doll_51.85 b,archer daniels midland,doll_85.26 b
237,united states,doll_48.64 b,marathon petroleum,doll_119.78 b
238,china,doll_16.74 b,china minsheng bank,doll_50.08 b
239,united kingdom,doll_19.63 b,legal & general group,doll_62.51 b
240,united states,doll_95.68 b,netflix,doll_30.4 b
241,united states,doll_63.37 b,progressive,doll_48.07 b
242,china,doll_30.05 b,longfor group holdings,doll_34.8 b
243,singapore,doll_63.03 b,dbs,doll_12.4 b
244,china,doll_25.8 b,cosco shipping,doll_51.77 b
245,china,doll_19.1 b,china communications construction,doll_108.41 b
246,united kingdom,doll_30.22 b,natwest group,doll_17.86 b
247,united states,doll_47.68 b,exelon,doll_39.27 b
248,united states,doll_56.34 b,humana,doll_84.09 b
249,united states,doll_66.42 b,general dynamics,doll_38.47 b
250,canada,doll_20.47 b,power corp of canada,doll_57.93 b
251,qatar,doll_59.09 b,qatar national bank,doll_14.2 b
252,germany,doll_70.06 b,bayer,doll_52.1 b
253,united states,doll_30.6 b,kkr,doll_19.02 b
254,china,doll_15.65 b,country garden holdings,doll_81.13 b
255,united states,doll_145.27 b,nextera energy,doll_23.74 b
256,south korea,doll_19.29 b,kb financial group,doll_33.86 b
257,china,doll_15.36 b,china railway group,doll_166.46 b
258,united states,doll_38.75 b,hp,doll_64.98 b
259,finland,doll_40.26 b,nordea bank,doll_13.56 b
260,japan,doll_39.19 b,seven & i holdings,doll_78.47 b
261,canada,doll_46.27 b,suncor energy,doll_31.21 b
262,united states,doll_169.72 b,salesforce.com,doll_26.49 b
263,france,doll_81.85 b,air liquide,doll_27.58 b
264,japan,doll_45.14 b,denso,doll_49.49 b
265,united states,doll_35.68 b,bank of new york mellon,doll_16.09 b
266,united states,doll_343.27 b,mastercard,doll_18.88 b
267,brazil,doll_20.7 b,banco do brasil,doll_29.54 b
268,united states,doll_49.2 b,centene,doll_125.98 b
269,india,doll_52.3 b,hdfc,doll_18.48 b
270,united states,doll_60.97 b,freeport-mcmoran,doll_24.31 b
271,germany,doll_82.53 b,"merck kgaa, darmstadt, germany and its affiliates",doll_23.27 b
272,spain,doll_26.82 b,caixabank,doll_14.64 b
273,switzerland,doll_61.35 b,abb,doll_28.93 b
274,sweden,doll_34.7 b,volvo group,doll_43.36 b
275,united states,doll_53.05 b,occidental petroleum,doll_25.96 b
276,united kingdom,doll_54.88 b,national grid,doll_20.77 b
277,united states,doll_47.66 b,mckesson,doll_257.01 b
278,south korea,doll_18.17 b,shinhan financial group,doll_29.27 b
279,netherlands,doll_247.8 b,asml holding,doll_20.65 b
