ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
Bernard Arnault,france,237.807 Billion USD,313.500 Billion USD,409.480 Billion USD,lvmh,"150,000","70,765 Million USD",fashion and luxury goods
Ulf Mark Schneider,switzerland,311.592 Billion USD,336.110 Billion USD,372.720 Billion USD,nestle ag,"276,000","92,575 Million USD",consumer defensive
Severin Schwan,switzerland,279.684 Billion USD,295.780 Billion USD,356.150 Billion USD,roche holding ag,"100,920","66,757 Million USD",healthcare
Peter Wennink,netherlands,127.542 Billion USD,205.120 Billion USD,307.330 Billion USD,asml holding,"28,000","20,509 Million USD",technology
Bob van Dijk,netherlands,125.912 Billion USD,176.280 Billion USD,254.550 Billion USD,prosus,"23,874","6,866 Million USD",communication services
Jean Paul Agon,france,165.742 Billion USD,211.890 Billion USD,249.140 Billion USD,l'oreal,"85,392","35,580 Million USD",consumer defensive
Julie Sweet,ireland,134.171 Billion USD,173.070 Billion USD,234.500 Billion USD,accenture,"699,000","50,533 Million USD",technology
Lars Fruergaard Jorgensen,denmark,137.602 Billion USD,163.070 Billion USD,231.350 Billion USD,novo nordisk a/s,"45,971","20,838 Million USD",healthcare
Vasant Narasimhan,switzerland,215.018 Billion USD,217.770 Billion USD,201.260 Billion USD,novartis ag,"104,323","52,877 Million USD",healthcare
Ben van Beurden,netherlands,237.102 Billion USD,136.150 Billion USD,181.560 Billion USD,royal dutch shell,"86,000","180,640 Million USD",energy
Pascal Soriot,uk,135.300 Billion USD,130.990 Billion USD,178.120 Billion USD,astrazeneca,"83,100","37,417 Million USD",healthcare
Axel Dumas,france,78.337 Billion USD,112.040 Billion USD,172.040 Billion USD,hermes international,"15,417","9,898 Million USD",consumer cyclical
Sanjiv Lamba,uk,114.005 Billion USD,136.550 Billion USD,171.940 Billion USD,linde ag,"74,207","30,793 Million USD",basic materials
Christian Klein,germany,169.596 Billion USD,155.850 Billion USD,162.540 Billion USD,sap se,"107,415","30,682 Million USD",technology
Pietro Beccari,france,93.276 Billion USD,99.873 Billion USD,143.380 Billion USD,christian dior,"128,339","70,765 Million USD",consumer cyclical
Geoffrey S. Martha,ireland,153.912 Billion USD,157.670 Billion USD,141.390 Billion USD,medtronic,"90,000","31,677 Million USD",healthcare
Roland Busch,germany,108.756 Billion USD,114.390 Billion USD,138.710 Billion USD,siemens,"303,000","68,616 Million USD",industries
Patrick Pouyanne,france,144.694 Billion USD,114.130 Billion USD,138.010 Billion USD,totalenergies se,"105,476","184,630 Million USD",energy
Alan Jope,netherlands,151.747 Billion USD,157.180 Billion USD,137.220 Billion USD,unilever group,"149,000","57,793 Million USD",consumer defensive
Herbert Diess,germany,111.302 Billion USD,99.864 Billion USD,134.250 Billion USD,volkswagen,"662,575","250,120 Million USD",consumer cyclical
Noel Quinn,uk,160.680 Billion USD,105.160 Billion USD,132.940 Billion USD,hsbc holdings,"223,448","63,644 Million USD",financial services
Paul Hudson,france,127.049 Billion USD,120.410 Billion USD,126.370 Billion USD,sanofi,"95,442","43,171 Million USD",healthcare
Ivan Menezes,uk,103.621 Billion USD,91.733 Billion USD,123.290 Billion USD,diageo,"28,025","18,200 Million USD",consumer defensive
Jakob Stausholm,uk,115.285 Billion USD,93.792 Billion USD,116.980 Billion USD,rio tinto group,"49,000","63,495 Million USD",basic materials
Dame Emma Walmsley,uk,116.685 Billion USD,91.765 Billion USD,110.320 Billion USD,glaxosmithkline,"99,000","44,655 Million USD",healthcare
Michel Doukeris,belgium,163.224 Billion USD,136.860 Billion USD,109.500 Billion USD,anheuser-busch inbev,"164,000","54,304 Million USD",consumer defensive
Alexey Miller,russia,93.956 Billion USD,69.570 Billion USD,108.150 Billion USD,gazprom,"473,800","168,300 Million USD",energy
Jean-Pascal Tricoire,france,57.457 Billion USD,79.856 Billion USD,107.120 Billion USD,schneider electric,"166,025","31,853 Million USD",power equipment
