,name,rank,marketcap,country,share_price,change1d,change1y,categories
0,Apple,1,$2.194 T,usa,$137.98,1.50%,-18.74%,tech software dow-jones tech-hardware electronics 
1,Unilever,99,$129.09 B,united-kingdom,$50.98,-0.21%,-6.09%,food consumer-goods 
2,AIA,97,$130.12 B,hong-kong,$11.11,1.34%,3.93%,insurance 
3,Lowe's Companies,100,$128.96 B,usa,$213.26,1.79%,-12.38%,retail 
4,RWE,601,$30.02 B,germany,$44.41,-1.16%,6.40%,electricity dax energy 
5,AXA,201,$71.32 B,france,$30.75,0.91%,-5.59%,insurance cac-40 
6,Meituan,98,$129.66 B,china,$20.95,-0.73%,-24.72%,internet tech e-commerce 
7,Deere & Company,96,$131.34 B,usa,$442.00,0.87%,16.45%,machinery-manufacturing manufacturing 
8,Shin-Etsu Chemical,300,$53.11 B,japan,$131.30,2.08%,-22.90%,chemicals 
9,Bank of China,94,$133.02 B,china,$0.48,-0.31%,-2.04%,banks financial-services 
10,Dynatrace,1401,$10.96 B,usa,$38.10,1.46%,-27.43%,software tech 
11,Union Pacific Corporation,95,$132.05 B,usa,$214.80,0.23%,-12.78%,railways transportation infrastructure 
12,General Motors,299,$53.14 B,usa,$37.40,2.17%,-38.78%,automakers manufacturing 
13,"Novocure
",1501,$10.06 B,None,$95.88,3.93%,38.72%,biotech 
14,OCBC Bank,401,$43.12 B,singapore,$9.60,0.00%,5.26%,banks 
15,Skandinaviska Enskilda Banken,701,$25.24 B,sweden,$11.98,-2.90%,-14.98%,None
16,WPP,1301,$12.16 B,united-kingdom,$56.81,0.07%,-30.43%,advertising 
17,Centrais Electricas Brasileiras,901,$18.93 B,brazil,$8.23,0.98%,43.13%,utility-companies electricity energy 
18,"Link REIT
",1001,$17.04 B,hong-kong,$8.01,-0.40%,-6.97%,investment real-estate reit 
19,Match Group,1199,$13.38 B,usa,$47.92,1.33%,-60.45%,internet online-dating tech 
20,"Spring Airlines
",1601,$8.99 B,china,$9.19,-0.47%,6.86%,airlines travel transportation 
21,"Axon Enterprise
",1200,$13.37 B,usa,$188.00,1.91%,37.06%,None
22,JDE Peet's,1101,$14.94 B,netherlands,$29.74,-0.22%,-1.26%,beverages 
23,"Advanced Drainage Systems
",1801,$7.61 B,usa,$91.88,1.69%,-23.06%,None
24,Antofagasta,801,$21.69 B,united-kingdom,$22.00,3.42%,12.02%,conglomerate mining 
25,"UWM Holdings
",2001,$6.61 B,usa,$4.12,2.49%,-27.97%,financial-services 
26,"Nippon Yūsen
",1299,$12.18 B,japan,$24.05,1.21%,-71.66%,transportation container-shipping maritime-transportation 
27,"Qantas Airways
",1701,$8.31 B,australia,$4.58,0.46%,23.45%,airlines travel transportation 
28,Seagate Technology,1300,$12.17 B,ireland,$58.96,3.48%,-46.00%,tech electronics tech-hardware 
29,Endeavor Group,2091,$6.23 B,usa,$21.53,-0.60%,-33.03%,media-press entertainment 
30,Viper Energy Partners,2301,$5.41 B,usa,$32.83,0.61%,23.89%,None
31,"Mapletree Commercial Trust
",1901,$7.08 B,singapore,$1.35,-0.56%,-0.74%,real-estate investment reit 
32,Convatec Group,2097,$6.20 B,united-kingdom,$3.02,-0.40%,24.28%,medical-devices 
33,FirstService,2101,$6.19 B,canada,$140.08,0.95%,-15.33%,None
34,Unimicron,2098,$6.20 B,taiwan,$4.19,-0.78%,-47.89%,electronics tech tech-hardware 
35,Soitec,2201,$5.76 B,france,$166.05,1.36%,-29.36%,semiconductors tech tech-hardware 
36,"ENGIE Brasil
",2092,$6.22 B,brazil,$7.63,0.31%,9.94%,electricity utility-companies energy 
37,Nutanix,2099,$6.19 B,usa,$26.94,1.20%,-7.23%,software tech 
38,Turkcell,2601,$4.44 B,turkey,$4.90,4.36%,34.02%,telecommunication 
39,Samvardhana Motherson,2096,$6.20 B,india,$0.92,0.27%,None,automotive-suppliers 
40,BOSCH India,2100,$6.19 B,india,$210.01,0.38%,-11.71%,None
41,Mirvac Group,2095,$6.21 B,australia,$1.57,-0.88%,-22.28%,real-estate investment reit 
42,"MDU Resources
",2093,$6.22 B,usa,$30.59,-0.20%,0.43%,None
43,Hanover Insurance Group,2501,$4.71 B,usa,$132.64,-0.50%,-4.63%,None
44,"Nippon Prologis REIT
",2094,$6.21 B,japan,"$2,261",1.42%,-26.04%,real-estate investment 
45,BlackLine,2700,$4.15 B,usa,$69.59,-0.81%,-21.77%,None
46,"Escorts Limited
",3001,$3.39 B,india,$25.74,-0.65%,2.63%,specialty-vehicles manufacturing agriculture 
47,"Denali Therapeutics
",2695,$4.17 B,usa,$30.73,2.09%,-11.80%,None
48,First International Bank of Israel,2691,$4.18 B,israel,$41.66,-0.35%,-5.55%,banks financial-services 
49,"Fomento de Construcciones y Contratas
",2696,$4.17 B,spain,$9.63,-0.22%,-22.84%,construction 
50,"Fabrinet
",2401,$5.06 B,None,$138.36,0.40%,17.16%,electronics 
51,"Howard Hughes Corporation
",2693,$4.17 B,usa,$83.45,1.00%,-17.72%,real-estate 
52,"AGL Energy
",2901,$3.60 B,australia,$5.37,0.39%,0.00%,energy electricity utility-companies 
53,Affirm,2697,$4.16 B,usa,$14.36,6.77%,-79.25%,financial-services 
54,Olaplex,2694,$4.17 B,usa,$6.43,0.16%,-71.85%,consumer-goods 
55,"Bank Mega
",2690,$4.18 B,indonesia,$0.36,-0.46%,-45.45%,banks financial-services 
56,Azenta,2698,$4.16 B,usa,$60.30,1.46%,-25.85%,biotech medical-devices 
57,Dairy Farm,2701,$4.15 B,hong-kong,$3.07,0.33%,8.87%,retail 
58,TFS Financial,2692,$4.17 B,usa,$14.89,-0.83%,-17.98%,None
59,Balchem,2699,$4.16 B,usa,$129.54,-1.08%,-16.71%,None
60,Freedom Holding,2801,$3.88 B,None,$65.23,1.10%,-2.50%,financial-services 
61,Kemira,3494,$2.47 B,finland,$16.13,1.16%,3.46%,pulp-and-paper 
62,"The Navigator Company
",3495,$2.47 B,None,$3.48,-1.48%,-7.94%,pulp-and-paper 
63,"SL Green Realty
",3500,$2.45 B,usa,$38.05,0.29%,-53.27%,real-estate investment reit 
64,"Arbor Realty Trust
",3498,$2.45 B,usa,$14.34,0.70%,-22.40%,real-estate investment reit 
65,"Endurance Technologies
",3489,$2.47 B,india,$17.61,0.67%,-23.17%,None
66,Iveco Group,3492,$2.47 B,italy,$7.48,1.38%,-38.44%,manufacturing specialty-vehicles 
67,Arconic,3493,$2.47 B,usa,$24.37,3.01%,-30.23%,None
68,PB Fintech,3497,$2.46 B,india,$5.48,0.69%,-60.15%,financial-services tech insurance 
69,ACADIA Pharmaceuticals,3201,$2.98 B,usa,$18.44,2.13%,-20.02%,None
70,"Verint Systems
",3496,$2.47 B,usa,$37.54,1.19%,-29.96%,software tech 
71,Genus,3491,$2.47 B,united-kingdom,$37.63,-0.84%,-34.06%,biotech genomics 
72,Luminar Technologies,3499,$2.45 B,usa,$6.78,5.28%,-56.03%,lidar tech tech-hardware autonomous-driving 
73,BillerudKorsnäs,3101,$3.15 B,sweden,$12.72,1.34%,-28.78%,pulp-and-paper packaging 
74,Hang Lung Group,3490,$2.47 B,hong-kong,$1.82,-0.56%,-15.35%,investment 
75,"Covivio Hotels
",3488,$2.47 B,france,$16.72,-0.65%,-16.27%,hotels real-estate investment reit travel 
76,Britvic,3487,$2.47 B,united-kingdom,$9.54,-1.01%,-25.35%,beverages 
77,Ultrapar Participacoes,3299,$2.80 B,brazil,$2.57,2.06%,7.17%,None
78,IronSource,3296,$2.81 B,israel,$2.74,-3.18%,-58.17%,software tech 
79,"JK Cement
",3290,$2.82 B,india,$36.52,0.70%,-24.55%,cement building-materials 
80,Lithium Americas,3294,$2.81 B,canada,$20.82,0.70%,-29.00%,mining 
81,Metcash,3291,$2.81 B,australia,$2.92,1.45%,-4.58%,None
82,Equity Commonwealth,3300,$2.80 B,usa,$25.59,0.31%,-4.41%,real-estate reit investment 
83,Varonis,3293,$2.81 B,usa,$25.56,0.95%,-34.29%,software tech it-security 
84,Atul,3292,$2.81 B,india,$95.48,-0.42%,-33.40%,chemicals 
85,"Arcosa
",3298,$2.80 B,usa,$58.00,0.57%,10.67%,None
86,PacWest Bancorp,3289,$2.82 B,usa,$23.96,0.04%,-53.20%,None
87,"Pacific Biosciences
",3295,$2.81 B,usa,$12.44,3.54%,0.12%,None
88,nternational Bancshares Corp,3297,$2.81 B,usa,$45.24,-0.96%,-1.18%,None
89,Altarea,3285,$2.82 B,france,$139.88,-0.77%,-27.21%,real-estate 
90,"CorVel Corporation
",3287,$2.82 B,usa,$163.58,1.22%,-15.21%,healthcare 
91,Allreal Holding,3288,$2.82 B,switzerland,$170.84,-0.88%,-21.88%,real-estate 
92,Computacenter,3286,$2.82 B,united-kingdom,$24.75,-0.78%,-33.70%,professional-services it-services 
93,"Park Hotels & Resorts
",3282,$2.83 B,usa,$12.61,-0.55%,-35.13%,None
94,"Vector Limited
",3281,$2.83 B,new-zealand,$2.84,0.23%,3.65%,electricity oil-gas utility-companies energy 
95,Group 1 Automotive,3283,$2.83 B,usa,$194.32,2.47%,5.85%,None
96,"Korn Ferry
",3279,$2.83 B,usa,$53.82,1.80%,-26.68%,professional-services 
97,Easterly Government Properties,3278,$2.83 B,usa,$16.04,1.10%,-29.22%,None
98,Macerich,3274,$2.84 B,usa,$12.68,0.32%,-28.68%,reit real-estate investment 
99,Torrent Power,3280,$2.83 B,india,$5.90,-0.62%,-24.36%,utility-companies energy electricity 
100,"SITE Centers
",3272,$2.85 B,usa,$13.41,0.07%,-16.24%,real-estate investment reit 
101,Rumble,3271,$2.85 B,usa,$10.22,4.71%,-20.78%,internet tech 
102,EFG International,3277,$2.84 B,switzerland,$9.18,0.83%,12.09%,banks financial-services 
103,"Rush Enterprises
",3276,$2.84 B,usa,$51.53,0.74%,-9.09%,retail 
104,e.l.f. Cosmetics,3273,$2.85 B,usa,$53.84,0.42%,81.30%,cosmetics 
105,Jet2,3275,$2.84 B,united-kingdom,$13.26,3.58%,-23.44%,airlines travel transportation 
106,Crestwood Equity Partners,3284,$2.82 B,usa,$27.02,1.12%,-8.22%,energy oil-gas 
107,Doosan Bobcat,3266,$2.85 B,south-korea,$28.53,-1.40%,-15.72%,specialty-vehicles manufacturing 
108,Giant Network Group,3269,$2.85 B,china,$1.42,6.47%,-27.18%,video-games entertainment 
109,"Hanesbrands
",3265,$2.86 B,usa,$8.20,0.06%,-51.13%,None
110,Vidrala,3264,$2.86 B,spain,$94.48,-1.14%,0.12%,manufacturing 
111,"Bank Jago
",3268,$2.85 B,indonesia,$0.21,2.30%,-83.85%,banks financial-services 
112,"Jinko Solar
",3267,$2.85 B,china,$57.00,-0.88%,20.40%,renewable-energy electricity energy manufacturing 
113,"Focus Financial Partners
",3263,$2.86 B,usa,$43.56,1.17%,-20.41%,None
114,Amedisys,3270,$2.85 B,usa,$87.82,2.58%,-40.17%,healthcare 
115,"Blueprint Medicines
",3262,$2.87 B,usa,$48.00,1.33%,-38.46%,None
116,Allied Properties REIT,3261,$2.87 B,canada,$22.47,0.91%,-36.45%,real-estate investment reit 
117,CT REIT,3251,$2.89 B,canada,$12.36,0.18%,-8.58%,real-estate investment reit 
118,Nordstrom,3252,$2.89 B,usa,$18.06,1.66%,-18.85%,luxury-goods retail 
119,Liberty Energy,3249,$2.89 B,usa,$15.92,-0.19%,27.87%,oil-gas oil-gas-equipment-services energy 
120,"Gland Pharma
",3255,$2.88 B,india,$17.52,1.79%,-64.76%,pharmaceuticals biotech 
121,"Werner Enterprises
",3257,$2.88 B,usa,$45.62,3.18%,-1.78%,None
122,Simmons First National,3253,$2.89 B,usa,$22.77,-1.21%,-28.64%,None
123,Sulzer,3250,$2.89 B,switzerland,$85.63,1.73%,-10.76%,engineering manufacturing 
124,"Vodafone Idea
",3254,$2.88 B,india,$0.09000,0.69%,-47.06%,telecommunication 
125,Corporación Financiera Alba,3260,$2.87 B,spain,$48.55,-0.67%,-22.49%,asset-management investment 
126,Flywire,3259,$2.87 B,usa,$26.39,3.53%,-15.12%,financial-services tech 
127,"Grupo Aval
",3247,$2.90 B,None,$2.45,2.08%,-54.55%,None
128,"Grocery Outlet
",3246,$2.91 B,usa,$29.94,-0.86%,13.28%,None
129,Thermax,3248,$2.90 B,india,$24.38,0.66%,-13.67%,engineering 
130,Atlas Air Worldwide Holdings,3256,$2.88 B,usa,$101.70,0.07%,23.71%,airlines travel transportation 
131,Kyndryl,3258,$2.88 B,usa,$12.70,0.95%,-27.43%,it-services 
132,First Capital REIT,3237,$2.93 B,canada,$13.72,0.27%,-6.98%,real-estate investment reit 
133,Acerinox,3245,$2.91 B,spain,$11.22,-0.05%,-22.30%,steel-producers steel-industry 
134,Timken India,3244,$2.91 B,india,$38.78,-0.02%,38.90%,None
135,Kulicke and Soffa Industries,3240,$2.92 B,singapore,$51.32,2.47%,-15.25%,semiconductors tech tech-hardware 
136,Certara,3242,$2.92 B,usa,$18.31,3.04%,-34.11%,software biotech tech 
137,Polymetal,3236,$2.93 B,None,$6.19,0.00%,-61.22%,mining gold-mining silver-mining 
138,"J&J Snack Foods
",3239,$2.92 B,usa,$152.21,-1.30%,-1.23%,food 
139,"American Eagle Outfitters
",3235,$2.93 B,usa,$15.64,1.20%,-34.13%,None
140,Pennon Group,3234,$2.93 B,united-kingdom,$11.22,-0.38%,-26.33%,utility-companies 
141,Westports,3232,$2.93 B,malaysia,$0.86,0.00%,-9.47%,ports 
142,Olink Holding,3233,$2.93 B,sweden,$24.63,2.16%,95.94%,pharmaceuticals biotech 
143,Shapir Civil and Marine Engineering,3238,$2.92 B,israel,$8.17,4.15%,-15.86%,None
144,Hensoldt,3243,$2.91 B,germany,$27.80,5.57%,86.58%,defense-contractors 
145,"Harmonic Drive Systems
",3241,$2.92 B,japan,$30.77,0.13%,-22.96%,None
146,WSFS Financial,3231,$2.93 B,usa,$47.68,-1.10%,-14.95%,financial-services banks 
147,"Coforge
",3225,$2.94 B,india,$48.32,0.20%,-36.14%,software professional-services 
148,"Pacific Premier Bancorp
",3218,$2.95 B,usa,$31.07,-1.11%,-29.82%,None
149,AdaptHealth,3217,$2.95 B,usa,$21.93,-0.05%,7.03%,None
150,"O-I Glass
",3228,$2.93 B,usa,$18.95,0.00%,32.70%,None
151,Rubis,3223,$2.95 B,france,$28.68,0.53%,-12.05%,None
152,Petco,3226,$2.94 B,usa,$11.09,2.97%,-39.96%,retail 
153,Installed Building Products,3227,$2.94 B,usa,$102.97,1.59%,-13.33%,None
154,Curaleaf,3229,$2.93 B,usa,$4.10,0.22%,-50.18%,cannabis 
