,name,industry,sector,headquarters,founded
107,handelsbanken,financials,banks,stockholm,1871
108,hasselblad,consumer goods,recreational products,gothenburg,1841
109,hästens,consumer services,specialty retailers,köping,1852
110,hestra,consumer goods,clothing & accessories,hestra,1936
111,hexagon ab,industrials,business support services,stockholm,1992
112,hms industrial networks,telecommunications,fixed line telecommunications,halmstad,1988
113,höganäs ab,basic materials,iron & steel,höganäs,1797
114,holmen,basic materials,paper,stockholm,1875
115,husaberg,consumer goods,automobiles,mattighofen,1988
116,husqvarna group,industrials,industrial suppliers,stockholm,1689
117,hydrauliska industri ab,industrials,commercial vehicles & trucks,hudiksvall,1944
118,iar systems,technology,software,uppsala,1983
119,ica gruppen,consumer services,broadline retailers,stockholm,1938
120,ifs ab,technology,software,linköping,1983
121,ikano bank,financials,banks,malmö,1995
122,imint image intelligence ab,technology,software,uppsala,2007
123,infranord,industrials,railroads,solna,2010
124,ingate systems,technology,software,stockholm,2001
125,intertex,technology,computer hardware,stockholm,2001
126,investment ab latour,financials,investment services,gothenburg,1984
127,investment ab öresund,financials,investment services,stockholm,1961
128,investor ab,financials,investment services,stockholm,1916
129,isadora,consumer goods,personal products,malmö,1983
130,izettle,technology,software,stockholm,2011
131,j.lindeberg,consumer goods,clothing & accessories,stockholm,1997
132,jeeves,technology,software,stockholm,1992
133,jernhusen,industrials,railroads,stockholm,2001
134,jofa,consumer goods,recreational products,malung,1926
135,jonsereds fabrikers ab,industrials,industrial machinery,jonsered,1832
136,kinnevik ab,financials,investment services,stockholm,1936
137,klarna,consumer services,broadline retailers,stockholm,2005
138,kockums naval solutions,industrials,commercial vehicles & trucks,malmö,1840
139,koenigsegg,consumer goods,automobiles,ängelholm,1994
140,kooperativa förbundet,consumer services,consumer co-operatives,stockholm,1899
141,kopparbergs brewery,consumer goods,brewers,kopparberg,1882
142,kosta glasbruk,industrials,building materials & fixtures,kosta,1742
143,krönleins,consumer goods,brewers,halmstad,1836
144,kungsörnen,consumer goods,food products,järna,1929
145,l e lundbergföretagen,financials,investment services,stockholm,1944
146,länsförsäkringar,financials,full line insurance,stockholm,1801
147,länsförsäkringar bank,financials,banks,stockholm,1996
148,lantmännen,consumer goods,farming & fishing,stockholm,2001
149,leovegas,consumer services,gambling,stockholm,2011
150,lindex,consumer services,apparel retailers,gothenburg,1954
151,linjeflyg,consumer services,airlines,stockholm,1957
152,lkab,basic materials,general mining,luleå,1890
153,loomis,industrials,business support services,stockholm,1997
154,lundin petroleum,oil & gas,exploration & production,stockholm,2001
155,luxor ab,consumer goods,consumer electronics,motala,1923
156,machinegames,technology,software,uppsala,2009
157,mälarenergi,utilities,conventional electricity,västerås,1861
158,maratone studios,consumer services,broadcasting & entertainment,stockholm,2001
159,massive entertainment,technology,software,malmö,1997
160,mecel,technology,software,gothenburg,1982
161,meda ab,health care,pharmaceuticals,solna,1954
162,micromy,basic materials,specialty chemicals,täby,2009
163,modern times group,consumer services,broadcasting & entertainment,stockholm,1987
164,mojang,technology,software,stockholm,2009
165,mölnlycke health care,health care,medical equipment,gothenburg,1849
166,monark,consumer goods,recreational products,vansbro,1908
167,mysql ab,technology,software,uppsala,1995
168,najad yachts,consumer goods,recreational products,henån,1971
169,nanoradio,technology,semiconductors,kista,2004
170,nasdaq nordic,financials,investment services,stockholm,2003
171,ncc ab,industrials,heavy construction,solna,1988
172,neogames,consumer services,publishing,gothenburg,2006
173,neonode,telecommunications,computer hardware,stockholm,2001
174,nextjet,consumer services,airlines,stockholm,2002
175,nobia,consumer goods,durable household products,stockholm,1996
176,nobina,consumer services,travel & tourism,stockholm,1999
177,nohab,industrials,diversified industrials,trollhättan,1916
178,nordiska kompaniet,consumer services,broadline retailers,stockholm,1864
179,nordstjernan,conglomerates,-,stockholm,1890
180,northstar,industrials,general industries,stockholm,2000
181,nudie jeans,consumer goods,clothing & accessories,gothenburg,2001
182,nyby bruk,basic materials,iron & steel,torshälla,1829
183,nyfors,technology,telecommunications equipment,stockholm,1987
184,nynas,oil & gas,exploration & production,stockholm,1928
185,odd molly,consumer goods,clothing & accessories,stockholm,2002
186,öhlins,consumer goods,auto parts,upplands väsby,1976
187,onoff,consumer services,broadline retailers,upplands väsby,1971
188,orexo,health care,pharmaceuticals,uppsala,1995
189,oriflame,consumer goods,personal products,stockholm,1967
190,orrefors glassworks,industrials,building materials & fixtures,orrefors,1898
191,oskarshamn shipyard,industrials,commercial vehicles & trucks,oskarshamn,1863
192,ovako,basic materials,iron & steel,stockholm,1969
193,pågen,consumer goods,food products,malmö,1878
194,paradox interactive,technology,software,stockholm,1999
195,peab,industrials,heavy construction,förslöv,1959
196,peltarion,technology,software,stockholm,2004
197,phadia,health care,medical equipment,uppsala,1971
198,pharmacia,health care,pharmaceuticals,stockholm,1911
199,polarbröd,consumer goods,food products,älvsbyn,1972
200,postnord,industrials,delivery services,solna,2009
201,postnord sverige,industrials,delivery services,solna,1636
202,primus ab,consumer goods,household goods,stockholm,1892
203,pripps,consumer goods,brewers,gothenburg,1828
204,profoto,industrials,building materials & fixtures,stockholm,1968
205,ps communication,industrials,business support services,stockholm,1997
206,ratos,financials,real estate holding & development,stockholm,1933
207,readsoft,technology,software,helsingborg,1991
208,recipharm,health care,pharmaceuticals,haninge,1995
209,rederi ab slite,consumer services,travel & tourism,gothenburg,1947
210,remograph,technology,software,linköping,2005
211,resurs holding,financials,banks,helsingborg,2001
212,saab automobile,consumer goods,automobiles,trollhättan,1945
213,saab group,industrials,aerospace,stockholm,1937
214,samlogic,technology,software,stockholm,1992
215,sandvik,industrials,industrial engineering,stockholm,1862
216,sas group,consumer services,airlines,solna,1946
217,sca,basic materials,paper,stockholm,1929
218,scalado,technology,software,lund,2000
219,scandic hotels,consumer services,hotels,stockholm,1963
220,scania ab,consumer goods,automobiles,södertälje,1891
221,seavus,technology,software,malmö,1999
222,seb group,financials,investment services,stockholm,1972
223,sector3 studios,technology,software,lidköping,2003
224,securitas,industrials,business support services,stockholm,1934
225,securitas direct,industrials,business support services,malmö,1988
226,semcon,industrials,business support services,gothenburg,1980
227,sf studios,consumer services,broadcasting & entertainment,stockholm,1919
228,siba,consumer services,specialty retailers,gothenburg,1951
229,silva compass,consumer goods,recreational products,stockholm,1932
230,simogo,technology,software,malmö,2010
231,sj ab,consumer services,travel & tourism,stockholm,2001
232,skandia,financials,investment services,stockholm,1855
233,skandinaviska banken,financials,banks,gothenburg,1864
234,skanska,industrials,heavy construction,stockholm,1887
235,skellefteå kraft,utilities,conventional electricity,skellefteå,1906
236,skf,industrials,industrial suppliers,gothenburg,1907
237,skygoblin,technology,software,gothenburg,2005
238,smart eye,technology,software,gothenburg,1999
239,södra,basic materials,paper,växjö,1938
240,specma,industrial,industrial engineering,gothenburg,1918
241,spendrups,consumer goods,brewers,stockholm,1897
242,spotify,technology,internet,stockholm,2006
243,sr international – radio sweden,consumer services,broadcasting & entertainment,stockholm,1938
244,ssab,basic materials,iron & steel,stockholm,1978
245,starbreeze studios,technology,software,stockholm,1998
246,stena line,consumer services,travel & tourism,gothenburg,1962
247,stena sphere,conglomerates,-,gothenburg,1939
248,stiga,consumer goods,durable household products,eskilstuna,1934
249,stockholm stock exchange,financials,investment services,stockholm,1863
250,stockholms enskilda bank,financials,banks,stockholm,1856
251,studsvik,utilities,conventional electricity,nyköping,1947
252,sveriges television,consumer services,broadcasting & entertainment,stockholm,1956
253,sweco,industrials,business support services,stockholm,1997
254,swedbank,financials,banks,stockholm,1820
255,swedish match,consumer goods,tobacco,stockholm,1915
256,swedish meats,livestock,meat,stockholm,
257,swedish orphan biovitrum,health care,health care providers,stockholm,2001
258,swedish space corporation,industrials,aerospace,solna,1972
259,swegon,industrials,industrial machinery,gothenburg,2005
260,symsoft,telecommunications,mobile telecommunications,stockholm,1989
261,syncron international ab,technology,software,stockholm,1990
262,tarsier studios,technology,software,malmö,2004
263,tele2,telecommunications,fixed line telecommunications,stockholm,1993
264,telelogic,technology,software,malmö,1983
265,telia company,telecommunications,mobile telecommunications,stockholm,2003
266,teracom,consumer services,broadcasting & entertainment,stockholm,1992
267,terranet ab,telecommunications,mobile telecommunications,lund,2004
268,tetra pak,industrials,containers & packaging,lund,1951
269,thule group,consumer goods,automobiles,hillerstorp,1942
270,tradedoubler,technology,internet,stockholm,1999
271,transmode,telecommunications,fixed line telecommunications,stockholm,2000
272,trelleborg,industrials,business support services,trelleborg,1905
273,truecaller,technology,software,stockholm,2009
274,trustly,financials,banks,stockholm,2008
275,tv4 group,consumer services,broadcasting & entertainment,stockholm,1984
276,uddeholms ab,basic materials,iron & steel,hagfors,1668
277,umeå energi,utilities,conventional electricity,umeå,1887
278,urbanears,consumer goods,recreational products,stockholm,2009
279,v&s group,consumer goods,soft drinks,stockholm,1917
280,vabis,industrials,diversified industrials,södertälje,1891
281,vattenfall,utilities,conventional electricity,stockholm,1909
282,vida ab,basic materials,forestry,alvesta,1969
283,volvo,industrials,commercial vehicles & trucks,gothenburg,1927
284,volvo buses,industrials,commercial vehicles & trucks,gothenburg,1968
285,volvo financial services,financials,investment services,gothenburg,2001
286,volvo penta,consumer goods,auto parts,skövde,1907
287,volvo trucks,industrials,commercial vehicles & trucks,gothenburg,1928
288,vsm group,consumer goods,durable household products,huskvarna,1872
289,wallenius lines,industrials,marine transportation,stockholm,1934
290,wasabröd,consumer goods,food products,skellefteå,1919
291,wayne's coffee,consumer services,restaurants & bars,stockholm,1994
292,wesc,consumer goods,clothing & accessories,stockholm,1999
293,wg film,consumer services,broadcasting & entertainment,malmö,1994
294,wm-data,technology,software,stockholm,1969
295,x5 music group,consumer services,broadcasting & entertainment,stockholm,2003
296,3scale,technology,software,barcelona,2007
297,abengoa,conglomerates,-,seville,1941
298,abertis,conglomerates,-,barcelona,2003
299,acciona,industrials,heavy construction,alcobendas,1997
300,acerinox,basic materials,iron & steel,madrid,1970
301,acs group,industrials,heavy construction,madrid,1997
302,afinsa,consumer services,specialty retailers,madrid,1980
303,akamon entertainment,technology,software,barcelona,2011
304,almirall,health care,pharmaceuticals,barcelona,1943
305,amadeus it group,technology,software,madrid,1987
306,astilleros y talleres del noroeste,industrials,shipbuilding,fene,1944
307,atresmedia,consumer services,broadcasting & entertainment,san sebastián de los reyes,1988
308,balay,consumer goods,durable household products,zaragoza,1947
309,banco bilbao vizcaya argentaria,financials,banks,bilbao,1857
310,banco popular español,financials,banks,madrid,1926
311,banco sabadell,financials,banks,sabadell,1881
312,banco santander,financials,banks,santander,1857
313,banesto,financials,banks,madrid,1902
314,bankinter,financials,banks,madrid,1965
315,bassols 1790,consumer goods,textiles,vic,1790
316,bolsas y mercados españoles,financials,banks,madrid,1831
317,brb internacional,consumer services,broadcasting & entertainment,alcobendas,1972
318,budgetplaces,consumer services,travel & tourism,barcelona,2003
319,calidad pascual,consumer goods,food & beverage,madrid,1969
320,catuav,industrials,aerospace,moià,2007
321,chupa chups,consumer goods,food products,barcelona,1958
322,cie automotive,consumer goods,auto parts,bilbao,2002
323,cintra,industrials,heavy construction,madrid,1998
324,cepsa,oil & gas,exploration & production,madrid,1929
325,compañía logística de hidrocarburos,utilities,oil & gas distribution,madrid,1927
326,construcciones aeronáuticas sa,industrials,aerospace,madrid,1923
327,construcciones y auxiliar de ferrocarriles,industrials,commercial vehicles & trucks,beasain,1917
328,copisa,industrials,heavy construction,barcelona,1959
329,correos,industrials,delivery services,madrid,1716
330,cortefiel,consumer services,apparel retailers,madrid,1880
331,cupra,consumer goods,automobiles,martorell,2018
332,curaxys,health care,biotechnology,cádiz,2009
333,deoleo,consumer goods,food products,córdoba,1955
334,dia,consumer services,food retailers & wholesalers,las rozas,1979
335,ebro foods,consumer goods,food products,madrid,1998
336,ebro trucks,consumer goods,automobiles,barcelona,1954
337,el corte inglés,consumer services,food retailers & wholesalers,madrid,1940
338,enagás,utilities,oil & gas distribution,madrid,1972
339,endesa,utilities,conventional electricity,madrid,1944
340,eroski,consumer services,food retailers & wholesalers,elorrio,1969
341,euskaltel,telecommunications,fixed line telecommunications,derio,1995
342,fagor,consumer goods,durable household products,mondragón,1956
343,ferrovial,industrials,heavy construction,madrid,1952
344,festina,consumer goods,clothing & accessories,barcelona,1902
345,fierro group,conglomerates,-,madrid,1961
346,fomento de construcciones y contratas,industrials,heavy construction,barcelona,1900
347,gamesa,oil & gas,renewable energy equipment,zamudio,1976
348,naturgy,utilities,oil & gas distribution,madrid,1991
349,gmv innovating solutions,conglomerates,-,tres cantos,1984
350,grundig mobile,technology,telecommunications equipment,málaga,2005
351,grupo agbar,utilities,water,barcelona,1867
352,grupo antolin,consumer goods,auto parts,burgos,1950
353,grupo calvo,consumer goods,food products,carballo,1940
354,grupo gea perona,utilities,oil & gas distribution,murcia,1927
355,grupo lo monaco,consumer goods,furnishings,granada,1996
356,grupo puma,industrials,building materials & fixtures,madrid,1985
357,hijos de rivera,consumer goods,brewers,a coruña,1906
358,hipercor,consumer services,food retailers & wholesalers,madrid,1979
359,iberdrola,utilities,conventional electricity,bilbao,1992
360,iberia,consumer services,airlines,madrid,1927
361,idilia foods,consumer goods,food products,barcelona,1940
362,inditex,consumer services,apparel retailers,arteixo,1985
363,indra sistemas,industrials,aerospace,madrid,1993
364,inmobiliaria colonial,financials,real estate holding & development,madrid,1946
365,irizar,industrials,commercial vehicles & trucks,ormaiztegi,1889
366,joma,consumer goods,clothing & accessories,portillo de toledo,1965
367,kelme,consumer services,apparel retailers,elche,1977
368,la caixa,financials,banks,valencia,1990
369,la casera,consumer services,food retailers & wholesalers,madrid,1949
370,lacasa,consumer goods,food products,zaragoza,1852
371,lladró,consumer goods,recreational products,tavernes blanques,1953
372,llaollao,consumer goods,food products,murcia,2009
373,mahou san miguel,consumer goods,brewers,madrid,1890
374,majorica,consumer goods,clothing & accessories,palma,1890
375,mango,consumer services,apparel retailers,palau-solità i plegamans,1984
376,mapfre,financials,full line insurance,majadahonda,1933
377,marfeel,technology,software,barcelona,2011
378,mediaset españa comunicación,consumer services,broadcasting & entertainment,madrid,1989
379,meliá hotels international,consumer services,hotels,palma,1956
380,mercadona,consumer services,food retailers & wholesalers,tavernes blanques,1977
381,mondragon corporation,conglomerates,-,mondragón,1956
382,mutua madrileña,financials,full line insurance,madrid,1930
383,naipes heraclio fournier,industrials,recreational products,vitoria-gasteiz,1868
384,natra,conglomerates,-,valencia,1943
385,navantia,industrials,shipbuilding,madrid,2005
386,nh hotel group,consumer services,hotels,madrid,1978
387,nodosa shipyard,industrials,shipbuilding,bueu,1982
388,obrascón huarte lain,industrials,heavy construction,madrid,1999
389,orbea,consumer goods,recreational products,mallabia,1931
390,pacha group,consumer services,travel & tourism,ibiza,1967
391,pescanova,consumer goods,food products,redondela,1960
392,planeta group,consumer services,publishing,barcelona,1949
393,porcelanosa,industrials,building materials & fixtures,villarreal,1973
394,prisa tv,consumer services,broadcasting & entertainment,tres cantos,1989
395,private media group,consumer services,broadcasting & entertainment,barcelona,1965
396,prosegur,industrials,business support services,madrid,1976
397,pyro studios,technology,software,alcobendas,1996
398,red eléctrica de españa,utilities,conventional electricity,alcobendas,1985
399,renfe,consumer services,travel & tourism,madrid,2005
400,repsol,oil & gas,integrated oil & gas,madrid,1987
401,rtve,consumer services,broadcasting & entertainment,madrid,2007
402,riu hotels,consumer services,hotels,majorca,1953
403,sacyr,industrials,heavy construction,madrid,1999
404,santana motor,consumer goods,automobiles,linares,1956
405,seat,consumer goods,automobiles,martorell,1950
406,sener,industrials,heavy construction,getxo,1956
407,sener aeronáutica,industrials,aerospace,getxo,1956
408,talgo,industrials,commercial vehicles & trucks,las rozas de madrid,1942
409,técnicas reunidas,oil & gas,oil equipment & services,madrid,1959
410,telefónica,telecommunications,fixed line telecommunications,madrid,1924
411,telepizza,consumer services,restaurants & bars,madrid,1987
412,terra,technology,internet,madrid,1999
413,uralita group,industrials,building materials & fixtures,madrid,1907
414,vidal,consumer goods,food products,molina de segura,1963
415,vitelcom,consumer goods,consumer electronics,málaga,2001
416,vodafone spain,telecommunications,mobile telecommunications,madrid,2000
417,vueling,consumer services,airlines,barcelona,2004
418,zara,consumer services,apparel retailers,arteixo,1974
419,zinkia entertainment,consumer services,broadcasting & entertainment,madrid,2001
420,academa,technology,software,ljubljana,1992
421,adria airways,consumer services,airlines,zgornji brnik,1961
422,adria mobil,consumer goods,automobiles,novo mesto,1965
423,akrapovič,consumer goods,automobiles,ivančna gorica,1990
424,alpina žiri,consumer goods,footwear,žiri,1948
425,amebis,technology,software,kamnik,2012
426,amis,telecommunications,fixed line telecommunications,maribor,1995
427,btc,consumer services,broadline retailers,ljubljana,1954
428,elan,consumer goods,recreational products,begunje na gorenjskem,1945
429,goodyear dunlop sava tires,consumer goods,automobiles,kranj,1998
430,gorenje,consumer goods,durable household products,velenje,1950
431,iskra (company),industrials,diversified industrials,kranj,1946
432,istrabenz,conglomerates,-,koper,1948
433,krka,health care,pharmaceuticals,novo mesto,1954
434,litostroj,industrials,industrial machinery,ljubljana,1946
435,ljubljana jože pučnik airport,industrials,transportation services,ljubljana,1963
436,mercator,consumer services,food retailers & wholesalers,ljubljana,1949
437,mobitel,telecommunications,mobile telecommunications,ljubljana,1991
438,petrol group,consumer services,specialty retailers,ljubljana,1947
439,port of koper,industrials,transportation services,koper,1957
440,post of slovenia,industrials,delivery services,maribor,1995
441,slovenian railways,industrials,railroads,ljubljana,1991
442,slovenija ceste tehnika,industrials,construction & materials,ljubljana,1943
443,solinair,consumer services,airlines,ljubljana,1991
444,tomos,consumer goods,automobiles,koper,1954
445,xlab d.o.o,technology,software,ljubljana,2001
446,zootfly,technology,software,ljubljana,2002
447,air slovakia,consumer services,airlines,bratislava,1993
448,cestné a stavebné mechanizmy tisovec,industrials,defense,detva,1955
449,doprastav,industrials,heavy construction,bratislava,1953
450,elnec,industrials,electronic equipment,prešov,1991
451,eset,technology,computer services,bratislava,1992
452,glass lps,consumer goods,durable household products,medzilaborce,1999
453,istrobanka,financials,banks,bratislava,1992
454,j&t finance group,financials,investment services,bratislava,1993
455,jtre,real estate,real estate management & development,bratislava,1996
456,jj electronic,industrials,electrical components & equipment,čadca,1993
457,komerční banka bratislava,financials,banks,bratislava,1995
458,matador,consumer goods,tires,púchov,1947
459,"ofz, a.s., istebné",basic materials,iron & steel,istebné,1999
460,orange slovensko,telecommunications,mobile telecommunications,bratislava,1997
461,penta investments,financials,investment services,bratislava,1994
462,poštová banka,financials,banks,bratislava,1992
463,šariš brewery,consumer goods,brewers,veľký šariš,1964
464,slovak airlines,consumer services,airlines,bratislava,1995
465,slovak telekom,telecommunications,fixed line telecommunications,bratislava,1999
466,slovalco,basic materials,aluminum,žiar nad hronom,1993
467,slovart music,consumer services,broadcasting & entertainment,bratislava,1993
468,slovenská pošta,industrials,delivery services,banská bystrica,1993
469,slovenská sporiteľňa,financials,banks,bratislava,1819
470,slovenské elektrárne,utilities,conventional electricity,bratislava,1942
471,slovenský plynárenský priemysel,oil & gas,exploration & production,bratislava,2006
472,slovnaft,oil & gas,exploration & production,bratislava,1949
473,sygic,technology,software,bratislava,2004
474,tatra banka,financials,banks,bratislava,1990
475,o2 slovakia,telecommunications,mobile telecommunications,bratislava,2006
476,topvar,consumer goods,brewers,veľký šariš,1957
477,transpetrol as,oil & gas,pipelines,bratislava,1954
478,u.s. steel košice,basic materials,iron & steel,košice,2000
479,vagónka,industrials,commercial vehicles & trucks,trebišov,1922
480,železničná spoločnosť slovensko,industrials,railroads,bratislava,2004
481,zlatý bažant,consumer goods,brewers,hurbanovo,1969
482,adevărul holding,consumer services,publishing,bucharest,2008
483,angst,consumer services,food retailers & wholesalers,buftea,1990
484,antibiotice iași,health care,pharmaceuticals,iași,1955
485,apulum,consumer goods,durable household products,alba iulia,1970
486,arctic s.a.,consumer goods,durable household products,găești,1968
487,automobile dacia,consumer goods,automobiles,mioveni,1966
488,banca comercială română,financials,banks,bucharest,1990
489,banca transilvania,financials,banks,cluj-napoca,1993
490,blue air,consumer services,airlines,bucharest,2004
491,brd – groupe société générale,financials,banks,bucharest,1923
492,căile ferate române,industrials,railroads,bucharest,1880
493,continental hotels,consumer services,hotels,bucharest,1991
494,dedeman,consumer services,retail services,bacău,1992
495,european drinks & foods,consumer goods,food products,ștei,1993
496,farmec,consumer goods,personal products,cluj-napoca,1993
497,ford romania,consumer goods,automobiles,craiova,1976
498,gecad software,technology,software,bucharest,1992
499,grup feroviar român,industrials,railroads,bucharest,2001
500,intact media group,consumer services,media agencies,bucharest,1991
501,jolidon,consumer goods,clothing & accessories,cluj-napoca,1993
502,mangalia shipyard,industrials,commercial vehicles & trucks,mangalia,1997
503,mega image,consumer services,food retailers & wholesalers,bucharest,1995
504,metrorex,consumer services,travel & tourism,bucharest,1976
505,mobexpert,consumer services,specialty retailers,bucharest,1993
506,napolact,consumer goods,food products,cluj-napoca,1905
507,orange romania,telecommunications,mobile telecommunications,bucharest,1997
508,petrom,oil & gas,integrated oil & gas,bucharest,1991
509,petromidia refinery,oil & gas,exploration & production,năvodari,1974
510,poșta română,industrials,delivery services,bucharest,1862
511,raiffeisen romania,financials,banks,bucharest,1998
512,rcs & rds,telecommunications,fixed line telecommunications,bucharest,1993
513,realitatea-cațavencu,consumer services,media agencies,bucharest,2006
514,regiotrans,consumer services,travel & tourism,brașov,2005
515,roman,industrials,commercial vehicles & trucks,brașov,1921
516,rompetrol,oil & gas,exploration & production,bucharest,1974
517,romstal,industrials,industrial suppliers,bucharest,1994
518,romtelecom,telecommunications,fixed line telecommunications,bucharest,1989
519,siveco romania,technology,software,bucharest,1992
520,softpedia,technology,software,bucharest,2001
521,softwin,technology,software,bucharest,1990
522,tarom,consumer services,airlines,otopeni,1954
523,tehnoton,consumer goods,consumer electronics,iaşi,1972
524,telekom romania,telecommunications,fixed line telecommunications & mobile telecommunications,bucharest,1991
525,terapia ranbaxy,health care,pharmaceuticals,cluj-napoca,1920
526,țiriac holdings,conglomerates,-,bucharest,1990
527,transferoviar grup,industrials,railroads,cluj-napoca,2003
528,trilulilu,technology,internet,cluj-napoca,2007
529,ubisoft bucharest,technology,software,bucharest,1992
530,upc romania,telecommunications,fixed line telecommunications,bucharest,1992
531,ursus breweries,consumer goods,brewers,bucharest,1878
