,name,industry,sector,headquarters,founded,notes
2466,pesa sa,industrials,commercial vehicles & trucks,bydgoszcz,1851,railway vehicles
2467,pgnig,oil & gas,exploration & production,warsaw,1976,natural gas
2468,pkn orlen,oil & gas,exploration & production,płock,1999,oil refiner
2469,play,telecommunications,mobile telecommunications,warsaw,2007,mobile provider
2470,plus,telecommunications,mobile telecommunications,warsaw,1995,mobile provider
2471,poczta polska,consumer services,delivery services,warsaw,1558,postal service
2472,polcast television,consumer services,broadcasting & entertainment,warsaw,2006,broadcaster
2473,polish state railways,industrials,railroads,warsaw,1926,state railways
2474,polsat,consumer services,broadcasting & entertainment,warsaw,1992,"television, part of telewizja polsat"
2475,polska grupa energetyczna,utilities,conventional electricity,warsaw,1990,state power
2476,polsteam,industrials,delivery services,szczecin,1951,shipping
2477,pko bp,financials,banks,warsaw,1948,bank
2478,pzu,financials,full line insurance,warsaw,1803,insurance
2479,pronar,consumer goods,machinery,narew,1988,agricultural mchinery
2480,pks,consumer services,travel & tourism,białystok,1945,public transportation
2481,przewozy regionalne,consumer services,travel & tourism,warsaw,2001,passenger rail
2482,pse (polskie sieci elektroenergetyczne),utilities,conventional electricity,konstancin-jeziorna,2004[4],power
2483,pudliszki,food products,fruit and vegetable processing,pudliszki,1847,food
2484,qumak,technology,software,warsaw,1985,i/t
2485,smyk department store,consumer services,general retailers,warsaw,2000,department stores and toys
2486,solaris bus & coach,industrials,commercial vehicles & trucks,bolechowo,2001,bus manufacturer
2487,techland,technology,software,wrocław,1991,video games
2488,tele-fonika kable,industrials,diversified industrials,bydgoszcz,1920,cable manufacturer
2489,telewizja polska,consumer services,broadcasting & entertainment,warsaw,1952,public broadcasting
2490,t-mobile polska,telecommunications,mobile telecommunications,warsaw,1996,"mobile network, part of deutsche telekom (germany)"
2491,tvn24,consumer services,broadcasting & entertainment,warsaw,2001,"tv channel, part of tvn group"
2492,tvn 7,consumer services,broadcasting & entertainment,warsaw,2002,"tv channel, part of tvn group"
2493,tvn group,consumer services,broadcasting & entertainment,warsaw,1995,"media group, includes tvn"
2494,tymbark,consumer goods,soft drinks,tymbark,1936,juice and beverage
2495,ursus sa,automotive inductry,agricultural machinery,lublin,1893,tractors
2496,van pur,consumer goods,brewers,rakszawa[5],1989,brewery holding
2497,wieliczka salt mine,consumer services,recreational services,wieliczka,1252,"former salt mine, now attraction"
2498,wielton,automotive industry,utility vehicles,wieluń,1996,trailers
2499,żabka,consumer services,food retailers & wholesalers,poznań,1998,grocery
2500,zmt sa,industrials,defense,tarnów,1917,"firearms, weapons"
2501,żubrówka,consumer goods,brewers,białystok,–,brewery
2502,żywiec brewery,consumer goods,brewers,żywiec,1856,brewery
2503,altri,basic materials,paper,porto,2005,paper
2504,ambar – ideas on paper s.a.,industrials,industrial suppliers,porto,1939,office supplies
2505,banco comercial português,financials,banks,porto,1985,bank
2506,bial,health care,pharmaceuticals,trofa,1924,pharma
2507,caixa geral de depósitos,financials,banks,lisbon,1876,state bank
2508,carris,consumer services,travel & tourism,lisbon,1872,public transportation
2509,central de cervejas,consumer goods,brewers,vila franca de xira,1934,brewery
2510,chipidea,technology,semiconductors,oeiras,1997,"semiconductor, defunct 2009"
2511,churchill's port,wine making,port wine,porto,1981,port wine
2512,ciberbit,technology,software,coimbra,1995,software
2513,cimpor,industrials,building materials & fixtures,lisbon,1976,cement
2514,cms-helmets,consumer goods,clothing & accessories,anadia,1976,motorcycling helmets
2515,cofina,consumer services,publishing,porto,1856,publisher
2516,comboios de portugal,consumer services,travel & tourism,lisbon,1856,passenger rail
2517,conservas ramirez,consumer goods,food products,matosinhos,1853,fish & cannedfish
2518,continente,consumer services,food retailers & wholesalers,matosinhos,1985,"supermarket, part of sonae"
2519,corticeira amorim,basic materials,industrial suppliers,santa maria da feira[11],1870,cork
2520,critical software,technology,software,coimbra,1998,software
2521,"ctt correios de portugal, s.a. (ctt)",industrials,delivery services,lisbon,1520,postal services
2522,delta cafés,consumer goods,food products,campo maior,1961,coffee
2523,efacec,industrials,electronic equipment,matosinhos,1948,electronics
2524,energias de portugal (edp),utilities,conventional electricity,lisbon,1976,electrical generation
2525,fábrica nacional de munições de armas ligeiras,industrials,defense,lisbon,1947,arms
2526,galp energia,utilities,gas distribution,lisbon,1999,natural gas distribution
2527,glintt,technology,software,lisbon,2008,software developer
2528,grupo josé de mello,conglomerates,-,lisbon,1986[12],"health care, energy, logistics"
2529,iberomoldes,industrials,general industries,marinha grande,1975,engineering
2530,impresa,consumer services,media,oeiras,1972,"television, publisher"
2531,jerónimo martins,consumer services,retail,lisbon,1792,food retail
2532,lactogal,consumer goods,food & beverage,porto,1996,"dairy, water"
2533,logoplaste,industrials,diversified industrials,cascais,1976,plastic
2534,martifer,industrials,heavy construction,oliveira de frades,1990,construction
2535,media capital,consumer services,broadcasting & entertainment,oeiras,1988,media distribution
2536,medinfar,health care,pharmaceuticals,lisbon,1970,pharma
2537,meo,telecommunications,mobile telecommunications,lisbon,1991,mobile provider
2538,montepio,financials,banks,lisbon,1840,bank
2539,mota-engil,industrials,general industries,porto,1946,engineering and infrastructure
2540,move interactive,technology,software,cascais,2008,video games
2541,nos,telecommunications,fixed line telecommunications,lisbon,1994,telecom
2542,novabase,technology,software,lisbon,1989,information technology
2543,novo banco,financials,banks,lisbon,2014,bank
2544,pingo doce,consumer services,food retailers & wholesalers,lisbon,1980,supermarket chain
2545,porto editora,consumer services,publishing,porto,1944,publisher
2546,portugal telecom,telecommunications,fixed line telecommunications,lisbon,1994,"telecommunications, part of altice (netherlands)"
2547,quidgest,technology,software,lisbon,1988,specialist enterprise software
2548,rádio e televisão de portugal,consumer services,broadcasting & entertainment,lisbon,1935,state media
2549,redes energéticas nacionais (ren),utilities,conventional electricity,lisbon,1994,electrical distribution
2550,renova,basic materials,paper,torres novas,1939,paper
2551,sapo,telecommunications,fixed line telecommunications,lisbon,1995,"telecom, isp"
2552,semapa,industrials,building materials & fixtures,lisbon,1991,"cement, paper"
2553,simoldes,industrials,diversified industrials,oliveira de azeméis,1959,manufacturing
2554,soares da costa,industrials,heavy construction,porto,1918,construction
2555,sic,consumer services,broadcasting & entertainment,lisbon,1992,"television, part of impresa"
2556,sonae indústria,industrials,diversified industrials,maia,1959,part of sonae
2557,sonae,conglomerates,-,maia,1959,"retail, financials, industrials, telecom"
2558,sovena group,consumer goods,farming & fishing,oeiras,1956,agribusiness
2559,sumol + compal,consumer goods,food products,oeiras,2008,"food and beverage, merger of sumolis and compal"
2560,tabaqueira,consumer goods,tobacco,lisbon,1927,"cigarettes, part of philip morris international (us)"
2561,tap air portugal,consumer services,airlines,lisbon,1945,airline
2562,televisão independente,consumer services,broadcasting & entertainment,oeiras,1993,broadcaster
2563,the navigator company,basic materials,paper,setúbal,2001,paper
2564,tranquilidade,financials,full line insurance,lisbon,1871,insurance
2565,tupam editores,consumer services,publishing,lisbon,1977,health publisher
2566,umm,industrials,diversified industrials,lisbon,1977,metal works
2567,unicer brewery,consumer goods,brewers,matosinhos,1890,brewery
2568,uniplaces,technology,internet,lisbon,2012,"student accommodation platform, travel, real estate"
2569,visabeira,conglomerates,-,viseu,1980,"telecommunications, travel, industrials, real estate"
2570,vista alegre,consumer goods,durable household products,ílhavo,1824,porcelain
2571,adevărul holding,consumer services,publishing,bucharest,2008,magazines and newspapers
2572,angst,consumer services,food retailers & wholesalers,buftea,1990,supermarket chain
2573,antibiotice iași,health care,pharmaceuticals,iași,1955,research and drug manufacturing
2574,apulum,consumer goods,durable household products,alba iulia,1970,porcelain
2575,arctic s.a.,consumer goods,durable household products,găești,1968,appliances
2576,automobile dacia,consumer goods,automobiles,mioveni,1966,car manufacturer
2577,banca comercială română (bcr),financials,banks,bucharest,1990,"bank and financial services, part of erste group (austria)"
2578,banca transilvania,financials,banks,cluj-napoca,1993,bank
2579,blue air,consumer services,airlines,bucharest,2004,airline
2580,brd – groupe société générale,financials,banks,bucharest,1923,"bank, majority owned by société générale (france)"
2581,căile ferate române,industrials,railroads,bucharest,1880,railways
2582,continental hotels,consumer services,hotels,bucharest,1991,hotel holdings
2583,dedeman,consumer services,retail services,bacău,1992,hypermarkets
2584,european drinks & foods,consumer goods,food products,ștei,1993,food producer
2585,farmec,consumer goods,personal products,cluj-napoca,1993,cosmetics
2586,ford romania,consumer goods,automobiles,craiova,1976,"automotive, part of ford otosan (türkiye)"
2587,gecad software,technology,software,bucharest,1992,cad software
