00-avengers-country,01-DDD-country,02-GioPonSpiz-country,03-gren-country,04-iGMM-country,05-MalPatSaj-country,06-MarScoToc-country
usa,usa,usa,usa,,usa,usa
usa,united-kingdom,s. arabia,s. arabia,,usa,saudi arabia
usa,hong-kong,usa,usa,USA,s. arabia,usa
usa,usa,usa,usa,,usa,usa
usa,germany,usa,usa,,usa,usa
usa,france,usa,usa,USA,usa,usa
ireland,china,usa,usa,,usa,china
usa,usa,usa,usa,USA,usa,usa
switzerland,japan,china,usa,,usa,taiwan
japan,china,usa,usa,,usa,usa
usa,usa,usa,china,,usa,usa
usa,usa,taiwan,taiwan,,usa,usa
china,usa,france,usa,,taiwan,usa
france,none,usa,france,,china,france
usa,singapore,usa,usa,,usa,usa
uk,sweden,usa,usa,India,usa,usa
usa,united-kingdom,usa,usa,USA,france,usa
uk,brazil,usa,usa,,usa,usa
usa,hong-kong,usa,usa,,usa,usa
usa,usa,china,usa,Hong Kong,usa,usa
india,china,usa,usa,,usa,china
usa,usa,usa,usa,,usa,usa
netherlands,netherlands,usa,china,,switzerland,south korea
china,usa,switzerland,switzerland,,usa,switzerland
usa,united-kingdom,usa,usa,,china,usa
usa,usa,s. korea,denmark,,usa,usa
switzerland,japan,china,s. korea,,s. korea,denmark
denmark,australia,denmark,usa,,denmark,china
usa,ireland,usa,usa,,usa,usa
usa,usa,usa,usa,,usa,netherlands
china,usa,usa,china,,usa,usa
usa,singapore,usa,usa,Netherlands,switzerland,usa
switzerland,united-kingdom,netherlands,usa,,usa,switzerland
usa,canada,usa,switzerland,,usa,usa
south korea,taiwan,switzerland,usa,,netherlands,usa
usa,france,uae,usa,USA,china,united arab emirates
usa,brazil,usa,netherlands,,usa,usa
usa,usa,usa,usa,,usa,usa
usa,turkey,usa,uk,,usa,usa
usa,india,usa,china,China,uk,france
china,india,uk,usa,,usa,china
france,australia,china,usa,,india,uk
usa,usa,france,india,USA,china,usa
usa,usa,usa,uk,,usa,uk
usa,japan,uk,france,,usa,india
taiwan,usa,india,switzerland,USA,france,japan
usa,india,usa,usa,,usa,usa
usa,usa,usa,usa,USA,uk,switzerland
usa,israel,usa,usa,,switzerland,usa
usa,spain,usa,usa,Switzerland,japan,usa
usa,none,usa,japan,,usa,usa
usa,usa,switzerland,usa,,ireland,usa
usa,australia,japan,usa,,usa,
usa,usa,usa,usa,,usa,usa
usa,usa,france,france,,usa,usa
saudi arabia,indonesia,usa,usa,,usa,ireland
canada,usa,ireland,ireland,,,australia
india,hong-kong,usa,australia,Switzerland,uk,usa
usa,usa,australia,usa,,usa,usa
usa,usa,usa,usa,,usa,usa
china,none,usa,usa,,usa,china
usa,finland,usa,china,,usa,china
usa,none,uk,usa,,usa,netherlands
netherlands,usa,china,usa,,usa,usa
uk,usa,netherlands,usa,USA,australia,usa
usa,india,china,uk,,usa,uk
usa,italy,usa,usa,USA,usa,usa
china,usa,usa,usa,India,usa,france
germany,india,france,usa,USA,france,usa
usa,usa,usa,netherlands,,china,usa
usa,usa,usa,france,USA,china,usa
france,united-kingdom,usa,usa,,usa,china
usa,usa,usa,china,,india,china
canada,sweden,china,china,UK,usa,france
china,hong-kong,usa,usa,,china,usa
usa,france,china,usa,USA,usa,usa
usa,united-kingdom,usa,usa,,usa,usa
china,brazil,france,china,,china,india
usa,israel,india,china,,usa,usa
usa,india,china,india,,china,china
usa,canada,usa,china,USA,usa,uk
china,australia,usa,france,,netherlands,usa
france,usa,usa,usa,USA,france,china
usa,usa,usa,usa,,usa,usa
china,india,usa,usa,USA,usa,germany
usa,usa,uk,usa,China,usa,canada
india,usa,china,uk,,usa,usa
usa,usa,usa,canada,UK,usa,usa
usa,usa,canada,hong kong,China,usa,usa
usa,france,germany,china,USA,usa,china
usa,usa,usa,usa,,china,usa
australia,switzerland,usa,uk,Saudi Arabia,canada,china
usa,united-kingdom,china,usa,,uk,china
usa,usa,china,usa,,india,hong kong
usa,new-zealand,hong kong,china,,germany,india
uk,usa,china,usa,China,usa,usa
usa,usa,usa,germany,,hong kong,uk
france,usa,china,usa,USA,china,usa
usa,usa,usa,usa,USA,usa,australia
germany,india,usa,china,,usa,uk
china,usa,uk,china,,china,usa
switzerland,usa,usa,belgium,,australia,china
canada,switzerland,usa,india,,uk,usa
china,usa,usa,usa,,usa,usa
switzerland,usa,australia,france,,usa,france
usa,united-kingdom,uk,usa,USA,france,germany
usa,usa,india,usa,USA,belgium,usa
usa,south-korea,belgium,china,USA,china,canada
usa,china,usa,usa,,,china
usa,usa,france,uk,,usa,belgium
netherlands,spain,usa,usa,,canada,usa
usa,indonesia,germany,usa,,usa,usa
japan,china,china,canada,Australia,usa,usa
uk,usa,canada,australia,,china,china
china,usa,usa,germany,,norway,usa
australia,usa,china,usa,,usa,usa
usa,canada,usa,usa,USA,usa,usa
usa,canada,usa,usa,,uk,usa
usa,usa,usa,usa,,china,usa
germany,usa,usa,usa,,usa,usa
japan,india,usa,china,,usa,usa
japan,usa,china,usa,Denmark,usa,usa
germany,usa,usa,usa,USA,usa,usa
ireland,switzerland,usa,ireland,USA,germany,japan
south korea,india,germany,china,,usa,germany
china,spain,usa,uk,USA,uk,uk
uk,usa,usa,germany,,usa,ireland
uk,none,usa,usa,USA,china,china
usa,usa,uae,japan,,uk,united arab emirates
usa,india,uk,usa,,ireland,japan
usa,usa,ireland,uk,,usa,uk
china,usa,china,usa,,usa,china
usa,canada,japan,norway,,germany,usa
usa,spain,uk,japan,,china,usa
uk,india,japan,china,,japan,japan
germany,singapore,usa,usa,,china,netherlands
france,usa,germany,netherlands,,japan,germany
china,none,japan,usa,,usa,australia
usa,usa,japan,usa,,germany,usa
china,usa,netherlands,switzerland,,australia,usa
norway,united-kingdom,usa,usa,China,usa,norway
usa,malaysia,norway,japan,,japan,usa
usa,sweden,usa,usa,,usa,germany
belgium,israel,australia,usa,Canada,netherlands,usa
hong kong,germany,usa,germany,,uk,usa
usa,japan,germany,usa,USA,usa,japan
usa,usa,usa,uk,Japan,usa,spain
usa,india,switzerland,australia,,switzerland,usa
uk,usa,usa,germany,,usa,usa
usa,usa,germany,japan,,usa,switzerland
china,usa,spain,spain,,usa,switzerland
australia,france,usa,usa,USA,usa,
usa,usa,usa,usa,,switzerland,usa
usa,usa,usa,germany,Canada,germany,france
canada,usa,s. korea,usa,USA,s. korea,usa
usa,usa,usa,usa,,germany,usa
brazil,india,france,usa,,usa,south korea
france,united-kingdom,usa,france,USA,france,germany
china,usa,usa,switzerland,,canada,usa
usa,usa,switzerland,canada,,usa,uk
india,usa,usa,usa,,usa,france
germany,usa,usa,canada,Hong Kong,germany,usa
usa,usa,uk,france,,spain,brazil
usa,australia,brazil,brazil,,usa,usa
spain,usa,france,s. korea,Brazil,usa,canada
canada,usa,canada,usa,UK,usa,switzerland
usa,germany,switzerland,switzerland,USA,france,usa
usa,usa,canada,s. arabia,China,canada,canada
usa,ireland,usa,usa,,usa,saudi arabia
france,switzerland,s. arabia,usa,USA,usa,france
france,canada,usa,usa,UK,usa,china
usa,none,france,usa,Sweden,india,usa
saudi arabia,hong-kong,usa,france,USA,s. arabia,france
usa,usa,china,usa,,,usa
usa,singapore,usa,germany,France,brazil,usa
usa,israel,france,usa,Japan,india,india
india,usa,germany,france,,usa,usa
germany,south-africa,usa,china,Belgium,china,germany
usa,south-korea,usa,india,USA,france,usa
usa,india,germany,usa,,india,usa
usa,usa,india,germany,Saudi Arabia,switzerland,china
usa,china,usa,usa,,usa,germany
usa,usa,china,india,,usa,usa
usa,usa,usa,usa,USA,uk,saudi arabia
indonesia,spain,usa,usa,USA,russia,india
canada,canada,s. arabia,usa,Japan,germany,brazil
switzerland,south-korea,usa,india,,canada,usa
usa,none,india,china,USA,china,usa
uk,usa,india,canada,Sweden,usa,usa
france,usa,usa,s. arabia,India,usa,usa
germany,usa,france,usa,,switzerland,india
china,united-kingdom,usa,uk,USA,usa,canada
usa,none,canada,usa,USA,spain,usa
usa,germany,usa,switzerland,,japan,uk
russia,france,usa,spain,USA,usa,china
brazil,india,uk,usa,,usa,usa
switzerland,hong-kong,usa,usa,,usa,spain
usa,usa,spain,usa,China,france,china
india,israel,usa,china,China,usa,switzerland
spain,united-kingdom,usa,usa,,usa,france
usa,united-kingdom,china,usa,Japan,usa,usa
usa,south-africa,china,france,,usa,china
usa,india,usa,usa,China,usa,france
china,usa,france,france,USA,usa,canada
sweden,none,switzerland,usa,USA,japan,usa
france,usa,brazil,canada,,france,australia
usa,usa,uae,china,Canada,indonesia,usa
switzerland,usa,australia,brazil,,india,united arab emirates
uk,usa,mexico,usa,Hong Kong,china,indonesia
usa,usa,usa,usa,,usa,usa
germany,usa,canada,usa,,usa,switzerland
usa,south-korea,usa,singapore,USA,usa,uk
switzerland,usa,singapore,indonesia,USA,australia,usa
india,canada,china,usa,Mexico,usa,singapore
usa,none,usa,japan,,s. arabia,mexico
usa,usa,usa,india,,usa,japan
saudi arabia,usa,indonesia,usa,,singapore,china
sweden,india,india,mexico,,france,canada
usa,australia,japan,ireland,USA,usa,usa
usa,usa,usa,japan,,japan,mexico
usa,usa,switzerland,china,USA,ireland,usa
usa,canada,usa,uk,,china,japan
