"Name","Industry","Headquarter","Ownership","Foundation Year"
"TCS","IT Services & Consulting","Mumbai, Maharashtra, India","Public","1968 (55 yrs old)"
"Accenture","IT Services & Consulting","Dublin, Ireland","Public","1989 (34 yrs old)"
"Cognizant","IT Services & Consulting","Teaneck. New Jersey., United States (USA)","Private","1994 (29 yrs old)"
"ICICI Bank","Banking","Mumbai, Maharashtra, India","Public","1994 (29 yrs old)"
"HDFC Bank","Banking","Mumbai, Maharashtra, India","Public","1994 (29 yrs old)"
"Wipro","IT Services & Consulting","Bangalore/Bengaluru, Karnataka, India","Public","1945 (78 yrs old)"
"Infosys","IT Services & Consulting","Bengaluru/Bangalore, Karnataka, India","Public","1981 (42 yrs old)"
"Capgemini","IT Services & Consulting","Paris, France","Public","1967 (56 yrs old)"
"Tech Mahindra","IT Services & Consulting","Pune, Maharashtra, India","Public","1986 (37 yrs old)"
"Genpact","IT Services & Consulting","New York, New York, United States (USA)","Public","1997 (26 yrs old)"
"HCLTech","IT Services & Consulting","","Public","1991 (32 yrs old)"
"Amazon","Internet","Seattle,Washington, United States","Public","1994 (29 yrs old)"
"Axis Bank","Banking","Mumbai, Maharashtra, India","Public","1993 (30 yrs old)"
"IBM","Software Product","Armonk,New York, United States","Public","1911 (112 yrs old)"
"Concentrix Corporation","BPO","Fremont, California, United States (USA)","Public","1983 (40 yrs old)"
"Reliance jio","Telecom","Navi Mumbai, Maharashtra, India","Public","2007 (16 yrs old)"
"Larsen & Toubro Limited","Engineering & Construction","Mumbai, Maharashtra, India","Public","1946 (77 yrs old)"
"HDB Financial Services","NBFC","Ahmedabad, Gujrat, India","Private","2007 (16 yrs old)"
"Vodafone Idea","IT Services & Consulting","Gandhinagar, Gujrat, India","Public","2018 (5 yrs old)"
"Teleperformance","BPO","Paris, France","Private","1978 (45 yrs old)"
"Reliance Retail","Retail","Navi Mumbai, Maharashtra, India","Private","2006 (17 yrs old)"
"Kotak Mahindra Bank","Banking","Mumbai, Maharashtra, India","Public","2003 (20 yrs old)"
"Deloitte","Management Consulting","New York, New York, United States (USA)","Private","1845 (178 yrs old)"
"Reliance Industries","Oil & Gas","Navi Mumbai, Maharashtra, India","Public","1973 (50 yrs old)"
"Bharti Airtel","Telecom","Gurgaon/Gurugram, Haryana, India","Public","1995 (28 yrs old)"
"Tata Motors","Automobile","Pune, Maharashtra, India","Public","1945 (78 yrs old)"
"BYJU'S","EdTech","Bangalore,Karnataka, India","Private","2011 (12 yrs old)"
"Flipkart","Internet","Bangalore,Karnataka, India","Public","2007 (16 yrs old)"
"WNS","Analytics & KPO","Mumbai, Maharashtra, India","Private","1996 (27 yrs old)"
"Mahindra & Mahindra","Automobile","Mumbai, Maharashtra, India","Public","1945 (78 yrs old)"
"IndusInd Bank","Banking","Gurgaon/Gurugram, Haryana, India","Public","1994 (29 yrs old)"
"Ernst & Young","Consulting","London, England","Private","1989 (34 yrs old)"
"DXC Technology","IT Services & Consulting","Minato,Tokyo, Japan","Public","2017 (6 yrs old)"
"Hinduja Global Solutions","BPO","Bangalore/Bengaluru, Karnataka, India","Public","2000 (23 yrs old)"
"Infosys BPM","BPO","Bangalore/Bengaluru, Karnataka, India","","2002 (21 yrs old)"
