00-avengers-id,09-wissel-id
1aeb78c70807445290795f145210a39e,1.0
8443bd488b2543718e4dab19e7d1b371,2.0
d35ff63680a645f986048ab48d2fe322,3.0
0664af11c7b9417bab58542ffa880c0e,4.0
4a67737ea89e450b8e8677a91e90327f,5.0
078fc42523be4528a0eb804f7ceb4ddf,6.0
d38f5769cb644305bf77af14794bd780,7.0
97f59071fdc74c589f7ad77a8903f429,8.0
9fe6e0ddabc04a8ebc3d091c9e3071f2,9.0
03ad6161d67b479588cd2cdcf7e0b3d5,10.0
e44046a2f67e4062823fb2f75e3edd7f,11.0
af046f3fff4f48a598f3a5b14577a590,12.0
a2720ae15d4745578a8ab1b5d3fb3db2,13.0
b568ec4c2bc340ac84c13758f1aa1d62,14.0
53570c24ff194326bc028c09f4d7ea22,15.0
6872065415084028ac623ff75960e708,16.0
c55fcaae5766410086136058e5b43c6d,17.0
144b8ddc219c44ad956c4781a1f629fd,18.0
e3386793215d497fb47a51cd80ce7f22,19.0
0b7e1b00e5014e4b8792d845e132d156,20.0
6ba9e5b462a04029bcccfdc2ab95c3dc,21.0
4535db9cb7d141bc9b893ba49d26d5bb,22.0
a61cf8da5db749b6881706f13e458a43,23.0
9d3f40983f3f4e23baea0c4f76747d6d,24.0
5c23590bf0ed4f638e694bac3ec432c4,25.0
a3800a0eb5234939b4d9952715a2fd4e,26.0
9c59e22de2e94722ac0cf47bf78c3526,27.0
ba491303dd7f41ec995a6ae4012dadb4,28.0
bb6653c1a8a34e5986c334d9e08053ad,29.0
57e8c2311cac4ae8a8dcf704263fadda,30.0
1ab0ccf2fae54fe386ff71baa18ae409,31.0
bd288e9353194055bf8dabe7f6924056,32.0
1544f5604f3d49cba7489b7704ce1017,33.0
7a90f062c1ce4cd78156c0433b431e81,34.0
5d46c92b7e2f4f8886d0814f6c10f4df,35.0
4bd4d2e0621e4f1a9832e04d75491ee7,36.0
b13f2a823d1b43f3a10de1ea4c864839,37.0
4969e3d2089941c2b44e8915b1ed7b7d,38.0
cf1bf878b7a7454fae7e101193d06696,39.0
94b30bd26af74dbd9c6885b6da402c19,40.0
906b1809560343959bb8ca916e30b7e3,41.0
489251b60edd4d0d8f7e1c95daeeb053,42.0
6b3b46206aff45e59afa5aa6a8736901,43.0
e417ad817dc045779de5fceeea62cfc7,44.0
34a10310502d4d2c94f08620a8df4ce9,45.0
41d4c285ca7047898f8ed99b61142e28,46.0
d02f428cc5634437966c808414d77a5f,47.0
395752907c7a42dfa827db8f54465999,48.0
08700c77c31744d1aeb8831ea4f42d0b,49.0
499d7793accb4ee48e9f1dbb6bdb0da9,50.0
9deb798ece1f47878bbc6afaa6dfbcfe,51.0
f7d05b5a4d474c7c981bcf6cc6c86f58,52.0
8a0478684cbc4862b4d2a4cdb80ae7c8,53.0
99fce0cdd3124131896650fe55cfac78,54.0
6a6e230e2c12460a96476b4a74681df1,55.0
