,Unnamed: 0,Name,Industry,Sector,Headquarters,Founded,Notes
0,0,Agrana,Consumer goods,Food products,Vienna,1988,"Sugar, starch, fruit juice concentrates and fruit preparation"
1,1,pewag group,Industrials,Industrial machinery,Klagenfurt,1479,Chain manufacturer
2,2,AHT Cooling Systems,Industrials,Electronic equipment,Rottenmann,1983,Cooling and refrigeration
3,3,Ammerer Bed Company,Consumer goods,Durable household products,Ried im Innkreis,1763,
4,4,ams AG,Technology,Semiconductors,Premstätten,1981,Semiconductors
5,5,Andritz,Industrials,Industrial machinery,Graz,1852,Plant engineering
6,6,Atomic Skis,Consumer goods,Recreational products,Altenmarkt im Pongau,1955,"Skis, part of Amer Sports (Finland)"
7,7,Augarten porcelain,Consumer goods,Durable household products,Vienna,1923,
8,8,AMAG Austria Metall AG,Industrials,Diversified industrials,Braunau am Inn,1938,General manufacturing
9,9,Austria Wirtschaftsservice Gesellschaft (aws),Financials,Banks,Vienna,1954,Development and financing bank
10,10,Austrian Airlines,Consumer services,Airlines,Schwechat,1957,Flag carrier airline. part of Lufthansa (Germany)
11,11,AVL,Industrials,Business support services,Graz,1948,Automotive engineering
12,12,B&R,Industrials,Electronic equipment,Eggelsberg,1979,Automation and process control
13,13,Bank Austria,Financials,Banks,Vienna,1855,Banking
14,14,bauMax,Consumer services,Home improvement retailers,Klosterneuburg,1976,Defunct 2015
15,15,BAWAG,Financials,Banks,Vienna,1922,Banking
16,16,Bene AG,Consumer goods,Furnishings,Waidhofen an der Ybbs,1790,Office furniture
17,17,Bestattung Wien,Consumer services,Specialized consumer services,Vienna,1907,Funeral director
18,18,Billa,Consumer services,Food retailers & wholesalers,Wiener Neudorf,1953,Supermarkets
19,19,Böhler-Uddeholm,Basic materials,Iron & steel,Vienna,1991,Steel
20,20,Borealis,Basic materials,Commodity chemicals,Vienna,1994,Polyethylene
21,21,Bösendorfer,Consumer goods,Recreational products,Vienna,1828,"Pianos, now part of Yamaha Corporation (Japan)"
22,22,Bundesimmobiliengesellschaft (BIG),Financials,Real estate holding & development,Vienna,1992,Government real estate
23,23,Cineplexx Cinemas,Consumer services,Recreational services,Vienna,1993,Cinemas
24,24,CISC Semiconductor,Technology,Semiconductors,Klagenfurt,1999,
25,25,Delfortgroup,Basic materials,Paper,Traun,2006,Paper
26,26,Dependeq,Industrials,Business support services,Vienna,1999,Metallurgical plants
27,27,Diamond Aircraft Industries,Consumer goods,Aerospace,Wiener Neustadt,1981,aircraft manufacturer
28,28,Doka Group,Industrials,Heavy construction,Amstetten,1868,Formwork
29,29,Doppelmayr Garaventa Group,Consumer goods,Recreational products,Wolfurt,1892,Commercial ski equipment
30,30,Dorotheum,Consumer services,Specialized consumer services,Vienna,1707,Auction house
31,31,Erste Bank,Financials,Banks,Vienna,2008,Banking
32,32,Fabasoft,Technology,Software,Linz,1988,Software
33,33,Fischer,Consumer goods,Recreational products,Ried im Innkreis,1924,Skis and aircraft parts
34,34,Frequentis,Technology,Telecommunications equipment,Vienna,1947,Communications technology
35,35,GE Jenbacher,Industrials,Industrial machinery,Jenbach,1959,Engines
36,36,Gericom,Technology,Computer hardware,Linz,1990,"Computer equipment, defunct 2008"
37,37,Gessler,Consumer goods,Distillers & vintners,Vienna,1777,Distiller
38,38,Glock Ges.m.b.H.,Industrials,Defense,Deutsch-Wagram,1963,Small arms
39,39,Goldscheider ceramics,Consumer goods,Durable household products,Vienna,1885,"Ceramics, art"
40,40,Julius Blum,Consumer goods,Furnishings,Höchst,1952,Furniture industry
41,41,Julius Meinl,Consumer goods,Beverages,Vienna,1862,Coffee
42,42,Kapsch,Technology,Telecommunications equipment,Vienna,1892,Telematics
43,43,Kika,Consumer goods,Furnishings,Vienna,1973[3],Furniture
44,44,Kores,Consumer goods,Nondurable household products,Vienna,1887,School supplies
45,45,KTM,Consumer goods,Automobiles,Mattighofen,1934,Motorcycles
46,46,Lenzing AG,Basic materials,Commodity chemicals,Lenzing,1938,Cellulose fiber
47,47,Löblich & Co.,Industrials,Industrial machinery,Vienna,1738,"Heating, commercial kitchens"
48,48,Lyoness,Consumer services,Specialized consumer services,Graz,2003,Shopping community
49,49,Magna Steyr,Consumer goods,Automobiles,Graz,2001,Automobiles & components manufacturer
50,50,Mayr-Melnhof,Industrials,Containers & packaging,Vienna,1950,Packaging
51,51,Neumann International,Industrials,Business training & employment agencies,Vienna,1971,Executive search
52,52,Niki,Consumer services,Airlines,Schwechat,2003,Budget airline
53,53,Noctua,Consumer goods,Computer hardware,Vienna,2005,Computer cooling systems
54,54,ÖAF,Consumer goods,Automobiles,Floridsdorf,1907,"Automotive, now part of MAN SE"
55,55,ÖBB,Industrials,Railroads,Vienna,1923,State railways
56,56,OMV,Oil & gas,Exploration & production,Vienna,1956,"Petroleum, Global 500 firm"
57,57,Onepharm,Health care,Biotechnology,Vienna,2005,Biopharma
58,58,Österreichische Industrieholding AG,Financials,Asset managers,Vienna,1967,Government stockholder
59,59,Österreichische Post,Logistics,Delivery services,Vienna,1999,Postal services
60,60,Palfinger,Industrials,Commercial vehicles & trucks,Salzburg,1932,Cranes for trucks
61,61,Pfanner,Consumer goods,Beverages,Lauterach,1856,Beverages
62,62,Piatnik & Söhne,Consumer goods,Recreational products,Vienna,1824,Playing cards
63,63,Plansee Group,Basic materials,Commodity chemicals,Breitenwang,1921,Powder metallurgy
64,64,Puch,Consumer goods,Automobiles,Graz,1899,"Bikes, now part of Magna Steyr"
65,65,Raiffeisen,Financials,Banks,Vienna,1927,Banking
66,66,Red Bull GmbH,Consumer goods,Beverages,Fuschl am See,1987,Beverages
67,67,RHI AG,Industrials,Industrial suppliers,Vienna,1834,Fireproof industry
68,68,Rosenbauer,Industrials,Commercial vehicles & trucks,Leonding,1866,Fire vehicles
69,69,Rotax,Industrials,Auto components,Gunskirchen,1920,"Aircraft, marine & vehicle engines, now part of Bombardier Recreational Products"
70,70,Runtastic,Technology,Software,Pasching,2009,Smartphone apps
