,Name,Industry,Sector,Headquarters,Founded
91,Föreningsbanken,Financials,Banks,Stockholm,1992
92,Forex Bank,Financials,Investment services,Stockholm,1927
93,Frictional Games,Technology,Software,Helsingborg,2007
94,Galvin Green,Consumer goods,Clothing & accessories,Växjö,1990
95,GB Glace,Consumer goods,Food products,Stockholm,1942
96,Gekås,Consumer services,Broadline retailers,Falkenberg,1963
97,Getinge Group,Health care,Medical equipment,Gothenburg,1904
98,Göinge Mekaniska,Industrials,Heavy construction,Hässleholm,1946
99,Green Cargo,Industrials,Delivery services,Solna,2001
100,Grimaldi Industri,Conglomerates,-,Stockholm,1970
101,Gunnebo Group,Industrials,Business support services,Gothenburg,1889
102,H&M,Consumer services,Apparel retailers,Stockholm,1947
103,Haglöfs,Consumer goods,Recreational products,Torsång,1914
104,Hagström,Consumer goods,Recreational products,Älvdalen,1925
105,Haldex,Consumer goods,Auto parts,Landskrona,1887
106,Hallberg-Rassy,Consumer goods,Recreational products,Ellös,1943
107,Handelsbanken,Financials,Banks,Stockholm,1871
108,Hasselblad,Consumer goods,Recreational products,Gothenburg,1841
109,Hästens,Consumer services,Specialty retailers,Köping,1852
110,Hestra,Consumer goods,Clothing & accessories,Hestra,1936
111,Hexagon AB,Industrials,Business support services,Stockholm,1992
112,HMS Industrial Networks,Telecommunications,Fixed line telecommunications,Halmstad,1988
113,Höganäs AB,Basic materials,Iron & steel,Höganäs,1797
114,Holmen,Basic materials,Paper,Stockholm,1875
115,Husaberg,Consumer goods,Automobiles,Mattighofen,1988
116,Husqvarna Group,Industrials,Industrial suppliers,Stockholm,1689
117,Hydrauliska Industri AB,Industrials,Commercial vehicles & trucks,Hudiksvall,1944
118,IAR Systems,Technology,Software,Uppsala,1983
119,ICA Gruppen,Consumer services,Broadline retailers,Stockholm,1938
120,IFS AB,Technology,Software,Linköping,1983
121,Ikano Bank,Financials,Banks,Malmö,1995
122,IMINT Image Intelligence AB,Technology,Software,Uppsala,2007
123,Infranord,Industrials,Railroads,Solna,2010
124,Ingate Systems,Technology,Software,Stockholm,2001
125,Intertex,Technology,Computer hardware,Stockholm,2001
126,Investment AB Latour,Financials,Investment services,Gothenburg,1984
127,Investment AB Öresund,Financials,Investment services,Stockholm,1961
128,Investor AB,Financials,Investment services,Stockholm,1916
129,IsaDora,Consumer goods,Personal products,Malmö,1983
130,iZettle,Technology,Software,Stockholm,2011
131,J.Lindeberg,Consumer goods,Clothing & accessories,Stockholm,1997
132,Jeeves,Technology,Software,Stockholm,1992
133,Jernhusen,Industrials,Railroads,Stockholm,2001
134,Jofa,Consumer goods,Recreational products,Malung,1926
135,Jonsereds Fabrikers AB,Industrials,Industrial machinery,Jonsered,1832
136,Kinnevik AB,Financials,Investment services,Stockholm,1936
137,Klarna,Consumer services,Broadline retailers,Stockholm,2005
138,Kockums Naval Solutions,Industrials,Commercial vehicles & trucks,Malmö,1840
139,Koenigsegg,Consumer goods,Automobiles,Ängelholm,1994
140,Kooperativa Förbundet,Consumer services,Consumer co-operatives,Stockholm,1899
141,Kopparbergs Brewery,Consumer goods,Brewers,Kopparberg,1882
142,Kosta Glasbruk,Industrials,Building materials & fixtures,Kosta,1742
143,Krönleins,Consumer goods,Brewers,Halmstad,1836
144,Kungsörnen,Consumer goods,Food products,Järna,1929
145,L E Lundbergföretagen,Financials,Investment services,Stockholm,1944
146,Länsförsäkringar,Financials,Full line insurance,Stockholm,1801
147,Länsförsäkringar Bank,Financials,Banks,Stockholm,1996
148,Lantmännen,Consumer goods,Farming & fishing,Stockholm,2001
149,LeoVegas,Consumer services,Gambling,Stockholm,2011
150,Lindex,Consumer services,Apparel retailers,Gothenburg,1954
151,Linjeflyg,Consumer services,Airlines,Stockholm,1957
152,LKAB,Basic materials,General mining,Luleå,1890
153,Loomis,Industrials,Business support services,Stockholm,1997
154,Lundin Petroleum,Oil & gas,Exploration & production,Stockholm,2001
155,Luxor AB,Consumer goods,Consumer electronics,Motala,1923
156,MachineGames,Technology,Software,Uppsala,2009
157,Mälarenergi,Utilities,Conventional electricity,Västerås,1861
158,Maratone Studios,Consumer services,Broadcasting & entertainment,Stockholm,2001
159,Massive Entertainment,Technology,Software,Malmö,1997
160,Mecel,Technology,Software,Gothenburg,1982
161,Meda AB,Health care,Pharmaceuticals,Solna,1954
162,Micromy,Basic materials,Specialty chemicals,Täby,2009
163,Modern Times Group,Consumer services,Broadcasting & entertainment,Stockholm,1987
164,Mojang,Technology,Software,Stockholm,2009
165,Mölnlycke Health Care,Health care,Medical equipment,Gothenburg,1849
166,Monark,Consumer goods,Recreational products,Vansbro,1908
167,MySQL AB,Technology,Software,Uppsala,1995
168,Najad Yachts,Consumer goods,Recreational products,Henån,1971
169,Nanoradio,Technology,Semiconductors,Kista,2004
170,Nasdaq Nordic,Financials,Investment services,Stockholm,2003
171,NCC AB,Industrials,Heavy construction,Solna,1988
172,Neogames,Consumer services,Publishing,Gothenburg,2006
173,Neonode,Telecommunications,Computer hardware,Stockholm,2001
174,Nextjet,Consumer services,Airlines,Stockholm,2002
175,Nobia,Consumer goods,Durable household products,Stockholm,1996
176,Nobina,Consumer services,Travel & tourism,Stockholm,1999
177,NOHAB,Industrials,Diversified industrials,Trollhättan,1916
178,Nordiska Kompaniet,Consumer services,Broadline retailers,Stockholm,1864
179,Nordstjernan,Conglomerates,-,Stockholm,1890
180,NorthStar,Industrials,General industries,Stockholm,2000
181,Nudie Jeans,Consumer goods,Clothing & accessories,Gothenburg,2001
182,Nyby bruk,Basic materials,Iron & steel,Torshälla,1829
183,Nyfors,Technology,Telecommunications equipment,Stockholm,1987
184,Nynas,Oil & gas,Exploration & production,Stockholm,1928
185,Odd Molly,Consumer goods,Clothing & accessories,Stockholm,2002
186,Öhlins,Consumer goods,Auto parts,Upplands Väsby,1976
187,Onoff,Consumer services,Broadline retailers,Upplands Väsby,1971
188,Orexo,Health care,Pharmaceuticals,Uppsala,1995
189,Oriflame,Consumer goods,Personal products,Stockholm,1967
190,Orrefors glassworks,Industrials,Building materials & fixtures,Orrefors,1898
191,Oskarshamn Shipyard,Industrials,Commercial vehicles & trucks,Oskarshamn,1863
192,Ovako,Basic materials,Iron & steel,Stockholm,1969
193,Pågen,Consumer goods,Food products,Malmö,1878
194,Paradox Interactive,Technology,Software,Stockholm,1999
195,Peab,Industrials,Heavy construction,Förslöv,1959
196,Peltarion,Technology,Software,Stockholm,2004
197,Phadia,Health care,Medical equipment,Uppsala,1971
198,Pharmacia,Health care,Pharmaceuticals,Stockholm,1911
199,Polarbröd,Consumer goods,Food products,Älvsbyn,1972
200,PostNord,Industrials,Delivery services,Solna,2009
201,PostNord Sverige,Industrials,Delivery services,Solna,1636
202,Primus AB,Consumer goods,Household goods,Stockholm,1892
203,Pripps,Consumer goods,Brewers,Gothenburg,1828
204,Profoto,Industrials,Building materials & fixtures,Stockholm,1968
205,PS Communication,Industrials,Business support services,Stockholm,1997
206,Ratos,Financials,Real estate holding & development,Stockholm,1933
207,ReadSoft,Technology,Software,Helsingborg,1991
208,Recipharm,Health care,Pharmaceuticals,Haninge,1995
209,Rederi AB Slite,Consumer services,Travel & tourism,Gothenburg,1947
210,Remograph,Technology,Software,Linköping,2005
211,Resurs Holding,Financials,Banks,Helsingborg,2001
212,Saab Automobile,Consumer goods,Automobiles,Trollhättan,1945
213,Saab Group,Industrials,Aerospace,Stockholm,1937
214,SamLogic,Technology,Software,Stockholm,1992
215,Sandvik,Industrials,Industrial engineering,Stockholm,1862
216,SAS Group,Consumer services,Airlines,Solna,1946
217,SCA,Basic materials,Paper,Stockholm,1929
218,Scalado,Technology,Software,Lund,2000
219,Scandic Hotels,Consumer services,Hotels,Stockholm,1963
220,Scania AB,Consumer goods,Automobiles,Södertälje,1891
221,Seavus,Technology,Software,Malmö,1999
222,SEB Group,Financials,Investment services,Stockholm,1972
223,Sector3 Studios,Technology,Software,Lidköping,2003
224,Securitas,Industrials,Business support services,Stockholm,1934
225,Securitas Direct,Industrials,Business support services,Malmö,1988
226,Semcon,Industrials,Business support services,Gothenburg,1980
227,SF Studios,Consumer services,Broadcasting & entertainment,Stockholm,1919
228,SIBA,Consumer services,Specialty retailers,Gothenburg,1951
229,Silva compass,Consumer goods,Recreational products,Stockholm,1932
230,Simogo,Technology,Software,Malmö,2010
231,SJ AB,Consumer services,Travel & tourism,Stockholm,2001
232,Skandia,Financials,Investment services,Stockholm,1855
233,Skandinaviska Banken,Financials,Banks,Gothenburg,1864
234,Skanska,Industrials,Heavy construction,Stockholm,1887
235,Skellefteå Kraft,Utilities,Conventional electricity,Skellefteå,1906
236,SKF,Industrials,Industrial suppliers,Gothenburg,1907
237,Skygoblin,Technology,Software,Gothenburg,2005
238,Smart Eye,Technology,Software,Gothenburg,1999
239,Södra,Basic materials,Paper,Växjö,1938
240,Specma,Industrial,Industrial Engineering,Gothenburg,1918
241,Spendrups,Consumer goods,Brewers,Stockholm,1897
242,Spotify,Technology,Internet,Stockholm,2006
243,SR International – Radio Sweden,Consumer services,Broadcasting & entertainment,Stockholm,1938
244,SSAB,Basic materials,Iron & steel,Stockholm,1978
245,Starbreeze Studios,Technology,Software,Stockholm,1998
246,Stena Line,Consumer services,Travel & tourism,Gothenburg,1962
247,Stena Sphere,Conglomerates,-,Gothenburg,1939
248,Stiga,Consumer goods,Durable household products,Eskilstuna,1934
249,Stockholm Stock Exchange,Financials,Investment services,Stockholm,1863
250,Stockholms Enskilda Bank,Financials,Banks,Stockholm,1856
251,Studsvik,Utilities,Conventional electricity,Nyköping,1947
252,Sveriges Television,Consumer services,Broadcasting & entertainment,Stockholm,1956
253,Sweco,Industrials,Business support services,Stockholm,1997
254,Swedbank,Financials,Banks,Stockholm,1820
255,Swedish Match,Consumer goods,Tobacco,Stockholm,1915
256,Swedish Meats,Livestock,Meat,Stockholm,
257,Swedish Orphan Biovitrum,Health care,Health care providers,Stockholm,2001
258,Swedish Space Corporation,Industrials,Aerospace,Solna,1972
259,Swegon,Industrials,Industrial machinery,Gothenburg,2005
260,Symsoft,Telecommunications,Mobile telecommunications,Stockholm,1989
261,Syncron International AB,Technology,Software,Stockholm,1990
262,Tarsier Studios,Technology,Software,Malmö,2004
263,Tele2,Telecommunications,Fixed line telecommunications,Stockholm,1993
264,Telelogic,Technology,Software,Malmö,1983
265,Telia Company,Telecommunications,Mobile telecommunications,Stockholm,2003
266,Teracom,Consumer services,Broadcasting & entertainment,Stockholm,1992
267,TerraNet AB,Telecommunications,Mobile telecommunications,Lund,2004
268,Tetra Pak,Industrials,Containers & packaging,Lund,1951
269,Thule Group,Consumer goods,Automobiles,Hillerstorp,1942
270,Tradedoubler,Technology,Internet,Stockholm,1999
271,Transmode,Telecommunications,Fixed line telecommunications,Stockholm,2000
272,Trelleborg,Industrials,Business support services,Trelleborg,1905
273,Truecaller,Technology,Software,Stockholm,2009
274,Trustly,Financials,Banks,Stockholm,2008
275,TV4 Group,Consumer services,Broadcasting & entertainment,Stockholm,1984
276,Uddeholms AB,Basic materials,Iron & steel,Hagfors,1668
277,Umeå Energi,Utilities,Conventional electricity,Umeå,1887
278,Urbanears,Consumer goods,Recreational products,Stockholm,2009
279,V&S Group,Consumer goods,Soft drinks,Stockholm,1917
280,Vabis,Industrials,Diversified industrials,Södertälje,1891
281,Vattenfall,Utilities,Conventional electricity,Stockholm,1909
282,Vida AB,Basic materials,Forestry,Alvesta,1969
283,Volvo,Industrials,Commercial vehicles & trucks,Gothenburg,1927
284,Volvo Buses,Industrials,Commercial vehicles & trucks,Gothenburg,1968
285,Volvo Financial Services,Financials,Investment services,Gothenburg,2001
286,Volvo Penta,Consumer goods,Auto parts,Skövde,1907
287,Volvo Trucks,Industrials,Commercial vehicles & trucks,Gothenburg,1928
288,VSM Group,Consumer goods,Durable household products,Huskvarna,1872
289,Wallenius Lines,Industrials,Marine transportation,Stockholm,1934
290,Wasabröd,Consumer goods,Food products,Skellefteå,1919
291,Wayne's Coffee,Consumer services,Restaurants & bars,Stockholm,1994
292,WESC,Consumer goods,Clothing & accessories,Stockholm,1999
293,WG Film,Consumer services,Broadcasting & entertainment,Malmö,1994
294,WM-data,Technology,Software,Stockholm,1969
295,X5 Music Group,Consumer services,Broadcasting & entertainment,Stockholm,2003
296,3scale,Technology,Software,Barcelona,2007
297,Abengoa,Conglomerates,-,Seville,1941
298,Abertis,Conglomerates,-,Barcelona,2003
299,Acciona,Industrials,Heavy construction,Alcobendas,1997
300,Acerinox,Basic materials,Iron & steel,Madrid,1970
301,ACS Group,Industrials,Heavy construction,Madrid,1997
302,Afinsa,Consumer services,Specialty retailers,Madrid,1980
303,Akamon Entertainment,Technology,Software,Barcelona,2011
304,Almirall,Health care,Pharmaceuticals,Barcelona,1943
305,Amadeus IT Group,Technology,Software,Madrid,1987
306,Astilleros y Talleres del Noroeste,Industrials,Shipbuilding,Fene,1944
307,Atresmedia,Consumer services,Broadcasting & entertainment,San Sebastián de los Reyes,1988
308,Balay,Consumer goods,Durable household products,Zaragoza,1947
309,Banco Bilbao Vizcaya Argentaria,Financials,Banks,Bilbao,1857
310,Banco Popular Español,Financials,Banks,Madrid,1926
311,Banco Sabadell,Financials,Banks,Sabadell,1881
312,Banco Santander,Financials,Banks,Santander,1857
313,Banesto,Financials,Banks,Madrid,1902
314,Bankinter,Financials,Banks,Madrid,1965
315,Bassols 1790,Consumer goods,Textiles,Vic,1790
316,Bolsas y Mercados Españoles,Financials,Banks,Madrid,1831
317,BRB Internacional,Consumer services,Broadcasting & entertainment,Alcobendas,1972
318,Budgetplaces,Consumer services,Travel & tourism,Barcelona,2003
319,Calidad Pascual,Consumer goods,Food & beverage,Madrid,1969
320,CATUAV,Industrials,Aerospace,Moià,2007
321,Chupa Chups,Consumer goods,Food products,Barcelona,1958
322,CIE Automotive,Consumer goods,Auto parts,Bilbao,2002
323,Cintra,Industrials,Heavy construction,Madrid,1998
324,Cepsa,Oil & gas,Exploration & production,Madrid,1929
325,Compañía Logística de Hidrocarburos,Utilities,Oil & gas distribution,Madrid,1927
326,Construcciones Aeronáuticas SA,Industrials,Aerospace,Madrid,1923
327,Construcciones y Auxiliar de Ferrocarriles,Industrials,Commercial vehicles & trucks,Beasain,1917
328,Copisa,Industrials,Heavy construction,Barcelona,1959
329,Correos,Industrials,Delivery services,Madrid,1716
330,Cortefiel,Consumer services,Apparel retailers,Madrid,1880
331,Cupra,Consumer goods,Automobiles,Martorell,2018
332,Curaxys,Health care,Biotechnology,Cádiz,2009
333,Deoleo,Consumer goods,Food products,Córdoba,1955
334,DIA,Consumer services,Food retailers & wholesalers,Las Rozas,1979
335,Ebro Foods,Consumer goods,Food products,Madrid,1998
336,Ebro trucks,Consumer goods,Automobiles,Barcelona,1954
337,El Corte Inglés,Consumer services,Food retailers & wholesalers,Madrid,1940
338,Enagás,Utilities,Oil & gas distribution,Madrid,1972
339,Endesa,Utilities,Conventional electricity,Madrid,1944
340,Eroski,Consumer services,Food retailers & wholesalers,Elorrio,1969
341,Euskaltel,Telecommunications,Fixed line telecommunications,Derio,1995
342,Fagor,Consumer goods,Durable household products,Mondragón,1956
343,Ferrovial,Industrials,Heavy construction,Madrid,1952
344,Festina,Consumer goods,Clothing & accessories,Barcelona,1902
345,Fierro Group,Conglomerates,-,Madrid,1961
346,Fomento de Construcciones y Contratas,Industrials,Heavy construction,Barcelona,1900
347,Gamesa,Oil & gas,Renewable energy equipment,Zamudio,1976
348,Naturgy,Utilities,Oil & gas distribution,Madrid,1991
349,GMV Innovating Solutions,Conglomerates,-,Tres Cantos,1984
350,Grundig mobile,Technology,Telecommunications equipment,Málaga,2005
351,Grupo Agbar,Utilities,Water,Barcelona,1867
352,Grupo Antolin,Consumer goods,Auto parts,Burgos,1950
353,Grupo Calvo,Consumer goods,Food products,Carballo,1940
354,Grupo Gea Perona,Utilities,Oil & gas distribution,Murcia,1927
355,Grupo Lo Monaco,Consumer goods,Furnishings,Granada,1996
356,Grupo Puma,Industrials,Building materials & fixtures,Madrid,1985
357,Hijos de Rivera,Consumer goods,Brewers,A Coruña,1906
358,Hipercor,Consumer services,Food retailers & wholesalers,Madrid,1979
359,Iberdrola,Utilities,Conventional electricity,Bilbao,1992
360,Iberia,Consumer services,Airlines,Madrid,1927
361,Idilia Foods,Consumer goods,Food products,Barcelona,1940
362,Inditex,Consumer services,Apparel retailers,Arteixo,1985
363,Indra Sistemas,Industrials,Aerospace,Madrid,1993
364,Inmobiliaria Colonial,Financials,Real estate holding & development,Madrid,1946
365,Irizar,Industrials,Commercial vehicles & trucks,Ormaiztegi,1889
366,Joma,Consumer goods,Clothing & accessories,Portillo de Toledo,1965
367,Kelme,Consumer services,Apparel retailers,Elche,1977
368,La Caixa,Financials,Banks,Valencia,1990
369,La Casera,Consumer services,Food retailers & wholesalers,Madrid,1949
370,Lacasa,Consumer goods,Food products,Zaragoza,1852
371,Lladró,Consumer goods,Recreational products,Tavernes Blanques,1953
372,Llaollao,Consumer goods,Food products,Murcia,2009
373,Mahou San Miguel,Consumer goods,Brewers,Madrid,1890
374,Majorica,Consumer goods,Clothing & accessories,Palma,1890
375,Mango,Consumer services,Apparel retailers,Palau-solità i Plegamans,1984
376,Mapfre,Financials,Full line insurance,Majadahonda,1933
377,Marfeel,Technology,Software,Barcelona,2011
378,Mediaset España Comunicación,Consumer services,Broadcasting & entertainment,Madrid,1989
379,Meliá Hotels International,Consumer services,Hotels,Palma,1956
380,Mercadona,Consumer services,Food retailers & wholesalers,Tavernes Blanques,1977
381,Mondragon Corporation,Conglomerates,-,Mondragón,1956
382,Mutua Madrileña,Financials,Full line insurance,Madrid,1930
383,Naipes Heraclio Fournier,Industrials,Recreational products,Vitoria-Gasteiz,1868
384,Natra,Conglomerates,-,Valencia,1943
385,Navantia,Industrials,Shipbuilding,Madrid,2005
386,NH Hotel Group,Consumer services,Hotels,Madrid,1978
387,Nodosa Shipyard,Industrials,Shipbuilding,Bueu,1982
388,Obrascón Huarte Lain,Industrials,Heavy construction,Madrid,1999
389,Orbea,Consumer goods,Recreational products,Mallabia,1931
390,Pacha Group,Consumer services,Travel & tourism,Ibiza,1967
391,Pescanova,Consumer goods,Food products,Redondela,1960
392,Planeta Group,Consumer services,Publishing,Barcelona,1949
393,Porcelanosa,Industrials,Building materials & fixtures,Villarreal,1973
394,PRISA TV,Consumer services,Broadcasting & entertainment,Tres Cantos,1989
395,Private Media Group,Consumer services,Broadcasting & entertainment,Barcelona,1965
396,Prosegur,Industrials,Business support services,Madrid,1976
397,Pyro Studios,Technology,Software,Alcobendas,1996
398,Red Eléctrica de España,Utilities,Conventional electricity,Alcobendas,1985
399,Renfe,Consumer services,Travel & tourism,Madrid,2005
400,Repsol,Oil & gas,Integrated oil & gas,Madrid,1987
401,RTVE,Consumer services,Broadcasting & entertainment,Madrid,2007
402,RIU Hotels,Consumer services,Hotels,Majorca,1953
403,Sacyr,Industrials,Heavy construction,Madrid,1999
404,Santana Motor,Consumer goods,Automobiles,Linares,1956
405,SEAT,Consumer goods,Automobiles,Martorell,1950
406,SENER,Industrials,Heavy construction,Getxo,1956
407,Sener Aeronáutica,Industrials,Aerospace,Getxo,1956
408,Talgo,Industrials,Commercial vehicles & trucks,Las Rozas de Madrid,1942
409,Técnicas Reunidas,Oil & gas,Oil equipment & services,Madrid,1959
410,Telefónica,Telecommunications,Fixed line telecommunications,Madrid,1924
411,Telepizza,Consumer services,Restaurants & bars,Madrid,1987
412,Terra,Technology,Internet,Madrid,1999
413,Uralita Group,Industrials,Building materials & fixtures,Madrid,1907
414,Vidal,Consumer goods,Food products,Molina de Segura,1963
415,Vitelcom,Consumer goods,Consumer electronics,Málaga,2001
416,Vodafone Spain,Telecommunications,Mobile telecommunications,Madrid,2000
417,Vueling,Consumer services,Airlines,Barcelona,2004
418,Zara,Consumer services,Apparel retailers,Arteixo,1974
419,Zinkia Entertainment,Consumer services,Broadcasting & entertainment,Madrid,2001
420,Academa,Technology,Software,Ljubljana,1992
421,Adria Airways,Consumer services,Airlines,Zgornji Brnik,1961
422,Adria Mobil,Consumer goods,Automobiles,Novo Mesto,1965
423,Akrapovič,Consumer goods,Automobiles,Ivančna Gorica,1990
424,Alpina Žiri,Consumer goods,Footwear,Žiri,1948
425,Amebis,Technology,Software,Kamnik,2012
426,AMIS,Telecommunications,Fixed line telecommunications,Maribor,1995
427,BTC,Consumer services,Broadline retailers,Ljubljana,1954
428,Elan,Consumer goods,Recreational products,Begunje na Gorenjskem,1945
429,Goodyear Dunlop Sava Tires,Consumer goods,Automobiles,Kranj,1998
430,Gorenje,Consumer goods,Durable household products,Velenje,1950
431,Iskra (company),Industrials,Diversified industrials,Kranj,1946
432,Istrabenz,Conglomerates,-,Koper,1948
433,Krka,Health care,Pharmaceuticals,Novo Mesto,1954
434,Litostroj,Industrials,Industrial machinery,Ljubljana,1946
435,Ljubljana Jože Pučnik Airport,Industrials,Transportation services,Ljubljana,1963
436,Mercator,Consumer services,Food retailers & wholesalers,Ljubljana,1949
437,Mobitel,Telecommunications,Mobile telecommunications,Ljubljana,1991
438,Petrol Group,Consumer services,Specialty retailers,Ljubljana,1947
439,Port of Koper,Industrials,Transportation services,Koper,1957
440,Post of Slovenia,Industrials,Delivery services,Maribor,1995
441,Slovenian Railways,Industrials,Railroads,Ljubljana,1991
442,Slovenija ceste Tehnika,Industrials,Construction & materials,Ljubljana,1943
443,Solinair,Consumer services,Airlines,Ljubljana,1991
444,Tomos,Consumer goods,Automobiles,Koper,1954
445,XLAB d.o.o,Technology,Software,Ljubljana,2001
446,ZootFly,Technology,Software,Ljubljana,2002
447,Air Slovakia,Consumer services,Airlines,Bratislava,1993
448,Cestné a Stavebné Mechanizmy Tisovec,Industrials,Defense,Detva,1955
449,Doprastav,Industrials,Heavy construction,Bratislava,1953
450,Elnec,Industrials,Electronic equipment,Prešov,1991
451,ESET,Technology,Computer services,Bratislava,1992
452,Glass LPS,Consumer goods,Durable household products,Medzilaborce,1999
453,Istrobanka,Financials,Banks,Bratislava,1992
454,J&T Finance Group,Financials,Investment services,Bratislava,1993
455,JTRE,Real estate,Real estate management & development,Bratislava,1996
456,JJ Electronic,Industrials,Electrical components & equipment,Čadca,1993
