name,market_capitalization_USD,stock,country,sector,industry
"T-Mobile US, Inc.",164310000000,TMUS,United States,Communication Services,Telecom Services
Morgan Stanley,164050000000,MS,United States,Financials,Capital Markets
"Netflix, Inc.",163190000000,NFLX,United States,Communication Services,Entertainment
Royal Bank of Canada,159740000000,RY,Canada,Financials,Banks
The Charles Schwab Corporation,158060000000,SCHW,United States,Financials,Capital Markets
Philip Morris International Inc.,154710000000,PM,United States,Consumer Staples,Tobacco
Medtronic plc,151060000000,MDT,Ireland,Healthcare,Medical Devices
Raytheon Technologies Corporation,150960000000,RTX,United States,Industrials,Aerospace & Defense
American Express Company,150760000000,AXP,United States,Financials,Credit Services
Hermès International SCA,148980000000,RMS,France,Consumer Discretionary,Luxury Goods
Toronto-Dominion Bank,145410000000,TD,Canada,Financials,Banks
PetroChina Company Limited,144500000000,601857,China,Energy,Oil & Gas Integrated
Commonwealth Bank of Australia,144320000000,CBA,Australia,Financials,Banks
"Lowe's Companies, Inc.",143770000000,LOW,United States,Consumer Discretionary,Home Improvement Retail
Amgen Inc.,141720000000,AMGN,United States,Healthcare,Drug Manufacturers—General
Bank of China Ltd,141220000000,601988,China,Financials,Banks
HSBC Holdings plc,140150000000,HSBA,United Kingdom,Financials,Banks
China Mobile Ltd,139300000000,0941,Hong Kong,Communication Services,Telecom Services
TotalEnergies SE,137500000000,TTE,France,Energy,Oil & Gas Integrated
Honeywell International Inc.,136480000000,HON,United States,Industrials,Specialty Industrial Machinery
ConocoPhillips,136320000000,COP,United States,Energy,Oil & Gas E&P
CVS Health Corporation,135270000000,CVS,United States,Healthcare,Healthcare Plans
Ping An Insurance (Group) Company of China Ltd,134250000000,601318,China,Financials,Insurance—Life
SAP SE,134190000000,SAP,Germany,Technology,Software—Application
"PayPal Holdings, Inc.",133920000000,PYPL,United States,Financials,Credit Services
Sanofi,132290000000,SAN,France,Healthcare,Drug Manufacturers—General
Deere & Company,130310000000,DE,United States,Industrials,Farm & Heavy Construction Machinery
"Advanced Micro Devices, Inc.",128290000000,AMD,United States,Technology,Semiconductors
Intuit Inc.,126770000000,INTU,United States,Technology,Software—Application
Sony Group Corporation,126640000000,6758,Japan,Technology,Consumer Electronics
Rio Tinto Group,125840000000,RIO,United Kingdom,Basic Materials,Other Industrial Metals & Mining
AIA Group Ltd,125160000000,1299,Hong Kong,Financials,Insurance—Life
Lockheed Martin Corporation,124980000000,LMT,United States,Industrials,Aerospace & Defense
Caterpillar Inc.,124130000000,CAT,United States,Industrials,Farm & Heavy Construction Machinery
Anheuser-Busch InBev SA/NV,123590000000,ABI,Belgium,Consumer Staples,Beverages—Brewers
Equinor ASA,122740000000,EQNR,Norway,Energy,Oil & Gas Integrated
Christian Dior SE,122110000000,CDI,France,Consumer Discretionary,Luxury Goods
"Prologis, Inc.",121200000000,PLD,United States,Real Estate,REIT—Industrial
"Applied Materials, Inc.",121120000000,AMAT,United States,Technology,Semiconductor Equipment & Materials
"Anthem, Inc.",119800000000,ANTM,United States,Healthcare,Healthcare Plans
International Business Machines Corporation,119200000000,IBM,United States,Technology,Information Technology Services
Unilever plc,117840000000,ULVR,United Kingdom,Consumer Staples,Household & Personal Products
"BlackRock, Inc.",115980000000,BLK,United States,Financials,Asset Management
HDFC Bank Limited,115680000000,HDB,India,Financials,Banks
Diageo plc,115580000000,DGE,United Kingdom,Consumer Staples,Beverages—Wineries & Distilleries
American Tower Corporation (REIT),115110000000,AMT,United States,Real Estate,REIT—Specialty
Siemens AG,114660000000,SIE,Germany,Industrials,Specialty Industrial Machinery
Meituan,114280000000,3690,China,Consumer Discretionary,Internet Retail
Keyence Corp,113200000000,6861,Japan,Technology,Scientific & Technical Instruments
"The Goldman Sachs Group, Inc.",112710000000,GS,United States,Financials,Capital Markets
Transurban Group,110790000000,TCL,Australia,Industrials,Infrastructure Operations
"Industria de Diseño Textil, SA",110650000000,ITX,Spain,Consumer Discretionary,Apparel Retail
The Boeing Company,110460000000,BA,United States,Industrials,Aerospace & Defense
GlaxoSmithKline plc,109980000000,GSK,United Kingdom,Healthcare,Drug Manufacturers—General
Citigroup Inc.,109560000000,C,United States,Financials,Banks
Volkswagen AG,108630000000,VOW3,Germany,Consumer Discretionary,Auto Manufacturers
Starbucks Corporation,108190000000,SBUX,United States,Consumer Discretionary,Restaurants
Vale SA,107990000000,VALE3,Brazil,Basic Materials,Other Industrial Metals & Mining
"ServiceNow, Inc.",107990000000,NOW,United States,Technology,Software—Application
Target Corporation,106890000000,TGT,United States,Consumer Staples,Discount Stores
Infosys Limited,106770000000,INFY,India,Technology,Information Technology Services
Al Rajhi Banking and Investment Corp,106370000000,1120,Saudi Arabia,Financials,Banks
"Airbnb, Inc.",105070000000,ABNB,United States,Communication Services,Internet Content & Information
"Charter Communications, Inc.",104970000000,CHTR,United States,Communication Services,Entertainment
BYD Co Ltd,104420000000,002594,China,Consumer Discretionary,Auto Manufacturers
Saudi Basic Industries Corp,104000000000,2010,Saudi Arabia,Basic Materials,Chemicals
Nippon Telegraph & Telephone Corp,103750000000,9432,Japan,Communication Services,Telecom Services
"Altria Group, Inc.",102980000000,MO,United States,Consumer Staples,Tobacco
British American Tobacco plc,101440000000,BATS,United Kingdom,Consumer Staples,Tobacco
Stryker Corporation,101410000000,SYK,United States,Healthcare,Medical Devices
S&P Global Inc.,100840000000,SPGI,United States,Financials,Financial Data & Stock Exchanges
The Estée Lauder Companies Inc.,100160000000,EL,United States,Consumer Staples,Household & Personal Products
General Electric Company,99220000000,GE,United States,Industrials,Specialty Industrial Machinery
Daimler AG,98790000000,DAI,Germany,Consumer Discretionary,Auto Manufacturers
Chubb Limited,98570000000,CB,Switzerland,Financials,Insurance—Property & Casualty
Allianz SE,98470000000,ALV,Germany,Financials,Insurance—Diversified
Petróleo Brasileiro S.A. - Petrobras,98370000000,PBR,Brazil,Energy,Oil & Gas Integrated
Airbus SE,97410000000,AIR,Netherlands,Industrials,Aerospace & Defense
China Life Insurance Company Limited,97310000000,LFC,China,Financials,Insurance—Life
"Automatic Data Processing, Inc.",96980000000,ADP,United States,Industrials,Staffing & Employment Services
BP plc,96240000000,BP.,United Kingdom,Energy,Oil & Gas Integrated
China Shenhua Energy Company Ltd,95340000000,601088,China,Energy,Thermal Coal
Booking Holdings Inc.,95020000000,BKNG,United States,Consumer Discretionary,Travel Services
Canadian National Railway Company,94960000000,CNR,Canada,Industrials,Railroads
Enbridge Inc.,94940000000,ENB,Canada,Energy,Oil & Gas Midstream
Schneider Electric SE,94340000000,SU,France,Industrials,Specialty Industrial Machinery
Deutsche Telekom AG,93010000000,DTE,Germany,Communication Services,Telecom Services
MERCK Kommanditgesellschaft auf Aktien,90740000000,MRK,Germany,Healthcare,Drug Manufacturers—Specialty & Generic
"Mondelez International, Inc.",90670000000,MDLZ,United States,Consumer Staples,Confectioners
"JD.com, Inc.",90460000000,9618,China,Consumer Discretionary,Internet Retail
Vulcan International Corp,90340000000,VULC,United States,Basic Materials,Chemicals
Zoetis Inc.,89820000000,ZTS,United States,Healthcare,Drug Manufacturers—Specialty & Generic
CSL Limited,89690000000,CSL,Australia,Healthcare,Biotechnology
3M Company,88770000000,MMM,United States,Industrials,Specialty Industrial Machinery
Duke Energy Corporation,88760000000,DUK,United States,Utilities,Utilities—Regulated Electric
Bank of Nova Scotia,87760000000,BNS,Canada,Financials,Banks
The Blackstone Group Inc.,87640000000,BX,United States,Financials,Asset Management
Brookfield Asset Management Inc.,87460000000,BAM.A,Canada,Financials,Asset Management
Glencore plc,87310000000,GLEN,Switzerland,Basic Materials,Other Industrial Metals & Mining
CME Group Inc.,87170000000,CME,United States,Financials,Financial Data & Stock Exchanges
"Marsh & McLennan Companies, Inc.",87160000000,MMC,United States,Financials,Insurance Brokers
"Micron Technology, Inc.",86490000000,MU,United States,Technology,Semiconductors
"Mitsubishi UFJ Financial Group, Inc.",85030000000,8306,Japan,Financials,Banks
Cigna Corporation,84670000000,CI,United States,Healthcare,Healthcare Plans
Shopify Inc.,83800000000,SHOP,Canada,Technology,Software—Application
Air Liquide SA,83240000000,AI,France,Basic Materials,Chemicals
"HCA Healthcare, Inc.",82600000000,HCA,United States,Healthcare,Medical Care Facilities
National Australia Bank Limited,81030000000,NAB,Australia,Financials,Banks
Crown Castle International Corp. (REIT),80920000000,CCI,United States,Real Estate,REIT—Specialty
EssilorLuxottica SA,80490000000,EL,France,Healthcare,Medical Instruments & Supplies
U.S. Bancorp,80160000000,USB,United States,Financials,Banks
Tokyo Electron Ltd,79620000000,8035,Japan,Technology,Semiconductor Equipment & Materials
Bank of Montreal,79220000000,BMO,Canada,Financials,Banks
Kering SA,78660000000,KER,France,Consumer Discretionary,Luxury Goods
China Yangtze Power Co. Ltd,78420000000,600900,China,Utilities,Utilities—Independent Power Producers
China Petroleum & Chemical Corporation,78390000000,600028,China,Energy,Oil & Gas Integrated
The Southern Company,78380000000,SO,United States,Utilities,Utilities—Regulated Electric
Lam Research Corporation,77600000000,LRCX,United States,Technology,Semiconductor Equipment & Materials
"The PNC Financial Services Group, Inc.",77100000000,PNC,United States,Financials,Banks
"Becton, Dickinson and Company",76980000000,BDX,United States,Healthcare,Medical Instruments & Supplies
"Gilead Sciences, Inc.",76150000000,GILD,United States,Healthcare,Drug Manufacturers—General
"Regeneron Pharmaceuticals, Inc.",74910000000,REGN,United States,Healthcare,Biotechnology
Truist Financial Corporation,74790000000,TFC,United States,Financials,Banks
Canadian Natural Resources Limited,74780000000,CNQ,Canada,Energy,Oil & Gas E&P
"Intercontinental Exchange, Inc.",74170000000,ICE,United States,Financials,Financial Data & Stock Exchanges
"The TJX Companies, Inc.",73990000000,TJX,United States,Consumer Discretionary,Apparel Retail
Atlassian Corporation Plc,73720000000,TEAM,Australia,Technology,Software—Application
Zurich Insurance Group AG,73580000000,ZURN,Switzerland,Financials,Insurance—Diversified
Edwards Lifesciences Corporation,73380000000,EW,United States,Healthcare,Medical Devices
Aon Plc,73330000000,AON,United Kingdom,Financials,Insurance Brokers
Northrop Grumman Corporation,73250000000,NOC,United States,Industrials,Aerospace & Defense
KDDI Corp,73120000000,9433,Japan,Communication Services,Telecom Services
Norfolk Southern Corporation,72310000000,NSC,United States,Industrials,Railroads
Freeport-McMoRan Inc.,72160000000,FCX,United States,Basic Materials,Copper
Wal-Mart de Mexico SAB de CV,71960000000,WALMEX,Mexico,Consumer Staples,Discount Stores
PT Bank Central Asia Tbk,71910000000,BBCA,Indonesia,Financials,Banks
"EOG Resources, Inc.",71900000000,EOG,United States,Energy,Oil & Gas E&P
Siemens Healthineers AG,71500000000,SHL,Germany,Healthcare,Diagnostics & Research
Anglo American plc,71480000000,AAL,United Kingdom,Basic Materials,Other Industrial Metals & Mining
"Moderna, Inc.",70810000000,MRNA,United States,Healthcare,Biotechnology
General Dynamics Corporation,70550000000,GD,United States,Industrials,Aerospace & Defense
AXA SA,70200000000,CS,France,Financials,Insurance—Diversified
"Dominion Energy, Inc.",70200000000,D,United States,Utilities,Utilities—Diversified
Enel SpA,70150000000,ENEL,Italy,Utilities,Utilities—Diversified
BNP Paribas SA,69900000000,BNP,France,Financials,Banks
"América Móvil, S.A.B. de C.V.",69450000000,AMXA,Mexico,Communication Services,Telecom Services
Public Storage,69310000000,PSA,United States,Real Estate,REIT—Industrial
UBS Group AG,68930000000,UBSG,Switzerland,Financials,Banks
Sberbank of Russia PJSC,68690000000,SBER,Russia,Financials,Banks
"Fiserv, Inc.",68680000000,FISV,United States,Technology,Information Technology Services
"Iberdrola, SA",68230000000,IBE,Spain,Utilities,Utilities—Diversified
Recruit Holdings Co Ltd,68110000000,6098,Japan,Industrials,Staffing & Employment Services
Bayer AG,68090000000,BAYN,Germany,Healthcare,Drug Manufacturers—General
The Sherwin-Williams Company,67540000000,SHW,United States,Basic Materials,Specialty Chemicals
Vertex Pharmaceuticals Incorporated,67490000000,VRTX,United States,Healthcare,Biotechnology
Illinois Tool Works Inc.,67490000000,ITW,United States,Industrials,Specialty Industrial Machinery
The Progressive Corporation,67310000000,PGR,United States,Financials,Insurance—Property & Casualty
Westpac Banking Corporation,67200000000,WBC,Australia,Financials,Banks
ABB Ltd,67190000000,ABBN,Switzerland,Industrials,Electrical Equipment & Parts
"Waste Management, Inc.",66950000000,WM,United States,Industrials,Waste Management
Industrial Bank Co. Ltd,66870000000,601166,China,Financials,Banks
DBS Group Holdings Ltd,66740000000,D05,Singapore,Financials,Banks
ICICI Bank Limited,66620000000,IBN,India,Financials,Banks
"Equinix, Inc. (REIT)",66350000000,EQIX,United States,Real Estate,REIT—Specialty
Newmont Corporation,65890000000,NEM,United States,Basic Materials,Gold
Ford Motor Company,65740000000,F,United States,Consumer Discretionary,Auto Manufacturers
Colgate-Palmolive Company,65640000000,CL,United States,Consumer Staples,Household & Personal Products
Exelon Corporation,65530000000,EXC,United States,Utilities,Utilities—Diversified
Snowflake Inc.,65040000000,SNOW,United States,Technology,Software—Application
Oriental Land Co. Ltd,64660000000,4661,Japan,Consumer Discretionary,Leisure
"SK hynix, Inc.",64600000000,000660,South Korea,Technology,Semiconductors
AP Moller - Maersk A-S,64400000000,MAERSK.B,Denmark,Industrials,Marine Shipping
Shin-Etsu Chemical Co Ltd,63430000000,4063,Japan,Basic Materials,Chemicals
FedEx Corporation,63250000000,FDX,United States,Industrials,Integrated Freight & Logistics
Boston Scientific Corporation,63080000000,BSX,United States,Healthcare,Medical Devices
PacifiCorp,62870000000,PPWLM,United States,Utilities,Utilities—Diversified
Dassault Systèmes SE,62750000000,DSY,France,Technology,Software—Application
"MetLife, Inc.",62690000000,MET,United States,Financials,Insurance—Life
General Motors Company,62690000000,GM,United States,Consumer Discretionary,Auto Manufacturers
Sea Limited,62660000000,SE,Singapore,Communication Services,Electronic Gaming & Multimedia
"Uber Technologies, Inc.",62660000000,UBER,United States,Technology,Software—Application
Moody's Corporation,62580000000,MCO,United States,Financials,Financial Data & Stock Exchanges
Nintendo Co Ltd,62200000000,7974,Japan,Communication Services,Electronic Gaming & Multimedia
Pioneer Natural Resources Company,62190000000,PXD,United States,Energy,Oil & Gas E&P
Eaton Corporation plc,62170000000,ETN,Ireland,Industrials,Specialty Industrial Machinery
"Analog Devices, Inc.",62000000000,ADI,United States,Technology,Semiconductors
"Fidelity National Information Services, Inc.",61730000000,FIS,United States,Technology,Information Technology Services
"Banco Santander, SA",61670000000,SAN,Spain,Financials,Banks
Hapag-Lloyd AG,61460000000,HLAG,Germany,Industrials,Marine Shipping
Adyen N.V.,61110000000,ADYEN,Netherlands,Technology,Software—Infrastructure
Atlas Copco AB,60970000000,ATCO.A,Sweden,Industrials,Specialty Industrial Machinery
CNOOC Limited,60190000000,0883,Hong Kong,Energy,Oil & Gas E&P
Nutrien Ltd.,60060000000,NTR,Canada,Basic Materials,Agricultural Inputs
"Block, Inc.",59950000000,SQ,United States,Technology,Software—Infrastructure
Deutsche Post AG,59800000000,DPWA,Germany,Industrials,Integrated Freight & Logistics
"NetEase, Inc.",59760000000,9999,China,Communication Services,Internet Content & Information
Hong Kong Exchanges & Clearing Ltd,59750000000,0388,Hong Kong,Financials,Financial Data & Stock Exchanges
Capital One Financial Corporation,59670000000,COF,United States,Financials,Credit Services
Emerson Electric Co.,59660000000,EMR,United States,Industrials,Specialty Industrial Machinery
"Palo Alto Networks, Inc.",59650000000,PANW,United States,Technology,Software—Infrastructure
Australia and New Zealand Banking Group Limited,59550000000,ANZ,Australia,Financials,Banks
Reckitt Benckiser Group plc,59530000000,RKT,United Kingdom,Consumer Staples,Household & Personal Products
Nongfu Spring Co. Ltd,59500000000,9633,China,Consumer Staples,Beverages—Non-Alcoholic
Saudi Telecom Company,59470000000,7010,Saudi Arabia,Communication Services,Telecom Services
Southern Copper Corporation,59460000000,SCCO,United States,Basic Materials,Copper
Shenzhen Mindray Bio-Medical Electronics Co. Ltd,59260000000,300760,China,Healthcare,Medical Devices
Vinci SA,59010000000,DG,France,Industrials,Engineering & Construction
"Workday, Inc.",58700000000,WDAY,United States,Technology,Software—Application
RELX plc,58530000000,REL,United Kingdom,Communication Services,Publishing
Marvell Technology Group Ltd.,58360000000,MRVL,Bermuda,Technology,Semiconductors
"Air Products and Chemicals, Inc.",57820000000,APD,United States,Basic Materials,Chemicals
Pernod Ricard SA,57750000000,RI,France,Consumer Staples,Beverages—Wineries & Distilleries
Schlumberger Limited,57630000000,SLB,United States,Energy,Oil & Gas Equipment & Services
"Marvell Technology, Inc.",57620000000,9MW,United States,Technology,Semiconductors
Itaú Unibanco Holding SA,57450000000,ITUB,Brazil,Financials,Banks
Enterprise Products Partners L.P.,57430000000,EPD,United States,Energy,Oil & Gas Midstream
Foshan Haitian Flavouring and Food Company Ltd,57400000000,603288,China,Consumer Staples,Packaged Foods
Mitsubishi Corp,57230000000,8058,Japan,Industrials,Conglomerates
Canadian Imperial Bank of Commerce,57200000000,CM,Canada,Financials,Banks
"Marriott International, Inc.",57180000000,MAR,United States,Consumer Discretionary,Lodging
Pinduoduo Inc.,57090000000,PDD,China,Consumer Discretionary,Internet Retail
IHS Markit Ltd.,56940000000,INFO,United Kingdom,Industrials,Consulting Services
The Saudi National Bank,56890000000,1180,Saudi Arabia,Financials,Banks
TC Energy Corporation,56770000000,TRP,Canada,Energy,Oil & Gas Midstream
Humana Inc.,56550000000,HUM,United States,Healthcare,Healthcare Plans
KLA Corporation,56480000000,KLAC,United States,Technology,Semiconductor Equipment & Materials
Bank of Communications Co. Ltd,56380000000,601328,China,Financials,Banks
Bayerische Motoren Werke AG,56170000000,BMWB,Germany,Consumer Discretionary,Auto Manufacturers
Macquarie Group Limited,55990000000,MQG,Australia,Financials,Capital Markets
National Grid plc,55880000000,NG.,United Kingdom,Utilities,Utilities—Diversified
"Daikin Industries,Ltd.",55580000000,6367,Japan,Industrials,Building Products & Equipment
Chugai Pharmaceutical Co. Ltd,55310000000,4519,Japan,Healthcare,Drug Manufacturers—General
Keurig Dr Pepper Inc.,55280000000,KDP,United States,Consumer Staples,Beverages—Non-Alcoholic
Ergo Science Corp,55230000000,ERGN,United States,Industrials,Staffing & Employment Services
SoftBank Group Corp.,54930000000,9984,Japan,Communication Services,Telecom Services
Heineken N.V.,54870000000,HEIA,Netherlands,Consumer Staples,Beverages—Brewers
Ambev SA,54690000000,ABEV3,Brazil,Consumer Staples,Beverages—Brewers
Canadian Pacific Railway Limited,54590000000,CP,Canada,Industrials,Railroads
Marathon Petroleum Corporation,54540000000,MPC,United States,Energy,Oil & Gas Refining & Marketing
"American International Group, Inc.",54310000000,AIG,United States,Financials,Insurance—Diversified
Dollar General Corporation,54300000000,DG,United States,Consumer Staples,Discount Stores
"Fortinet, Inc.",53860000000,FTNT,United States,Technology,Software—Infrastructure
Snap Inc.,53860000000,SNAP,United States,Communication Services,Internet Content & Information
Ferrari N.V.,53780000000,RACE,Italy,Consumer Discretionary,Auto Manufacturers
Lonza Group Ltd,53760000000,LONN,Switzerland,Healthcare,Diagnostics & Research
London Stock Exchange Group plc,53330000000,LSEG,United Kingdom,Financials,Financial Data & Stock Exchanges
Thomson Reuters Corporation,53300000000,TRI,Canada,Industrials,Consulting Services
BASF SE,52760000000,BAS,Germany,Basic Materials,Chemicals
Sempra Energy,52470000000,SRE,United States,Utilities,Utilities—Diversified
Occidental Petroleum Corporation,52300000000,OXY,United States,Energy,Oil & Gas E&P
"Liberty Bancshares, Inc. (OH)",52300000000,LBSI,United States,Financials,Banks
Fast Retailing Co. Ltd,52290000000,9983,Japan,Consumer Discretionary,Apparel Retail
NXP Semiconductors N.V.,52280000000,NXPI,Netherlands,Technology,Semiconductors
"Xilinx, Inc.",52190000000,XLNX,United States,Technology,Semiconductors
ITOCHU Corp,52190000000,8001,Japan,Industrials,Conglomerates
Eni S.p.A.,52000000000,ENI,Italy,Energy,Oil & Gas Integrated
Stellantis N.V.,51800000000,STLA,Netherlands,Consumer Discretionary,Auto Manufacturers
BCE Inc.,51710000000,BCE,Canada,Communication Services,Telecom Services
DENSO Corp,51580000000,6902,Japan,Consumer Discretionary,Auto Parts
Toyota Motor Corporation,51550000000,7203,Japan,Consumer Discretionary,Auto Manufacturers
"L3Harris Technologies, Inc.",51510000000,LHX,United States,Industrials,Aerospace & Defense
"AgriBank, FCB",51490000000,AGRIP,United States,Financials,Credit Services
General Accident plc,51430000000,GACA,United Kingdom,Financials,Insurance—Property & Casualty
Archer-Daniels-Midland Company,51030000000,ADM,United States,Consumer Staples,Farm Products
"American Electric Power Company, Inc.",50950000000,AEP,United States,Utilities,Utilities—Regulated Electric
Fortescue Metals Group Limited,50760000000,FMG,Australia,Basic Materials,Other Industrial Metals & Mining
Hon Hai Precision Industry Co. Ltd,50750000000,2317,Taiwan,Technology,Electronic Components
China Tourism Group Duty Free Corp Ltd,50460000000,601888,China,Consumer Discretionary,Travel Services
Ecolab Inc.,50290000000,ECL,United States,Basic Materials,Specialty Chemicals
Novatek PJSC,50190000000,NVTK,Russia,Energy,Oil & Gas E&P
"Synopsys, Inc.",50180000000,SNPS,United States,Technology,Software—Infrastructure
Safran SA,50020000000,SAF,France,Industrials,Aerospace & Defense
"Illumina, Inc.",49910000000,ILMN,United States,Healthcare,Diagnostics & Research
"MercadoLibre, Inc.",49830000000,MELI,Argentina,Consumer Discretionary,Internet Retail
"Roper Technologies, Inc.",49660000000,ROP,United States,Industrials,Specialty Industrial Machinery
The Kraft Heinz Company,49420000000,KHC,United States,Consumer Staples,Packaged Foods
Centene Corporation,49320000000,CNC,United States,Healthcare,Healthcare Plans
"Paychex, Inc.",49230000000,PAYX,United States,Industrials,Staffing & Employment Services
"Honda Motor Co., Ltd.",49110000000,7267,Japan,Consumer Discretionary,Auto Manufacturers
Hitachi Ltd,48920000000,6501,Japan,Industrials,Conglomerates
Scentre Group,48830000000,SCG,Australia,Real Estate,REIT—Retail
"MediaTek, Inc.",48740000000,2454,Taiwan,Technology,Semiconductors
Lululemon Athletica Inc.,48520000000,LULU,Canada,Consumer Discretionary,Apparel Retail
Dow Inc.,48500000000,DOW,United States,Basic Materials,Chemicals
Rosneft Oil Co PJSC,48500000000,ROSN,Russia,Energy,Oil & Gas Integrated
McKesson Corporation,48460000000,MCK,United States,Healthcare,Medical Distribution
