name,marketCap,stock,sector,industry,country
Lockheed Martin Corporation,$124.98 B,LMT,Industrials,Aerospace & Defense,United States
Caterpillar Inc.,$124.13 B,CAT,Industrials,Farm & Heavy Construction Machinery,United States
Anheuser-Busch InBev SA/NV,,ABI,Consumer Staples,Beverages—Brewers,Belgium
Equinor ASA,$122.74 B,EQNR,,,
Christian Dior SE,$122.11 B,CDI,Consumer Discretionary,Luxury Goods,France
"Prologis, Inc.",$121.20 B,PLD,Real Estate,REIT—Industrial,United States
"Applied Materials, Inc.",$121.12 B,AMAT,Technology,Semiconductor Equipment & Materials,United States
"Anthem, Inc.",$119.80 B,ANTM,Healthcare,Healthcare Plans,United States
International Business Machines Corporation,$119.20 B,IBM,Technology,Information Technology Services,United States
Unilever plc,$117.84 B,ULVR,Consumer Staples,Household & Personal Products,United Kingdom
"BlackRock, Inc.",$115.98 B,BLK,Financials,Asset Management,United States
HDFC Bank Limited,$115.68 B,HDB,Financials,Banks,India
Diageo plc,$115.58 B,DGE,Consumer Staples,Beverages—Wineries & Distilleries,United Kingdom
American Tower Corporation (REIT),$115.11 B,AMT,Real Estate,REIT—Specialty,United States
Siemens AG,$114.66 B,SIE,Industrials,Specialty Industrial Machinery,Germany
Meituan,$114.28 B,3690,Consumer Discretionary,Internet Retail,China
Keyence Corp,$113.20 B,6861,Technology,Scientific & Technical Instruments,Japan
"The Goldman Sachs Group, Inc.",$112.71 B,GS,Financials,Capital Markets,United States
Transurban Group,$110.79 B,TCL,Industrials,Infrastructure Operations,Australia
"Industria de Diseño Textil, SA",,ITX,Consumer Discretionary,Apparel Retail,Spain
The Boeing Company,$110.46 B,BA,Industrials,Aerospace & Defense,United States
GlaxoSmithKline plc,$109.98 B,GSK,Healthcare,Drug Manufacturers—General,United Kingdom
Citigroup Inc.,$109.56 B,C,Financials,Banks,United States
Volkswagen AG,$108.63 B,VOW3,Consumer Discretionary,Auto Manufacturers,Germany
Starbucks Corporation,$108.19 B,SBUX,Consumer Discretionary,Restaurants,United States
Vale SA,$107.99 B,VALE3,Basic Materials,Other Industrial Metals & Mining,Brazil
"ServiceNow, Inc.",$107.99 B,NOW,Technology,Software—Application,United States
Target Corporation,$106.89 B,TGT,Consumer Staples,Discount Stores,United States
Infosys Limited,$106.77 B,INFY,Technology,Information Technology Services,India
Al Rajhi Banking and Investment Corp,$106.37 B,1120,Financials,Banks,Saudi Arabia
"Airbnb, Inc.",$105.07 B,ABNB,Communication Services,Internet Content & Information,United States
"Charter Communications, Inc.",$104.97 B,CHTR,Communication Services,Entertainment,United States
BYD Co Ltd,$104.42 B,002594,Consumer Discretionary,Auto Manufacturers,China
Saudi Basic Industries Corp,$104.00 B,2010,Basic Materials,Chemicals,Saudi Arabia
Nippon Telegraph & Telephone Corp,$103.75 B,9432,Communication Services,Telecom Services,Japan
"Altria Group, Inc.",$102.98 B,MO,Consumer Staples,Tobacco,United States
British American Tobacco plc,$101.44 B,BATS,Consumer Staples,Tobacco,United Kingdom
Stryker Corporation,$101.41 B,SYK,Healthcare,Medical Devices,United States
S&P Global Inc.,$100.84 B,SPGI,Financials,Financial Data & Stock Exchanges,United States
The Estée Lauder Companies Inc.,$100.16 B,EL,Consumer Staples,Household & Personal Products,United States
General Electric Company,$99.22 B,GE,Industrials,Specialty Industrial Machinery,United States
Daimler AG,,DAI,Consumer Discretionary,Auto Manufacturers,Germany
Chubb Limited,$98.57 B,CB,Financials,Insurance—Property & Casualty,Switzerland
Allianz SE,$98.47 B,ALV,Financials,Insurance—Diversified,Germany
Petróleo Brasileiro S.A. - Petrobras,$98.37 B,PBR,Energy,Oil & Gas Integrated,Brazil
Airbus SE,$97.41 B,AIR,Industrials,Aerospace & Defense,Netherlands
China Life Insurance Company Limited,$97.31 B,LFC,Financials,Insurance—Life,China
"Automatic Data Processing, Inc.",$96.98 B,ADP,Industrials,Staffing & Employment Services,United States
BP plc,$96.24 B,BP.,Energy,Oil & Gas Integrated,United Kingdom
China Shenhua Energy Company Ltd,$95.34 B,601088,Energy,Thermal Coal,China
Booking Holdings Inc.,$95.02 B,BKNG,Consumer Discretionary,Travel Services,United States
Canadian National Railway Company,$94.96 B,CNR,Industrials,Railroads,Canada
Enbridge Inc.,$94.94 B,ENB,Energy,Oil & Gas Midstream,Canada
Schneider Electric SE,$94.34 B,SU,Industrials,Specialty Industrial Machinery,France
Deutsche Telekom AG,$93.01 B,DTE,Communication Services,Telecom Services,Germany
MERCK Kommanditgesellschaft auf Aktien,$90.74 B,MRK,Healthcare,Drug Manufacturers—Specialty & Generic,Germany
"Mondelez International, Inc.",$90.67 B,MDLZ,Consumer Staples,Confectioners,United States
"JD.com, Inc.",$90.46 B,9618,Consumer Discretionary,Internet Retail,China
Vulcan International Corp,$90.34 B,VULC,Basic Materials,Chemicals,United States
Zoetis Inc.,$89.82 B,ZTS,Healthcare,Drug Manufacturers—Specialty & Generic,United States
CSL Limited,$89.69 B,CSL,Healthcare,Biotechnology,Australia
3M Company,$88.77 B,MMM,Industrials,Specialty Industrial Machinery,United States
Duke Energy Corporation,$88.76 B,DUK,Utilities,Utilities—Regulated Electric,United States
Bank of Nova Scotia,$87.76 B,BNS,Financials,Banks,Canada
The Blackstone Group Inc.,$87.64 B,BX,Financials,Asset Management,United States
Brookfield Asset Management Inc.,$87.46 B,BAM.A,Financials,Asset Management,Canada
Glencore plc,$87.31 B,GLEN,Basic Materials,Other Industrial Metals & Mining,Switzerland
CME Group Inc.,$87.17 B,CME,Financials,Financial Data & Stock Exchanges,United States
"Marsh & McLennan Companies, Inc.",$87.16 B,MMC,Financials,Insurance Brokers,United States
"Micron Technology, Inc.",$86.49 B,MU,Technology,Semiconductors,United States
"Mitsubishi UFJ Financial Group, Inc.",$85.03 B,8306,Financials,Banks,Japan
Cigna Corporation,$84.67 B,CI,Healthcare,Healthcare Plans,United States
Shopify Inc.,$83.80 B,SHOP,Technology,Software—Application,Canada
Air Liquide SA,$83.24 B,AI,Basic Materials,Chemicals,France
"HCA Healthcare, Inc.",$82.60 B,HCA,Healthcare,Medical Care Facilities,United States
National Australia Bank Limited,$81.03 B,NAB,Financials,Banks,Australia
Crown Castle International Corp. (REIT),$80.92 B,CCI,Real Estate,REIT—Specialty,United States
EssilorLuxottica SA,$80.49 B,EL,Healthcare,Medical Instruments & Supplies,France
U.S. Bancorp,$80.16 B,USB,Financials,Banks,United States
Tokyo Electron Ltd,$79.62 B,8035,Technology,Semiconductor Equipment & Materials,Japan
Bank of Montreal,$79.22 B,BMO,Financials,Banks,Canada
Kering SA,$78.66 B,KER,Consumer Discretionary,Luxury Goods,France
China Yangtze Power Co. Ltd,$78.42 B,600900,Utilities,Utilities—Independent Power Producers,China
China Petroleum & Chemical Corporation,$78.39 B,600028,Energy,Oil & Gas Integrated,China
The Southern Company,$78.38 B,SO,Utilities,Utilities—Regulated Electric,United States
Lam Research Corporation,$77.60 B,LRCX,Technology,Semiconductor Equipment & Materials,United States
"The PNC Financial Services Group, Inc.",$77.10 B,PNC,Financials,Banks,United States
"Becton, Dickinson and Company",$76.98 B,BDX,Healthcare,Medical Instruments & Supplies,United States
"Gilead Sciences, Inc.",$76.15 B,GILD,Healthcare,Drug Manufacturers—General,United States
"Regeneron Pharmaceuticals, Inc.",$74.91 B,REGN,Healthcare,Biotechnology,United States
Truist Financial Corporation,$74.79 B,TFC,Financials,Banks,United States
Canadian Natural Resources Limited,$74.78 B,CNQ,Energy,Oil & Gas E&P,Canada
"Intercontinental Exchange, Inc.",$74.17 B,ICE,Financials,Financial Data & Stock Exchanges,United States
"The TJX Companies, Inc.",$73.99 B,TJX,Consumer Discretionary,Apparel Retail,United States
Atlassian Corporation Plc,$73.72 B,TEAM,Technology,Software—Application,Australia
Zurich Insurance Group AG,$73.58 B,ZURN,Financials,Insurance—Diversified,Switzerland
Edwards Lifesciences Corporation,$73.38 B,EW,Healthcare,Medical Devices,United States
Hitachi Ltd,$48.92 B,6501,Industrials,Conglomerates,Japan
Scentre Group,$48.83 B,SCG,Real Estate,REIT—Retail,Australia
"MediaTek, Inc.",$48.74 B,2454,Technology,Semiconductors,Taiwan
Lululemon Athletica Inc.,$48.52 B,LULU,Consumer Discretionary,Apparel Retail,Canada
Dow Inc.,$48.50 B,DOW,Basic Materials,Chemicals,United States
Rosneft Oil Co PJSC,$48.50 B,ROSN,Energy,Oil & Gas Integrated,Russia
McKesson Corporation,$48.46 B,MCK,Healthcare,Medical Distribution,United States
Suncor Energy Inc.,$48.27 B,SU,Energy,Oil & Gas Integrated,Canada
"VMware, Inc.",$48.17 B,VMW,Technology,Software—Infrastructure,United States
Johnson Controls International plc,$48.15 B,JCI,Industrials,Engineering & Construction,Ireland
"O'Reilly Automotive, Inc.",$48.14 B,ORLY,Consumer Discretionary,Specialty Retail,United States
Grupo Mexico SAB de CV,$48.00 B,GMEXICOB,Basic Materials,Other Industrial Metals & Mining,Mexico
"CrowdStrike Holdings, Inc.",$47.89 B,CRWD,Technology,Software—Infrastructure,United States
Naspers Ltd,$47.73 B,NPN,Communication Services,Internet Content & Information,South Africa
"Autodesk, Inc.",$47.69 B,ADSK,Technology,Software—Application,United States
"Prudential Financial, Inc.",$47.17 B,PRU,Financials,Insurance—Life,United States
Open Joint Stock Company OMZ,$47.15 B,OMZZP,Industrials,Specialty Industrial Machinery,Russia
Cognizant Technology Solutions Corporation,$47.07 B,CTSH,Technology,Information Technology Services,United States
Nucor Corporation,$46.86 B,NUE,Basic Materials,Steel,United States
"DexCom, Inc.",$46.86 B,DXCM,Healthcare,Diagnostics & Research,United States
Banco Bradesco SA,$46.71 B,BBDC3,Financials,Banks,Brazil
Nidec Corp,$46.33 B,6594,Industrials,Specialty Industrial Machinery,Japan
adidas AG,$46.13 B,ADS1,Consumer Discretionary,Footwear & Accessories,Germany
Sika AG,$46.01 B,SIKA,Basic Materials,Specialty Chemicals,Switzerland
"Baidu, Inc.",$45.98 B,9888,Communication Services,Internet Content & Information,China
Takeda Pharmaceutical Company Limited,$45.89 B,4502,Healthcare,Drug Manufacturers—Specialty & Generic,Japan
The Hershey Company,$45.83 B,HSY,Consumer Staples,Confectioners,United States
Amphenol Corporation,$45.77 B,APH,Technology,Electronic Components,United States
Vanjia Corp,,VNJA,Consumer Discretionary,Residential Construction,United States
Vodafone Group plc,$45.74 B,VOD,Communication Services,Telecom Services,United Kingdom
"IDEXX Laboratories, Inc.",$45.64 B,IDXX,Healthcare,Diagnostics & Research,United States
"The Travelers Companies, Inc.",$45.56 B,TRV,Financials,Insurance—Property & Casualty,United States
Infineon Technologies AG,$45.35 B,IFXA,Technology,Semiconductors,Germany
"Constellation Brands, Inc.",$45.21 B,STZ,Consumer Staples,Beverages—Wineries & Distilleries,United States
"Datadog, Inc.",$45.13 B,DDOG,Technology,Software—Application,United States
Mitsui & Co. Ltd,$45.09 B,8031,Energy,Oil & Gas E&P,Japan
Saudi Arabian Mining Company ,$45.00 B,1211,Basic Materials,Other Industrial Metals & Mining,Saudi Arabia
PJSC Lukoil,$44.96 B,LKOH,Energy,Oil & Gas Integrated,Russia
Intesa Sanpaolo S.p.A.,$44.95 B,ISP,Financials,Banks,Italy
TE Connectivity Ltd.,$44.78 B,TEL,Technology,Electronic Components,Switzerland
"AutoZone, Inc.",$44.39 B,AZO,Consumer Discretionary,Specialty Retail,United States
IQVIA Holdings Inc.,$44.32 B,IQV,Healthcare,Diagnostics & Research,United States
Cintas Corporation,$44.32 B,CTAS,Industrials,Specialty Business Services,United States
"Cadence Design Systems, Inc.",$44.23 B,CDNS,Technology,Software—Application,United States
"Chipotle Mexican Grill, Inc.",$44.11 B,CMG,Consumer Discretionary,Restaurants,United States
"Sumitomo Mitsui Financial Group, Inc.",$44.06 B,8316,Financials,Banks,Japan
"Samsung Biologics Co.,Ltd.",$44.01 B,207940,Healthcare,Biotechnology,South Korea
Wipro Limited,$43.98 B,WIPRO,Technology,Information Technology Services,India
Zijin Mining Group Co Ltd,$43.93 B,601899,Basic Materials,Gold,China
HP Inc.,$43.90 B,HPQ,Technology,Computer Hardware,United States
Shell plc,$207.68 B,SHEL,Energy,Oil & Gas Integrated,United Kingdom
Novartis AG,$204.13 B,NOVN,Healthcare,Drug Manufacturers—General,Switzerland
AstraZeneca plc,$201.75 B,AZN,Healthcare,Drug Manufacturers—General,United Kingdom
Intel Corporation,$201.72 B,INTC,Technology,Semiconductors,United States
Wells Fargo & Company,$200.01 B,WFC,Financials,Banks,United States
Adobe Inc.,$199.57 B,ADBE,Technology,Software—Infrastructure,United States
"salesforce.com, inc.",$193.80 B,CRM,Technology,Software—Application,United States
"United Parcel Service, Inc.",$190.50 B,UPS,Industrials,Integrated Freight & Logistics,United States
China Construction Bank Corp,$189.37 B,601939,Financials,Banks,China
McDonald's Corporation,$186.57 B,MCD,Consumer Discretionary,Restaurants,United States
China Merchants Bank Co Ltd,$185.98 B,600036,Financials,Banks,China
Contemporary Amperex Technology Co. Ltd,$185.67 B,300750,Industrials,Electrical Equipment & Parts,China
Union Pacific Corporation,$184.19 B,UNP,Industrials,Railroads,United States
AT&T Inc.,$175.88 B,T,Communication Services,Telecom Services,United States
Qualcomm Incorporated,$172.25 B,QCOM,Technology,Semiconductors,United States
Texas Instruments Incorporated,$171.28 B,TXN,Technology,Semiconductors,United States
Bristol-Myers Squibb Company,$170.56 B,BMY,Healthcare,Drug Manufacturers—General,United States
Prosus N.V.,$170.00 B,PRX,Communication Services,Internet Content & Information,Netherlands
Linde plc,$166.07 B,LIN,Basic Materials,Specialty Chemicals,United Kingdom
"NextEra Energy, Inc.",$165.53 B,NEE,Utilities,Utilities—Regulated Electric,United States
Agricultural Bank of China Ltd,$165.00 B,601288,Financials,Banks,China
"T-Mobile US, Inc.",$164.31 B,TMUS,Communication Services,Telecom Services,United States
Morgan Stanley,$164.05 B,MS,Financials,Capital Markets,United States
"Netflix, Inc.",$163.19 B,NFLX,Communication Services,Entertainment,United States
Royal Bank of Canada,$159.74 B,RY,Financials,Banks,Canada
The Charles Schwab Corporation,$158.06 B,SCHW,Financials,Capital Markets,United States
Philip Morris International Inc.,$154.71 B,PM,Consumer Staples,Tobacco,United States
Medtronic plc,$151.06 B,MDT,Healthcare,Medical Devices,Ireland
Raytheon Technologies Corporation,$150.96 B,RTX,Industrials,Aerospace & Defense,United States
American Express Company,$150.76 B,AXP,Financials,Credit Services,United States
Hermès International SCA,$148.98 B,RMS,Consumer Discretionary,Luxury Goods,France
Toronto-Dominion Bank,$145.41 B,TD,Financials,Banks,Canada
PetroChina Company Limited,$144.50 B,601857,Energy,Oil & Gas Integrated,China
Commonwealth Bank of Australia,$144.32 B,CBA,Financials,Banks,Australia
"Lowe's Companies, Inc.",$143.77 B,LOW,Consumer Discretionary,Home Improvement Retail,United States
Amgen Inc.,$141.72 B,AMGN,Healthcare,Drug Manufacturers—General,United States
Bank of China Ltd,$141.22 B,601988,Financials,Banks,China
HSBC Holdings plc,$140.15 B,HSBA,Financials,Banks,United Kingdom
China Mobile Ltd,$139.30 B,0941,Communication Services,Telecom Services,Hong Kong
TotalEnergies SE,$137.50 B,TTE,Energy,Oil & Gas Integrated,France
Honeywell International Inc.,$136.48 B,HON,Industrials,Specialty Industrial Machinery,United States
ConocoPhillips,$136.32 B,COP,Energy,Oil & Gas E&P,United States
CVS Health Corporation,$135.27 B,CVS,Healthcare,Healthcare Plans,United States
Ping An Insurance (Group) Company of China Ltd,$134.25 B,601318,Financials,Insurance—Life,China
SAP SE,$134.19 B,SAP,Technology,Software—Application,Germany
"PayPal Holdings, Inc.",$133.92 B,PYPL,Financials,Credit Services,United States
Sanofi,$132.29 B,SAN,Healthcare,Drug Manufacturers—General,France
Deere & Company,$130.31 B,DE,Industrials,Farm & Heavy Construction Machinery,United States
"Advanced Micro Devices, Inc.",$128.29 B,AMD,Technology,Semiconductors,United States
Intuit Inc.,$126.77 B,INTU,Technology,Software—Application,United States
Aon Plc,$73.33 B,AON,Financials,Insurance Brokers,United Kingdom
Northrop Grumman Corporation,$73.25 B,NOC,Industrials,Aerospace & Defense,United States
KDDI Corp,$73.12 B,9433,Communication Services,Telecom Services,Japan
Norfolk Southern Corporation,$72.31 B,NSC,Industrials,Railroads,United States
Freeport-McMoRan Inc.,$72.16 B,FCX,Basic Materials,Copper,United States
Wal-Mart de Mexico SAB de CV,$71.96 B,WALMEX,Consumer Staples,Discount Stores,Mexico
PT Bank Central Asia Tbk,$71.91 B,BBCA,Financials,Banks,Indonesia
"EOG Resources, Inc.",$71.90 B,EOG,Energy,Oil & Gas E&P,United States
Siemens Healthineers AG,$71.50 B,SHL,Healthcare,Diagnostics & Research,Germany
Anglo American plc,$71.48 B,AAL,Basic Materials,Other Industrial Metals & Mining,United Kingdom
"Moderna, Inc.",$70.81 B,MRNA,Healthcare,Biotechnology,United States
General Dynamics Corporation,$70.55 B,GD,Industrials,Aerospace & Defense,United States
AXA SA,$70.20 B,CS,Financials,Insurance—Diversified,France
"Dominion Energy, Inc.",$70.20 B,D,Utilities,Utilities—Diversified,United States
Enel SpA,$70.15 B,ENEL,Utilities,Utilities—Diversified,Italy
BNP Paribas SA,$69.90 B,BNP,Financials,Banks,France
"América Móvil, S.A.B. de C.V.",,AMXA,Communication Services,Telecom Services,Mexico
Public Storage,$69.31 B,PSA,Real Estate,REIT—Industrial,United States
UBS Group AG,$68.93 B,UBSG,Financials,Banks,Switzerland
Sberbank of Russia PJSC,$68.69 B,SBER,Financials,Banks,Russia
"Fiserv, Inc.",$68.68 B,FISV,Technology,Information Technology Services,United States
"Iberdrola, SA",$68.23 B,IBE,Utilities,Utilities—Diversified,Spain
Recruit Holdings Co Ltd,$68.11 B,6098,Industrials,Staffing & Employment Services,Japan
Bayer AG,$68.09 B,BAYN,Healthcare,Drug Manufacturers—General,Germany
The Sherwin-Williams Company,$67.54 B,SHW,Basic Materials,Specialty Chemicals,United States
Vertex Pharmaceuticals Incorporated,$67.49 B,VRTX,Healthcare,Biotechnology,United States
Illinois Tool Works Inc.,$67.49 B,ITW,Industrials,Specialty Industrial Machinery,United States
The Progressive Corporation,$67.31 B,PGR,Financials,Insurance—Property & Casualty,United States
Westpac Banking Corporation,$67.20 B,WBC,Financials,Banks,Australia
ABB Ltd,$67.19 B,ABBN,Industrials,Electrical Equipment & Parts,Switzerland
"Waste Management, Inc.",$66.95 B,WM,Industrials,Waste Management,United States
Industrial Bank Co. Ltd,$66.87 B,601166,Financials,Banks,China
DBS Group Holdings Ltd,$66.74 B,D05,Financials,Banks,Singapore
ICICI Bank Limited,$66.62 B,IBN,Financials,Banks,India
"Equinix, Inc. (REIT)",$66.35 B,EQIX,Real Estate,REIT—Specialty,United States
Newmont Corporation,$65.89 B,NEM,Basic Materials,Gold,United States
Ford Motor Company,$65.74 B,F,Consumer Discretionary,Auto Manufacturers,United States
Colgate-Palmolive Company,$65.64 B,CL,Consumer Staples,Household & Personal Products,United States
Exelon Corporation,$65.53 B,EXC,Utilities,Utilities—Diversified,United States
Snowflake Inc.,$65.04 B,SNOW,Technology,Software—Application,United States
Oriental Land Co. Ltd,$64.66 B,4661,Consumer Discretionary,Leisure,Japan
