00-avengers-country,01-DDD-country,02-GioPonSpiz-country,03-gren-country,04-iGMM-country,05-MalPatSaj-country,06-MarScoToc-country
usa,usa,usa,usa,usa,usa,usa
usa,united-kingdom,s. arabia,s. arabia,usa,usa,saudi arabia
usa,hong-kong,usa,usa,usa,s. arabia,usa
usa,usa,usa,usa,japan,usa,usa
usa,germany,usa,usa,usa,usa,usa
usa,france,usa,usa,usa,usa,usa
ireland,china,usa,usa,switzerland,usa,china
usa,usa,usa,usa,usa,usa,usa
switzerland,japan,china,usa,france,usa,taiwan
japan,china,usa,usa,china,usa,usa
usa,usa,usa,china,usa,usa,usa
usa,usa,taiwan,taiwan,usa,usa,usa
china,usa,france,usa,usa,taiwan,usa
france,none,usa,france,uk,china,france
usa,singapore,usa,usa,uk,usa,usa
uk,sweden,usa,usa,india,usa,usa
usa,united-kingdom,usa,usa,usa,france,usa
uk,brazil,usa,usa,india,usa,usa
usa,hong-kong,usa,usa,usa,usa,usa
usa,usa,china,usa,hong kong,usa,usa
india,china,usa,usa,china,usa,china
usa,usa,usa,usa,usa,usa,usa
netherlands,netherlands,usa,china,uk,switzerland,south korea
china,usa,switzerland,switzerland,germany,usa,switzerland
usa,united-kingdom,usa,usa,usa,china,usa
usa,usa,s. korea,denmark,usa,usa,usa
switzerland,japan,china,s. korea,china,s. korea,denmark
denmark,australia,denmark,usa,usa,denmark,china
usa,ireland,usa,usa,usa,usa,usa
usa,usa,usa,usa,usa,usa,netherlands
china,usa,usa,china,canada,usa,usa
usa,singapore,usa,usa,netherlands,switzerland,usa
switzerland,united-kingdom,netherlands,usa,china,usa,switzerland
usa,canada,usa,switzerland,usa,usa,usa
south korea,taiwan,switzerland,usa,usa,netherlands,usa
usa,france,uae,usa,usa,china,united arab emirates
usa,brazil,usa,netherlands,france,usa,usa
usa,usa,usa,usa,usa,usa,usa
usa,turkey,usa,uk,china,usa,usa
usa,india,usa,china,china,uk,france
china,india,uk,usa,usa,usa,china
france,australia,china,usa,china,india,uk
usa,usa,france,india,usa,china,usa
usa,usa,usa,uk,spain,usa,uk
usa,japan,uk,france,usa,usa,india
taiwan,usa,india,switzerland,usa,france,japan
usa,india,usa,usa,germany,usa,usa
usa,usa,usa,usa,usa,uk,switzerland
usa,israel,usa,usa,usa,switzerland,usa
usa,spain,usa,usa,switzerland,japan,usa
usa,none,usa,japan,usa,usa,usa
usa,usa,switzerland,usa,usa,ireland,usa
usa,australia,japan,usa,japan,usa,france
usa,usa,usa,usa,brazil,usa,usa
usa,usa,france,france,china,usa,usa
saudi arabia,indonesia,usa,usa,canada,usa,ireland
canada,usa,ireland,ireland,russia,france,australia
india,hong-kong,usa,australia,switzerland,uk,usa
usa,usa,australia,usa,usa,usa,usa
usa,usa,usa,usa,uk,usa,usa
china,none,usa,usa,usa,usa,china
usa,finland,usa,china,usa,usa,china
usa,none,uk,usa,france,usa,netherlands
netherlands,usa,china,usa,usa,usa,usa
uk,usa,netherlands,usa,usa,australia,usa
usa,india,china,uk,germany,usa,uk
usa,italy,usa,usa,usa,usa,usa
china,usa,usa,usa,india,usa,france
germany,india,france,usa,usa,france,usa
usa,usa,usa,netherlands,usa,china,usa
usa,usa,usa,france,usa,china,usa
france,united-kingdom,usa,usa,russia,usa,china
usa,usa,usa,china,usa,india,china
canada,sweden,china,china,uk,usa,france
