name,country,sector,revenue_2020_EU,revenue_2017_EU,employees_number_2020,employees_number_2017,founding_year
Pakar Service,Poland,Support Services,9729642,3363800,396,257,2010
BIO-UV,France,Industrial Goods,32175000,10181000,117,62,2000
F.G. Service,Italy,Construction,2554140,809450,14,2,2015
Allways Logistics System,Italy,Transport,9569120,3033150,125,2,2012
Matsmart,Sweden,Ecommerce,49576899,16075963,164,75,2013
autargo,Germany,Construction,1807173,573070,5,2,2016
Brewshop.no,Norway,Food & Beverage,4392988,1484883,9,7,2015
Visualitics,Italy,Technology,2131000,676000,15,3,2016
HiFi extra,Germany,Retail,49190436,15610826,32,14,2016
Ankerkraut,Germany,Food & Beverage,26010474,8271702,150,70,2013
GDA,Italy,Fashion,20745690,6615000,205,98,2008
Nexid,Italy,Technology,2696270,859960,25,9,2006
GS Studio & Service,Italy,Energy,2087000,666210,16,7,2013
Neosperience,Italy,Technology,16367000,5229000,160,60,2006
Lunos,Slovenia,Technology,6356404,2031522,16,11,2010
Meic Costruzioni,Italy,Construction,10456300,3342120,71,39,2013
Trident Lifting Solutions Ltd,UK,Construction,15846632,5105700,14,12,2016
Smart Battery Solutions,Germany,Technology,10203000,3264000,69,28,2010
eu-bay Commerce,Germany,Retail,8122686,2601485,20,10,2003
Jens Rabe Academy,Germany,Education,3655345,1171373,20,6,2009
Hyperoptic,UK,Telecoms,57766084,18649681,1251,407,2010
SEPALE,France,Energy,7879983,2531055,21,2,2009
3A Informatica,Italy,Telecoms,1970000,633990,33,19,2005
EMSPROTO,France,Ecommerce,3136947,1009846,22,10,2014
Laboratoires Dermosun,France,Chemicals & Pharmaceuticals,5626849,1815835,13,9,2011
Saico,Italy,Construction,6737600,2177950,23,13,2013
Nutis,Italy,Food & Beverage,6566530,2124990,19,9,1956
Ogrodosfera.pl,Poland,Ecommerce,13256472,4693330,23,12,2011
SVTI,France,Industrial Goods,3981300,1290312,30,17,2010
Enhancers,Italy,Technology,3352210,1087520,38,13,2011
AGRIPOWER FRANCE,France,Waste management & recycling,7701275,2498792,16,6,2012
Next Turbo Technologies,Italy,Industrial Goods,9481040,3080610,18,8,2014
Velvet Media Italia,Italy,Advertising,5411160,1759490,98,46,2013
Booster Box,Italy,Advertising,2049365,667837,35,9,2016
RMF Group,Slovakia,Food & Beverage,3289892,1072117,2,3,2014
Darwin Group Limited,UK,Construction,70393894,23141358,140,89,2005
ITFS,Poland,Technology,10446862,3730405,230,90,2012
SKILLSDAY,France,Education,3154795,1031988,25,9,2015
Gapps,Finland,Technology,8707000,2850000,34,23,2010
Maxfel,Italy,Interiors,2201160,720650,15,6,1984
Herrero Brigantina,Spain,Insurance,14725853,4832212,55,33,2012
Manitech,Italy,Industrial Goods,3834910,1263420,6,3,2016
Tradeco,Italy,Industrial Goods,5889890,1944720,16,6,2016
MON CHASSEUR IMMO,France,Property,4794423,1585727,28,13,2012
UpSlide,France,Support Services,8274214,2737704,75,20,2013
COGECLIM ENERGIES,France,Construction,2622506,868406,18,5,2015
Cellarius,Hungary,Sales & Marketing,2571079,989785,14,10,2004
careful-service,Germany,Health,3537769,1173908,141,75,2014
Softneta,Lithuania,Health,1778249,590642,30,24,2007
Progeny,UK,Financial Services,16601337,5561585,161,64,2016
Web Geo Services,France,Technology,24114000,8022358,57,29,2009
Spedition Ibov,Germany,Transport,3424863,1140000,n/a,n/a,2013
MyPostcard.com,Germany,Retail,6358307,2119022,25,21,2014
VARIOSAN,Germany,Retail,3233968,1078808,3,2,2013
Riedle + Bertsch,Germany,Technology,2331579,777849,36,8,2013
Mobili Fiver,Italy,Interiors,11897820,3973460,50,23,1999
KLC DESAMIANTAGE,France,Construction,6182419,2065220,46,11,2015
SECRET ARTS OF SPIRITS,France,Retail,3308224,1105569,6,3,2014
MPB Group Limited,UK,Ecommerce,72503245,24429686,184,68,2011
3zehn Auto Discount,Germany,Automobiles,25448057,8527777,12,5,2016
ADIKTEEV,France,Technology,45616000,15292051,67,50,2012
Fundis Reitsport,Germany,Retail,7066208,2370645,50,3,2009
Antriebstechnik Ebner-Seibold,Germany,Retail,2245423,753352,17,9,2009
Invibes Advertising,Belgium,Technology,11530000,3880663,102,30,2011
Jointly il welfare condiviso,Italy,Support Services,2400550,808700,34,18,2014
ABTOT Mark & Anläggning AB,Sweden,Construction,9983094,3450305,23,10,2012
DUSAPRO Immobilien,Germany,Property,33903865,11484801,36,10,2012
SOLDATS FILMS,France,Media,2320653,787160,8,4,2012
Eagleprojects,Italy,Telecoms,15140480,5137900,287,120,2016
Agile Lab,Italy,Technology,5590450,1897650,43,15,2013
importpris.no,Norway,Ecommerce,3113197,1126971,8,4,2012
truu,Germany,Industrial Goods,12472561,4245861,72,18,2011
L’Atelier,France,Technology,4288024,1461226,15,5,2016
frigoclim Kälte-Klima,Germany,Construction,3890690,1326082,22,7,2014
M Coffee Company,Germany,Retail,2117442,722795,5,3,2013
PROTEXTYL,France,Retail,5324116,1818032,22,12,2011
SP architecte,France,Construction,2825876,964998,18,14,2009
Embargos a lo bestia,Spain,Retail,22559217,7709375,178,54,2011
Snigel,Ireland,Technology,20479764,7000063,3,2,2011
IMS Rettungsdienst,Germany,Health,1900000,650000,120,5,2006
Way2Global SB,Italy,Support Services,2411600,828820,16,1,2017
Media Access Solutions,UK,Support Services,3407930,1181642,33,3,2014
Exadi,Spain,Sales and Marketing,42525086,14649568,44,21,2008
Fiber-Service-Gesellschaft,Germany,Telecoms,4049655,1395607,29,10,2014
TenderHut (Group),Poland,Technology,10264611,3868483,280,140,2010
Worldwide Fishing Company,Spain,Food & Beverage,140442673,48449141,30,12,2016
Doctor Hail spa,Italy,Automobiles,18101114,6246592,43,26,2013
KBS Group,Germany,Support Services,42006000,14500000,1500,650,2011
Terre Ehitus,Estonia,Construction,2089215,723064,12,5,2017
Bauer Energiekonzepte,Germany,Energy,36223730,12554325,19,7,2013
New Euroart,Italy,Construction,9307640,3226280,77,26,2001
Capelli For You,Italy,Beauty,1658750,575120,16,8,2015
Ogury,UK,Advertising,108758853,37992902,371,133,2014
TFT Ernst,Germany,Construction,2012427,698300,17,7,2017
Somerford Associates,UK,Technology,18757685,6564162,55,31,2001
ARCADIA Investment,Germany,Property,8102218,2818652,38,12,2012
FiloBlu,Italy,Management Consulting,55564420,19351090,186,112,2009
Tribus Digital,UK,Technology,1952800,685567,21,8,2016
DoIT,Italy,Technology,3040000,1060000,35,20,2014
Global Perspectives,UK,Health,6631496,2329522,23,8,2009
Pirene,Italy,Support Services,1512680,527910,25,8,1999
iPulse,UK,Personal & Household Goods,105149602,36995102,183,39,2012
blue networks,Germany,Technology,6626713,2322241,47,23,2002
N. Schwegler,Germany,Construction,10514000,3686000,35,20,2009
Marcus Lutz Bau,Germany,Construction,1874438,659402,15,7,2002
HKR-Technik,Germany,Retail,6996880,2462478,4,3,2008
Licht + Strom,Germany,Technology,4039340,1424633,30,18,2007
Die Autowelt,Germany,Automobiles,16754654,5915499,40,15,2009
ARTHEAU AVIATION,France,Aerospace & Defence,11263318,3977562,9,4,2012
Cepo,Italy,Industrial Goods,4503670,1592170,22,13,2000
Sneakers & Jackets,France,Financial Services,2888273,1022714,2,1,2013
89up,UK,Advertising,1814237,647020,26,11,2009
LUXURY & PERFORMANCE SELECTION,France,Automobiles,6444045,2281929,4,na,2016
Grayce Group,UK,Management Consulting,17890928,6381674,395,117,2012
Nemesi Italia,Italy,Technology,1640000,581520,4,1,1993
Halo Service Solutions,UK,Technology,5037087,1799189,40,12,1994
Raspberry Pi,UK,Technology,80066074,28668484,73,36,2012
Giopato & Coombes,Italy,Interiors,5467910,1944000,17,8,2010
Ship it,Germany,Retail,3391041,1207009,8,4,2016
Rheinische Scheidestätte,Germany,Retail,83044963,29564866,47,19,2012
Whites Agency,Poland,Advertising,4076348,1586246,90,34,2011
Casa di Riposo Medicalizzata Sempione*,Italy,Health,2436000,867960,38,1,2017
CShark,Poland,Technology,11828515,4608343,269,135,2014
Zinox Laser,Italy,Interiors,6364000,2269510,47,30,2015
Tera Automation,Italy,Industrial Goods,4987860,1778890,20,14,2013
Innova Hts,Italy,Health,8792400,3137630,16,12,2014
Kentigen,Czech Republic,Technology,1507867,554004,20,8,2013
Teal Partners,Belgium,Technology,3873750,1386701,23,13,2015
LM Medical Division,Italy,Health,11281040,4040060,47,16,2010
BEC,Germany,Technology,7843183,2809036,47,25,2003
Xylon,Croatia,Technology,4491888,1610149,81,41,1995
Spedition Kai Rindert,Germany,Transport,3018684,1083821,9,2,2017
CO.GE.SA. Costruzioni Generali Saba,Italy,Construction,3453730,1241760,22,16,2009
Skärgårdstunnan/Skargards,Sweden,Ecommerce,15082088,5547537,20,13,2010
Autonova Milano,Italy,Automobiles,2790680,1006280,14,1,2015
Polarstern,Germany,Energy,30270074,10925375,40,25,2011
halsdorfer + ingenieure projekt,Germany,Property,31038460,11207566,15,5,2013
OPNA,France,Support Services,2317903,838200,23,9,2015
Stikets,Spain,Ecommerce,9318626,3372820,39,25,2010
CampuStore,Italy,Education,34410600,12479120,18,18,1994
Ars Futura,Croatia,Technology,1580154,574487,27,14,2013
Cemir Security,Italy,Support Services,2835330,1028730,116,64,2015
Borgy CZ,Czech Republic,Personal & Household Goods,22419033,8362568,60,40,2009
Groupe Zephyr,France,Health,16264645,5908517,600,190,2007
Dernier Cri,France,Technology,3956061,1438184,57,25,2015
yes!devs,Germany,Technology,2200000,800000,37,10,2016
Hydroflex Group,Germany,Retail,13166000,4788000,36,19,2009
Proteko Service,Italy,Support Services,5502450,2003540,31,7,2016
MiniCRM,Hungary,Technology,2232347,944107,26,26,2012
CNQ Consorzio Nazionale Qualità,Italy,Waste management & recycling,2151050,783460,39,13,2001
Accolade,Czech Republic,Property,83981636,31477723,n/a,n/a,2010
Panel Sandwich,Spain,Construction,9637845,3517519,27,9,2009
SYMBIOSE Informatique,France,Technology,33080096,12074454,32,28,1991
G.Engineering,Italy,Industrial Goods,16504780,6024830,51,24,2012
I-PARTICULIERS,France,Property,4071600,1488875,200,50,2011
Henco,Germany,Retail,6970679,2550263,48,25,2012
Giglio.com,Italy,Ecommerce,25355630,9283620,53,25,2007
Alphaspel,Sweden,Retail,4535769,1699234,16,5,2013
Sapiegos Klinika,Lithuania,Health,1578677,579436,24,14,2014
OpenCorporates,UK,Technology,2730677,1010498,25,9,2010
BE CLOUD,France,Support Services,10371094,3811605,49,22,2012
Drukarnia piga.pl,Poland,Ecommerce,4064038,1632988,130,60,2014
groupe mister menuiserie,France,Ecommerce,68009314,25003047,227,84,2010
Insetto,Germany,Retail,6010130,2210651,79,51,1999
Technophage,Portugal,Pharmaceuticals,2237180,823381,13,9,2005
skalis portage salarial,France,Support Services,6202068,2287420,68,25,2008
peoplegrapher,Germany,Advertising,3561298,1314806,11,5,2016
Reveg Fruit,Italy,Food & Beverage,2356570,870070,4,2,2016
Sciant,Bulgaria,Technology,3192139,1178653,79,39,2016
Boender & Beutel,Germany,Industrial Goods,14550131,5376347,130,50,2012
EKINOPS,France,Telecoms,92800000,34291000,456,419,2003
Sano-Técnica,Portugal,Health,4972658,1838120,13,12,1938
möbelando,Germany,Retail,16692390,6170577,24,16,2013
Democom,Italy,Telecoms,3347950,1238210,37,12,2011
Erbagil,Italy,Pharmaceuticals,4021010,1490280,11,3,2009
Axopar Boats,Finland,Travel & Leisure,78765693,29247774,32,9,2014
Advanced Composites Solutions,Italy,Automobiles,5393690,2006100,54,11,2012
Spartivento Yachts & Charter,Italy,Travel & Leisure,5194630,1932580,34,12,2000
Seargin,Poland,Technology,18624755,7576080,64,39,2014
TTP HOLDING,Germany,Support Services,37607000,13997000,32,28,2009
Sweef furniture,Sweden,Retail,9506903,3620585,14,5,2011
SONIC Tanácsadó és Szolgáltató Kft,Hungary,Technology,4646080,2009719,10,5,2008
spotit,Belgium,Cyber Security,20387729,7606472,71,30,2014
LABEL EXPERIENCE,France,Financial Services,1756470,655366,27,11,2016
LMM Logistics,Italy,Transport,14113040,5268390,724,2,2015
Medicalfit,Spain,Health,2378517,888395,35,15,2008
Nuova MG,Italy,Industrial Goods,2126840,794770,26,23,2017
innov and co handicap,France,Technology,1879824,702609,30,7,2016
Alma Entreprise,France,Construction,13438347,5023015,31,33,2003
Radit,Italy,Support Services,1879520,703190,15,8,2016
REGIONAL EXPRESS,France,Transport,22841800,8552857,220,80,2013
Aravati,France,Support Services,6671500,2500644,59,26,2004
Pöhner Hamburg,Germany,Retail,15603000,5851000,7,4,2013
Schreinerei Huber,Germany,Construction,2629044,986286,21,18,2010
ISR,France,Technology,4637943,1741112,12,12,1996
Kinga Mathe,Germany,Retail,1800494,676431,5,2,2008
Rivile,Lithuania,Technology,3905042,1467195,24,20,1992
MaGarantie5ans,France,Retail,9253546,3477788,20,8,2016
BEBEBOUTIK,France,Retail,29080296,10944325,98,36,2012
Radar Cyber Security,Austria,Technology,12727043,4794822,122,88,2011
CLAIR GROUP,France,Aerospace & Defence,38960985,14683064,121,49,2004
Appsfactory,Germany,Technology,18044631,6801966,221,105,2009
Stiltz Homelifts,UK,Interiors,36960953,14051407,250,142,2010
Star Stone,Romania,Construction,4409476,1729707,105,48,2012
Coptrz,UK,Aerospace & Defence,6297471,2395445,22,10,2016
Nurole,UK,Technology,3249493,1236098,35,15,2014
ABAO Energy,Germany,Construction,2406917,910386,15,10,2016
Welol Next,Italy,Technology,2685440,1017320,32,16,2011
Intent HQ,UK,Technology,5762891,2199126,75,22,2010
Café du Cycliste,France,Ecommerce,7445865,2826571,20,14,2009
LANGER Lüftungs- und Klimaanlagen,Germany,Construction,4609256,1749794,8,5,2016
Formind,France,Cyber Security,16845354,6398583,130,60,2010
Oasis Smart SIM Europe**,France,Telecoms,3065165,1167000,20,4,2010
Aferetica,Italy,Health,6376910,2429230,13,9,2013
Zero,Italy,Energy,42000000,16000000,37,15,2014
SKILLS,France,Support Services,11650138,4443710,70,20,2011
3E Studio,Italy,Support Services,2804580,1071090,22,1,2015
Pannonia Steel,Slovakia,Construction,1768886,675645,5,1,2013
Kronos,Italy,Fashion,23579000,9009270,21,15,2009
LaSaponaria,Italy,Beauty,6304690,2409730,22,11,2007
Die Wuhlewanderer,Germany,Health,4970000,1900000,95,50,2013
IMINT Vidhance,Sweden,Technology,4851538,1897113,27,26,2007
Arte e Passione,Italy,Restaurants,1671730,639410,47,18,2016
PAUL MARIUS,France,Retail,24869602,9515000,87,29,2011
Scalefocus,Bulgaria,Technology,33137857,12686177,730,330,2012
Whiskyzone,Germany,Retail,10750866,4117340,16,7,2014
Targa Telematics,Italy,Technology,37386150,14327610,113,63,2002
SIAN Wholesale Ltd,UK,Transport,74719260,28939861,50,23,2003
Visage Technologies,Sweden,Technology,5677639,2233448,104,54,2002
Riotloc,Lithuania,Games industry,1551468,596906,1,1,2016
BullionVault,UK,Precious metals,16196046,6278456,34,31,2003
3A Antioxidants,Spain,Chemicals & Pharmaceuticals,7704000,2968892,23,9,2000
on Metall,Germany,Industrial Goods,2587718,997518,6,3,2016
Scribbr,The Netherlands,Education,8862818,3417536,39,22,2012
Selectra,France,Energy,62951353,24320734,1000,500,2007
Energetic,Italy,Energy,1711470,661860,13,7,2010
Faveod,France,Support Services,2598585,1005658,9,7,2007
CYE Energia,Spain,Energy,23673728,9161867,15,5,2013
Integrata Oy,Finland,Financial Services,9409000,3647000,105,33,2008
Regular Trade,Germany,Retail,11671000,4526000,25,15,2010
Expleo,Hungary,Energy,2696785,900686,15,6,2011
Confezioni Velvet,Italy,Fashion,3355870,1302640,21,21,2015
Activ Bilanz,Germany,Property,17286985,6712146,10,12,1998
Family Nation,Italy,Ecommerce,5300370,2059190,12,5,2011
Majar – Matzaridis Bros,Greece,Technology,13224865,5144442,19,13,1994
Izertis,Spain,Technology,50740841,19753150,791,431,1996
Fashion Commerce,Italy,Ecommerce,2349000,916000,5,1,2016
Bulk Tainer Logistics Limited,UK,Transport,56054130,21717432,105,41,2009
Wingeco,Italy,Industrial Goods,3407310,1332330,22,12,2016
Meblobranie.pl,Poland,Ecommerce,19295429,6909799,25,12,2021
Queraltó,Spain,Ecommerce,21900903,8575344,67,39,1898
Phobos,Slovakia,Automobiles,3529454,1382844,12,8,1993
Archita Engineering,Italy,Support Services,2739230,1074130,5,13,2013
Celeritas,Spain,Transport,58139933,22805398,27,10,2006
peopleForecast,Germany,Technology,2086411,818658,45,15,2014
Digitalpa,Italy,Management Consulting,1731340,679440,12,41,2014
Faktenkontor,Germany,Advertising,30967000,12153143,150,100,2003
CLAREO,France,Retail,18854708,7399729,53,13,2012
Laca Trade,Italy,Property,24741510,9717860,5,5,2013
