name,headquarters,number_of_employees,address,industry,website,market_cap,telephone,revenue
US Ecology Inc,United States of America,"3,600","101 S Capitol Blvd Ste 1000, Boise, Idaho, 83702",Environmental and Waste Management Services,www.usecology.com,,1 208 3318400,$988.0M
Mercury Systems Inc,United States of America,"2,386","50 Minuteman Drive, Andover, Massachusetts, 01810",Aerospace and Defense,www.mrcy.com,$2.7B,1 978 2561300,$988.2M
Xiwang Foodstuffs Co Ltd,China,"1,892","Xiwang Industrial Park, Zouping County, Binzhou, Shandong , 256209",Consumer Packaged Goods,www.xwsp.cc,$787.4M,86 543 4868888,$985.2M
Shenzhen Hepalink Pharmaceutical Group Co Ltd,China,"2,046","No. 19, Hi-Tech Zhongyi Avenue, Middle Area, Hi-Tech Zone , Nanshan Dist, Shenzhen, Guangdong, 518057",Pharmaceuticals and Healthcare,www.hepalink.com,$2.7B,86 755 26980311,$986.9M
Kingsoft Corporation Ltd,Hong Kong,"7,174","Kingsoft Tower, No. 33, Xiaoying West Road, Haidian District, Beijing, 100085",Technology and Communications,www.kingsoft.com,$5.0B,852  24050088,$987.8M
Petropavlovsk PLC,United Kingdom,"8,860","11 Grosvenor Place, London, SW1X7HH",Metals and Mining,petropavlovskplc.com,,7 495 3802810,$988.5M
VAT Group AG,Switzerland,"2,897","Seelistrasse 1, Haag, Rheintal, 9469",Industrial Goods and Machinery,www.vatvalve.com,$9.5B,41 81 7716161,$986.0M
Software AG,Germany,"5,052","Uhlandstrasse 12, Darmstadt, 64297",Technology and Communications,www.softwareag.com,$2.1B,49 6151 920,$986.0M
3SBio Inc,China,"5,160","No. 3 A1, Road 10, Shenyang Economy & Technology, Development Zone, Liaoning , 110027",Pharmaceuticals and Healthcare,www.3sbio.com,$2.7B,86 24 25811820,$989.5M
Nomura Co Ltd,Japan,"1,952","2-3-4, Daiba, Minato-Ku, Tokyo, 135-8622",Construction,www.nomurakougei.co.jp,$821.6M,81 3 59621171,$988.9M
Sapura Energy Bhd,Malaysia,"3,440","No. 7, Jalan Tasik, Mines Resort City, Seri Kembangan, 43300",Energy and Utilities,www.sapuraenergy.com,$184.7M,60 3 86598800,$990.0M
DeceunInck NV,Belgium,"3,709","Bruggesteenweg 360, Gits, Hooglede, 8830",Construction,www.deceuninck.com,$387.8M,32 51 239211,$991.0M
Finnair Oyj,Finland,"5,358","Hott, Tietotie 9, Vantaa, 01530",Transport and Logistics,company.finnair.com,$768.6M,358 6 00081881,$991.4M
Alok Industries Ltd,India,"26,231","Peninsula Business Park, Tower-B, 2nd & 3rd Floor, G.K.Marg, Mumbai, 400013",Consumer Packaged Goods,www.alokind.com,$909.4M,91 22 61787000,$990.0M
Zhejiang Weixing New Building Materials Co Ltd,China,"4,419","Linhai Economic Development Zone, Taizhou, Zhejiang, 317000",Construction,www.vasen.com,$5.4B,86 576 85225086,$990.3M
Redes Energeticas Nacionais SA,Portugal,697,"Avenida Dos Estados Unidos Da America, 55, Lisboa, 1749-061",Power,www.ren.pt,$1.8B,351 21 0013500,$991.3M
The Shyft Group Inc,United States of America,"3,800","41280 Bridge Street, 1000 Reynolds Rd, Novi, Michigan, 48375",Automotive,theshyftgroup.com,$1.0B,1 517 5436400,$991.8M
PJT Partners Inc,United States of America,833,"280 Park Ave Fl 16th, New York, 10017-1206",Financial Services,pjtpartners.com,$3.1B,1 212 3647800,$991.9M
Qatar Gas Transport Co Ltd,Qatar,12,"Al Shoumoukh Towers, C Ring Road, Al-Sadd, P.O. Box 22271, Doha",Energy and Utilities,www.nakilat.com,$5.8B,974  44998111,$991.4M
PT Bank Permata Tbk,Indonesia,"7,168","Gedung World Trade Center Ii, Jl. Jend. Sudirman Kav. 29-31, Jakarta Selatan, 12920",Financial Services,www.permatabank.com,$2.4B,62 21 5237788,$992.8M
Fulgent Genetics Inc,United States of America,645,"4978 Santa Anita Ave Ste 205, Temple City, California, 91780-3600",Medical Equipment,www.fulgentgenetics.com,$975.6M,1 626 3500537,$992.6M
Globaltrans Investment PLC,Cyprus,"1,750","Office 201, 4 Profiti Ilia Street, Germasogeia, Limassol, 4046",Transport and Logistics,www.globaltrans.com,$799.2M,357 25 212382,$993.1M
Asia Allied Infrastructure Holdings Ltd,Hong Kong,"6,150","C2, 5th Floor,Hng Kng Spnrs Indstrl Bldg, 601-603 Tai Nan West Street, Cheung Sha Wan, Kowloon, Hong Kong",Construction,www.asiaalliedgroup.com,$121.9M,852  37985711,$993.5M
Haemonetics Corp,United States of America,"2,821","125 Summer Street, Boston, Massachusetts, 02110",Medical Equipment,www.haemonetics.com,$4.4B,1 781 8487100,$993.2M
BOE Varitronix Limited,Hong Kong,"4,063","Unit A-F, 35/F, Legend Tower, 7 Shing Yip Street, Kwun Tong, Hong Kong",Technology and Communications,www.boevx.com,$1.7B,852  21976000,$995.6M
Ebix Inc,United States of America,"10,030","1 Ebix Way, Johns Creek, Georgia, 30097",Technology and Communications,www.ebix.com,$590.6M,1 678 2812020,$994.9M
GSI Creos Corp,Japan,624,"7-9f, Aoba Daiichi Bldg., 2-3-1, Kudan-Minami, Chiyoda-Ku, Tokyo, 102-0074",Consumer Packaged Goods,www.gsi.co.jp,$145.1M,81 3 52111800,$995.6M
Information Services International-Dentsu Ltd,Japan,"3,240","2-17-1, Konan, Minato-Ku, Tokyo, 108-0075",Technology and Communications,www.isid.co.jp,$2.1B,81 3 67136111,$997.8M
