,name,country,sector,revenue_2020_eu,revenue_2017_eu,employees_number_2020,employees_number_2017,founding_year
0,swappie,finland,technology,doll_97.61 m,507000,218.0,1,2016
1,kilo health,lithuania,health,doll_57.32 m,344428,177.0,10,2013
2,oci,uk,financial services,doll_568.32 m,4325512,32.0,4,2012
3,onlyfans,uk,technology,doll_316.73 m,2652185,800.0,4,2016
4,enpal,germany,energy,doll_56.11 m,486165,365.0,9,2017
5,mr consulting,germany,waste management & recycling,doll_13.17 m,150908,9.0,2,2017
6,thriva,uk,health,doll_18.73 m,251668,57.0,12,2015
7,exotec,france,industrial goods,doll_47.6 m,706700,200.0,15,2015
8,winelivery,italy,ecommerce,doll_7.34 m,111500,10.0,1,2015
9,instabox,sweden,technology,doll_24.48 m,392055,117.0,5,2015
10,waterdrop,austria,food & beverage,doll_41.21 m,680197,180.0,12,2016
11,one lease,france,support services,doll_9.02 m,153046,11.0,2,2016
12,datlas*,italy,technology,doll_9.03 m,155406,251.0,13,2017
13,zego,uk,fintech,doll_12.16 m,229201,224.0,36,2016
14,hcl-logistics,germany,transport,doll_11.39 m,238118,24.0,5,2017
15,popsa,uk,technology,doll_21.46 m,454975,34.0,4,2016
16,unit8,switzerland,technology,doll_7.23 m,149397,41.0,2,2017
17,luoto company,finland,technology,doll_14.34 m,325585,49.0,6,2016
18,journi print,austria,ecommerce,doll_6.85 m,160624,29.0,9,2014
19,portify,france,support services,doll_11.58 m,274575,228.0,23,2017
20,tibber,norway,energy,doll_30.89 m,782918,45.0,8,2015
21,rascal industry,poland,fashion,doll_9.01 m,238451,18.0,6,2013
22,pegaso security,italy,support services,doll_8.38 m,207120,509.0,20,2017
23,tide,uk,fintech,doll_16.14 m,416562,581.0,72,2016
24,euro top brand,italy,retail,doll_13.89 m,363010,1.0,1,2017
25,bold security group,uk,support services,doll_6.24 m,181772,26.0,6,2011
26,play magnus group,norway,games industry,doll_6.46 m,214673,140.0,10,2013
27,blue whale growth fund,uk,financial services,doll_5.19 m,170950,7.0,1,2016
28,kazidomi,belgium,ecommerce,doll_8.04 m,263663,65.0,3,2016
29,sun finance,latvia,fintech,doll_121.31 m,4044537,800.0,90,2012
30,credimi,italy,financial services,doll_11.3 m,381830,56.0,21,2015
31,sirplus,germany,retail,doll_4.54 m,155043,133.0,8,2017
32,aihr | academy to innovate hr,the netherlands,education,doll_3.58 m,125682,31.0,6,2016
33,logistics capital partners (lcp),luxembourg,property,doll_210.56 m,7403458,27.0,9,2015
34,südwest invest,germany,property,doll_5.82 m,210820,10.0,2,2017
35,corade (plurimmo),france,property,doll_56.02 m,2039961,7.0,7,2000
36,carranco,spain,food & beverage,doll_4.18 m,155310,5.0,4,2006
37,telemedi,poland,health,doll_4.45 m,182100,50.0,10,2014
38,inkitt,germany,technology,doll_5.93 m,229713,56.0,22,2014
39,h.k.trading,italy,retail,doll_5.72 m,225380,2.0,1,2016
40,attest,uk,technology,doll_4.86 m,194090,124.0,16,2015
41,lgm immobilier,france,property,doll_2.55 m,101311,11.0,na,2016
42,wolfram chain*,the netherlands,management consulting,doll_2.43 m,100711,29.0,7,2017
43,rightnow,germany,technology,doll_8.95 m,379771,38.0,3,2017
44,eo charging,uk,technology,doll_17.16 m,757323,63.0,7,2014
45,chetariffa.it,italy,support services,doll_2.5 m,110200,9.0,2,2013
46,simply,uk,financial services,doll_16.48 m,744092,90.0,26,2017
47,salary finance,uk,fintech,doll_8.59 m,387995,187.0,24,2015
48,dbt,sweden,fintech,doll_3.84 m,179204,10.0,2,2017
49,tutlo,poland,education,doll_7.78 m,388565,140.0,15,2016
50,ponera,france,ecommerce,doll_25.9 m,1186853,27.0,4,2013
51,active energy solutions,greece,energy,doll_13.31 m,640056,2.0,0,2014
52,acteam enr,france,energy,doll_2.13 m,103240,8.0,2,2012
53,everflow,uk,technology,doll_64.22 m,3188715,70.0,8,2015
54,azure prism,uk,retail,doll_4.75 m,238216,1.0,1,2016
55,wr logistics,germany,transport,doll_11.66 m,585280,7.0,2,2017
56,iproov,uk,technology,doll_7.44 m,376519,61.0,14,2011
57,spin up,italy,advertising,doll_4.01 m,203950,5.0,1,2017
58,begreat,germany,retail,doll_5.14 m,270090,16.0,4,2012
59,tsunami nutrition*,italy,ecommerce,doll_6.95 m,369000,17.0,2,2017
60,matt sleeps,the netherlands,interiors,doll_9.79 m,535070,6.0,2,2016
61,tessian,uk,technology,doll_15.37 m,858482,138.0,28,2013
62,solarisbank,germany,financial services,doll_35.94 m,2007000,369.0,98,2016
63,m2dg (myflexoffice),france,support services,doll_6.63 m,375323,21.0,2,2016
64,eukon,italy,health,doll_6.39 m,362320,11.0,2,2004
65,evolution adv,italy,advertising,doll_14.18 m,805870,13.0,3,2016
66,making science,spain,technology,doll_57.67 m,3306795,274.0,47,2001
67,everli,italy,ecommerce,doll_109.25 m,6287460,207.0,45,2014
68,appfollow,finland,technology,doll_2.21 m,128176,73.0,12,2014
69,synerise,poland,technology,doll_4.0 m,255062,190.0,40,2013
70,chaikola,poland,food & beverage,doll_5.16 m,330763,8.0,4,2010
71,scolution,germany,technology,doll_1.83 m,107492,12.0,4,2015
72,jl&p,france,energy,doll_2.21 m,131164,15.0,3,2017
73,efarma.com,italy,pharmaceuticals,doll_20.15 m,1199580,50.0,8,2017
74,elvie,uk,technology,doll_40.81 m,2474341,138.0,22,2013
75,farmarelax,italy,personal & household goods,doll_4.46 m,270750,5.0,1,2010
76,omnisend,uk,technology,doll_11.76 m,742746,99.0,20,2008
77,world trade group,italy,fashion,doll_4.9 m,314150,5.0,1,2017
78,besteam conseil,france,technology,doll_3.87 m,249176,32.0,2,2016
79,motorway,uk,automobiles,doll_4.84 m,320411,96.0,5,2016
80,iso public services,germany,technology,doll_10.02 m,672821,26.0,0,2014
81,octopus energy,uk,energy,doll_2.12 b,145398192,918.0,106,2015
82,cyberiam*,uk,cyber security,doll_5.64 m,387161,82.0,8,2017
83,cbweed*,italy,personal & household goods,doll_3.5 m,245000,17.0,2,2017
84,catraport,portugal,automobiles,doll_7.29 m,518613,46.0,18,2015
85,ouihelp,france,support services,doll_3.69 m,262421,106.0,13,2016
86,inpay,denmark,fintech,doll_23.8 m,1702000,67.0,33,2013
87,m.g.i. meccaniche generali irpine,italy,industrial goods,doll_2.61 m,188680,10.0,4,2017
88,glencar construction,uk,construction,doll_107.86 m,7930094,80.0,7,2016
89,qmee,uk,technology,doll_12.57 m,925527,23.0,9,2010
90,myappfree,italy,advertising,doll_5.76 m,422420,10.0,1,2015
91,investa dienstleistungen,germany,support services,doll_2.18 m,159707,55.0,8,2014
92,polarium energy solutions,sweden,batteries,doll_74.07 m,5581858,58.0,19,2014
93,baroni home,italy,ecommerce,doll_1.53 m,113072,5.0,4,2016
94,dayshape,uk,technology,doll_3.32 m,247465,45.0,6,2013
95,marketers company,italy,advertising,doll_1.88 m,139300,8.0,3,2016
96,easo magno,spain,beauty,doll_3.06 m,228076,5.0,2,2017
97,greyfood,germany,retail,doll_9.19 m,684874,10.0,1,2016
98,misfits health,uk,food & beverage,doll_2.27 m,171057,9.0,3,2016
99,meilleursbiens.com,france,property,doll_3.86 m,291481,5.0,1,2010
100,fasanara capital,uk,financial services,doll_11.53 m,882099,36.0,5,2011
101,ntechlab,cyprus,technology,doll_8.73 m,664000,122.0,44,2015
102,babylino sensitive,italy,personal & household goods,doll_2.85 m,217460,5.0,2,2016
103,fastned,the netherlands,technology,doll_6.89 m,530667,54.0,24,2012
104,oxray,portugal,health,doll_5.47 m,427339,6.0,2,2009
105,zega invest,germany,property,doll_3.79 m,299598,4.0,3,2017
106,abylon consulting,hungary,technology,doll_1.72 m,159128,7.0,2,2016
107,milrab,norway,ecommerce,doll_79.3 m,6753191,77.0,20,2005
108,urbantz,belgium,technology,doll_3.03 m,242368,55.0,7,2015
109,tricas construction,uk,construction,doll_15.88 m,1281462,32.0,6,2017
110,florence one,italy,technology,doll_1.63 m,131691,10.0,6,2017
111,ergotopia,germany,retail,doll_7.66 m,620283,35.0,8,2014
112,mcule.com kft.,hungary,chemicals & pharmaceuticals,doll_2.68 m,252713,17.0,5,2011
113,filo,italy,technology,doll_10.05 m,815690,18.0,9,2014
114,homepal,italy,property,doll_1.6 m,130290,11.0,4,2014
115,staffbase,germany,technology,doll_26.89 m,2201178,310.0,55,2014
116,ilon materiel,france,construction,doll_2.51 m,207327,4.0,2,2016
117,bio-marine,ireland,personal & household goods,doll_1.61 m,133200,25.0,7,2014
118,isodeco,france,construction,doll_2.91 m,241411,18.0,2,2016
119,treedom,italy,support services,doll_6.71 m,560150,42.0,18,2010
120,fenstermaxx24,germany,retail,doll_8.47 m,712855,20.0,3,2016
121,pohl & söhne gerüstbau,germany,construction,doll_2.12 m,180824,31.0,7,2017
122,yso corp,france,media,doll_6.69 m,570012,13.0,3,2013
123,gyada cosmetics,italy,beauty,doll_1.83 m,156130,10.0,2,2017
124,privitar,uk,technology,doll_9.92 m,855321,190.0,47,2014
125,delineate,uk,technology,doll_3.33 m,288095,25.0,1,2015
126,spyrosoft,poland,technology,doll_24.72 m,2326082,563.0,75,2016
127,bio energy solutions,slovakia,waste management & recycling,doll_16.01 m,1383205,37.0,6,2014
128,increso,italy,management consulting,doll_3.23 m,281000,51.0,2,2015
129,lsg - logistic & service group,italy,transport,doll_8.87 m,777410,46.0,1,2016
130,energihem,sweden,construction,doll_28.0 m,2527006,125.0,19,2015
131,amity,uk,technology,doll_5.74 m,522712,164.0,48,2012
132,goyago,germany,retail,doll_3.73 m,337525,43.0,4,2014
133,la regie de portage salarial,france,support services,doll_7.64 m,692440,140.0,23,2016
134,dall energy,denmark,energy,doll_6.01 m,551000,15.0,5,2007
135,appinio,germany,technology,doll_3.6 m,330500,44.0,5,2014
136,pinsami,italy,food & beverage,doll_4.89 m,455000,33.0,14,2015
137,aer trading,france,retail,doll_17.58 m,1643572,1.0,1,2013
138,valumen,france,support services,doll_2.2 m,205554,4.0,1,2014
139,follow,france,advertising,doll_6.84 m,643299,14.0,4,2016
140,darpdecade,germany,retail,doll_6.62 m,628384,173.0,4,2016
141,bolt,estonia,technology,doll_221.39 m,21098843,1798.0,399,2013
142,kiteworldshop.com,italy,ecommerce,doll_1.67 m,160539,5.0,2,2014
143,peter kenkel,germany,retail,doll_22.14 m,2131000,19.0,10,2006
144,templafy,denmark,technology,doll_15.49 m,1521010,292.0,32,2014
145,comservice,italy,support services,doll_2.02 m,194780,99.0,17,2014
146,falcor presse,italy,industrial goods,doll_3.0 m,291720,5.0,1,2017
147,roomraccoon,the netherlands,technology,doll_1.72 m,167000,40.0,8,2017
148,signaturit,spain,technology,doll_5.64 m,552355,95.0,37,2013
149,modulr,uk,fintech,doll_12.79 m,1269382,191.0,31,2015
150,profishop,germany,ecommerce,doll_43.81 m,4340517,63.0,17,2012
151,floer,the netherlands,interiors,doll_2.52 m,249975,15.0,2,2015
152,audiosalus,italy,retail,doll_1.57 m,156300,12.0,4,2011
153,statsbomb,uk,technology,doll_2.03 m,204620,26.0,2,2016
154,theras biocare,italy,pharmaceuticals,doll_26.63 m,2693390,8.0,2,2013
155,stenn,uk,fintech,doll_29.62 m,3058141,61.0,32,2016
156,nanushka,hungary,fashion,doll_20.83 m,2456563,180.0,30,2012
157,dpm - deutsches personal management,germany,support services,doll_2.27 m,230800,60.0,10,2016
158,monese,uk,fintech,doll_18.2 m,1870109,243.0,84,2013
159,arquimea,spain,technology,doll_72.04 m,7450099,288.0,40,2005
160,groupe perspective,france,education,doll_2.71 m,280390,18.0,4,2013
161,funnel,sweden,technology,doll_11.5 m,1217338,155.0,37,2014
162,living quarter,germany,health,doll_5.02 m,529371,49.0,5,2015
163,svea solar,sweden,energy,doll_66.15 m,7177912,287.0,38,2013
164,bevcraft group,ireland,food & beverage,doll_4.05 m,429505,16.0,6,2016
165,learning technologies group,uk,technology,doll_19.45 m,2096570,932.0,767,2013
166,cura farma,italy,health,doll_4.44 m,479290,9.0,2,2014
167,kamado bono,lithuania,personal & household goods,doll_6.8 m,735758,7.0,2,2013
168,sipadan,spain,management consulting,doll_3.46 m,374200,47.0,3,2007
169,dateio,czech republic,fintech,doll_4.71 m,530785,45.0,18,2013
170,crest investment,germany,property,doll_4.86 m,533144,16.0,4,2016
171,componenti digitali,italy,retail,doll_2.81 m,308810,19.0,2,2017
172,immo-konzepte,germany,property,doll_2.27 m,252871,6.0,3,2006
173,swipbox,denmark,technology,doll_9.39 m,1052796,41.0,3,2014
174,nextory,sweden,media,doll_26.53 m,3046667,85.0,9,2015
175,itds polska,poland,technology,doll_8.61 m,1057443,176.0,32,2016
176,savait,italy,ecommerce,doll_2.11 m,237410,5.0,4,2015
177,adpone,spain,advertising,doll_11.12 m,1255372,18.0,3,2015
178,nord security,lithuania,cyber security,doll_156.62 m,18035029,1000.0,350,2012
179,mews,the netherlands,technology,doll_22.39 m,2531000,226.0,25,2012
180,titulae,spain,education,doll_4.87 m,551128,35.0,9,2015
181,systeme.io,ireland,ecommerce,doll_2.41 m,273552,40.0,5,2016
182,eodh sa,greece,aerospace & defence,doll_2.6 m,299988,30.0,20,2003
183,multix solutions,italy,health,doll_11.59 m,1340430,5.0,2,2015
184,b2digit,france,technology,doll_1.98 m,228982,12.0,2,2016
185,a million ads,uk,advertising,doll_4.88 m,570564,47.0,5,2015
186,woodwatch,the netherlands,retail,doll_5.59 m,651170,25.0,5,2013
187,fenêtres du doubs,france,construction,doll_2.24 m,262280,12.0,3,2010
188,koesea,germany,construction,doll_3.4 m,400000,65.0,3,2016
189,podium advanced technologies,italy,automobiles,doll_18.03 m,2133310,38.0,14,2011
190,spegra,croatia,construction,doll_17.06 m,2025879,166.0,109,2010
191,gpainnova,spain,industrial goods,doll_15.25 m,1815680,117.0,18,2013
192,soluzione tasse,italy,management consulting,doll_18.94 m,2264940,23.0,4,2016
193,velocultour,germany,retail,doll_2.46 m,295731,15.0,2,2016
194,butorpiac.hu,hungary,ecommerce,doll_2.18 m,305268,7.0,2,2011
195,success solutions,czech republic,technology,doll_2.63 m,327218,44.0,8,2016
196,bug bite thing europe,denmark,health,doll_1.58 m,191679,1.0,1,1989
197,dexatel,estonia,technology,doll_11.09 m,1349733,24.0,4,2015
198,gemco,italy,construction,doll_3.94 m,481510,6.0,1,2015
199,lyonnaise de construction et renovation,france,construction,doll_6.64 m,812371,,,2015
200,gousto,uk,food & beverage,doll_210.95 m,26112757,702.0,204,2012
201,winter in venice,uk,beauty,doll_12.68 m,1575522,6.0,4,2010
202,infratech bau,germany,construction,doll_60.07 m,7415334,72.0,18,2007
203,4streets building innovation tunnels bridges roads,italy,construction,doll_6.74 m,833230,46.0,3,2016
204,landbay,uk,fintech,doll_8.98 m,1119178,95.0,31,2013
205,degoo,sweden,technology,doll_1.97 m,249818,18.0,3,2012
206,franco fresco,germany,food & beverage,doll_50.72 m,6280267,320.0,52,2016
207,lendable,uk,fintech,doll_40.31 m,5026349,84.0,25,2014
208,ulrich müller wealth academy,germany,education,doll_3.52 m,440369,6.0,2,2014
209,cerascreen,germany,health,doll_10.5 m,1315000,84.0,19,2012
210,eqinov,france,energy,doll_70.18 m,8811708,43.0,24,2011
211,serre famiglia pederiva viticoltori dal 1958,italy,food & beverage,doll_9.02 m,1134730,12.0,7,1996
212,bloom & wild,uk,ecommerce,doll_155.6 m,19757296,170.0,68,2013
213,bräutigam,germany,automobiles,doll_6.32 m,796207,29.0,9,2016
214,newil & bau,finland,construction,doll_19.42 m,2448858,7.0,1,2006
215,id finance,spain,fintech,doll_103.63 m,13157000,411.0,271,2015
216,kry,sweden,health,doll_77.76 m,10152222,600.0,74,2014
217,sixth sense,italy,technology,doll_3.92 m,500440,25.0,4,2015
218,nethive,italy,cyber security,doll_3.96 m,506730,19.0,7,2014
219,latitude investment management,uk,financial services,doll_1.75 m,225964,8.0,3,2016
220,qred,sweden,fintech,doll_30.41 m,3989355,68.0,10,2015
221,oculavis,germany,technology,doll_3.92 m,504357,55.0,15,2016
222,the information lab,italy,technology,doll_4.25 m,548180,30.0,5,2015
223,md sonnenschutztechnik,germany,construction,doll_4.07 m,524750,10.0,6,2015
224,syntio,croatia,technology,doll_2.13 m,274966,43.0,7,2017
225,bomae,denmark,financial services,doll_1.66 m,214713,13.0,3,2016
226,gophr,uk,technology,doll_5.74 m,755191,18.0,6,2014
227,memory pc,germany,retail,doll_57.38 m,7522000,110.0,20,2012
228,sollis solargroßhandel,germany,retail,doll_11.86 m,1556607,6.0,2,2017
229,spotawheel,greece,automobiles,doll_15.65 m,2058315,123.0,37,2015
230,ooni pizza ovens,uk,personal & household goods,doll_63.88 m,8508398,83.0,18,2012
231,robovox distributions,germany,retail,doll_19.43 m,2570000,35.0,10,2015
232,centralnic group,uk,technology,doll_197.26 m,26626422,650.0,92,2000
233,bernd andert transporte,germany,transport,doll_4.11 m,546226,83.0,16,2003
234,bluewater bio,uk,technology,doll_20.2 m,2708983,18.0,16,2007
235,tecma solutions,italy,technology,doll_7.32 m,975140,107.0,25,2012
236,delante,poland,sales & marketing,doll_2.16 m,316525,48.0,21,2015
237,intumind,germany,health,doll_6.56 m,884885,15.0,8,2015
238,saljol,germany,health,doll_4.15 m,559778,15.0,10,2016
239,tkd solutions,germany,telecoms,doll_15.87 m,2146950,20.0,9,2014
240,kuori,finland,technology,doll_2.5 m,340000,15.0,5,2016
241,ferroamp,sweden,energy,doll_7.65 m,1062649,42.0,21,2010
242,valor real estate partners,uk,financial services,doll_4.53 m,621636,23.0,6,2016
243,anexiti,france,technology,doll_2.57 m,350019,14.0,2,2013
244,genius,france,support services,doll_2.42 m,330522,23.0,6,2017
245,instilla,italy,advertising,doll_2.99 m,410520,31.0,3,2015
246,footdistrict,spain,ecommerce,doll_14.94 m,2051133,60.0,12,2012
247,spiideo,sweden,technology,doll_4.8 m,674805,36.0,12,2012
248,contractpodai,uk,technology,doll_4.88 m,670685,118.0,14,2012
249,tarhan bauausführungen,germany,construction,doll_1.85 m,255000,15.0,5,2017
250,matillion,uk,technology,doll_24.58 m,3417815,218.0,44,2010
251,extra mile live service,germany,retail,doll_2.64 m,364485,5.0,2,2017
252,littlebig connection,france,support services,doll_111.54 m,15653388,173.0,17,2013
253,spc general service,italy,construction,doll_6.79 m,954700,50.0,15,2011
254,jobandtalent,spain,technology,doll_352.88 m,49833511,801.0,156,2008
255,financial house,uk,fintech,doll_18.77 m,2669247,20.0,14,2016
256,mylead,poland,sales & marketing,doll_2.0 m,309471,42.0,8,2013
257,mia-platform,italy,technology,doll_6.52 m,923730,74.0,15,2016
258,tecnimed,italy,health,doll_9.55 m,1354980,32.0,20,1976
259,longevity partners,uk,retail,doll_2.34 m,335460,22.0,5,2015
260,nexumstp,italy,management consulting,doll_25.67 m,3659630,345.0,56,2015
261,g-on,france,support services,doll_1.81 m,259342,16.0,3,2016
262,picnic,uk,advertising,doll_1.51 m,219999,10.0,3,2016
263,egomnia,italy,technology,doll_1.9 m,276750,36.0,2,2012
264,loyaltylion,uk,technology,doll_4.48 m,657382,40.0,10,2012
265,remarkable,norway,technology,doll_115.79 m,18106514,142.0,22,2016
266,kubrick,uk,management consulting,doll_32.61 m,4829922,673.0,119,2016
267,contrader,italy,technology,doll_4.68 m,688860,35.0,7,2012
268,samont,germany,industrial goods,doll_19.58 m,2880891,89.0,39,2008
269,sirive,italy,construction,doll_4.53 m,667170,5.0,1,2017
270,multienergia verde,spain,energy,doll_146.45 m,21640253,15.0,10,2014
271,wielandts upmt,belgium,technology,doll_1.53 m,226295,6.0,1,2013
272,asket,sweden,fashion,doll_6.53 m,991534,13.0,4,2015
273,central warehouse solution,czech republic,transport,doll_1.79 m,274790,45.0,10,2015
274,chef in camicia,italy,advertising,doll_2.07 m,310810,21.0,2,2015
275,piper homes,uk,construction,doll_30.44 m,4601266,28.0,9,2015
276,alturas cubiertas y fachadas,spain,construction,doll_9.38 m,1411811,33.0,12,2014
277,autosalon uhingen,germany,automobiles,doll_10.54 m,1587500,11.0,2,2015
278,yumi beauty,france,chemicals & pharmaceuticals,doll_2.68 m,404819,5.0,1,2013
279,for me lab,france,ecommerce,doll_1.65 m,251795,7.0,2,2016
280,stockholms elbolag,sweden,energy,doll_32.27 m,5033032,25.0,7,2015
281,flohr,germany,waste management & recycling,doll_21.25 m,3241629,84.0,21,1999
282,agricodem,italy,agricultural commodities,doll_2.86 m,436610,4.0,1,2008
283,dach schutzbekleidung,germany,industrial goods,doll_45.23 m,6936038,80.0,14,2005
284,em-tec energiemontagen,germany,construction,doll_3.0 m,461000,16.0,7,2017
285,wave studio,romania,technology,doll_4.11 m,656172,9.0,8,2014
286,bazzar,croatia,retail,doll_6.69 m,1034093,17.0,3,2013
287,cybersprint,the netherlands,cyber security,doll_2.91 m,449771,43.0,10,2015
288,brandon group,italy,ecommerce,doll_32.04 m,4954590,34.0,19,2012
289,feiniko handelsgesellschaft,germany,retail,doll_32.17 m,4979484,13.0,1,2014
290,pharmagrin,italy,health,doll_2.7 m,422610,21.0,2,2015
291,life m,czech republic,technology,doll_2.0 m,322050,3.0,1,2016
292,plásticos dão / sacos & saquetas,portugal,industrial goods,doll_1.95 m,304833,16.0,5,2012
