,name,annual_revenue_usd,annual_net_income_usd,market_capitalization_2022,employees_number,ceo,headquarters_country,wikipedia_page_url,twitter_page_url,facebook_page_url
14,SAMSUNG ELECTRONICS,229280000000,32180000000,438840000000,113753,Kim Hyun Suk Koh Dong-Jin Kim Ki Nam,South Korea,https://en.wikipedia.org/wiki/Samsung_Electronics,https://twitter.com/samsung?lang=en,https://www.facebook.com/samsungelectronics/
15,UNITEDHEALTH GROUP,285270000000,17280000000,431930000000,350000,Andrew Witty,USA,https://en.wikipedia.org/wiki/UnitedHealth_Group,https://twitter.com/UnitedHealthGrp,https://www.facebook.com/unitedhealthgroup/
16,HOME DEPOT,151160000000,16433000000,411020000000,500000,Craig Menear,USA,https://en.wikipedia.org/wiki/The_Home_Depot,https://twitter.com/HomeDepot,https://www.facebook.com/homedepot/
17,LVMH,70765000000,13264000000,409480000000,150000,Bernard Arnault,France,https://en.wikipedia.org/wiki/LVMH,https://twitter.com/LVMH/,https://www.facebook.com/lvmh
18,BANK OF AMERICA CORPORATION,89110000000,30550000000,402490000000,208000,Brian Moynihan,USA,https://en.wikipedia.org/wiki/Bank_of_America,https://twitter.com/BankofAmerica,https://www.facebook.com/BankofAmerica
19,WALMART,572750000000,13673000000,401910000000,2300000,Doug McMillon,USA,https://en.wikipedia.org/wiki/Walmart,https://twitter.com/walmart,https://www.facebook.com/walmart
20,PROCTER & GAMBLE COMPANY,80187000000,14461000000,393820000000,101000,Jon R. Moeller,USA,https://en.wikipedia.org/wiki/Procter_%26_Gamble,https://twitter.com/proctergamble,https://www.facebook.com/proctergamble/
21,KWEICHOW MOUTAI,15929000000,7634000000,382350000000,29031,Li Bao Fang,China,https://en.wikipedia.org/wiki/Kweichow_Moutai,https://twitter.com/moutaiglobal?lang=en,https://www.facebook.com/moutaiglobal/
22,NESTLE AG,92575000000,17970000000,372720000000,276000,Ulf Mark Schneider,Switzerland,https://en.wikipedia.org/wiki/Nestl%C3%A9,https://twitter.com/nestle,
23,MASTERCARD,18880000000,8680000000,363200000000,24000,Michael Miebach,USA,https://en.wikipedia.org/wiki/Mastercard,https://twitter.com/mastercardnews,https://www.facebook.com/Mastercard
24,ROCHE HOLDING AG,66757000000,14808000000,356150000000,100920,Severin Schwan,Switzerland,https://en.wikipedia.org/wiki/Hoffmann-La_Roche,https://twitter.com/roche,
25,ALIBABA GROUP HOLDING,124140000000,9016000000,351900000000,251462,Daniel Zhang,China,https://en.wikipedia.org/wiki/Alibaba_Group,https://twitter.com/alibabagroup,
26,PFIZER,81288000000,21980000000,312750000000,78500,Albert Bourla,USA,https://en.wikipedia.org/wiki/Pfizer,https://twitter.com/pfizer,https://www.facebook.com/Pfizer/
27,ASML HOLDING,20509000000,6760000000,307330000000,28000,Peter Wennink,Netherlands,https://en.wikipedia.org/wiki/ASML_Holding,https://twitter.com/asmlcompany,
28,EXXON MOBIL CORPORATION,285640000000,23040000000,291610000000,64000,Darren Woods,USA,https://en.wikipedia.org/wiki/ExxonMobil,https://twitter.com/exxonmobil,https://www.facebook.com/ExxonMobil/
29,THE WALT DISNEY COMPANY,67410000000,1990000000,286880000000,190000,Bob Chapek,USA,https://en.wikipedia.org/wiki/The_Walt_Disney_Company,https://twitter.com/disney,https://www.facebook.com/Disney/
30,TOYOTA MOTOR CORPORATION,228980000000,20797000000,276740000000,366283,Akio Toyoda,Japan,https://en.wikipedia.org/wiki/Toyota,https://twitter.com/ToyotaMotorCorp,
31,COCA-COLA COMPANY,38655000000,9771000000,260590000000,80300,James Quincey,USA,https://en.wikipedia.org/wiki/The_Coca-Cola_Company,https://twitter.com/cocacola,https://www.facebook.com/cocacola
32,CISCO SYSTEMS,51557000000,11812000000,257820000000,79500,Chuck Robbins,USA,https://en.wikipedia.org/wiki/Cisco_Systems,https://twitter.com/Cisco,https://www.facebook.com/cisco/
33,BROADCOM,27450000000,6437000000,255630000000,20000,Hock E. Tan,USA,https://en.wikipedia.org/wiki/Broadcom_Inc.,https://twitter.com/broadcom,
34,PROSUS,6866000000,18733000000,254550000000,23874,Bob van Dijk,Netherlands,https://en.wikipedia.org/wiki/Prosus,,
35,ICBC,138160000000,51206000000,252550000000,434798,Nicolas Jimenez,China,https://en.wikipedia.org/wiki/Industrial_and_Commercial_Bank_of_China,,
36,L'OREAL,35580000000,5066000000,249140000000,85392,Jean Paul Agon,France,https://en.wikipedia.org/wiki/L'Or%C3%A9al,https://twitter.com/loreal?lang=en,
37,NIKE,46710000000,6046000000,248460000000,73300,John Donahoe,USA,https://en.wikipedia.org/wiki/Nike,https://twitter.com/nike,https://www.facebook.com/nike
38,ELI LILLY AND COMPANY,28318000000,5581000000,248240000000,35000,David A. Ricks,USA,https://en.wikipedia.org/wiki/Eli_Lilly_and_Company,https://twitter.com/lillypad,https://www.facebook.com/elilillyindia
39,ADOBE,15785000000,4822000000,242990000000,25988,Shantanu Narayen,USA,https://en.wikipedia.org/wiki/Adobe_Systems,https://twitter.com/Adobe,https://www.facebook.com/Adobe
40,CHEVRON CORPORATION,155600000000,15620000000,241020000000,42595,Michael Wirth,USA,https://en.wikipedia.org/wiki/Chevron_Corporation,https://twitter.com/Chevron,https://www.facebook.com/Chevron/
41,PEPSICO,79470000000,7610000000,240690000000,309000,Ramon Laguarta,USA,https://en.wikipedia.org/wiki/PepsiCo,https://twitter.com/pepsico,https://www.facebook.com/PepsiCo/
42,ABBOTT LABORATORIES,43075000000,7071000000,239710000000,113000,Robert Ford,USA,https://en.wikipedia.org/wiki/Abbott_Laboratories,https://twitter.com/abbottglobal,https://www.facebook.com/Abbott
43,NETFLIX,29697000000,5116000000,239660000000,12135,Ted Sarandos Reed Hastings,USA,https://en.wikipedia.org/wiki/Netflix,https://twitter.com/netflix,https://www.facebook.com/Netflix
44,TATA GROUP,103000000000,,,750000,,India,https://en.wikipedia.org/wiki/Tata_Group,,
45,THERMO FISHER SCIENTIFIC,39211000000,7725000000,239220000000,130000,Marc N. Casper,USA,https://en.wikipedia.org/wiki/Thermo_Fisher_Scientific,https://twitter.com/thermofisher,https://www.facebook.com/thermofisher/
46,ABBVIE,56197000000,11542000000,238450000000,50000,Richard A. Gonzalez,USA,https://en.wikipedia.org/wiki/AbbVie_Inc.,https://twitter.com/abbvie,https://www.facebook.com/AbbVieGlobal/
47,COSTCO WHOLESALE CORPORATION,195920000000,5007000000,237760000000,288000,W. Craig Jelinek,USA,https://en.wikipedia.org/wiki/Costco,,https://www.facebook.com/Costco
48,ACCENTURE,50533000000,5906000000,234500000000,699000,Julie Sweet,Ireland,https://en.wikipedia.org/wiki/Accenture,https://twitter.com/accentureindia,https://www.facebook.com/accenture/
49,ORACLE CORPORATION,42440000000,6717000000,233690000000,132000,Safra A. Catz,USA,https://en.wikipedia.org/wiki/Oracle_Corporation,https://twitter.com/Oracle,https://www.facebook.com/Oracle
50,NOVO NORDISK A/S,20838000000,7068000000,231350000000,45971,Lars Fruergaard Jorgensen,Denmark,https://en.wikipedia.org/wiki/Novo_Nordisk,https://twitter.com/novonordisk,https://www.facebook.com/novonordisk
51,COMCAST CORPORATION,116380000000,14160000000,228670000000,189000,Brian L. Roberts,USA,https://en.wikipedia.org/wiki/Comcast,https://twitter.com/comcast,https://www.facebook.com/Xfinity/
52,VERIZON COMMUNICATIONS,133610000000,22060000000,227690000000,118400,Hans Vestberg,USA,https://en.wikipedia.org/wiki/Verizon_Communications,https://twitter.com/verizonnews,
53,SALESFORCE.COM,26492000000,1444000000,224880000000,56606,Marc Benioff,USA,https://en.wikipedia.org/wiki/Salesforce.com,https://twitter.com/salesforce,https://www.facebook.com/salesforce/
54,RELIANCE INDUSTRIES,87614000000,7598000000,220760000000,236330,Mukesh Ambani,India,https://en.wikipedia.org/wiki/Reliance_Industries,https://twitter.com/flameoftruth,https://www.facebook.com/RelianceIndustriesLimited
55,PAYPAL HOLDINGS,25371000000,4169000000,220420000000,30900,Daniel Schulman,USA,https://en.wikipedia.org/wiki/PayPal,https://twitter.com/paypal,https://www.facebook.com/paypal
56,WELLS FARGO & COMPANY,78492000000,21548000000,218380000000,253871,Charles W. Scharf,USA,https://en.wikipedia.org/wiki/Wells_Fargo,https://twitter.com/WellsFargo,https://www.facebook.com/wellsfargo/
57,INTEL CORPORATION,79020000000,19860000000,217340000000,121100,Patrick P. Gelsinger,USA,https://en.wikipedia.org/wiki/Intel,https://twitter.com/IntelIndia,https://www.facebook.com/IntelIndia
58,DANAHER CORPORATION,29453000000,7465000000,211280000000,78000,Rainer M. Blair,USA,https://en.wikipedia.org/wiki/Danaher_Corporation,https://twitter.com/danaher_u,
59,MERCK & CO,48700000000,13040000000,202830000000,68000,Robert M. Davis,USA,https://en.wikipedia.org/wiki/Merck_%26_Co.,https://twitter.com/merck,https://www.facebook.com/MerckInvents/
60,QUALCOMM,33560000000,9040000000,202060000000,45000,Cristiano R. Aman,USA,https://en.wikipedia.org/wiki/Qualcomm,https://twitter.com/qualcomm,https://www.facebook.com/Qualcomm
61,NOVARTIS AG,52877000000,24021000000,201260000000,104323,Vasant Narasimhan,Switzerland,https://en.wikipedia.org/wiki/Novartis,https://twitter.com/novartis,https://www.facebook.com/novartis/
62,CHINA MERCHANTS BANK,48553000000,17790000000,199860000000,90867,Huiyu Tian,China,https://en.wikipedia.org/wiki/China_Merchants_Bank,,
63,MCDONALD'S CORPORATION,23222000000,7545000000,199560000000,200000,Chris Kempczinski,USA,https://en.wikipedia.org/wiki/McDonald's,https://twitter.com/McDonalds,
64,CONTEMPORARY AMPEREX TECHNOLOGY,18970000000,2318000000,197130000000,33078,Zeng Yuqun,China,https://en.wikipedia.org/wiki/Contemporary_Amperex_Technology,,
65,TATA CONSULTANCY SERVICES (TCS),24002000000,4797000000,193870000000,606331,Rajesh Gopinathan,India,https://en.wikipedia.org/wiki/Tata_Consultancy_Services,https://twitter.com/TCS,https://www.facebook.com/TataConsultancyServices/
66,UNITED PARCEL SERVICE (UPS),97287000000,12890000000,189610000000,534000,Carol B. Tome,USA,https://en.wikipedia.org/wiki/United_Parcel_Service,https://twitter.com/UPS,
67,AT&T,168860000000,19870000000,187740000000,203000,John T. Stankey,USA,https://en.wikipedia.org/wiki/AT%26T,https://twitter.com/att,https://www.facebook.com/ATT
68,MORGAN STANLEY,56414000000,14566000000,186710000000,68097,James P. Gorman,USA,https://en.wikipedia.org/wiki/Morgan_Stanley,,
69,CHINA CONSTRUCTION BANK CORPORATION,120930000000,44469000000,182170000000,349671,,China,https://en.wikipedia.org/wiki/China_Construction_Bank,,
70,ROYAL DUTCH SHELL,180640000000,-21680000000,181560000000,86000,Ben van Beurden,Netherlands,https://en.wikipedia.org/wiki/Royal_Dutch_Shell,https://twitter.com/shell,https://www.facebook.com/Shell
71,ASTRAZENECA,37417000000,112000000,178120000000,83100,Pascal Soriot,UK,https://en.wikipedia.org/wiki/AstraZeneca,https://twitter.com/astrazeneca,
72,THE CHARLES SCHWAB CORPORATION,18996000000,5855000000,173440000000,32000,Walter W Bettinger II,USA,https://en.wikipedia.org/wiki/Charles_Schwab_Corporation,https://twitter.com/charlesschwab,https://www.facebook.com/CharlesSchwab/
73,HERMES INTERNATIONAL,9898000000,2695000000,172040000000,15417,Axel Dumas,France,https://en.wikipedia.org/wiki/Herm%C3%A8s,https://twitter.com/hermes_paris,https://www.facebook.com/hermes
74,LINDE AG,30793000000,3826000000,171940000000,74207,Sanjiv Lamba,UK Ireland,https://en.wikipedia.org/wiki/Linde_plc,https://twitter.com/Lindeplc,
75,NEXTERA ENERGY,17069000000,3573000000,169550000000,9700,James L Robo,USA,https://en.wikipedia.org/wiki/NextEra_Energy,,https://www.facebook.com/nexteraenergy/
76,LOWE'S COMPANIES,96250000000,8409000000,169170000000,220000,Marvin Ellison,USA,https://en.wikipedia.org/wiki/Lowe%27s,,https://www.facebook.com/lowes
77,TEXAS INSTRUMENTS,18344000000,7769000000,165720000000,31000,Richard K. Templeton,USA,https://en.wikipedia.org/wiki/Texas_Instruments,https://twitter.com/txinstruments,
78,UNION PACIFIC CORPORATION,21804000000,6523000000,163790000000,32124,Lance M. Fritz,USA,https://en.wikipedia.org/wiki/Union_Pacific_Railroad,https://twitter.com/UnionPacific,https://www.facebook.com/unionpacific
79,BHP GROUP,45066000000,21391000000,162910000000,80000,Mike Henry,Australia,https://en.wikipedia.org/wiki/BHP,https://twitter.com/bhp,
80,SAP SE,30682000000,5791000000,162540000000,107415,Christian Klein,Germany,https://en.wikipedia.org/wiki/SAP_SE,https://twitter.com/SAP,https://www.facebook.com/SAP
81,AGRICULTURAL BANK OF CHINA,104700000000,35097000000,160760000000,459000,,China,https://en.wikipedia.org/wiki/Agricultural_Bank_of_China,,
82,INTUIT,12726000000,2066000000,160710000000,13500,Sasan K. Goodarzi,USA,https://en.wikipedia.org/wiki/Intuit,https://twitter.com/Intuit,https://www.facebook.com/intuit
83,MEITUAN DIANPING,28141000000,-3698000000,160510000000,58390,Wang Xing,China,https://en.wikipedia.org/wiki/Meituan-Dianping,,
84,ROYAL BANK OF CANADA,35376000000,12230000000,159750000000,85301,David I. McKay,Canada,https://en.wikipedia.org/wiki/Royal_Bank_of_Canada,https://twitter.com/RBC,https://www.facebook.com/rbc
85,ADVANCED MICRO DEVICES (AMD),16434000000,3162000000,159410000000,15500,Lisa Su,USA,https://en.wikipedia.org/wiki/Advanced_Micro_Devices,https://twitter.com/amd,https://www.facebook.com/AMD/
86,SONY CORPORATION,72397000000,6437000000,156010000000,109700,Kenichiro Yoshida,Japan,https://en.wikipedia.org/wiki/Sony,https://twitter.com/sony,https://www.facebook.com/SonyPhilippines
87,PHILIP MORRIS INTERNATIONAL,31405000000,9109000000,154340000000,69900,Jacek Olczak,USA,https://en.wikipedia.org/wiki/Philip_Morris_International,https://twitter.com/insidepmi,https://www.facebook.com/InsidePMI/
88,PING AN INSURANCE (GROUP) COMPANY OF CHINA,202290000000,15964000000,150120000000,362000,Ma Mingzhe,China,https://en.wikipedia.org/wiki/Ping_An_Insurance,https://twitter.com/pingan_group?lang=en,
89,HONEYWELL INTERNATIONAL,34392000000,5542000000,148530000000,99000,Darius Adamczyk,USA,https://en.wikipedia.org/wiki/Honeywell,https://twitter.com/Honeywell,https://www.facebook.com/Honeywell/
90,TORONTO-DOMINION BANK,32501000000,10803000000,144320000000,89464,Bharat Masrani,Canada,https://en.wikipedia.org/wiki/Toronto%E2%80%93Dominion_Bank,https://twitter.com/tdbank_us?lang=en,https://www.facebook.com/TDBankGroup
91,PETROCHINA COMPANY,380440000000,13413000000,143700000000,476223,Wang Dongjin,China,https://en.wikipedia.org/wiki/PetroChina,https://twitter.com/chinapetro?lang=en,
92,CHRISTIAN DIOR,70765000000,5450000000,143380000000,128339,Pietro Beccari,France,https://en.wikipedia.org/wiki/Christian_Dior_SE,https://twitter.com/dior,https://www.facebook.com/Dior/
93,SHOPIFY,4611000000,2914000000,143340000000,7000,Tobias Lutke,Canada,https://en.wikipedia.org/wiki/Shopify,,https://www.facebook.com/shopify/
94,KEYENCE CORPORATION,5511000000,2214000000,142420000000,8380,Yu Nakata,Japan,https://en.wikipedia.org/wiki/Keyence,,
95,MEDTRONIC,31677000000,5038000000,141390000000,90000,Geoffrey S. Martha,Ireland,https://en.wikipedia.org/wiki/Medtronic,https://twitter.com/medtronic,https://www.facebook.com/Medtronic/
96,BRISTOL-MYERS SQUIBB COMPANY,46385000000,6994000000,139460000000,32200,Giovanni Caforio,USA,https://en.wikipedia.org/wiki/Bristol-Myers_Squibb,https://twitter.com/bmsnews,https://www.facebook.com/BristolMyersSquibb/
97,SIEMENS,68616000000,6788000000,138710000000,303000,Roland Busch,Germany,https://en.wikipedia.org/wiki/Siemens,https://twitter.com/siemens,https://www.facebook.com/Siemens
98,TOTALENERGIES SE,184630000000,16032000000,138010000000,105476,Patrick Pouyanne,France,https://en.wikipedia.org/wiki/TotalEnergies,,
99,CVS HEALTH CORPORATION,292110000000,7910000000,137540000000,295000,Karen S. Lynch,USA,https://en.wikipedia.org/wiki/CVS_Health,,
100,UNILEVER GROUP,57793000000,6666000000,137220000000,149000,Alan Jope,Netherlands UK,https://en.wikipedia.org/wiki/Unilever,https://twitter.com/unilever,https://www.facebook.com/Unilever
101,T-MOBILE US,80118000000,3024000000,137070000000,75000,Mike Sievert,USA,https://en.wikipedia.org/wiki/T-Mobile_US,https://twitter.com/TMobile,
102,BANK OF CHINA,76991000000,33270000000,135640000000,306322,Gao Yingxin,China,https://en.wikipedia.org/wiki/Bank_of_China,,
103,BLACKROCK,19374000000,5901000000,135550000000,16500,Larry Fink,USA,https://en.wikipedia.org/wiki/BlackRock,,
104,SCHWARZ GROUP,123070000000,,,500000,,Germany,https://en.wikipedia.org/wiki/Schwarz_Gruppe,,
105,RAYTHEON TECHNOLOGIES CORPORATION,64388000000,3864000000,135370000000,174000,Gregory Hayes,USA,https://en.wikipedia.org/wiki/United_Technologies,https://twitter.com/UTC,
106,AMERICAN EXPRESS COMPANY,42838000000,8060000000,135070000000,64000,Stephen Squeri,USA,https://en.wikipedia.org/wiki/American_Express,https://twitter.com/AmericanExpress,https://www.facebook.com/AmericanExpress
107,VOLKSWAGEN,250120000000,14839000000,134250000000,662575,Herbert Diess,Germany,https://en.wikipedia.org/wiki/Volkswagen_Group,,
108,APPLIED MATERIALS,23063000000,5888000000,134000000000,27000,Gary E. Dickerson,USA,https://en.wikipedia.org/wiki/Applied_Materials,https://twitter.com/applied_blog,https://www.facebook.com/AppliedMaterialsInc
109,HSBC HOLDINGS,63644000000,12607000000,132940000000,223448,Noel Quinn,UK,https://en.wikipedia.org/wiki/HSBC,https://twitter.com/HSBC,https://www.facebook.com/HSBC
110,THE GOLDMAN SACHS GROUP,64989000000,21635000000,132600000000,43900,David M. Solomon,USA,https://en.wikipedia.org/wiki/Goldman_Sachs,https://twitter.com/goldmansachs,https://www.facebook.com/goldmansachs/
111,WULIANGYE YIBIN,9635000000,3402000000,132390000000,26348,Chen Lin,China,https://en.wikipedia.org/wiki/Wuliangye_Yibin,https://twitter.com/wuliangyepinpai,https://www.facebook.com/WuliangyeGlobal/
112,CITI GROUP,71887000000,20758000000,130530000000,223400,Jane Fraser,USA,https://en.wikipedia.org/wiki/Citigroup,https://twitter.com/Citi,
113,CHINA MOBILE,133260000000,18247000000,130510000000,454332,Li Yue,China,https://en.wikipedia.org/wiki/China_Mobile,,
114,AMGEN,25979000000,5893000000,128030000000,24200,Robert A. Bradway,USA,https://en.wikipedia.org/wiki/Amgen,https://twitter.com/amgen,
115,YOUTUBE,,,,,Susan Wojcicki,USA,https://en.wikipedia.org/wiki/YouTube,,
116,ESTEE LAUDER COMPANIES,17737000000,2390000000,127760000000,62000,Fabrizio Freda,USA,https://en.wikipedia.org/wiki/Est%C3%A9e_Lauder_Companies,,https://www.facebook.com/EsteeLauder/
117,BOEING COMPANY,62286000000,-4202000000,126650000000,141014,Dave Calhoun,USA,https://en.wikipedia.org/wiki/Boeing,https://twitter.com/boeing?lang=en,https://www.facebook.com/Boeing/
118,SANOFI,43171000000,6858000000,126370000000,95442,Paul Hudson,France,https://en.wikipedia.org/wiki/Sanofi,,
119,STARBUCKS CORPORATION,29060000000,4199000000,126200000000,383000,Laxman Narasimhan,USA,https://en.wikipedia.org/wiki/Starbucks,https://twitter.com/starbucks,https://www.facebook.com/Starbucks
120,COMMONWEALTH BANK OF AUSTRALIA,16562000000,7456000000,125770000000,49245,Matt Comyn,Australia,https://en.wikipedia.org/wiki/Commonwealth_Bank,https://twitter.com/CommBank,
121,AIA GROUP,47525000000,7427000000,125620000000,23000,Lee Yuan Siong,Hong Kong,https://en.wikipedia.org/wiki/AIA_Group,https://twitter.com/aiagroup_press,
122,DIAGEO,18200000000,3827000000,123290000000,28025,Ivan Menezes,UK,https://en.wikipedia.org/wiki/Diageo,,
123,AMERICAN TOWER CORPORATION (REIT),9356000000,2567000000,121400000000,5618,Tom Bartlett,USA,https://en.wikipedia.org/wiki/American_Tower,,
124,CATERPILLAR,50971000000,6489000000,121270000000,107700,Jim Umpleby,USA,https://en.wikipedia.org/wiki/Caterpillar_Inc.,,
125,IBM,57350000000,5743000000,120850000000,375300,Arvind Krishna,USA,https://en.wikipedia.org/wiki/IBM,https://twitter.com/IBM,https://www.facebook.com/IBM
126,RIO TINTO GROUP,63495000000,21094000000,116980000000,49000,Jakob Stausholm,UK,https://en.wikipedia.org/wiki/Rio_Tinto_Group,https://twitter.com/riotinto,
127,DEERE & COMPANY,43932000000,5963000000,116400000000,75600,John C. May,USA,https://en.wikipedia.org/wiki/John_Deere,https://twitter.com/johndeere,https://www.facebook.com/johndeere
128,INTUITIVE SURGICAL,5710000000,1704000000,115850000000,9793,Gary S Guthart,USA,https://en.wikipedia.org/wiki/Intuitive_Surgical,,
129,HDFC BANK,12743000000,4825000000,114330000000,161027,Sashidhar Jagdishan,India,https://en.wikipedia.org/wiki/HDFC_Bank,https://twitter.com/HDFC_Bank,https://www.facebook.com/HDFC.bank/
130,PROLOGIS,4759000000,2939000000,113660000000,2053,Hamid Moghadam,USA,https://en.wikipedia.org/wiki/Prologis,https://twitter.com/prologis,https://www.facebook.com/Prologis/
131,SERVICENOW,5896000000,230000000,112710000000,16881,Bill McDermott,USA,https://en.wikipedia.org/wiki/ServiceNow,https://twitter.com/servicenow,
132,GENERAL ELECTRIC COMPANY,74196000000,-6520000000,111350000000,168000,H. Lawrence Culp Jr,USA,https://en.wikipedia.org/wiki/General_Electric,https://twitter.com/generalelectric,https://www.facebook.com/GE
133,TARGET CORPORATION,106000000000,6946000000,110570000000,409000,Brian Cornell,USA,https://en.wikipedia.org/wiki/Target_Corporation,,https://www.facebook.com/target
134,GLAXOSMITHKLINE,44655000000,5740000000,110320000000,99000,Dame Emma Walmsley,UK,https://en.wikipedia.org/wiki/GlaxoSmithKline,https://twitter.com/gsk,https://www.facebook.com/GSK
135,CHINA LIFE INSURANCE COMPANY,133170000000,8000000000,109770000000,104160,Dairen Lin,China,https://en.wikipedia.org/wiki/China_Life_Insurance_Company,,
136,ANHEUSER-BUSCH INBEV,54304000000,4669000000,109500000000,164000,Michel Doukeris,Belgium,https://en.wikipedia.org/wiki/Anheuser-Busch_InBev,https://twitter.com/abinbev,
137,CHARTER COMMUNICATIONS,51682000000,4654000000,109450000000,93700,Thomas M. Rutledge,USA,https://en.wikipedia.org/wiki/Charter_Communications,,https://www.facebook.com/Spectrum
138,GAZPROM,168300000000,34221000000,108150000000,473800,Alexey Miller,Russia,https://en.wikipedia.org/wiki/Gazprom,,
139,S&P GLOBAL,8297000000,3024000000,107670000000,22850,Douglas L. Peterson,USA,https://en.wikipedia.org/wiki/S%26P_Global,,https://www.facebook.com/sandpglobal/
140,SCHNEIDER ELECTRIC,31853000000,3531000000,107120000000,166025,Jean-Pascal Tricoire,France,https://en.wikipedia.org/wiki/Schneider_Electric,https://twitter.com/SchneiderElec,https://www.facebook.com/SchneiderElectricFR/
141,INGRAM MICRO,49100000000,,,26037,,USA,https://en.wikipedia.org/wiki/Ingram_Micro,,
142,VANGUARD GROUP,6936000000,,,18800,,USA,https://en.wikipedia.org/wiki/The_Vanguard_Group,,
143,CONOCOPHILLIPS COMPANY,45828000000,8079000000,106360000000,10100,Ryan Lance,USA,https://en.wikipedia.org/wiki/ConocoPhillips,,
144,JD.COM,149500000000,-559000000,106000000000,314906,Liu Qiangdong,China,https://en.wikipedia.org/wiki/JD.com,https://twitter.com/jd_corporate,https://www.facebook.com/jd.cominc/
145,MICRON TECHNOLOGY,27705000000,5861000000,105800000000,43000,Sanjay Mehrotra,USA,https://en.wikipedia.org/wiki/Micron_Technology,,
146,ANTHEM,,6104000000,105580000000,63900,Gail Koziara Boudreaux,USA,https://en.wikipedia.org/wiki/Anthem_(company),,
147,AIRBNB,5991000000,-352000000,105510000000,6132,Brian Chesky,USA,https://en.wikipedia.org/wiki/Airbnb,,
148,AIRBUS,57468000000,4643000000,105090000000,125888,Guillaume Faury,Netherlands,https://en.wikipedia.org/wiki/Airbus,https://twitter.com/airbus,https://www.facebook.com/airbus/
149,KOCH INDUSTRIES,110000000000,,,122000,,USA,https://en.wikipedia.org/wiki/Koch_Industries,,
150,BYTEDANCE,17000000000,,,60000,,China,https://en.wikipedia.org/wiki/ByteDance,,
151,SEA LIMITED,9955000000,-2046000000,104350000000,33800,Forrest Li,Singapore,https://en.wikipedia.org/wiki/Garena,,
152,3M COMPANY,35355000000,5921000000,103700000000,95000,Mike Roman,USA,https://en.wikipedia.org/wiki/3M,https://twitter.com/3M,
153,ALLIANZ SE,114040000000,7284000000,103280000000,150269,Oliver Bate,Germany,https://en.wikipedia.org/wiki/Allianz,https://twitter.com/allianz_es,https://www.facebook.com/allianz
154,INFOSYS,16311000000,2968000000,102720000000,345218,Salil Parekh,India,https://en.wikipedia.org/wiki/Infosys,https://twitter.com/infosys,https://www.facebook.com/Infosys/
